,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Po,Po Torino,"[""*Alcuni palazzi e zone facenti parte del circuito di residenze sabaude in Piemonte (patrimonio dell'umanità) e l'area delle colline del Po (riserva della biosfera)."", ""*Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine:"", '*Il fiume Po accentua la divisione tra la parte collinare e quella, quasi pianeggiante, della città, collocata tra i 220 e i 280 metri s.l.m.', ""*Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana."", ""Il 19 marzo 2016 l'UNESCO ha riconosciuto il Parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019."", ""Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura media annua è stata di 12,3\xa0°C, con la minima, a gennaio, di 0,9\xa0°C."", ""Di seguito è riportata la media trentennale di riferimento (1961-1990) rilevata dall'Ufficio Idrografico del Po."", ""*Il 19 aprile 1801 Jourdan soppresse tutte le istituzioni governative e divenne Amministratore generale del Piemonte, assistito da un Consiglio di sei membri piemontesi e infine, dopo l'abdicazione di Carlo Emanuele IV di Savoia, il 21 settembre 1802 i sei dipartimenti in cui era stato diviso il Piemonte (Torino apparteneva al dipartimento del Po e inoltre a essa faceva capo uno dei tre circondari in cui era diviso il dipartimento stesso) furono raggruppati in una regione francese denominata Au delà des Alpes, della quale Torino divenne il capoluogo e tale rimase fino alla Restaurazione."", ""Le importanti testimonianze architettoniche di quest'epoca sono ancora percepibili in alcune zone centrali del capoluogo come i quartieri Centro, Crocetta, San Salvario e Borgo Po, ma con un'assoluta predominanza nell'area circostante il primo tratto di Corso Francia, comprendente i quartieri Cit Turin e San Donato."", ""*Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia."", '*Torino ospita anche alberi esotici secolari come le sequoie costali (Sequoia sempervirens) dei parchi collinari di Villa Genero e Giacomo Leopardi, i numerosi esemplari di Noce del Caucaso (Pterocarya\xa0fraxinifolia) che costeggiano il Po e compaiono in parchi pubblici come i Giardini Cavour, il Giardino Sambuy, i Giardini Reali Bassi (lungo Corso San Maurizio), il Parco Millefonti.', '*Importanti sono poi dal punto di vista storico il Museo nazionale del Risorgimento italiano, presso Palazzo Carignano, e il Museo nazionale della montagna, presso il Monte dei Cappuccini, sulla riva destra del Po.', '*Anche se nel gioco la città è ben diversa dalla realtà, sono comunque presenti il tram numero 13, il Po e molti edifici storici realmente esistenti.', 'Proprio nel capoluogo piemontese, nel marzo 1896, gli inventori del cinematografo esibirono la prima proiezione di un film in Italia ed in via Po, a novembre, la prima davanti ad un pubblico pagante.', 'Circoscrizione VIII: San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia .']","Po, Via Gioachino Rossini, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia","{""coordinates"": [7.690586, 45.068718], ""type"": ""Point""}","Po, Via Gioachino Rossini, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",highway,bus_stop
1,Stura di Lanzo,Stura di Lanzo Torino,"[""*Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine:""]","Stura di Lanzo, Torino, Piemonte, 10074, Italia","{""coordinates"": [7.565176, 45.212368], ""type"": ""Point""}","Stura di Lanzo, Torino, Piemonte, 10074, Italia",waterway,river
2,Val di Susa,Val di Susa Torino,"['*Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone.']","Val di Susa, Torino, Piemonte, 10050, Italia","{""coordinates"": [7.07696, 45.135021], ""type"": ""Point""}","Val di Susa, Torino, Piemonte, 10050, Italia",natural,valley
3,Valli di Lanzo,Valli di Lanzo Torino,"['*Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone.']","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia","{""coordinates"": [7.388193, 45.314655], ""type"": ""Point""}","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia",amenity,restaurant
4,Val Sangone,Val Sangone Torino,"['*Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone.']","Val Sangone, Coazze, Torino, Piemonte, 10094, Italia","{""coordinates"": [7.274615, 45.049963], ""type"": ""Point""}","Val Sangone, Coazze, Torino, Piemonte, 10094, Italia",natural,valley
5,Dora Riparia,Dora Riparia Torino,"[""Oltre ai tre corsi d'acqua prima citati che ne incorniciano il territorio, abbiamo la Dora Riparia che taglia la città da ovest a est, scorrendo prossima al centro storico.""]","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia","{""coordinates"": [7.571124, 45.089097], ""type"": ""Point""}","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia",highway,bus_stop
6,Colle della Maddalena,Colle della Maddalena Torino,"['Il punto più elevato del territorio comunale è il Colle della Maddalena, a 715\xa0m s.l.m.', 'Due spettacolari esemplari di carpino bianco (Carpinus betulus) arricchiscono il grande Parco della Rimembranza che si dispiega lungo il Colle della Maddalena.']","Colle della Maddalena, Torino, Piemonte, 10131, Italia","{""coordinates"": [7.72165, 45.031147], ""type"": ""Point""}","Colle della Maddalena, Torino, Piemonte, 10131, Italia",natural,peak
7,Faro della Vittoria,Faro della Vittoria Torino,"['*, nei pressi del Faro della Vittoria.']","Faro della Vittoria, Strada esterna della Vetta della Maddalena, Circoscrizione 8, Revigliasco, Torino, Piemonte, 10024, Italia","{""coordinates"": [7.721651, 45.031158], ""type"": ""Point""}","Faro della Vittoria, Strada esterna della Vetta della Maddalena, Circoscrizione 8, Revigliasco, Torino, Piemonte, 10024, Italia",man_made,lighthouse
8,Monviso,Monviso Torino,"[""Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia","{""coordinates"": [7.648686, 45.032323], ""type"": ""Point""}","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia",amenity,pharmacy
9,Rocciamelone,Rocciamelone Torino,"[""Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia","{""coordinates"": [7.719274, 45.012633], ""type"": ""Point""}","Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia",place,hamlet
