1 372 948,"948, Tri Tôn, Tỉnh An Giang, Việt Nam",highway,secondary,0.21,"Milano (/miˈlano/ ; Milan in dialetto milanese, /miˈlãː/) è un comune italiano di 1 372 948 abitanti, capoluogo della regione Lombardia e dell'omonima città metropolitana, e centro di una delle più popolose aree metropolitane d'Europa. Con oltre 1 milione e 370 mila abitanti, è la città più popolosa della regione, il secondo comune più popoloso d'Italia dopo Roma e rientra tra le venti città più popolose dell'intera Europa."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Milano (/miˈlano/ ; Milan in dialetto milanese, /miˈlãː/) è un comune italiano di 1 372 948 abitanti, capoluogo della regione Lombardia e dell'omonima città metropolitana, e centro di una delle più popolose aree metropolitane d'Europa. Con oltre 1 milione e 370 mila abitanti, è la città più popolosa della regione, il secondo comune più popoloso d'Italia dopo Roma e rientra tra le venti città più popolose dell'intera Europa."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"La sua caratteristica principale è quella di essere facilmente carsificabile. Tale roccia è ricoperta dai sedimenti fluviali quaternari ed è visibile lungo i principali corsi d'acqua che la solcano, costituendo conglomerati rocciosi che in Lombardia sono conosciuti come ""ceppi"". Milano occupa un'area di 181,67 km² a occidente della Lombardia, situata a 25 km a est del fiume Ticino, a 25 km a ovest del fiume Adda, a 35 km a nord del fiume Po e a 50 km a sud del lago di Como, lungo la cosiddetta ""fascia delle risorgive"", laddove vi è l'incontro, nel sottosuolo, tra strati geologici a differente permeabilità, aspetto che permette alle acque profonde di riaffiorare in superficie."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Tale roccia è ricoperta dai sedimenti fluviali quaternari ed è visibile lungo i principali corsi d'acqua che la solcano, costituendo conglomerati rocciosi che in Lombardia sono conosciuti come ""ceppi"". Milano occupa un'area di 181,67 km² a occidente della Lombardia, situata a 25 km a est del fiume Ticino, a 25 km a ovest del fiume Adda, a 35 km a nord del fiume Po e a 50 km a sud del lago di Como, lungo la cosiddetta ""fascia delle risorgive"", laddove vi è l'incontro, nel sottosuolo, tra strati geologici a differente permeabilità, aspetto che permette alle acque profonde di riaffiorare in superficie. L'idrografia di Milano e della zona dei comuni confinanti è particolarmente complessa, sia per cause naturali, vista la cospicua presenza di fiumi, torrenti e fontanili, che formano un vero e proprio groviglio idrico, sia per questioni legate ai lavori di canalizzazioni e di deviazione dei corsi d'acqua di matrice antropica, aventi il proprio inizio durante l'epoca romana, che hanno portato alla realizzazione di numerose rogge, canali e laghi artificiali."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Con la deposizione di Carlo il Grosso (887), venne meno l'autorità del governo centrale e furono proprio i conti e i vescovi a esercitare il potere locale: la città evolse in libero comune estendendo gradualmente la sua influenza su gran parte della Lombardia (XI secolo). In particolare l'istituzione del moderno comune di Milano avvenne nel 1117:"
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Nell'arco dell'anno l'area viene utilizzata per manifestazioni sportive nautiche, come canottaggio, motonautica o sci d'acqua. Società Evoluzione demografica Milano è capoluogo della regione Lombardia, dell'omonima città metropolitana, e centro di una delle più popolose aree metropolitane d'Europa. Al momento dell'Unità d'Italia Milano era il terzo comune italiano per numero di abitanti, superata da Napoli e Palermo."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Il sistema sanitario di Milano, come quello dell'intera Italia, non dipende più dall'autorità locale ma è di competenza della regione, che agisce sul territorio tramite le aziende sanitarie locali. Il sito ufficiale della regione Lombardia registra a Milano 31 ospedali, tra pubblici e convenzionati, specialistici o generali che coprono a 360° le patologie previste dai protocolli nazionali. A essi ricorrono sovente pazienti provenienti da altre regioni."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"quest'ultima carica fu mantenuta anche durante il periodo della signoria viscontea prima e sforzesca poi. Il podestà rimase a capo dell'amministrazione comunale di Milano fino al 1860, cioè fino all'anno successivo dell'annessione della Lombardia al Regno di Sardegna, avvenimento che preannunciò l'Unità d'Italia (1861). La legge n°3702 del 23 ottobre 1859 (legge Rattazzi) del governo sabaudo allargò alla Lombardia la legislazione piemontese, che divenne poi quella italiana."
Lombardia,"Lombardía, Romeral, Provincia de Curicó, Región del Maule, 3345389, Chile",place,hamlet,0.25,"Il podestà rimase a capo dell'amministrazione comunale di Milano fino al 1860, cioè fino all'anno successivo dell'annessione della Lombardia al Regno di Sardegna, avvenimento che preannunciò l'Unità d'Italia (1861). La legge n°3702 del 23 ottobre 1859 (legge Rattazzi) del governo sabaudo allargò alla Lombardia la legislazione piemontese, che divenne poi quella italiana. A capo dell'amministrazione comunale venne posto il sindaco, che all'epoca era di nomina governativa."
Regno d'Italia,"Apartments Villa Sandra, Ljubljanska cesta, Mjesni odbor Kantrida, Grad Rijeka, Grad Opatija, Primorsko-goranska županija, 51211, Hrvatska",building,house,0.101,"grazie alle politiche asburgiche, Milano divenne uno dei principali centri dell'illuminismo italiano. Capitale del Regno d'Italia napoleonico, dopo la Restaurazione fu tra i più attivi centri del Risorgimento fino al suo ingresso nel Regno d'Italia sabaudo. Principale centro economico e finanziario della Repubblica Italiana, Milano ne guidò lo sviluppo industriale, costituendo con Torino e Genova il cosiddetto Triangolo industriale, in particolar modo durante gli anni del boom economico, quando la crescita industriale e urbanistica coinvolse anche le città limitrofe, creando la vasta area metropolitana milanese."
