Bulåggna,"Bologna, Emilia-Romagna, Italia",boundary,administrative,0.7905771109268431,"Bologna (, AFI: /boˈloɲɲa/; in dialetto bolognese Bulåggna, AFI: /buˈlʌɲ:ɐ/) è un comune italiano di 392 730 abitanti, capoluogo dell'omonima città metropolitana, a sua volta capoluogo dell'Emilia-Romagna, posta al centro di un'area metropolitana di oltre un milione di abitanti."
Etruschi,"Piazza degli Etruschi, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italia",highway,pedestrian,0.31,"È nota per le sue torri, i suoi lunghi portici e un ben conservato centro storico, fra i più estesi d'Italia. La città, i cui primi insediamenti risalirebbero almeno al I millennio a.C., fu un importante centro urbano dapprima sotto gli Etruschi e i Celti, poi sotto i Romani e, nel Medioevo, come libero comune. Capitale settentrionale dello Stato Pontificio a partire dal Cinquecento, ebbe un ruolo molto importante durante il Risorgimento e, durante la seconda guerra mondiale, fu uno dei fulcri della Resistenza."
Etruschi,"Piazza degli Etruschi, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italia",highway,pedestrian,0.31,"Nel VII-VI secolo a.C. abbiamo testimonianze di un'apertura ai modelli culturali e artistici dell'Etruria tirrenica, durante la quale la città fu chiamata Felsina (in etrusco Felzna o Felsna). Successivamente (V-IV secolo a.C.), con la discesa dei Galli nella penisola, gli Etruschi persero il controllo dell'area. Il dominio gallico sulla zona durò fino al 196 a.C., anno in cui i Galli Boi furono soggiogati dai Romani."
Romani,"Imola Scavi Romani, Via Villa Clelia, Cappuccini, Imola, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40026, Italia",highway,bus_stop,0.21100000000000002,"È nota per le sue torri, i suoi lunghi portici e un ben conservato centro storico, fra i più estesi d'Italia. La città, i cui primi insediamenti risalirebbero almeno al I millennio a.C., fu un importante centro urbano dapprima sotto gli Etruschi e i Celti, poi sotto i Romani e, nel Medioevo, come libero comune. Capitale settentrionale dello Stato Pontificio a partire dal Cinquecento, ebbe un ruolo molto importante durante il Risorgimento e, durante la seconda guerra mondiale, fu uno dei fulcri della Resistenza."
Romani,"Imola Scavi Romani, Via Villa Clelia, Cappuccini, Imola, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40026, Italia",highway,bus_stop,0.21100000000000002,"Successivamente (V-IV secolo a.C.), con la discesa dei Galli nella penisola, gli Etruschi persero il controllo dell'area. Il dominio gallico sulla zona durò fino al 196 a.C., anno in cui i Galli Boi furono soggiogati dai Romani. Nel 189 a.C. questi ultimi fondarono sul sito una colonia di diritto latino a cui diedero il nome di Bononia."
Stato Pontificio,"Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia",historic,monument,0.31100000000000005,"La città, i cui primi insediamenti risalirebbero almeno al I millennio a.C., fu un importante centro urbano dapprima sotto gli Etruschi e i Celti, poi sotto i Romani e, nel Medioevo, come libero comune. Capitale settentrionale dello Stato Pontificio a partire dal Cinquecento, ebbe un ruolo molto importante durante il Risorgimento e, durante la seconda guerra mondiale, fu uno dei fulcri della Resistenza. Nel secondo dopoguerra, come buona parte dell'Emilia, è stata governata quasi ininterrottamente da amministrazioni di sinistra."
Stato Pontificio,"Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia",historic,monument,0.31100000000000005,"Dopo un effimero periodo comunale, nel 1401 la signoria della città passò ai Bentivoglio, che la mantennero - fra alterne vicende - fino alla cacciata ad opera di papa Giulio II nel 1506.  Storia moderna Nel 1507 Bologna passò allo Stato Pontificio e nel 1530 nella Basilica di San Petronio venne celebrata l'incoronazione di Carlo V Imperatore per mano di Papa Clemente VII. La città rimase nello Stato Pontificio fino al 1796, quando con Napoleone arrivarono a Bologna le truppe francesi."
Stato Pontificio,"Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia",historic,monument,0.31100000000000005," Storia moderna Nel 1507 Bologna passò allo Stato Pontificio e nel 1530 nella Basilica di San Petronio venne celebrata l'incoronazione di Carlo V Imperatore per mano di Papa Clemente VII. La città rimase nello Stato Pontificio fino al 1796, quando con Napoleone arrivarono a Bologna le truppe francesi. Tuttavia, dopo il Congresso di Vienna (1815) la città ritornò allo Stato Pontificio."
Stato Pontificio,"Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia",historic,monument,0.31100000000000005,"La città rimase nello Stato Pontificio fino al 1796, quando con Napoleone arrivarono a Bologna le truppe francesi. Tuttavia, dopo il Congresso di Vienna (1815) la città ritornò allo Stato Pontificio. Vi si stabilirono gli austriaci, per essere poi annessa, con il plebiscito dell'11-12 marzo 1860, al Regno di Sardegna che diventerà Regno d'Italia esattamente dodici mesi dopo."
Emilia,"Bologna, Emilia-Romagna, Italia",boundary,administrative,0.8905771109268432,"Capitale settentrionale dello Stato Pontificio a partire dal Cinquecento, ebbe un ruolo molto importante durante il Risorgimento e, durante la seconda guerra mondiale, fu uno dei fulcri della Resistenza. Nel secondo dopoguerra, come buona parte dell'Emilia, è stata governata quasi ininterrottamente da amministrazioni di sinistra. Bologna è un importante nodo di comunicazioni stradali e ferroviarie del nord Italia, in un'area in cui risiedono importanti industrie meccaniche, elettroniche e alimentari."
Emilia,"Bologna, Emilia-Romagna, Italia",boundary,administrative,0.8905771109268432,"la mescolanza di numerosi studenti e professori di nazionalità diverse arricchì la cultura gastronomica, e rese necessaria una buona organizzazione dell'approvvigionamento alimentare. La cucina bolognese, così come quella di tutta l'Emilia, si distingue per l'abbondanza nell'uso di carne, in particolare maiale, e pasta all'uovo, tanto da far meritare alla città l'appellativo di Bologna la grassa. Abbonda anche l'uso di latticini, quali il burro, il formaggio molle e il Parmigiano Reggiano."
Emilia,"Bologna, Emilia-Romagna, Italia",boundary,administrative,0.8905771109268432,"L'avvento del regime fascista portò all'abolizione degli organi democratici comunali, reistituiti solo dopo la Liberazione con l'introduzione del suffragio universale. Il primo sindaco del dopoguerra fu Giuseppe Dozza, nominato nel 1945 dal Comitato regionale di liberazione nazionale Emilia e Romagna e confermato alle prime elezioni amministrative a suffragio universale del 1946. Da allora, con la sola parentesi del 1999-2004 (che vide a capo della giunta di centro-destra Giorgio Guazzaloca), i cittadini hanno eletto amministrazioni di sinistra o centro-sinistra, tanto da far assumere all'appellativo ""Bologna la rossa"" un significato politico."
Territorio Bologna,"Agenzia del Territorio - Catasto, 11, Piazza Malpighi, Malpighi, Saragozza-Porto, Bologna, Emilia-Romagna, 40123, Italia",office,government,0.32100000000000006,"Nel 2000 è stata ""capitale europea della cultura"", nel 2021 i suoi portici sono stati riconosciuti patrimonio dell'umanità dall'UNESCO.  Geografia fisica Territorio Bologna è situata nelle propaggini meridionali della pianura Padana, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, fra lo sbocco delle valli del fiume Reno e del torrente Savena, che la bagnano longitudinalmente, rispettivamente a ovest e a est. L'altimetria del territorio comunale spazia dai 29 m s.l.m."
Reno,"Bologna, Case Ghedini@, La Birra, Borgo Panigale-Reno, Lippo, Bologna, Emilia-Romagna, 40012, Italia",man_made,monitoring_station,0.21100000000000002,"Nel 2000 è stata ""capitale europea della cultura"", nel 2021 i suoi portici sono stati riconosciuti patrimonio dell'umanità dall'UNESCO.  Geografia fisica Territorio Bologna è situata nelle propaggini meridionali della pianura Padana, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, fra lo sbocco delle valli del fiume Reno e del torrente Savena, che la bagnano longitudinalmente, rispettivamente a ovest e a est. L'altimetria del territorio comunale spazia dai 29 m s.l.m."
Reno,"Bologna, Case Ghedini@, La Birra, Borgo Panigale-Reno, Lippo, Bologna, Emilia-Romagna, 40012, Italia",man_made,monitoring_station,0.21100000000000002," Infrastrutture e trasporti La città e la sua area metropolitana sono poste al centro dei traffici dell'Italia produttiva. In linea generale si può affermare che questa funzione di crocevia è resa possibile dalla particolare posizione geografica che, pur collocandola al margine meridionale della Pianura Padana, la pone, quasi come punto di passaggio obbligato, al centro delle vie di comunicazione che collegano il Nord dell'Italia col Mezzogiorno, sia attraverso la direttrice ""adriatica"" da Torino, Milano, il Veneto fino alla Puglia, assai più rilevante per traffico di quella ""tirrenica"" da Genova a Roma, sia attraverso la cosiddetta ""dorsale appenninica"" per Firenze e Roma (che sfrutta, almeno nel primo tratto, la storica ed importante via di penetrazione appenninica rappresentata dalla valle del fiume Reno): infatti proprio queste due direttrici s'incontrano a Bologna."
Savena,"Savena, Bologna, Emilia-Romagna, Italia",boundary,administrative,0.4425495348933462,"Nel 2000 è stata ""capitale europea della cultura"", nel 2021 i suoi portici sono stati riconosciuti patrimonio dell'umanità dall'UNESCO.  Geografia fisica Territorio Bologna è situata nelle propaggini meridionali della pianura Padana, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, fra lo sbocco delle valli del fiume Reno e del torrente Savena, che la bagnano longitudinalmente, rispettivamente a ovest e a est. L'altimetria del territorio comunale spazia dai 29 m s.l.m."
Savena,"Savena, Bologna, Emilia-Romagna, Italia",boundary,administrative,0.4425495348933462,"Orto botanico È il giardino botanico dell'Università di Bologna, fondato nel 1568 da Ulisse Aldrovandi e considerato uno dei più antichi d'Europa. Parco Carlo Urbani Il parco fluviale del Savena che si trova fra Bologna e San Lazzaro di Savena, ospita numerose specie animali e una ricca varietà di flora. Parco regionale dei Gessi Bolognesi e Calanchi dell'Abbadessa Ha una superficie di 3 123 ettari e si sviluppa sulle prime pendici della collina bolognese e comprende territori dei comuni di Bologna, San Lazzaro di Savena, Ozzano dell'Emilia e Pianoro, ad altitudini comprese fra 70 e 400 m s.l.m."
Savena,"Savena, Bologna, Emilia-Romagna, Italia",boundary,administrative,0.4425495348933462," Suddivisioni amministrative Il comune è suddiviso amministrativamente in sei circoscrizioni di decentramento, a cui lo statuto attribuisce il nome di ""quartieri"": Borgo Panigale-Reno, San Donato-San Vitale, Savena, Navile, Porto-Saragozza, Santo Stefano.  Urbanistica Il centro storico di Bologna è uno dei più antichi e vasti d'Europa."
