,entity,to_search,snippet,address,coordinates,name_location,class,type
7,Caribbean,Caribbean,"['*...Ships sailed from Amsterdam to the Baltic Sea, the Caribbean, North America, and Africa, as well as present-day Indonesia, India, Sri Lanka, and Brazil, forming the basis of a worldwide trading network....']","Asian-caribbean Market, 40, Ten Katestraat, Kinkerbuurt, Oud-West, West, Amsterdam, North Holland, Netherlands, 1053 CG, Netherlands","{""coordinates"": [4.867271, 52.366129], ""type"": ""Point""}","Asian-caribbean Market, 40, Ten Katestraat, Kinkerbuurt, Oud-West, West, Amsterdam, North Holland, Netherlands, 1053 CG, Netherlands",shop,convenience
9,Africa,Africa,"['*...Ships sailed from Amsterdam to the Baltic Sea, the Caribbean, North America, and Africa, as well as present-day Indonesia, India, Sri Lanka, and Brazil, forming the basis of a worldwide trading network....', '*...Other immigrants, including refugees asylum seekers and undocumented immigrants, came from Europe, the Americas, Asia and Africa....']","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 AT, Netherlands","{""coordinates"": [4.862822, 52.354403], ""type"": ""Point""}","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 AT, Netherlands",tourism,artwork
25,Asia,Asia,"['*...Other immigrants, including refugees asylum seekers and undocumented immigrants, came from Europe, the Americas, Asia and Africa....']","Tasty Asia, Wagenstraat, Grachtengordel, Centrum, Amsterdam, North Holland, Netherlands, 1017 CZ, Netherlands","{""coordinates"": [4.899081, 52.366263], ""type"": ""Point""}","Tasty Asia, Wagenstraat, Grachtengordel, Centrum, Amsterdam, North Holland, Netherlands, 1017 CZ, Netherlands",amenity,restaurant
29,Plantage,Plantage,"[""*...The Museumplein with the city's major museums, the Vondelpark, a 19th-century park named after the Dutch writer Joost van den Vondel, as well as the Plantage neighbourhood, with the zoo, are also located outside the Grachtengordel....""]","Plantage Parklaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 ST, Netherlands","{""coordinates"": [4.909461, 52.367428], ""type"": ""Point""}","Plantage Parklaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 ST, Netherlands",highway,tertiary
30,Grachtengordel,Grachtengordel,"['*...Many of its buildings have become monuments, and in July 2010 the Grachtengordel (the three concentric canals: Herengracht, Keizersgracht, and Prinsengracht) was added to the UNESCO World Heritage List....', '*...Beyond the Grachtengordel are the former working-class areas of Jordaan and de Pijp....', ""*...The Museumplein with the city's major museums, the Vondelpark, a 19th-century park named after the Dutch writer Joost van den Vondel, as well as the Plantage neighbourhood, with the zoo, are also located outside the Grachtengordel...."", '*...Known as the Grachtengordel, three of the canals were mostly for residential development: the Herengracht (where ""Heren"" refers to Heren Regeerders van de stad Amsterdam, ruling lords of Amsterdam, whilst gracht means canal, so that the name can be roughly translated as ""Canal of the Lords""), Keizersgracht (Emperor\'s Canal) and Prinsengracht (Prince\'s Canal)....', '*...The plan envisaged the construction of new houses, public buildings and streets just outside the Grachtengordel....', '*...Negen Straatjes are nine narrow streets within the Grachtengordel, the concentric canal system of Amsterdam....']","Canal Ring Area of Amsterdam, Weesperstraat, Weesperbuurt, Centrum, Amsterdam, North Holland, Netherlands, 1018 VA, Netherlands","{""coordinates"": [4.884727, 52.371979], ""type"": ""Point""}","Canal Ring Area of Amsterdam, Weesperstraat, Weesperbuurt, Centrum, Amsterdam, North Holland, Netherlands, 1018 VA, Netherlands",historic,heritage
33,Oude Kerk,Oude Kerk,"['...The oldest building in Amsterdam is the Oude Kerk (English: Old Church), at the heart of the Wallen, consecrated in 1306....']","Old Church, 23, Oudekerksplein, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 GX, Netherlands","{""coordinates"": [4.898073, 52.374362], ""type"": ""Point""}","Old Church, 23, Oudekerksplein, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 GX, Netherlands",tourism,museum
35,Museum Square,Museum Square,"['...The houses in the vicinity of the Museum Square in Amsterdam Oud-Zuid are an example of Jugendstil....', '...The most important museums of Amsterdam are located on the Museumplein (Museum Square), located at the southwestern side of the Rijksmuseum....', '...The southwestern border of the Museum Square is the Van Baerlestraat, which is a major thoroughfare in this part of Amsterdam....', '...Their home is the Concertgebouw, which is across the Van Baerlestraat from the Museum Square....']","Museum Square, Zuid, Amsterdam, North Holland, Netherlands, 1071 DC, Netherlands","{""coordinates"": [4.882823, 52.358673], ""type"": ""Point""}","Museum Square, Zuid, Amsterdam, North Holland, Netherlands, 1071 DC, Netherlands",highway,pedestrian
36,Central Park,Central Park,"['*...Annually, almost 4.5\xa0million people visit the park, which has a size of 1.000 hectares and is approximately three times the size of Central Park....']","Hotel Central Park, 9, Waldeck Pyrmontlaan, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 BT, Netherlands","{""coordinates"": [4.857526, 52.353887], ""type"": ""Point""}","Hotel Central Park, 9, Waldeck Pyrmontlaan, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 BT, Netherlands",tourism,hotel
37,Oosterpark,Oosterpark,"['*...Other parks include the Sarphatipark in the De Pijp neighbourhood, the Oosterpark in the Oost borough and the Westerpark in the Westerpark neighbourhood....', ""...Around the Amstel railway station in the Amsterdam-Oost district to the east of the historical city. Amsterdam's tallest building, the Rembrandt Tower, is located here. As are the headquarters of Philips, the Dutch multinational conglomerate. Amsterdam has been a leading city to reduce the use of raw materials and has created a plan to become a circular city by 2050...."", '...In May 2010, under a major reform, the number of Amsterdam boroughs was reduced to eight: Amsterdam-Centrum covering the city centre including the canal belt, Amsterdam-Noord consisting of the neighbourhoods north of the IJ lake, Amsterdam-Oost in the east, Amsterdam-Zuid in the south, Amsterdam-West in the west, Amsterdam Nieuw-West in the far west, Amsterdam Zuidoost in the southeast, and Westpoort covering the Port of Amsterdam area....']","Oosterpark, Oosterparkbuurt, Oost, Amsterdam, North Holland, Netherlands, 1091 AC, Netherlands","{""coordinates"": [4.916429, 52.359497], ""type"": ""Point""}","Oosterpark, Oosterparkbuurt, Oost, Amsterdam, North Holland, Netherlands, 1091 AC, Netherlands",highway,tertiary
38,Centrum,Centrum,"['*...The city has three beaches: Nemo Beach, Citybeach ""Het stenen hoofd"" (Silodam) and Blijburg, all located in the Centrum borough....', '...There is one rugby club in Amsterdam, which also hosts sports training classes such as RTC (Rugby Talenten Centrum or Rugby Talent Centre) and the National Rugby stadium....', '...In May 2010, under a major reform, the number of Amsterdam boroughs was reduced to eight: Amsterdam-Centrum covering the city centre including the canal belt, Amsterdam-Noord consisting of the neighbourhoods north of the IJ lake, Amsterdam-Oost in the east, Amsterdam-Zuid in the south, Amsterdam-West in the west, Amsterdam Nieuw-West in the far west, Amsterdam Zuidoost in the southeast, and Westpoort covering the Port of Amsterdam area....']","Prostitution Information Centre, 3, Enge Kerksteeg, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 GV, Netherlands","{""coordinates"": [4.897824, 52.374731], ""type"": ""Point""}","Prostitution Information Centre, 3, Enge Kerksteeg, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 GV, Netherlands",tourism,information
40,Rembrandt Tower,Rembrandt Tower,"[""...Around the Amstel railway station in the Amsterdam-Oost district to the east of the historical city. Amsterdam's tallest building, the Rembrandt Tower, is located here. As are the headquarters of Philips, the Dutch multinational conglomerate. Amsterdam has been a leading city to reduce the use of raw materials and has created a plan to become a circular city by 2050....""]","Rembrandt Tower, Amstelhoek, De Omval, Oost, Amsterdam, North Holland, Netherlands, 1096 HA, Netherlands","{""coordinates"": [4.917058, 52.345125], ""type"": ""Point""}","Rembrandt Tower, Amstelhoek, De Omval, Oost, Amsterdam, North Holland, Netherlands, 1096 HA, Netherlands",building,office
44,Van Baerlestraat,Van Baerlestraat,"['...The southwestern border of the Museum Square is the Van Baerlestraat, which is a major thoroughfare in this part of Amsterdam....', '...Their home is the Concertgebouw, which is across the Van Baerlestraat from the Museum Square....']","Van Baerlestraat, Zuid, Amsterdam, North Holland, Netherlands, 1071 AL, Netherlands","{""coordinates"": [4.877143, 52.36023], ""type"": ""Point""}","Van Baerlestraat, Zuid, Amsterdam, North Holland, Netherlands, 1071 AL, Netherlands",highway,tertiary
49,Central Station,Central Station,"[""...Muziekgebouw aan 't IJ is a concert hall, which is located in the IJ near the central station...."", '...Bimhuis located near the Central Station, with its rich programming hosting the best in the field is considered one of the best jazz clubs in the world....']","Central Station, Michiel de Ruijtertunnel, Centrum, Amsterdam, North Holland, Netherlands, 1011 AB, Netherlands","{""coordinates"": [4.900322, 52.378334], ""type"": ""Point""}","Central Station, Michiel de Ruijtertunnel, Centrum, Amsterdam, North Holland, Netherlands, 1011 AB, Netherlands",historic,railway_station
