,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Serra de Collserola,Serra de Collserola,"['...It is one of the largest metropolises on the Mediterranean Sea, located on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range....']","Parc de Collserola, Sant Cugat del Vallès, Vallès Occidental, Barcelona, Catalonia, 08196, Spain","{""coordinates"": [2.116408, 41.434798], ""type"": ""Point""}","Parc de Collserola, Sant Cugat del Vallès, Vallès Occidental, Barcelona, Catalonia, 08196, Spain",leisure,nature_reserve
4,Europe,Europe,"['*...Barcelona is a major cultural, economic, and financial centre in southwestern Europe, as well as the main biotech hub in Spain....', ""*...Barcelona is a transport hub, with the Port of Barcelona being one of Europe's principal seaports and busiest European passenger port, an international airport, Barcelona–El Prat Airport, which handles over 50 million passengers per year, an extensive motorway network, and a high-speed rail line with a link to France and the rest of Europe...."", '*...The Bank of Barcelona or Taula de canvi, often viewed as the oldest public bank in Europe, was established by the city magistrates in 1401....', '*...Barcelona is one of the most densely populated cities in Europe....', '*...The most important region of origin of migrants is Europe, with many coming from Italy (26,676) or France (13,506)....', '*...The Barcelona metropolitan area comprises over 66% of the people of Catalonia, one of the richer regions in Europe and the fourth richest region per capita in Spain, with a GDP per capita amounting to €28,400 (16% more than the EU average)....', ""*...Furthermore, Barcelona was Europe's fourth best business city and fastest improving European city, with growth improved by 17% per year as of 2009[update]...."", '*...It also has several congress halls, notably Fira de Barcelona – the second largest trade fair and exhibition centre in Europe, that host a quickly growing number of national and international events each year (at present above 50)....', '*...Barcelona was the 20th-most-visited city in the world by international visitors and the fifth most visited city in Europe after London, Paris, Istanbul and Rome, with 5.5\xa0million international visitors in 2011....', ""*...Barcelona's oldest and main online newspaper VilaWeb is also the oldest one in Europe (with Catalan and English editions)...."", ""*...Barcelona has three UEFA elite stadiums: FC Barcelona's Camp Nou, the largest stadium in Europe with a capacity of 99,354; the publicly owned Estadi Olímpic Lluís Companys, with a capacity of 55,926; used for the 1992 Olympics; and Estadi Cornellà-El Prat, with a capacity of 40,500...."", ""*...It is Europe's ninth largest container port, with a trade volume of 1.72\xa0million TEU's in 2013...."", ""*...The Port Vell area also houses the Maremagnum (a commercial mall), a multiplex Cinema, the IMAX Port Vell and one of Europe's largest aquariums – Aquarium Barcelona, containing 8,000 fish and 11 sharks contained in 22 basins filled with 4 million litres of sea water...."", '*...Catalan modernista architecture (related to the movement known as Art Nouveau in the rest of Europe) developed between 1885 and 1950 and left an important legacy in Barcelona....', ""*...PortAventura World, one of the largest resort in Europe, with 5,837,509 visitors per year, is located one hour's drive from Barcelona....""]","Ducasse Industrial Europe, 200, 4º 1ª, Carrer de Balmes, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.15262, 41.397252], ""type"": ""Point""}","Ducasse Industrial Europe, 200, 4º 1ª, Carrer de Balmes, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",office,company
6,El Prat Airport,El Prat Airport,"[""*...Barcelona is a transport hub, with the Port of Barcelona being one of Europe's principal seaports and busiest European passenger port, an international airport, Barcelona–El Prat Airport, which handles over 50 million passengers per year, an extensive motorway network, and a high-speed rail line with a link to France and the rest of Europe...."", ""*...Another common abbreviation is 'BCN', which is also the IATA airport code of the Barcelona-El Prat Airport...."", '*...Barcelona is served by Barcelona-El Prat Airport, about 17\xa0km (11\xa0mi) south-west of the centre of Barcelona....']","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain","{""coordinates"": [2.079047, 41.296944], ""type"": ""Point""}","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain",aeroway,aerodrome
7,Ciudad Condal,Ciudad Condal,"['*...The city is referred to as the Ciutat Comtal in Catalan and Ciudad Condal in Spanish (i.e., ""Comital City"" or ""City of Counts""), owing to its past as the seat of the Count of Barcelona....']","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcelona, Barcelonès, Barcelona, Catalonia, 08007, Spain","{""coordinates"": [2.16689, 41.3888], ""type"": ""Point""}","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcelona, Barcelonès, Barcelona, Catalonia, 08007, Spain",amenity,restaurant
12,Hispania,Hispania,"['*...The city was conquered by the Visigoths in the early 5th century, becoming for a few years the capital of all Hispania....']","Hispania Tours, 8, Carrer de Joan Miró, la Vila Olímpica del Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.19642, 41.389472], ""type"": ""Point""}","Hispania Tours, 8, Carrer de Joan Miró, la Vila Olímpica del Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",amenity,motorcycle_rental
13,Taula de,Taula de,"['*...The Bank of Barcelona or Taula de canvi, often viewed as the oldest public bank in Europe, was established by the city magistrates in 1401....']","Taula de Salut Mental Garraf (CSM), 23, Carrer de Sant Josep, Nucli Antic, Sínia Soler, Vilanova i la Geltrú, Garraf, Barcelona, Catalonia, 08800, Spain","{""coordinates"": [1.722676, 41.228784], ""type"": ""Point""}","Taula de Salut Mental Garraf (CSM), 23, Carrer de Sant Josep, Nucli Antic, Sínia Soler, Vilanova i la Geltrú, Garraf, Barcelona, Catalonia, 08800, Spain",amenity,clinic
14,Americas,Americas,['*...Madrid became the centre of political power whilst the colonisation of the Americas reduced the financial importance (at least in relative terms) of Mediterranean trade....'],"Las Americas, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.145854, 41.395889], ""type"": ""Point""}","Las Americas, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",amenity,parking
15,Montjuïc,Montjuïc,"['*...Archeological evidence in the form of coins from the 3rd Century BC have been found on the hills at the foot of Montjuïc with the name Bárkeno written in an ancient script in the Iberian language....', '*...In the 18th century, a fortress was built at Montjuïc that overlooked the harbour....', '*...The escarpment of Montjuïc (173 metres or 568 feet), situated to the southeast, overlooks the harbour and is topped by Montjuïc Castle, a fortress built in the 17–18th centuries to control the city as a replacement for the Ciutadella....', ""*...Today, the fortress is a museum and Montjuïc is home to several sporting and cultural venues, as well as Barcelona's biggest park and gardens...."", ""*...Half of the municipality or 50.2\xa0km2, all of it located on the municipal edge is made up of the ten least densely populated neighbourhoods containing less than 10% of the city's population, the uninhabited Zona Franca industrial area and Montjuïc forest park...."", '...Sants-Montjuïc ;...', '*...FGC operates the Funicular de Tibidabo up the hill of Tibidabo and the Funicular de Vallvidrera (FGC), while TMB runs the Funicular de Montjuïc up Montjuïc....', '*...The city has two aerial cable cars: the Montjuïc Cable Car, which serves Montjuïc castle, and the Port Vell Aerial Tramway that runs via Torre Jaume I and Torre Sant Sebastià over the port....', ""*...Of Barcelona's parks, Montjuïc is the largest, with 203\xa0ha located on the mountain of the same name....""]","Montjuïc, Pont de Sant Joan, Borredà, Berguedà, Barcelona, Catalonia, 08619, Spain","{""coordinates"": [2.004936, 42.126907], ""type"": ""Point""}","Montjuïc, Pont de Sant Joan, Borredà, Berguedà, Barcelona, Catalonia, 08619, Spain",building,yes
17,La Rambla,La Rambla,"['*...On 17 August 2017, a van was driven into pedestrians on La Rambla, killing 14 and injuring at least 100, one of whom later died....', '*...The major thoroughfare of La Rambla is home to mime artists and street performers....', '*...The famous boulevard of La Rambla, whilst no longer an important vehicular route, remains an important pedestrian route....']","La Rambla, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.173132, 41.38133], ""type"": ""Point""}","La Rambla, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",tourism,attraction
19,Santa Coloma de Gramenet,Santa Coloma de Gramenet,"[""*...The city borders on the municipalities of Santa Coloma de Gramenet and Sant Adrià de Besòs to the north; the Mediterranean Sea to the east; El Prat de Llobregat and L'Hospitalet de Llobregat to the south; and Sant Feliu de Llobregat, Sant Just Desvern, Esplugues de Llobregat, Sant Cugat del Vallès, and Montcada...""]","Comunidad Islámica de Santa Coloma de Gramenet Tajdid (La Renovación), Carrer de Sant Francesc, Santa Coloma de Gramenet, Barcelonès, Barcelona, Catalonia, 08923, Spain","{""coordinates"": [2.212602, 41.444774], ""type"": ""Point""}","Comunidad Islámica de Santa Coloma de Gramenet Tajdid (La Renovación), Carrer de Sant Francesc, Santa Coloma de Gramenet, Barcelonès, Barcelona, Catalonia, 08923, Spain",amenity,place_of_worship
