,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Brussels-Capital Region,Brussels-Capital Region,"['...Brussels (French: Bruxelles   or  ; Dutch: Brussel  ), officially the Brussels-Capital Region (French: Région de Bruxelles-Capitale; Dutch: Brussels Hoofdstedelijk Gewest), is a region of Belgium comprising 19 municipalities, including the City of Brussels, which is the capital of Belgium....', '...The Brussels-Capital Region is located in the central portion of the country and is a part of both the French Community of Belgium and the Flemish Community, but is separate from the Flemish Region (within which it forms an enclave) and the Walloon Region....', '...Nowadays, the Brussels-Capital Region is officially bilingual in French and Dutch....', '...The names of all the municipalities in the Brussels-Capital Region are also of Dutch origin, except for Evere, which is Celtic....', ""*...The French rule ended in 1815, with the defeat of Napoleon on the battlefield of Waterloo, located south of today's Brussels-Capital Region...."", '...The Brussels-Capital Region was formed on 18 June 1989, after a constitutional reform in 1988....', '...Its average elevation is 57\xa0m (187\xa0ft) above sea level, varying from a low point in the valley of the almost completely covered Senne, which cuts the Brussels-Capital Region from east to west, up to high points in the Sonian Forest, on its southeastern side....', '...On average (based on measurements in the period 1981–2010), there are approximately 135 days of rain per year in the Brussels-Capital Region....', '...Despite its name, the Brussels-Capital Region is not the capital of Belgium....', '...The 19 municipalities (French: communes, Dutch: gemeenten) of the Brussels-Capital Region are political subdivisions with individual responsibilities for the handling of local level duties, such as law enforcement and the upkeep of schools and roads within its borders....', '...In 1831, Belgium was divided into 2,739 municipalities, including the 19 in the Brussels-Capital Region....', '...Unlike most of the municipalities in Belgium, the ones located in the Brussels-Capital Region were not merged with others during mergers occurring in 1964, 1970, and 1975....', '...However, several municipalities outside the Brussels-Capital Region have been merged with the City of Brussels throughout its history, including Laeken, Haren and Neder-Over-Heembeek in 1921....', '...The Brussels-Capital Region is one of the three federated regions of Belgium, alongside the Walloon Region and the Flemish Region....', '...The Brussels-Capital Region is governed by a parliament of 89 members (72 French-speaking, 17 Dutch-speaking—parties are organised on a linguistic basis) and an eight-member regional cabinet consisting of a minister-president, four ministers and three state secretaries....', '...Before the creation of the Brussels-Capital Region, regional competences in the 19 municipalities were performed by the Brussels Agglomeration....', '...After the creation of the Brussels-Capital Region, the Brussels Agglomeration was never formally abolished, although it no longer has a purpose....', '...These two bodies each have an assembly composed of the members of each linguistic group of the Parliament of the Brussels-Capital Region....', '...They also have a board composed of the ministers and secretaries of state of each linguistic group in the Government of the Brussels-Capital Region....', '...In another capacity, it can also enact ordinances, which have equal status as a national legislative act, in the field of the welfare powers of the communities: in the Brussels-Capital Region, both the French Community and the Flemish Community can exercise powers in the field of welfare, but only in regard to institutions that are unilingual (for example, a private French-speaking retirement home or the Dutch-speaking hospital of the Vrije Universiteit Brussel)....', '...The Brussels-Capital Region has a population of around 1.2\xa0million and has witnessed, in recent years, a remarkable increase in its population....', '...At the last Belgian census in 1991, 63.7% of inhabitants in Brussels-Capital Region answered that they were Belgian citizens, born as such in Belgium, indicating that more than a third of residents had not been born in the country....', '...According to Statbel (the Belgian Statistical Office), in 2020, taking into account the nationality of birth of the parents, 74.3% of the population of the Brussels-Capital Region was of foreign origin and 41.8% was of non-European origin (including 28.7% of African origin)....', '...Today, the Brussels-Capital Region is legally bilingual, with both French and Dutch having official status, as is the administration of the 19 municipalities....', '...The Brussels Museums Council is an independent body for all the museums in the Brussels-Capital Region, covering around 100 federal, private, municipal, and community museums....', '...The Iris Festival is the official festival of the Brussels-Capital Region and is held annually in spring....', ""...The Administration de l'Éducation Physique et du Sport (ADEPS) is responsible for recognising the various French-speaking sports federations and also runs three sports centres in the Brussels-Capital Region...."", '...The Brussels-Capital Region is home to several national science and technology institutes including the National Fund for Scientific Research (NFSR), the Institute for the Encouragement of Scientific Research and Innovation of Brussels (ISRIB), the Royal Academies for Science and the Arts of Belgium (RASAB) and the Belgian Academy Council of Applied Sciences (BACAS)....', '...Due to its bilingual nature, hospitals in the Brussels-Capital Region can be either monolingual French, monolingual Dutch, or bilingual, depending on their nature....', '...The Brussels-Capital Region is surrounded by the Flemish and Walloon regions, which means that the airports, as well as many roads serving Brussels (most notably the Brussels Ring) are located in the other two Belgian regions....', '...The Brussels-Capital Region is served by two airports which are located outside of the administrative territory of the region....', '...The Brussels-Capital Region has three main train stations: Brussels-South, Brussels-Central and Brussels-North, which are also the busiest of the country....', '...It covers the 19 municipalities of the Brussels-Capital Region and some surface routes extend to the near suburbs in the other two regions, linking with the De Lijn network in Flanders and the TEC network in Wallonia....', '...The 19 municipalities of the Brussels-Capital Region are divided into six police zones, all bilingual (French and Dutch):...', '*...It has 9 fire stations, spread over the entire Brussels-Capital Region, and employs about 1,000 professional firefighters....', '...However, all hospital emergency services in the Capital Region (whether part of a public or private hospital) are required to be bilingual, since patients transported by emergency ambulance cannot choose the hospital they will be brought to....']","Parliament of the Brussels-Capital Region, 69, Rue du Lombard - Lombardstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.35141, 50.844583], ""type"": ""Point""}","Parliament of the Brussels-Capital Region, 69, Rue du Lombard - Lombardstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",office,government
4,Grand-Place/Grote Markt,Grand-Place/Grote Markt,"['*...Principal attractions include its historic Grand-Place/Grote Markt (main square), Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History....', '...Traces of human settlement go back to the Stone Age, with vestiges and place-names related to the civilisation of megaliths, dolmens and standing stones (Plattesteen near the Grand-Place/Grote Markt and Tomberg in Woluwe-Saint-Lambert, for example)....', '...The Grand-Place was destroyed, along with 4,000 buildings—a third of all the buildings in the city....', ""...It was estimated that, in 2005, people of Muslim background living in the Brussels Region numbered 256,220 and accounted for 25.5% of the city's population, a much higher concentration than those of the other regions of Belgium.[better\xa0source\xa0needed]\nThe architecture in Brussels is diverse, and spans from the clashing combination of Gothic, Baroque, and Louis XIV styles on the Grand-Place to the postmodern buildings of the EU institutions...."", '...The Grand-Place is the main attraction in the city centre and has been a UNESCO World Heritage Site since 1998....', '...The Ommegang, a folkloric costumed procession, commemorating the Joyous Entry of Emperor Charles V and his son Philip II in the city in 1549, takes place every year in July. The colourful parade includes floats, traditional processional giants, such as Saint Michael and Saint Gudula, and scores of folkloric groups, either on foot or on horseback, dressed in medieval garb. The parade ends in a pageant on the Grand-Place. Since 2019, it is recognised as a Masterpiece of the Oral and Intangible Heritage of Humanity by UNESCO....', ""...Another good introduction to the Brusseleir local dialect and way of life can be obtained at the Royal Theatre Toone, a folkloric theatre of marionettes, located a stone's throw away from the Grand-Place...."", '...Other biennial events are the Zinneke Parade, a colourful, multicultural parade through the city, which has been held since 2000 in May, as well as the popular Flower Carpet at the Grand-Place in August....', '...The ancient pattern of streets, radiating from the Grand-Place, in large part remains, but has been overlaid by boulevards built over the river Senne, over the city walls and over the railway connection between the North and South Stations....']","Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.352418, 50.846811], ""type"": ""Point""}","Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",amenity,marketplace
12,Metro,Metro,"['...The Brussels Metro is the only rapid transit system in Belgium....', '*...The construction of the North–South connection, linking the main railway stations in the city, was completed in 1952, while the first premetro (underground tram) service was launched in 1969, and the first Metro line was opened in 1976....', '...On 22 March 2016, three coordinated nail bombings were detonated by ISIL in Brussels—two at Brussels Airport in Zaventem and one at Maalbeek/Maelbeek metro station—resulting in 32 victims and three suicide bombers killed, and 330 people were injured....', '*...Also, the interiors of some Metro stations are designed by artists....', '...Public transportation includes Brussels buses, trams, and metro (all three operated by the Brussels Intercommunal Transport Company (STIB/MIVB)), as well as a set of railway lines (operated by Infrabel) and railway stations served by public trains (operated by the National Railway Company of Belgium (NMBS/SNCB))....', '...The Brussels Metro dates back to 1976, but underground lines known as the premetro have been serviced by tramways since 1968....', '...The network consists of four conventional metro lines and three premetro lines....', '...The metro-grade lines are M1, M2, M5, and M6, with some shared sections, covering a total of 40\xa0km (25\xa0mi)....', '*...As of 2017[update], the Metro network within the region has a total of 69 metro and premetro stations....', '*...The Metro is an important means of transport, connecting with six railway stations of the National Railway Company of Belgium (NMBS/SNCB), and many tram and bus stops operated by STIB/MIVB, and with Flemish De Lijn and Walloon TEC bus stops....', '...As of 2017[update], the Brussels tram system consists of 17 tram lines (three of which – lines T3, T4 and T7 – qualify as premetro lines that partly travel over underground sections that were intended to be eventually converted into metro lines)....', '...The hourly travel fare includes all means of transport (metro, tram and bus) operated by STIB/MIVB....', '*...The Metro line 2 runs under much of these....', '...Some premetro stations (see Brussels Metro) were built on that route....']","Metro Express, 10, Boulevard Adolphe Max - Adolphe Maxlaan, Quartier Marais-Jacqmain - Wijk Marais-Jacqmain, Pentagon, Brussels, Brussels-Capital, 1212, Belgium","{""coordinates"": [4.353767, 50.8523], ""type"": ""Point""}","Metro Express, 10, Boulevard Adolphe Max - Adolphe Maxlaan, Quartier Marais-Jacqmain - Wijk Marais-Jacqmain, Pentagon, Brussels, Brussels-Capital, 1212, Belgium",shop,newsagent
14,Place de l'Altitude Cent,Place de l'Altitude Cent,"[""...Contrary to popular belief, the highest point (at 127.5\xa0m (418\xa0ft)) is not near the Place de l'Altitude Cent/Hoogte Honderdplein in Forest, but at the Drève des Deux Montages/Tweebergendreef in the Sonian Forest....""]","Place de l'Altitude Cent - Hoogte Honderdplein, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussels-Capital, 1190, Belgium","{""coordinates"": [4.336109, 50.816537], ""type"": ""Point""}","Place de l'Altitude Cent - Hoogte Honderdplein, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussels-Capital, 1190, Belgium",highway,tertiary
16,rue de la Loi,rue de la Loi,"['*...The office of the Prime Minister of Belgium, colloquially called Law Street 16 (French: 16, rue de la Loi, Dutch: Wetstraat 16), is located adjacent to this building....']","Rue de la Loi - Wetstraat, Royal Quarter, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.364388, 50.846446], ""type"": ""Point""}","Rue de la Loi - Wetstraat, Royal Quarter, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",highway,secondary
18,Europa,Europa,"['*...The current major buildings are the Berlaymont building of the commission, symbolic of the quarter as a whole, the Europa building of the Council and the Espace Léopold of the Parliament....', '*...Art Deco structures in Brussels include the Résidence Palace (1927) (now part of the Europa building), the Centre for Fine Arts (1928), the Villa Empain (1934), the Town Hall of Forest (1938), and the Flagey Building (formerly known as the Maison de la Radio) on the Place Eugène Flagey/Eugène Flageyplein (1938) in Ixelles....']","Europa Building, 155, Rue de la Loi - Wetstraat, European Quarter, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.380655, 50.842539], ""type"": ""Point""}","Europa Building, 155, Rue de la Loi - Wetstraat, European Quarter, Brussels, Brussels-Capital, 1000, Belgium",office,government
21,Boulevard Léopold III,Boulevard Léopold III,"[""...The organisation's political and administrative headquarters are located on the Boulevard Léopold III/Leopold III-laan in Haren, on the north-eastern perimeter of the City of Brussels....""]","Boulevard Léopold III - Leopold III-laan, Meiser, Cité Chomé - Tuinwijk Chomé, Schaerbeek - Schaarbeek, Brussels-Capital, 1030, Belgium","{""coordinates"": [4.39729, 50.857931], ""type"": ""Point""}","Boulevard Léopold III - Leopold III-laan, Meiser, Cité Chomé - Tuinwijk Chomé, Schaerbeek - Schaarbeek, Brussels-Capital, 1030, Belgium",highway,primary
23,National Basilica of the Sacred Heart,National Basilica of the Sacred Heart,"['...On the north-western side of the region, the National Basilica of the Sacred Heart is a Minor Basilica and parish church, as well as one of the largest churches by area in the world....', '...Completed only in 1969, and combining Art Deco with neo-Byzantine elements, the Basilica of the Sacred Heart in Koekelberg is one of the largest churches by area in the world, and its cupola provides a panoramic view of Brussels and its outskirts....']","National Basilica of the Sacred Heart, 1, Parvis de la Basilique - Basiliekvoorplein, Ganshoren, Brussels-Capital, 1083, Belgium","{""coordinates"": [4.316944, 50.867078], ""type"": ""Point""}","National Basilica of the Sacred Heart, 1, Parvis de la Basilique - Basiliekvoorplein, Ganshoren, Brussels-Capital, 1083, Belgium",amenity,place_of_worship
25,Parc du Cinquantenaire/Jubelpark,Parc du Cinquantenaire/Jubelpark,"['...The Great Mosque of Brussels, located in the Parc du Cinquantenaire/Jubelpark, is the oldest mosque in Brussels....', '...Located outside the historical centre, in a greener environment bordering the European Quarter, are the Parc du Cinquantenaire/Jubelpark with its memorial arcade and nearby museums, and in Laeken, the Royal Palace of Laeken and the Royal Domain with its large greenhouses, as well as the Museums of the Far East....']","Esplanade du Parc du Cinquantenaire - Esplanade van het Jubelpark, European Quarter, Brussels, Brussels-Capital, 1040, Belgium","{""coordinates"": [4.393975, 50.840249], ""type"": ""Point""}","Esplanade du Parc du Cinquantenaire - Esplanade van het Jubelpark, European Quarter, Brussels, Brussels-Capital, 1040, Belgium",highway,pedestrian
26,Halle Gate,Halle Gate,['...One of the only remains of the second walls is the Halle Gate....'],"Halle Gate, Avenue de la Porte de Hal - Hallepoortlaan, Saint-Gilles - Sint-Gillis, Brussels-Capital, 1060, Belgium","{""coordinates"": [4.343158, 50.83281], ""type"": ""Point""}","Halle Gate, Avenue de la Porte de Hal - Hallepoortlaan, Saint-Gilles - Sint-Gillis, Brussels-Capital, 1060, Belgium",tourism,information
28,Palace of Charles of Lorraine,Palace of Charles of Lorraine,"['...Examples include the Royal Palace, the Church of St. James on Coudenberg, the Palace of the Nation (Parliament building), the Academy Palace, the Palace of Charles of Lorraine, the Palace of the Count of Flanders and the Egmont Palace....']","Palace of Charles of Lorraine, Petite rue du Musée - Korte Museumstraat, Royal Quarter, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.356971, 50.842992], ""type"": ""Point""}","Palace of Charles of Lorraine, Petite rue du Musée - Korte Museumstraat, Royal Quarter, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",historic,castle
29,Egmont Palace,Egmont Palace,"['...Examples include the Royal Palace, the Church of St. James on Coudenberg, the Palace of the Nation (Parliament building), the Academy Palace, the Palace of Charles of Lorraine, the Palace of the Count of Flanders and the Egmont Palace....']","Egmont Palace, 8, Place du Petit Sablon - Kleine Zavel, Sablon - Zavel, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.356956, 50.838829], ""type"": ""Point""}","Egmont Palace, 8, Place du Petit Sablon - Kleine Zavel, Sablon - Zavel, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",tourism,attraction
31,Stoclet Palace,Stoclet Palace,"[""...Another example of Brussels' Art Nouveau is the Stoclet Palace (1911), by the Viennese architect Josef Hoffmann, designated a World Heritage Site by UNESCO in June 2009....""]","Stoclet Palace, Avenue de Tervueren - Tervurenlaan, Woluwe-Saint-Pierre Centre - Sint-Pieters-Woluwe Centrum, Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Brussels-Capital, 1150, Belgium","{""coordinates"": [4.41633, 50.835168], ""type"": ""Point""}","Stoclet Palace, Avenue de Tervueren - Tervurenlaan, Woluwe-Saint-Pierre Centre - Sint-Pieters-Woluwe Centrum, Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Brussels-Capital, 1150, Belgium",historic,castle
