,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Buda Castle,Buda Castle,"['...The central area of Budapest along the Danube River is classified as a UNESCO World Heritage Site and has several notable monuments of classical architecture, including the Hungarian Parliament and the Buda Castle....', ""...And the first king of Scythia was Magog, son of Japhet, and his people were called Magyars [Hungarians] after their King Magog, from whose royal line the most renowned and mighty King Attila descended, who, in the 451st year of Our Lord's birth, coming down from Scythia, entered Pannonia with a mighty force and, putting the Romans to flight, took the realm and made a royal residence for himself beside the Danube above the hot springs, and he ordered all the old buildings that he found there to be restored and he built them in a circular and very strong wall that in the Hungarian language is now called Budavár [Buda Castle] and by the Germans Etzelburg [Attila Castle]—\u2009Anonymus:..."", '...The new Communist government considered the buildings like the Buda Castle symbols of the former regime, and during the 1950s the palace was gutted and all the interiors were destroyed (also see Stalin era)....', '*...In 1987, Buda Castle and the banks of the Danube were included in the UNESCO list of World Heritage Sites....', '*...District I is a small area in central Buda, including the historic Buda Castle....', '...The President of Hungary resides at the Sándor Palace in the District I (Buda Castle District), while the office of the Hungarian Prime Minister is in the Carmelite Monastery in the Castle District....', ""*...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Buda Castle, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary","{""coordinates"": [19.039801, 47.495991], ""type"": ""Point""}","Buda Castle, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary",tourism,attraction
3,Pécs,Pécs,"['*...After the foundation of the first Hungarian university in Pécs in 1367 (University of Pécs), the second one was established in Óbuda in 1395 (University of Óbuda)....', '*...The LOW Festival is a multidisciplinary contemporary cultural festival held in Hungary in the cities Budapest and Pécs from February until March; the name of the festival alludes to the Low Countries, the region encompassing the Netherlands and Flanders....']","Pécs Budafok, M0, Dunatelep, Nagytétény, Budapest, 22nd district, Central Hungary, 1225, Hungary","{""coordinates"": [19.011945, 47.396083], ""type"": ""Point""}","Pécs Budafok, M0, Dunatelep, Nagytétény, Budapest, 22nd district, Central Hungary, 1225, Hungary",highway,motorway_junction
4,Chain Bridge,Chain Bridge,"['...In 1849 the Chain Bridge linking Buda with Pest was opened as the first permanent bridge across the Danube and in 1873 Buda and Pest were officially merged with the third part, Óbuda (Old Buda), thus creating the new metropolis of Budapest....', '...The stone lions that have decorated the Chain Bridge since 1852 survived the devastation of the war....', '...The most iconic and widely known Classicist-style attraction in Budapest is the Széchenyi Chain Bridge....', '...Another examples for Art Nouveau in Budapest is the Gresham Palace in front of the Chain Bridge, the Hotel Gellért, the Franz Liszt Academy of Music or Budapest Zoo and Botanical Garden....', '...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', '...Most remarkable for their beauty are the Margaret Bridge, the Chain Bridge and the Liberty Bridge....', ""...In the St. Stephen's Square is the St. Stephen's Basilica, the square is connected by a walking street, the Zrínyi Street, to the Széchenyi István Square at the foot of The Chain Bridge...."", ""...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Sofitel Budapest Chain Bridge, 2, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary","{""coordinates"": [19.048223, 47.498069], ""type"": ""Point""}","Sofitel Budapest Chain Bridge, 2, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary",building,construction
11,Memento Park,Memento Park,"['*...The monuments of the dictatorship were removed from public places, into Memento Park....', '...Here are the greatest examples among them: the Hungarian National Museum, the Hungarian National Gallery, the Museum of Fine Arts (where can see the pictures of Hungarian painters, like Victor Vasarely, Mihály Munkácsy and a great collection about Italian art, Dutch art, Spanish art and British art from before the 19th century and French art, British art, German art, Austrian art after the 19th century), the House of Terror, the Budapest Historical Museum, the Aquincum Museum, the Semmelweis Museum of Medical History, the Memento Park, Museum of Applied Arts and the contemporary arts exhibition Palace of Arts Budapest....']","Memento Park, Szabadkai utca, Erdődűlő, Budatétény, Budapest, 22nd district, Central Hungary, 1223, Hungary","{""coordinates"": [19.001446, 47.425951], ""type"": ""Point""}","Memento Park, Szabadkai utca, Erdődűlő, Budatétény, Budapest, 22nd district, Central Hungary, 1223, Hungary",highway,bus_stop
14,Margaret Island,Margaret Island,"['*...The Danube enters the city from the north; later it encircles two islands, Óbuda Island and Margaret Island....', '*...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', ""...The most notable and popular parks in Budapest are the City Park which was established in 1751 (302 acres) along with Andrássy Avenue, the Margaret Island in the Danube (238 acres or 96 hectares), the People's Park, the Római Part, and the Kopaszi Dam...."", '*...Margaret Island (Hungarian: Margit-sziget ) is a 2.5\xa0km (1.6\xa0mi) long island and 0.965 square kilometres (238 acres) in area. The island mostly consists of a park and is a popular recreational area for tourists and locals alike. The island lies between Margaret Bridge (south) and Árpád Bridge (north). Dance clubs, swimming pools, an aqua park, athletic and fitness centres, bicycle and running tracks can be found around the Island. During the day the island is occupied by people doing sports, or just resting. In the summer (generally on the weekends) mostly young people go to the island at night to party on its terraces, or to recreate with a bottle of alcohol on a bench or on the grass (this form of entertainment is sometimes referred to as bench-partying)....', '*...Two routes, marked D11 and D12, connect the two banks with Margaret Island and Óbuda Island, from Rómaifürdő (Buda side, north to Óbuda Island) or Árpád Bridge (Pest side) to Rákóczi Bridge, with a total of 18 stops, while route D2 circulates in the downtown....', ""*...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Margaret Island Water Tower, 23800/3, Zielinski Szilárd sétány, Margaret Island, Budapest, Central Hungary, 1007, Hungary","{""coordinates"": [19.050107, 47.530226], ""type"": ""Point""}","Margaret Island Water Tower, 23800/3, Zielinski Szilárd sétány, Margaret Island, Budapest, Central Hungary, 1007, Hungary",tourism,attraction
15,Budapest Danube,Budapest Danube,"['*...The third island Csepel Island is the largest of the Budapest Danube islands, however only its northernmost tip is within city limits....', '*...It is the ninth-largest city in the European Union by population within city limits and the second-largest city on the Danube river; the city has an estimated population of 1,752,286 over a land area of about 525 square kilometres (203 square miles)....', '...The central area of Budapest along the Danube River is classified as a UNESCO World Heritage Site and has several notable monuments of classical architecture, including the Hungarian Parliament and the Buda Castle....', '*...Attila went in the city of Sicambria in Pannonia, where he killed Buda, his brother, and he threw his corpse into the Danube....', ""...And the first king of Scythia was Magog, son of Japhet, and his people were called Magyars [Hungarians] after their King Magog, from whose royal line the most renowned and mighty King Attila descended, who, in the 451st year of Our Lord's birth, coming down from Scythia, entered Pannonia with a mighty force and, putting the Romans to flight, took the realm and made a royal residence for himself beside the Danube above the hot springs, and he ordered all the old buildings that he found there to be restored and he built them in a circular and very strong wall that in the Hungarian language is now called Budavár [Buda Castle] and by the Germans Etzelburg [Attila Castle]—\u2009Anonymus:..."", '*...In 1849 the Chain Bridge linking Buda with Pest was opened as the first permanent bridge across the Danube and in 1873 Buda and Pest were officially merged with the third part, Óbuda (Old Buda), thus creating the new metropolis of Budapest....', '*...In 1987, Buda Castle and the banks of the Danube were included in the UNESCO list of World Heritage Sites....', '*...The Danube enters the city from the north; later it encircles two islands, Óbuda Island and Margaret Island....', '*...The wide Danube was always fordable at this point because of a small number of islands in the middle of the river....', '...The lowest point is the line of the Danube which is 96 metres (315 feet) above sea level....', '*...The Danube was and is still an important water-way and this region in the centre of the Carpathian Basin lies at the cross-roads of trade routes....', ""...Budapest's two most beautiful Romantic architecture buildings are the Great Synagogue in Dohány Street and the Vigadó Concert Hall on the Danube Promenade, both designed by architect Frigyes Feszl (1821–1884)...."", '*...To reach District IV, one must cross the Danube to find it in Pest (the eastern side), also at north....', '*...District XXI is the extension of the above route over a branch of the Danube, the northern tip of a long island south from Budapest....', '...Budapest hosts the main and regional headquarters of many international organizations as well, including United Nations High Commissioner for Refugees, Food and Agriculture Organization of the United Nations, European Institute of Innovation and Technology, European Police Academy, International Centre for Democratic Transition, Institute of International Education, International Labour Organization, International Organization for Migration, International Red Cross, Regional Environmental Center for Central and Eastern Europe, Danube Commission and even others....', '...The Castle Hill, the River Danube embankments and the whole of Andrássy út have been officially recognized as UNESCO World Heritage Sites....', '*...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', ""...The most notable and popular parks in Budapest are the City Park which was established in 1751 (302 acres) along with Andrássy Avenue, the Margaret Island in the Danube (238 acres or 96 hectares), the People's Park, the Római Part, and the Kopaszi Dam...."", '*...A number of islands can be found on the Danube in Budapest:...', '...Csepel Island (Hungarian: Csepel-sziget ) is the largest island of the River Danube in Hungary. It is 48\xa0km (30\xa0mi) long; its width is 6 to 8\xa0km (4 to 5\xa0mi) and its area comprises 257\xa0km2 (99\xa0sq\xa0mi). However, only the northern tip of the island is inside the city limits....', '*...Molnár Island (Hungarian: Molnár-sziget) is an island in the channel of the Danube that separates Csepel Island from the east bank of the river....', '*...The Ínség Rock (Hungarian: Ínség-szikla) is a reef in the Danube close to the shore under the Gellért Hill....', '...One of the reasons the Romans first colonised the area immediately to the west of the River Danube and established their regional capital at Aquincum (now part of Óbuda, in northern Budapest) is so that they could use and enjoy the thermal springs....', '...The Rudas Baths are centrally placed – in the narrow strip of land between Gellért Hill and the River Danube – and also an outstanding example of architecture dating from the Turkish period....', '*...The Danube was and is still today an important water-way and this region in the centre of the Carpathian Basin lies at the cross-roads of trade routes....', '...The river Danube flows through Budapest on its way from (Germany) to the Black Sea....', '*...In the summer months, a scheduled hydrofoil service operates on the Danube connecting the city to Vienna....', '*...Budapesters regularly kayak, canoe, jet-ski and sail on the Danube, which has continuously become a major recreational site for the city....']","The Budapest bridges on the Danube, Salkaházi Sára rakpart, Belváros, 5th district, Budapest, 9th district, Central Hungary, 1056, Hungary","{""coordinates"": [19.056574, 47.486755], ""type"": ""Point""}","The Budapest bridges on the Danube, Salkaházi Sára rakpart, Belváros, 5th district, Budapest, 9th district, Central Hungary, 1056, Hungary",tourism,museum
20,Great Synagogue,Great Synagogue,"[""...Budapest's two most beautiful Romantic architecture buildings are the Great Synagogue in Dohány Street and the Vigadó Concert Hall on the Danube Promenade, both designed by architect Frigyes Feszl (1821–1884)....""]","Great Synagogue, 2, Dohány utca, Erzsébetváros, 7th district, Budapest, Central Hungary, 1074, Hungary","{""coordinates"": [19.060868, 47.496102], ""type"": ""Point""}","Great Synagogue, 2, Dohány utca, Erzsébetváros, 7th district, Budapest, Central Hungary, 1074, Hungary",amenity,place_of_worship
24,Gresham Palace,Gresham Palace,"['...Another examples for Art Nouveau in Budapest is the Gresham Palace in front of the Chain Bridge, the Hotel Gellért, the Franz Liszt Academy of Music or Budapest Zoo and Botanical Garden....', '...The Hungarian Academy of Sciences and the Gresham Palace and the Ministry of Interior are also located here....']","Gresham Palace, 5-6, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary","{""coordinates"": [19.047942, 47.499733], ""type"": ""Point""}","Gresham Palace, 5-6, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary",tourism,attraction
25,Botanical Garden,Botanical Garden,"['*...Another examples for Art Nouveau in Budapest is the Gresham Palace in front of the Chain Bridge, the Hotel Gellért, the Franz Liszt Academy of Music or Budapest Zoo and Botanical Garden....', ""*...Budapest has a complex park system, with various lands operated by the Budapest City Gardening Ltd.\nThe wealth of greenspace afforded by Budapest's parks is further augmented by a network of open spaces containing forest, streams, and lakes that are set aside as natural areas which lie not far from the inner city, including the Budapest Zoo and Botanical Garden (established in 1866) in the City Park....""]","Budapest Zoo & Botanical Garden, 6-16, Állatkerti körút, City Park, Budapest, 14th district, Central Hungary, 1146, Hungary","{""coordinates"": [19.076792, 47.518716], ""type"": ""Point""}","Budapest Zoo & Botanical Garden, 6-16, Állatkerti körút, City Park, Budapest, 14th district, Central Hungary, 1146, Hungary",tourism,zoo
26,Liberty Square,Liberty Square,"['*...Public spaces attract heavy investment by business and government also, so that the city has gained entirely new (or renovated and redesigned) squares, parks and monuments, for example the city central Kossuth Lajos square, Deák Ferenc square and Liberty Square....', ""...Budapest Stock Exchange, key institution of the publicly offered securities in Hungary and Central and Eastern Europe is situated in Budapest's CBD at Liberty Square...."", ""*...In Budapest there are many smaller and larger squares, the most significant of which are Heroes' Square, Kossuth Square, Liberty Square, St. Stephen's Square, Ferenc Deák Square, Vörösmarty Square, Erzsébet Square, St. George's Square and Széchenyi István Square...."", ""...The Liberty Square is located in the Belváros-Lipótváros District (Inner City District), as one of Budapest's most beautiful squares....""]","Liberty Square, Lipótváros, 5th district, Budapest, Central Hungary, 1054, Hungary","{""coordinates"": [19.052522, 47.503293], ""type"": ""Point""}","Liberty Square, Lipótváros, 5th district, Budapest, Central Hungary, 1054, Hungary",highway,residential
