,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Midwest,Midwest,"['*...With a population of 2,746,388 in the 2020 census, it is also the most populous city in the Midwest....', '*...Greyhound Lines provides inter-city bus service to and from the city, and Chicago is also the hub for the Midwest network of Megabus (North America)....']","Midwest, 1715, South Paulina Street, Lower West Side, Chicago, Cook County, Illinois, 60608, United States","{""coordinates"": [-87.668372, 41.858133], ""type"": ""Point""}","Midwest, 1715, South Paulina Street, Lower West Side, Chicago, Cook County, Illinois, 60608, United States",shop,convenience
1,Great Lakes,Great Lakes,"['...On the shore of Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed....', '...The canal allowed steamboats and sailing ships on the Great Lakes to connect to the Mississippi River....', '*...It is the principal city in the Chicago metropolitan area, situated in both the Midwestern United States and the Great Lakes region....', '*...The city rests on a continental divide at the site of the Chicago Portage, connecting the Mississippi River and the Great Lakes watersheds....', '*...Moreover, the construction of the Illinois and Michigan Canal, which helped move goods from the Great Lakes south on the Mississippi River, and of the railroads in the 19th century made the city a major transportation center in the United States....', '*...This dialect can also be found in other cities bordering the Great Lakes such as Cleveland, Milwaukee, Detroit, and Rochester, New York, and most prominently features a rearrangement of certain vowel sounds, such as the short \'a\' sound as in ""cat"", which can sound more like ""kyet"" to outsiders....']","Great Lakes, Robert McClory Bike Path, Great Lakes, North Chicago, Lake County, Illinois, 60088, United States","{""coordinates"": [-87.846611, 42.306281], ""type"": ""Point""}","Great Lakes, Robert McClory Bike Path, Great Lakes, North Chicago, Lake County, Illinois, 60088, United States",railway,stop
3,O'Hare International Airport,O'Hare International Airport,"[""*...O'Hare International Airport is routinely ranked among the world's top six busiest airports according to tracked data by the Airports Council International...."", ""*...Major construction projects, including the Sears Tower (now known as the Willis Tower, which in 1974 became the world's tallest building), University of Illinois at Chicago, McCormick Place, and O'Hare International Airport, were undertaken during Richard J. Daley's tenure...."", ""*...Chicago is served by O'Hare International Airport, the world's busiest airport measured by airline operations, on the far Northwest Side, and Midway International Airport on the Southwest Side....""]","O'Hare International Airport, 10000, North Basin Road, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States","{""coordinates"": [-87.909209, 41.977957], ""type"": ""Point""}","O'Hare International Airport, 10000, North Basin Road, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",aeroway,aerodrome
4,Navy Pier,Navy Pier,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', '*...Landfill extends into portions of the lake providing space for Navy Pier, Northerly Island, the Museum Campus, and large portions of the McCormick Place Convention Center....', '*...Renowned Chicago theater companies include the Goodman Theatre in the Loop; the Steppenwolf Theatre Company and Victory Gardens Theater in Lincoln Park; and the Chicago Shakespeare Theater at Navy Pier....', ""...Behind the pavilion's stage is the Harris Theater for Music and Dance, an indoor venue for mid-sized performing arts companies, including the Chicago Opera Theater and Music of the Baroque.[citation needed]\nNavy Pier, located just east of Streeterville, is 3,000\xa0ft (910\xa0m) long and houses retail stores, restaurants, museums, exhibition halls and auditoriums...."", '*...In the summer of 2016, Navy Pier constructed a DW60 Ferris wheel....']","Navy Pier, 600, East Grand Avenue, Near North Side, Chicago, Cook County, Illinois, 60611, United States","{""coordinates"": [-87.604145, 41.8918], ""type"": ""Point""}","Navy Pier, 600, East Grand Avenue, Near North Side, Chicago, Cook County, Illinois, 60611, United States",tourism,attraction
5,Magnificent Mile,Magnificent Mile,"['...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', ""...Upscale shopping along the Magnificent Mile and State Street, thousands of restaurants, as well as Chicago's eminent architecture, continue to draw tourists....""]","Embassy Suites by Hilton Chicago Downtown Magnificent Mile, 511, North Columbus Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States","{""coordinates"": [-87.619667, 41.891417], ""type"": ""Point""}","Embassy Suites by Hilton Chicago Downtown Magnificent Mile, 511, North Columbus Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States",tourism,hotel
6,Lincoln Park Zoo,Lincoln Park Zoo,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', '*...These areas contribute famous skyscrapers, abundant restaurants, shopping, museums, a stadium for the Chicago Bears, convention facilities, parkland, and beaches.[citation needed]\nLincoln Park contains the Lincoln Park Zoo and the Lincoln Park Conservatory....']","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States","{""coordinates"": [-87.63377, 41.921265], ""type"": ""Point""}","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",tourism,zoo
11,Chicago River,Chicago River,"[""...While elevating Chicago, and at first improving the city's health, the untreated sewage and industrial waste now flowed into the Chicago River, and subsequently into Lake Michigan, polluting the city's primary freshwater source...."", '...It reversed the flow of the Chicago River so that the water flowed away from Lake Michigan rather than into it....', '...Notably, industrial areas on the south side and neighborhoods lining both branches of the Chicago River were devastated; by 1933 over 50% of industrial jobs in the city had been lost, and unemployment rates amongst blacks and Mexicans in the city were over 40%....', '...In 1992, a construction accident near the Kinzie Street Bridge produced a breach connecting the Chicago River to a tunnel below, which was part of an abandoned freight tunnel system extending throughout the downtown Loop district....', '...In addition to it lying beside Lake Michigan, two rivers—the Chicago River in downtown and the Calumet River in the industrial far South Side—flow either entirely or partially through the city....', ""*...While the Chicago River historically handled much of the region's waterborne cargo, today's huge lake freighters use the city's Lake Calumet Harbor on the South Side...."", ""...When Chicago was founded in 1837, most of the early building was around the mouth of the Chicago River, as can be seen on a map of the city's original 58 blocks...."", '...The Merchandise Mart, once first on the list of largest buildings in the world, currently listed as 44th-largest (as of 9\xa0September\xa02013[update]), had its own zip\xa0code until 2008, and stands near the junction of the North and South branches of the Chicago River....', '...A popular tourist activity is to take an architecture boat tour along the Chicago River....']","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, United States","{""coordinates"": [-87.624686, 41.888495], ""type"": ""Point""}","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, United States",tourism,museum
12,Lake Michigan,Lake Michigan,"['*...On the shore of Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed....', ""*...While elevating Chicago, and at first improving the city's health, the untreated sewage and industrial waste now flowed into the Chicago River, and subsequently into Lake Michigan, polluting the city's primary freshwater source...."", '*...The city responded by tunneling two miles (3.2\xa0km) out into Lake Michigan to newly built water cribs....', '*...It reversed the flow of the Chicago River so that the water flowed away from Lake Michigan rather than into it....', '...Chicago is located in northeastern Illinois on the southwestern shores of freshwater Lake Michigan....', '*...In addition to it lying beside Lake Michigan, two rivers—the Chicago River in downtown and the Calumet River in the industrial far South Side—flow either entirely or partially through the city....', ""*...Chicago's history and economy are closely tied to its proximity to Lake Michigan...."", ""*...Chicago's streets were laid out in a street grid that grew from the city's original townsite plot, which was bounded by Lake Michigan on the east, North Avenue on the north, Wood Street on the west, and 22nd Street on the south...."", '*...The proximity to Lake Michigan tends to keep the Chicago lakefront somewhat cooler in summer and less brutally cold in winter than inland parts of the city and suburbs away from the lake....', '*...The Willis Tower has an observation deck open to tourists year round with high up views overlooking Chicago and Lake Michigan....', '*...Iroquois Landing Lakefront Terminal: at the mouth of the Calumet River, it includes 100 acres (0.40\xa0km2) of warehouses and facilities on Lake Michigan with over 780,000 square meters (8,400,000 square feet) of storage....', '*...Lake Calumet terminal: located at the union of the Grand Calumet River and Little Calumet River 6 miles (9.7\xa0km) inland from Lake Michigan. Includes three transit sheds totaling over 29,000 square meters (310,000 square feet) adjacent to over 900 linear meters (3,000 linear feet) of ship and barge berthing....']","Michigan & Lake/Randolph, North Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60602, United States","{""coordinates"": [-87.624662, 41.885102], ""type"": ""Point""}","Michigan & Lake/Randolph, North Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60602, United States",highway,bus_stop
17,Hull House,Hull House,"[""*...Concern for social problems among Chicago's immigrant poor led Jane Addams and Ellen Gates Starr to found Hull House in 1889....""]","Jane Addams' Hull-House Museum, 800, South Halsted Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States","{""coordinates"": [-87.647397, 41.871651], ""type"": ""Point""}","Jane Addams' Hull-House Museum, 800, South Halsted Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States",tourism,museum
18,East Side,East Side,['*...In the spring of 1937 Republic Steel Works witnessed the Memorial Day massacre of 1937 in the neighborhood of East Side....'],"East Side Full Gospel Church, 9741, South Avenue L, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States","{""coordinates"": [-87.536221, 41.718311], ""type"": ""Point""}","East Side Full Gospel Church, 9741, South Avenue L, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",amenity,place_of_worship
20,Sears Tower,Sears Tower,"[""...Major construction projects, including the Sears Tower (now known as the Willis Tower, which in 1974 became the world's tallest building), University of Illinois at Chicago, McCormick Place, and O'Hare International Airport, were undertaken during Richard J. Daley's tenure...."", ""*...Some of the United States' tallest towers are located in Chicago; Willis Tower (formerly Sears Tower) is the second tallest building in the Western Hemisphere after One World Trade Center, and Trump International Hotel and Tower is the third tallest in the country...."", '...Presently, the four tallest buildings in the city are Willis Tower (formerly the Sears Tower, also a building with its own zip code), Trump International Hotel and Tower, the Aon Center (previously the Standard Oil Building), and the John Hancock Center....', '*...The Willis Tower (formerly named Sears Tower) is a popular destination for tourists....']","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States","{""coordinates"": [-87.635908, 41.878872], ""type"": ""Point""}","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States",building,commercial
21,Willis Tower,Willis Tower,"[""...Major construction projects, including the Sears Tower (now known as the Willis Tower, which in 1974 became the world's tallest building), University of Illinois at Chicago, McCormick Place, and O'Hare International Airport, were undertaken during Richard J. Daley's tenure...."", ""*...Some of the United States' tallest towers are located in Chicago; Willis Tower (formerly Sears Tower) is the second tallest building in the Western Hemisphere after One World Trade Center, and Trump International Hotel and Tower is the third tallest in the country...."", '*...Presently, the four tallest buildings in the city are Willis Tower (formerly the Sears Tower, also a building with its own zip code), Trump International Hotel and Tower, the Aon Center (previously the Standard Oil Building), and the John Hancock Center....', '...The Willis Tower (formerly named Sears Tower) is a popular destination for tourists....', '...The Willis Tower has an observation deck open to tourists year round with high up views overlooking Chicago and Lake Michigan....']","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States","{""coordinates"": [-87.635908, 41.878872], ""type"": ""Point""}","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States",building,commercial
23,Kinzie Street Bridge,Kinzie Street Bridge,"['...In 1992, a construction accident near the Kinzie Street Bridge produced a breach connecting the Chicago River to a tunnel below, which was part of an abandoned freight tunnel system extending throughout the downtown Loop district....']","Kinzie Street Bridge, West Kinzie Street, River North, Near North Side, Chicago, Cook County, Illinois, 60654, United States","{""coordinates"": [-87.639396, 41.889082], ""type"": ""Point""}","Kinzie Street Bridge, West Kinzie Street, River North, Near North Side, Chicago, Cook County, Illinois, 60654, United States",man_made,bridge
25,Calumet River,Calumet River,"['...In addition to it lying beside Lake Michigan, two rivers—the Chicago River in downtown and the Calumet River in the industrial far South Side—flow either entirely or partially through the city....', '...Iroquois Landing Lakefront Terminal: at the mouth of the Calumet River, it includes 100 acres (0.40\xa0km2) of warehouses and facilities on Lake Michigan with over 780,000 square meters (8,400,000 square feet) of storage....', '...Lake Calumet terminal: located at the union of the Grand Calumet River and Little Calumet River 6 miles (9.7\xa0km) inland from Lake Michigan. Includes three transit sheds totaling over 29,000 square meters (310,000 square feet) adjacent to over 900 linear meters (3,000 linear feet) of ship and barge berthing....']","Calumet River Lift Bridge, Chicago Skyway, Vet's Park, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States","{""coordinates"": [-87.543352, 41.720149], ""type"": ""Point""}","Calumet River Lift Bridge, Chicago Skyway, Vet's Park, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",bridge,movable
27,Blue Island,Blue Island,"[""*...While measurements vary somewhat, the lowest points are along the lake shore at 578\xa0ft (176.2\xa0m), while the highest point, at 672\xa0ft (205\xa0m), is the morainal ridge of Blue Island in the city's far south side....""]","South Blue Island Avenue, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States","{""coordinates"": [-87.654963, 41.865135], ""type"": ""Point""}","South Blue Island Avenue, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States",highway,tertiary
28,Lake Shore Drive,Lake Shore Drive,"[""*...Lake Shore Drive runs adjacent to a large portion of Chicago's waterfront...."", ""...The Loop's historic buildings include the Chicago Board of Trade Building, the Fine Arts Building, 35\xa0East Wacker, and the Chicago Building, 860-880 Lake Shore Drive Apartments by Mies van der Rohe....""]","North Jean Baptiste Point DuSable Lake Shore Drive, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States","{""coordinates"": [-87.652704, 41.983707], ""type"": ""Point""}","North Jean Baptiste Point DuSable Lake Shore Drive, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",highway,motorway
