,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Palazzo Pitti,Palazzo Pitti,"['...The city also contains numerous museums and art galleries, such as the Uffizi Gallery and the Palazzo Pitti, and still exerts an influence in the fields of art, culture and politics....', '*...Several monuments are located in Florence: the Florence Baptistery with its mosaics; the cathedral with its sculptures, the medieval churches with bands of frescoes; public as well as private palaces: Palazzo Vecchio, Palazzo Pitti, Palazzo Medici Riccardi, Palazzo Davanzati; monasteries, cloisters, refectories; the ""Certosa""....', ""*...The bridge also carries Vasari's elevated corridor linking the Uffizi to the Medici residence (Palazzo Pitti)...."", ""...The building acquired its current name when the Medici duke's residence was moved across the Arno to the Palazzo Pitti...."", '...It is linked to the Uffizi and the Palazzo Pitti through the Corridoio Vasariano....', ""*...Other museums and galleries include the Bargello, which concentrates on sculpture works by artists including Donatello, Giambologna and Michelangelo; the Palazzo Pitti, containing part of the Medici family's former private collection....""]","Palazzo Pitti, Via Maggio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy","{""coordinates"": [11.250308, 43.765318], ""type"": ""Point""}","Palazzo Pitti, Via Maggio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy",tourism,attraction
4,Via Cassia,Via Cassia,"['...Situated along the Via Cassia, the main route between Rome and the north, and within the fertile valley of the Arno, the settlement quickly became an important commercial centre and in AD 285 became the capital of the Tuscia region....']","Via Cassia, Le Rose, Tavarnuzze, Impruneta, Florence, Tuscany, 50023, Italy","{""coordinates"": [11.222856, 43.719764], ""type"": ""Point""}","Via Cassia, Le Rose, Tavarnuzze, Impruneta, Florence, Tuscany, 50023, Italy",highway,primary
7,1325,1325,"['*...At the height of demographic expansion around 1325, the urban population may have been as great as 120,000, and the rural population around the city was probably close to 300,000....']","Florence American Cemetery and Memorial entrance, Impruneta, Florence, Tuscany, 50023, Italy","{""coordinates"": [11.2118, 43.693141], ""type"": ""Point""}","Florence American Cemetery and Memorial entrance, Impruneta, Florence, Tuscany, 50023, Italy",highway,service
8,Ciompi,Ciompi,"[""*...The Black Death of 1348 reduced it by over half, about 25,000 are said to have been supported by the city's wool industry: in 1345 Florence was the scene of an attempted strike by wool combers (ciompi), who in 1378 rose up in a brief revolt against oligarchic rule in the Revolt of the Ciompi....""]","L'Arte de Ciompi, Via dei Cerretani, Quartiere 1, Florence, Tuscany, 50123, Italy","{""coordinates"": [11.254042, 43.773539], ""type"": ""Point""}","L'Arte de Ciompi, Via dei Cerretani, Quartiere 1, Florence, Tuscany, 50123, Italy",shop,gift
9,Medici Chapel,Medici Chapel,"[""*...Both were generous patrons of the arts, commissioning works like Michelangelo's Laurentian Library and Medici Chapel in Florence, to name just two...."", '...The church of San Lorenzo contains the Medici Chapel, the mausoleum of the Medici family—the most powerful family in Florence from the 15th to the 18th century....', ""...Other churches in Florence include the Basilica of Santa Maria Novella, located in Santa Maria Novella square (near the Firenze Santa Maria Novella railway station) which contains works by Masaccio, Paolo Uccello, Filippino Lippi and Domenico Ghirlandaio; the Basilica of Santa Croce, the principal Franciscan church in the city, which is situated on the Piazza di Santa Croce, about 800 metres (2,600 feet) southeast of the Duomo, and is the burial place of some of the most illustrious Italians, such as Michelangelo, Galileo, Machiavelli, Foscolo, Rossini, thus it is known also as the Temple of the Italian Glories (Tempio dell'Itale Glorie); the Basilica of San Lorenzo, which is one of the largest churches in the city, situated at the centre of Florence's main market district, and the burial place of all the principal members of the Medici family from Cosimo il Vecchio to Cosimo III; Santo Spirito, in the Oltrarno quarter, facing the square with the same name; Orsanmichele, whose building was constructed on the site of the kitchen garden of the monastery of San Michele, now demolished; Santissima Annunziata, a Roman Catholic basilica and the mother church of the Servite order; Ognissanti, which was founded by the lay order of the Umiliati, and is among the first examples of Baroque architecture built in the city; the Santa Maria del Carmine, in the Oltrarno district of Florence, which is the location of the Brancacci Chapel, housing outstanding Renaissance frescoes by Masaccio and Masolino da Panicale, later finished by Filippino Lippi; the Medici Chapel with statues by Michelangelo, in the San Lorenzo; as well as several others, including Santa Trinita, San Marco, Santa Felicita, Badia Fiorentina, San Gaetano, San Miniato al Monte, Florence Charterhouse, and Santa Maria del Carmine....""]","Medici Chapel, Piazza San Lorenzo, Quartiere 1, Florence, Tuscany, 50123, Italy","{""coordinates"": [11.25368, 43.775039], ""type"": ""Point""}","Medici Chapel, Piazza San Lorenzo, Quartiere 1, Florence, Tuscany, 50123, Italy",amenity,place_of_worship
10,Corridoio Vasariano,Corridoio Vasariano,"['...However, at the last moment Charles Steinhauslin, at the time consul of 26 countries in Florence, convinced the German general in Italy that the Ponte Vecchio was not to be destroyed due to its historical value.[citation needed] Instead, an equally historic area of streets directly to the south of the bridge, including part of the Corridoio Vasariano, was destroyed using mines....', '...It is linked to the Uffizi and the Palazzo Pitti through the Corridoio Vasariano....']","Corridoio Vasariano, Piazza del Pesce, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy","{""coordinates"": [11.253903, 43.768268], ""type"": ""Point""}","Corridoio Vasariano, Piazza del Pesce, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy",tourism,museum
11,Ponte Vecchio,Ponte Vecchio,"['...However, at the last moment Charles Steinhauslin, at the time consul of 26 countries in Florence, convinced the German general in Italy that the Ponte Vecchio was not to be destroyed due to its historical value.[citation needed] Instead, an equally historic area of streets directly to the south of the bridge, including part of the Corridoio Vasariano, was destroyed using mines....', '...Since then the bridges have been restored to their original forms using as many of the remaining materials as possible, but the buildings surrounding the Ponte Vecchio have been rebuilt in a style combining the old with modern design....', '...The Ponte Vecchio, The San Lorenzo Market and Santa Maria Novella are plagued by pickpockets....', '...One of the bridges in particular stands out – the Ponte Vecchio (Old Bridge), whose most striking feature is the multitude of shops built upon its edges, held up by stilts....', '...The Vasari Corridor is another gallery, built connecting the Palazzo Vecchio with the Pitti Palace passing by the Uffizi and over the Ponte Vecchio....']","Ponte Vecchio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy","{""coordinates"": [11.253444, 43.76842], ""type"": ""Point""}","Ponte Vecchio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy",highway,pedestrian
15,Piazza del Duomo,Piazza del Duomo,"[""...To boost the sale of traditional foods, the mayor had introduced legislation (enacted in 2016) that requires restaurants to use typical Tuscan products and rejected McDonald's application to open a location in the Piazza del Duomo...."", '...During the day of Easter, a cart, which the Florentines call the Brindellone and which is led by four white oxen, is taken to the Piazza del Duomo between the Baptistery of St. John the Baptist (Battistero di San Giovanni) and the Florence Cathedral (Santa Maria del Fiore)....', ""*...Such include the Via Camillo Cavour, one of the main roads of the northern area of the historic centre; the Via Ghibellina, one of central Florence's longest streets; the Via dei Calzaiuoli, one of the most central streets of the historic centre which links Piazza del Duomo to Piazza della Signoria, winding parallel to via Roma and Piazza della Repubblica; the Via de' Tornabuoni, a luxurious street in the city centre that goes from Antinori square to ponte Santa Trinita, across Piazza Santa Trinita, characterised by the presence of fashion boutiques; the Viali di Circonvallazione, 6-lane boulevards surrounding the northern part of the historic centre; as well as others, such as Via Roma, Via degli Speziali, Via de' Cerretani, and the Viale dei Colli...."", '...The central railway station, Santa Maria Novella, is about 500\xa0m (1,600\xa0ft) northwest of the Piazza del Duomo....', '...Their works, together with those of many other generations of artists, are gathered in the several museums of the town: the Uffizi Gallery, the Palatina gallery with the paintings of the ""Golden Ages"", the Bargello with the sculptures of the Renaissance, the museum of San Marco with Fra Angelico\'s works, the Academy, the chapels of the Medicis Buonarroti\'s house with the sculptures of Michelangelo, the following museums: Bardini, Horne, Stibbert, Romano, Corsini, The Gallery of Modern Art, the Museo dell\'Opera del Duomo, the museum of Silverware and the museum of Precious Stones....', ""...The originals are now housed in the Museum dell'Opera del Duomo, just to the east of the cathedral...."", '...Two superb collections of sculpture are in the Bargello and the Museum of the Works of the Duomo....', '*...Near the cart there is a model of a dove, which, according to legend, is a symbol of good luck for the city: at the end of the Easter mass, the dove emerges from the nave of the Duomo and ignites the fireworks on the cart....', '*...The best-known site of Florence is the domed cathedral of the city, Santa Maria del Fiore, known as The Duomo, whose dome was built by Filippo Brunelleschi....', ""*...The Palazzo Vecchio as well as the Duomo, or the city's Cathedral, are the two buildings which dominate Florence's skyline...."", ""*...Other churches in Florence include the Basilica of Santa Maria Novella, located in Santa Maria Novella square (near the Firenze Santa Maria Novella railway station) which contains works by Masaccio, Paolo Uccello, Filippino Lippi and Domenico Ghirlandaio; the Basilica of Santa Croce, the principal Franciscan church in the city, which is situated on the Piazza di Santa Croce, about 800 metres (2,600 feet) southeast of the Duomo, and is the burial place of some of the most illustrious Italians, such as Michelangelo, Galileo, Machiavelli, Foscolo, Rossini, thus it is known also as the Temple of the Italian Glories (Tempio dell'Itale Glorie); the Basilica of San Lorenzo, which is one of the largest churches in the city, situated at the centre of Florence's main market district, and the burial place of all the principal members of the Medici family from Cosimo il Vecchio to Cosimo III; Santo Spirito, in the Oltrarno quarter, facing the square with the same name; Orsanmichele, whose building was constructed on the site of the kitchen garden of the monastery of San Michele, now demolished; Santissima Annunziata, a Roman Catholic basilica and the mother church of the Servite order; Ognissanti, which was founded by the lay order of the Umiliati, and is among the first examples of Baroque architecture built in the city; the Santa Maria del Carmine, in the Oltrarno district of Florence, which is the location of the Brancacci Chapel, housing outstanding Renaissance frescoes by Masaccio and Masolino da Panicale, later finished by Filippino Lippi; the Medici Chapel with statues by Michelangelo, in the San Lorenzo; as well as several others, including Santa Trinita, San Marco, Santa Felicita, Badia Fiorentina, San Gaetano, San Miniato al Monte, Florence Charterhouse, and Santa Maria del Carmine....""]","Piazza del Duomo, Quartiere 1, Florence, Tuscany, Italy","{""coordinates"": [11.255478, 43.773102], ""type"": ""Point""}","Piazza del Duomo, Quartiere 1, Florence, Tuscany, Italy",highway,pedestrian
16,Centro,Centro,"['*...Q1 – Centro storico (Historic Centre); population: 67,170;...', '...In 1982, the historic centre of Florence (Italian: centro storico di Firenze) was declared a World Heritage Site by the UNESCO....', '...The city is home of the Centro Tecnico Federale di Coverciano, in Coverciano, Florence, the main training ground of the Italian national team, and the technical department of the Italian Football Federation....', '...The private school, Centro Machiavelli which teaches Italian language and culture to foreigners, is located in Piazza Santo Spirito in Florence....']","Centro Linguistico di Ateneo (Rotonda del Brunelleschi), Via degli Alfani, Quartiere 1, Florence, Tuscany, 50112, Italy","{""coordinates"": [11.260154, 43.775304], ""type"": ""Point""}","Centro Linguistico di Ateneo (Rotonda del Brunelleschi), Via degli Alfani, Quartiere 1, Florence, Tuscany, 50112, Italy",amenity,university
19,Museo,Museo,"['*...Their works, together with those of many other generations of artists, are gathered in the several museums of the town: the Uffizi Gallery, the Palatina gallery with the paintings of the ""Golden Ages"", the Bargello with the sculptures of the Renaissance, the museum of San Marco with Fra Angelico\'s works, the Academy, the chapels of the Medicis Buonarroti\'s house with the sculptures of Michelangelo, the following museums: Bardini, Horne, Stibbert, Romano, Corsini, The Gallery of Modern Art, the Museo dell\'Opera del Duomo, the museum of Silverware and the museum of Precious Stones....', '...Other sights include the medieval city hall, the Palazzo della Signoria (also known as the Palazzo Vecchio), the Archeological Museum, the Museum of the History of Science, the Palazzo Davanzatti, the Stibbert Museum, St. Marks, the Medici Chapels, the Museum of the Works of Santa Croce, the Museum of the Cloister of Santa Maria Novella, the Zoological Museum (""La Specola""), the Bardini, and the Museo Horne....']","Palazzo del Bargello, 4, Via del Proconsolo, San Niccolò, Quartiere 1, Florence, Tuscany, 50122, Italy","{""coordinates"": [11.257985, 43.770396], ""type"": ""Point""}","Palazzo del Bargello, 4, Via del Proconsolo, San Niccolò, Quartiere 1, Florence, Tuscany, 50122, Italy",tourism,museum
