,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Helsinki Airport,Helsinki Airport,"['*...The city is served by the international Helsinki Airport, located in the neighboring city of Vantaa, with frequent service to many destinations in Europe, North America and Asia....', '*...Helsinki Airport (in Vantaa, 17 kilometres (11\xa0mi) north of the Helsinki city centre) recorded a temperature of 33.7\xa0°C (92.7\xa0°F), on 29 July 2010, and a low of −35.9\xa0°C (−33\xa0°F), on 9 January 1987....', ""*...Air traffic is handled primarily from Helsinki Airport, located approximately 17 kilometres (11\xa0mi) north of Helsinki's downtown area, in the neighbouring city of Vantaa...."", '...The commuter rail system includes purpose-built double track for local services in two rail corridors along intercity railways, and the Ring Rail Line, an urban double-track railway with a station at the Helsinki Airport in Vantaa....']","Helsinki Airport, 1, Lentoasemantie, Lentokenttä, Aviapoliksen suuralue, Vantaa, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 01530, Finland","{""coordinates"": [24.968296, 60.318933], ""type"": ""Point""}","Helsinki Airport, 1, Lentoasemantie, Lentokenttä, Aviapoliksen suuralue, Vantaa, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 01530, Finland",place,house
3,Asia,Asia,"['*...The city is served by the international Helsinki Airport, located in the neighboring city of Vantaa, with frequent service to many destinations in Europe, North America and Asia....']","Finland Asia International Multiservices, 42, Mannerheimintie, Taka-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00260, Finland","{""coordinates"": [24.928979, 60.178081], ""type"": ""Point""}","Finland Asia International Multiservices, 42, Mannerheimintie, Taka-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00260, Finland",office,yes
6,Senate Square,Senate Square,"['...In 1640, Count Per Brahe the Younger moved the city center with few descendants of the original settlers to the Vironniemi peninsula by the sea, currently Kruununhaka neighborhood, where the Senate Square and Helsinki Cathedral are now located....', ""...The focal point of Engel's city plan was the Senate Square...."", ""*...Most of Helsinki's older buildings were built after the 1808 fire; before that time, the oldest surviving building in the center of Helsinki is the Sederholm House (1757) at the intersection of Senate Square and the Katariinankatu street...."", ""...At the Senate Square in fall 2010, Finland's largest open-air art exhibition to date took place: About 1.4\xa0million people saw the international exhibition of United Buddy Bears....""]","Senate Square, Aleksanterinkatu, Torikorttelit, Kruununhaka, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland","{""coordinates"": [24.95266, 60.169118], ""type"": ""Point""}","Senate Square, Aleksanterinkatu, Torikorttelit, Kruununhaka, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland",amenity,bicycle_rental
7,Helsinki Metro,Helsinki Metro,"[""*...Finland's rapid urbanization in the 1970s, occurring late relative to the rest of Europe, tripled the population in the metropolitan area, and the Helsinki Metro subway system was built....""]","University of Helsinki, Yliopistonkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland","{""coordinates"": [24.947724, 60.169924], ""type"": ""Point""}","University of Helsinki, Yliopistonkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland",railway,subway_entrance
8,Baltic Sea,Baltic Sea,"['...The relatively sparse population density of Helsinki and its peculiar structure have often been attributed to the lateness of its growth.[citation needed]\nCalled the ""Daughter of the Baltic"" or the ""Pearl of the Baltic Sea"", Helsinki is on the tip of a peninsula and on 315 islands....', '...Owing to the mitigating influence of the Baltic Sea and North Atlantic Current (see also Extratropical cyclone), temperatures during the winter are higher than the northern location might suggest, with the average in January and February around −4\xa0°C (25\xa0°F)....', '...As an important port city on the Baltic Sea, Helsinki has long been known for its fish food, and it has recently started to become one of the leading fish food capitals in Northern Europe....']","Discussion about the Baltic Sea, Juutinraumankatu, Jätkäsaari, Länsisatama, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00220, Finland","{""coordinates"": [24.919691, 60.159147], ""type"": ""Point""}","Discussion about the Baltic Sea, Juutinraumankatu, Jätkäsaari, Länsisatama, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00220, Finland",tourism,artwork
10,Korkeasaari Zoo,Korkeasaari Zoo,"[""*...Major islands in Helsinki include Seurasaari, Vallisaari, Lauttasaari, and Korkeasaari\xa0– the latter being the site of Finland's largest zoo called Korkeasaari Zoo....""]","Korkeasaari Zoo, Finkensilta, Sompasaari, Mustikkamaa-Korkeasaari, Southeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00540, Finland","{""coordinates"": [24.979207, 60.175146], ""type"": ""Point""}","Korkeasaari Zoo, Finkensilta, Sompasaari, Mustikkamaa-Korkeasaari, Southeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00540, Finland",amenity,ferry_terminal
11,Santahamina,Santahamina,"['*...Other noteworthy islands are the fortress island of Suomenlinna (Sveaborg), the military island of Santahamina, and Isosaari....']","Santahamina, Lentokonetehtaankaari, Santahamina, Southeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00860, Finland","{""coordinates"": [25.03969, 60.145943], ""type"": ""Point""}","Santahamina, Lentokonetehtaankaari, Santahamina, Southeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00860, Finland",highway,bus_stop
18,Kuninkaanportti,Kuninkaanportti,"['*...Suomenlinna also has buildings completed in the 18th century, including the Kuninkaanportti on the Kustaanmiekka Island (1753–1754)....']","King’s Gate Quay, Poliisikoulun tunneli, Suomenlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00190, Finland","{""coordinates"": [24.989973, 60.140098], ""type"": ""Point""}","King’s Gate Quay, Poliisikoulun tunneli, Suomenlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00190, Finland",amenity,ferry_terminal
20,Ullanlinna,Ullanlinna,"[""*...Helsinki's Art Nouveau style is also featured in central residential districts, such as Katajanokka and Ullanlinna...."", ""*...The only visible public buildings of the Gothic Revival architecture in Helsinki are St. John's Church (1891) in Ullanlinna, which is the largest stone church in Finland, and its twin towers rise to 74 meters and have 2,600 seats...."", '...The district with the most Swedish speakers is Ullanlinna/Ulrikasborg with 2,098 (19.6%), while Byholmen is the only district where the majority language is Swedish (at 82.8%)....']","Alepa Ullanlinna, 29, Vuorimiehenkatu, Ullanlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00140, Finland","{""coordinates"": [24.945542, 60.1594], ""type"": ""Point""}","Alepa Ullanlinna, 29, Vuorimiehenkatu, Ullanlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00140, Finland",shop,convenience
24,Finlandia Hall,Finlandia Hall,"['*...However, some of his works, such as the headquarters of the paper company Stora Enso and the concert venue Finlandia Hall, have been subject to divided opinions from the citizens....']","Finlandia Hall, 13 E, Mannerheimintie, Etu-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland","{""coordinates"": [24.933561, 60.175823], ""type"": ""Point""}","Finlandia Hall, 13 E, Mannerheimintie, Etu-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland",amenity,theatre
