,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Europe,Europe,"['*...The city straddles the Bosporus strait, lying in both Europe and Asia, and has a population of over 15 million residents, comprising 19% of the population of Turkey....', '*...That early settlement, important in the spread of the Neolithic Revolution from the Near East to Europe, lasted for almost a millennium before being inundated by rising water levels....', ""*...Constantinople's location also ensured its existence would stand the test of time; for many centuries, its walls and seafront protected Europe against invaders from the east and the advance of Islam...."", '*...He also invited people from all over Europe to his capital, creating a cosmopolitan society that persisted through much of the Ottoman period....', '*...Another park, Fethi Paşa Korusu, is on a hillside adjacent to the Bosphorus Bridge in Anatolia, opposite Yıldız Palace in Europe....', ""*...It never returned to being the world's largest, but remained the largest city in Europe from 1500 to 1750, when it was surpassed by London...."", '*...Istanbul ranks as the seventh-largest city proper in the world, and the second-largest urban agglomeration in Europe, after Moscow....', '*...In marked contrast to Jews in Europe, Ottoman Jews were allowed to work in any profession....', '*...Istanbul, which straddles the Bosporus strait, houses international ports that link Europe and Asia....', '*...The new national government established programs that served to orient Turks toward musical traditions, especially those originating in Europe, but musical institutions and visits by foreign classical artists were primarily centered in the new capital....', '*...Akmerkez was awarded the titles of ""Europe\'s best"" and ""World\'s best"" shopping mall by the International Council of Shopping Centers in 1995 and 1996; Istanbul Cevahir has been one of the continent\'s largest since opening in 2005; and Kanyon won the Cityscape Architectural Review Award in the Commercial Built category in 2006....', '*...The Sinan Erdem Dome, among the largest indoor arenas in Europe, hosted the final of the 2010 FIBA World Championship, the 2012 IAAF World Indoor Championships, as well as the 2011–12 Euroleague and 2016–17...', ""*...Istanbul's main bus station is the largest in Europe, with a daily capacity of  and , serving destinations as distant as Frankfurt...."", '*...It handled  passengers in 2015, which made it the third-busiest airport in Europe and the 18th-busiest in the world in that year....']","Sahmat Europe Hookah lounge, 20, Siyavuş Paşa Sokağı, Süleymaniye Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34116, Turkey","{""coordinates"": [28.966395, 41.016124], ""type"": ""Point""}","Sahmat Europe Hookah lounge, 20, Siyavuş Paşa Sokağı, Süleymaniye Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34116, Turkey",amenity,cafe
1,Asia,Asia,"['*...The city straddles the Bosporus strait, lying in both Europe and Asia, and has a population of over 15 million residents, comprising 19% of the population of Turkey....', '*...Istanbul, which straddles the Bosporus strait, houses international ports that link Europe and Asia....']","İoki Asia, Kandilli Caddesi, Kandilli Mahallesi, Üsküdar, Istanbul, Marmara Region, 34684, Turkey","{""coordinates"": [29.057738, 41.073848], ""type"": ""Point""}","İoki Asia, Kandilli Caddesi, Kandilli Mahallesi, Üsküdar, Istanbul, Marmara Region, 34684, Turkey",amenity,restaurant
5,Golden Horn,Golden Horn,"[""...The settlers built an acropolis adjacent to the Golden Horn on the site of the early Thracian settlements, fueling the nascent city's economy...."", '...Bridges across the Golden Horn were constructed during this period, and Constantinople was connected to the rest of the European railway network in the 1880s....', '...The confluence of the Sea of Marmara, the Bosporus, and the Golden Horn provide both ideal defense against enemy attack and a natural toll-gate....', '...The Fatih district, which was named after Sultan Mehmed II (Turkish: Fatih Sultan Mehmed), corresponds to what was, until the Ottoman conquest in 1453, the whole of the city of Constantinople (today is the capital district and called the historic peninsula of Istanbul) on the southern shore of the Golden Horn, across the medieval Genoese citadel of Galata on the northern shore....', '...The Cağaloğlu street on which the newspaper was printed, Bâb-ı Âli Street, rapidly became the center of Turkish print media, alongside Beyoğlu across the Golden Horn....', ""...The Silahtarağa Power Station, a coal-fired power plant along the Golden Horn, was the sole source of Istanbul's electricity between 1914, when its first engine room was completed, and 1952...."", '*...Algal blooms and red tides were reported in Sea of Marmara and Bosporus (especially in Golden Horn), and regularly happen in urban lakes such as Lake Büyükçekmece and Küçükçekmece....']","Golden Horn Hotel, Saffeti Paşa Sokağı, Hocapaşa Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey","{""coordinates"": [28.976592, 41.012971], ""type"": ""Point""}","Golden Horn Hotel, Saffeti Paşa Sokağı, Hocapaşa Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey",tourism,hotel
8,Hagia Sophia,Hagia Sophia,"[""*...Numerous churches were built across the city, including Hagia Sophia which was built during the reign of Justinian the Great and remained the world's largest cathedral for a thousand years...."", '*...Hagia Sophia was converted to a Catholic church in 1204....', ""*...After the reconquest of 1261, however, some of the city's monuments were restored, and some, like the two Deesis mosaics in Hagia Sophia and Kariye, were created...."", ""...Hours later, the sultan rode to the Hagia Sophia and summoned an imam to proclaim the Islamic creed, converting the grand cathedral into an imperial mosque due to the city's refusal to surrender peacefully...."", '...However, it is the Hagia Sophia that fully conveys the period of Constantinople as a city without parallel in Christendom....', '...The Hagia Sophia, topped by a dome 31 meters (102\xa0ft) in diameter over a square space defined by four arches, is the pinnacle of Byzantine architecture....', ""...The Hagia Sophia stood as the world's largest cathedral in the world until it was converted into a mosque in the 15th century...."", '...The Sultan Ahmed Mosque (Blue Mosque), another landmark of the city, faces the Hagia Sophia at Sultanahmet Square (Hippodrome of Constantinople)....']","Hagia Sophia (Holy Wisdom), Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey","{""coordinates"": [28.98001, 41.008509], ""type"": ""Point""}","Hagia Sophia (Holy Wisdom), Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey",amenity,place_of_worship
9,Grand Bazaar,Grand Bazaar,"['...There was a huge new palace to rival, if not overshadow, the old one, a new covered market (still standing as the Grand Bazaar), porticoes, pavilions, walkways, as well as more than a dozen new mosques....', ""...The Grand Bazaar, in operation since 1461, is among the world's oldest and largest covered markets...."", ""...Mahmutpasha Bazaar is an open-air market extending between the Grand Bazaar and the Spice Bazaar, which has been Istanbul's major spice market since 1660....""]","Grand Bazaar, Tarakçilar Hanı Sokağı, Taya Hatun Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34120, Turkey","{""coordinates"": [28.968176, 41.010988], ""type"": ""Point""}","Grand Bazaar, Tarakçilar Hanı Sokağı, Taya Hatun Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34120, Turkey",tourism,attraction
14,Galata Tower,Galata Tower,"['...The Genoese fortifications in Galata were largely demolished in the 19th century, leaving only the Galata Tower, to make way for the northward expansion of the city....']","Galata Tower, Büyük Hendek Caddesi, Kuledibi, Bereketzade, Bereketzade Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34420, Turkey","{""coordinates"": [28.974213, 41.025641], ""type"": ""Point""}","Galata Tower, Büyük Hendek Caddesi, Kuledibi, Bereketzade, Bereketzade Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34420, Turkey",tourism,attraction
15,İstiklal Avenue,İstiklal Avenue,"[""*...Galata (Karaköy) is today a quarter within the Beyoğlu (Pera) district, which forms Istanbul's commercial and entertainment center and includes İstiklal Avenue and Taksim Square...."", '...Areas around İstiklal Avenue were filled with grand European embassies and rows of buildings in Neoclassical, Renaissance Revival and Art Nouveau styles, which went on to influence the architecture of a variety of structures in Beyoğlu—including churches, stores, and theaters—and official buildings such as Dolmabahçe Palace....', '*...Movie theaters rapidly cropped up in Beyoğlu, with the greatest concentration of theaters being along the street now known as İstiklal Avenue....', '...Along İstiklal Avenue is the Çiçek Pasajı (Flower Passage), a 19th-century shopping gallery which is today home to winehouses (known as meyhanes), pubs and restaurants....', '*...İstiklal Avenue, originally known for its taverns, has shifted toward shopping, but the nearby Nevizade Street is still lined with winehouses and pubs....', ""*...Some other neighborhoods around İstiklal Avenue have been revamped to cater to Beyoğlu's nightlife, with formerly commercial streets now lined with pubs, cafes, and restaurants playing live music...."", '*...Since 2015, all types of parades at Taksim Square and İstiklal Avenue (where, in 2013, the Gezi Park protests took place) have been denied permission by the AKP government, citing security concerns, but hundreds of people have defied the ban each year....', '*...It still carries passengers between Karaköy and İstiklal Avenue along a steep 573-meter (1,880\xa0ft) track; a more modern funicular between Taksim Square and Kabataş began running in 2006....']","Independence Avenue, Kuloğlu, Kuloğlu Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34435, Turkey","{""coordinates"": [28.978248, 41.033893], ""type"": ""Point""}","Independence Avenue, Kuloğlu, Kuloğlu Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34435, Turkey",highway,pedestrian
16,Taksim Square,Taksim Square,"[""*...Galata (Karaköy) is today a quarter within the Beyoğlu (Pera) district, which forms Istanbul's commercial and entertainment center and includes İstiklal Avenue and Taksim Square...."", '*...Inland, north of Taksim Square is the Istanbul Central Business District, a set of corridors lined with office buildings, residential towers, shopping centers, and university campuses, and over 2,000,000\xa0m2 (22,000,000\xa0sq\xa0ft) of class-A office space in total....', '*...Since 2015, all types of parades at Taksim Square and İstiklal Avenue (where, in 2013, the Gezi Park protests took place) have been denied permission by the AKP government, citing security concerns, but hundreds of people have defied the ban each year....', '*...It still carries passengers between Karaköy and İstiklal Avenue along a steep 573-meter (1,880\xa0ft) track; a more modern funicular between Taksim Square and Kabataş began running in 2006....']","Taksim square hostel, Eski Çiçekçi Sokağı, Tomtom, Tomtom Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34433, Turkey","{""coordinates"": [28.977754, 41.032075], ""type"": ""Point""}","Taksim square hostel, Eski Çiçekçi Sokağı, Tomtom, Tomtom Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34433, Turkey",tourism,hostel
17,Bosporus Bridge,Bosporus Bridge,"['...The former village of Ortaköy is within Beşiktaş and gives its name to the Ortaköy Mosque on the Bosporus, near the Bosporus Bridge....']","Fatih Sultan Mehmet Bridge, Rumelihisarı Mahallesi, Sarıyer, Istanbul, Marmara Region, 34470, Turkey","{""coordinates"": [29.057759, 41.091027], ""type"": ""Point""}","Fatih Sultan Mehmet Bridge, Rumelihisarı Mahallesi, Sarıyer, Istanbul, Marmara Region, 34470, Turkey",highway,motorway
18,Istanbul Airport,Istanbul Airport,"['*...The Turkish government also has ambitious plans for an expansion of the city west and northwards on the European side in conjunction with the new Istanbul Airport, opened in 2019; the new parts of the city will include four different settlements with specified urban functions, housing 1.5\xa0million people....', '*...The O-7 motorway connects Istanbul Atatürk Airport with Istanbul Airport....', '*...The largest is the new Istanbul Airport, opened in 2018 in the Arnavutköy district to the northwest of the city center, on the European side, near the Black Sea coast....', '*...All scheduled commercial passenger flights were transferred from Istanbul Atatürk Airport to Istanbul Airport on 6 April 2019, following the closure of Istanbul Atatürk Airport for scheduled passenger flights....']","Istanbul Airport, Terminal Caddesi, İmrahor Mahallesi, Arnavutköy, Istanbul, Marmara Region, 34275, Turkey","{""coordinates"": [28.74255, 41.259236], ""type"": ""Point""}","Istanbul Airport, Terminal Caddesi, İmrahor Mahallesi, Arnavutköy, Istanbul, Marmara Region, 34275, Turkey",highway,bus_stop
