,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Cabo da Roca,Cabo da Roca,"['*...The westernmost portions of its metro area, the Portuguese Riviera, form the westernmost point of Continental Europe, culminating at Cabo da Roca....']","Cabo da Roca, Caminho do Vale dos Lírios, Casa da Adraga, Colares, Sintra, Lisbon, 2705-063, Portugal","{""coordinates"": [-9.484348, 38.799292], ""type"": ""Point""}","Cabo da Roca, Caminho do Vale dos Lírios, Casa da Adraga, Colares, Sintra, Lisbon, 2705-063, Portugal",tourism,information
6,Moors,Moors,['*...After the fall of the Roman Empire it was ruled by a series of Germanic tribes from the 5th century; later it was captured by the Moors in the 8th century....'],"Castle of the Moors, Caminho de Santa Maria, Bairro Andersen, Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisbon, 2710-609, Portugal","{""coordinates"": [-9.388667, 38.792412], ""type"": ""Point""}","Castle of the Moors, Caminho de Santa Maria, Bairro Andersen, Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisbon, 2710-609, Portugal",historic,castle
9,Castle of São Jorge,Castle of São Jorge,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', '...The oldest district of Lisbon, it spreads down the southern slope from the Castle of São Jorge to the River Tagus....']","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal","{""coordinates"": [-9.133565, 38.713987], ""type"": ""Point""}","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal",historic,castle
12,Jupiter,Jupiter,"[""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core....""]","Jupiter Jump, Rua Rodrigues Sampaio, Coração de Jesus, Santo António, Lisbon, 1150-282, Portugal","{""coordinates"": [-9.147794, 38.724137], ""type"": ""Point""}","Jupiter Jump, Rua Rodrigues Sampaio, Coração de Jesus, Santo António, Lisbon, 1150-282, Portugal",shop,car_repair
14,Castle Hill,Castle Hill,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', ""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core...."", '*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal","{""coordinates"": [-9.134598, 38.713997], ""type"": ""Point""}","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal",tourism,hotel
22,Africa,Africa,"['...These conquerors, who were mostly Berbers and some Arabs from North Africa and the Middle East, built many mosques and houses, rebuilt the city wall (known as the Cerca Moura) and established administrative control, while permitting the diverse population (Muwallad, Mozarabs, Berbers, Arabs, Jews, and Saqaliba) to maintain their socio-cultural lifestyles....', '...Some of the Muslim residents converted to Roman Catholicism and most of those who did not convert fled to other parts of the Islamic world, primarily Muslim Spain and North Africa....', ""*...The following years of the 16th century began Lisbon's golden era: the city was the European hub of commerce between Africa, India, the Far East and later, Brazil, and acquired great riches by exploiting the trade in spices, slaves, sugar, textiles and other goods....""]","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal","{""coordinates"": [-9.135117, 38.710547], ""type"": ""Point""}","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal",tourism,guest_house
24,Belém Tower,Belém Tower,"[""*...This period saw the rise of the exuberant Manueline style in architecture, which left its mark in many 16th-century monuments (including Lisbon's Belém Tower and Jerónimos Monastery, which were declared UNESCO World Heritage Sites)...."", '*...Lisbon has two sites listed by UNESCO as a World Heritage Site: Belém Tower and Jerónimos Monastery....']","Tower of Belém, Avenida de Brasília, Pedrouços, Belém, Lisbon, 1400-038, Portugal","{""coordinates"": [-9.215917, 38.691613], ""type"": ""Point""}","Tower of Belém, Avenida de Brasília, Pedrouços, Belém, Lisbon, 1400-038, Portugal",tourism,attraction
26,Chiado,Chiado,"['*...The principal areas were in the Baixa and along the Chiado district, where shops, tobacconists shops, cafés, bookstores, clubs and theatres proliferated....', '*...In 1988, a fire in the historical district of Chiado saw the destruction of many 18th-century Pombaline style buildings....', '*...These communities have no clearly defined boundaries and represent distinctive quarters of the city that have in common a historical culture, similar living standards, and identifiable architectural landmarks, as exemplified by the Bairro Alto, Alfama, Chiado, and so forth....', '*...The Chiado is a traditional shopping area that mixes old and modern commercial establishments, concentrated specially in the Rua do Carmo and the Rua Garrett....', '*...Locals as well as tourists visit the Chiado to buy books, clothing and pottery as well as to have a cup of coffee....', '*...The most famous café of Chiado is A Brasileira, famous for having had poet Fernando Pessoa among its customers....', '*...The Chiado is also an important cultural area, with several museums and theatres, including the opera....', '*...Several buildings of the Chiado were destroyed in a fire in 1988, an event that deeply shocked the country....']","Chiado, Largo do Chiado, Chiado, Santa Maria Maior, Lisbon, 1200-310, Portugal","{""coordinates"": [-9.14208, 38.71041], ""type"": ""Point""}","Chiado, Largo do Chiado, Chiado, Santa Maria Maior, Lisbon, 1200-310, Portugal",railway,tram_stop
31,Bairros de Lisboa,Bairros de Lisboa,"[""*...Locally, Lisbon's inhabitants may commonly refer to the spaces of Lisbon in terms of historic Bairros de Lisboa (neighbourhoods)....""]","Gestão dos Bairros Municipais de Lisboa, Lote B, 12, Rua Costa Malheiro, Olivais, Lisbon, 1800-412, Portugal","{""coordinates"": [-9.118245, 38.781265], ""type"": ""Point""}","Gestão dos Bairros Municipais de Lisboa, Lote B, 12, Rua Costa Malheiro, Olivais, Lisbon, 1800-412, Portugal",office,government
32,Fado,Fado,"['*...It is a historical quarter of mixed-use buildings occupied by Fado bars, restaurants, and homes with small shops downstairs....', '...Fado, the typically Portuguese style of melancholy music, is common (but not obligatory) in the restaurants of the district....', ""*...The crowds in the Bairro Alto are a multicultural mix of people representing a broad cross-section of modern Portuguese society, many of them being entertainment seekers and devotees of various music genres outside the mainstream, Fado, Portugal's national music, still survives in the midst of the new nightlife....""]","Fado in Lisbon, 84, Rua do Crucifixo, Baixa, Santa Maria Maior, Lisbon, 1100-184, Portugal","{""coordinates"": [-9.138919, 38.710546], ""type"": ""Point""}","Fado in Lisbon, 84, Rua do Crucifixo, Baixa, Santa Maria Maior, Lisbon, 1100-184, Portugal",amenity,theatre
