,entity,to_search,snippet,address,coordinates,name_location,class,type
0,River Manzanares,River Manzanares,"['...Madrid lies on the River Manzanares in the central part of the Iberian Peninsula....', '...At the second half of the 9th century, Cordobese Emir Muhammad I built a fortress on a headland near the river Manzanares, as one of the many fortresses he ordered to be built on the border between Al-Andalus and the kingdoms of León and Castile, with the objective of protecting Toledo from the Christian invasions and also as a starting point for Muslim offensives....', ""...Major cultural centres in the city include the Fine Arts Circle (one of Madrid's oldest arts centres and one of the most important private cultural centres in Europe, hosting exhibitions, shows, film screenings, conferences and workshops), the Conde Duque cultural centre or the Matadero Madrid, a cultural complex (formerly an abattoir) located by the river Manzanares....""]","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain","{""coordinates"": [-3.685816, 40.194805], ""type"": ""Point""}","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain",leisure,swimming_pool
4,Paseo del Prado,Paseo del Prado,"[""...Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums...."", '...The Paseo del Prado, surrounded by gardens and decorated with neoclassical statues, is an example of urban planning....', '...Best known is the Golden Triangle of Art, located along the Paseo del Prado and comprising three major museums: the Prado Museum, the Reina Sofía Museum, and the Thyssen Bornemisza Museum....']","Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain","{""coordinates"": [-3.693933, 40.413922], ""type"": ""Point""}","Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain",highway,primary
5,Casa de Campo,Casa de Campo,"['*...The site of modern-day Madrid has been occupied since prehistoric times, and there are archaeological remains of the Celtic Carpetani settlement, Roman villas, a Visigoth basilica near the church of Santa María de la Almudena and three Visigoth necropoleis near Casa de Campo, Tetuán and Vicálvaro....', ""*...A great bulk of the most important parks in Madrid are related to areas originally belonging to the royal assets (including El Pardo, Soto de Viñuelas, Casa de Campo, El Buen Retiro, la Florida and the Príncipe Pío hill, and the Queen's Casino)...."", '...Further west, across the Manzanares, lies the Casa de Campo, a large forested area with more than 1700 hectares (6.6 sq mi) where the Madrid Zoo, and the Parque de Atracciones de Madrid amusement park are located....']","Casa de Campo, Madrid Río, Casa de Campo, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28008, Spain","{""coordinates"": [-3.72421, 40.418735], ""type"": ""Point""}","Casa de Campo, Madrid Río, Casa de Campo, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28008, Spain",tourism,information
9,Royal Palace,Royal Palace,"[""...Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums...."", '...Philip V built the Royal Palace, the Royal Tapestry Factory and the main Royal Academies....', '...On 2 May, a crowd began to gather near the Royal Palace protesting against the French attempt to evict the remaining members of the Bourbon royal family to Bayonne, prompting up an uprising against the French Imperial troops that lasted hours and spread throughout the city, including a famous last stand at the Monteleón barracks....', '...Other urban parks are the Parque de El Capricho, the Parque Juan Carlos I (both in northeast Madrid), Madrid Río, the Enrique Tierno Galván Park, the San Isidro Park as well as gardens such as the Campo del Moro (opened to the public in 1978) and the Sabatini Gardens (opened to the public in 1931) near the Royal Palace....', '...The Royal Palace of Madrid, a massive building characterised by its luxurious rooms, houses rich collections of armours and weapons, as well as the most comprehensive collection of Stradivarius in the world....', '...Located next to the Royal Palace and the Almudena, Patrimonio Nacional has tentatively scheduled its opening for 2021....', '...The Teatro Real is the main opera house in Madrid, located just in front of the Royal Palace, and its resident orchestra is the Madrid Symphony Orchestra....']","Royal Palace, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain","{""coordinates"": [-3.715111, 40.417821], ""type"": ""Point""}","Royal Palace, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain",historic,castle
10,Paseo de la Castellana,Paseo de la Castellana,"[""...During this time, major construction projects were undertaken, including the northern extension of the Paseo de la Castellana, one of Madrid's major thoroughfares...."", '...The city grew to the east, reaching the Fuente Castellana Creek (now the Paseo de la Castellana), and further east reaching the Abroñigal Creek (now the M-30)....']","Paseo de la Castellana, Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","{""coordinates"": [-3.688716, 40.430264], ""type"": ""Point""}","Paseo de la Castellana, Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",highway,residential
11,Meseta Central,Meseta Central,"['*...Madrid lies in the centre of the Iberian peninsula on the southern Meseta Central, 60\xa0km south of the Guadarrama mountain range and straddling the Jarama and Manzanares river sub-drainage basins, in the wider Tagus River catchment area....']","Central Térmica Meseta de Orcasitas, 2, Calle Gran Avenida, Orcasitas, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28041, Spain","{""coordinates"": [-3.707129, 40.369569], ""type"": ""Point""}","Central Térmica Meseta de Orcasitas, 2, Calle Gran Avenida, Orcasitas, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28041, Spain",building,industrial
13,La China,La China,"[""*...There is a considerable difference in altitude within the city proper ranging from the 700\xa0m (2,297\xa0ft) around Plaza de Castilla in the north of city to the 570\xa0m (1,870\xa0ft) around La China wastewater treatment plant on the Manzanares' riverbanks, near the latter's confluence with the Fuente Castellana thalweg in the south of the city....""]","La China Mandarina, 17, Plaza de Cascorro, Lavapiés, Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28005, Spain","{""coordinates"": [-3.707506, 40.41036], ""type"": ""Point""}","La China Mandarina, 17, Plaza de Cascorro, Lavapiés, Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28005, Spain",amenity,restaurant
14,Monte de El Pardo,Monte de El Pardo,"['...The Monte de El Pardo (a protected forested area covering over a quarter of the municipality) reaches its top altitude (843\xa0m (2,766\xa0ft)) on its perimeter, in the slopes surrounding El Pardo reservoir located at the north-western end of the municipality, in the Fuencarral-El Pardo district....', '*...The Monte de El Pardo is the largest forested area in the municipality....', '...During the reign of Ferdinand VII the regime of hunting prohibition for the Monte de El Pardo became one of full property and the expropriation of all possessions within its bounds was enforced, with dire consequences for the madrilenians at the time....', '...A NW stretch of the road runs underground, below the southern reaches of the Monte de El Pardo protected area....', '*...The Monte de El Pardo (a protected forested area covering over a quarter of the municipality) reaches its top altitude (843\xa0m (2,766\xa0ft)) on its perimeter, in the slopes surrounding El Pardo reservoir located at the north-western end of the municipality, in the Fuencarral-El Pardo district....', '...Madrid is administratively divided into 21 districts, which are further subdivided into 131 neighbourhoods (barrios):\nCentro\nArganzuela\nRetiro\nSalamanca\nChamartín\nTetuán\nChamberí\nFuencarral-El Pardo\nMoncloa-Aravaca\nLatina\nCarabanchel\nUsera\nPuente de Vallecas\nMoratalaz\nCiudad Lineal\nHortaleza\nVillaverde\nVilla de Vallecas\nVicálvaro\nSan Blas-Canillejas\nBarajas\nMadrid is the capital of the Community of Madrid....', ""*...A great bulk of the most important parks in Madrid are related to areas originally belonging to the royal assets (including El Pardo, Soto de Viñuelas, Casa de Campo, El Buen Retiro, la Florida and the Príncipe Pío hill, and the Queen's Casino)...."", '...The television network and media production company, the largest in Spain, Mediaset España Comunicación (Telecinco, Cuatro) maintains its headquarters in Fuencarral-El Pardo district....']","Monte de El Pardo, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28048, Spain","{""coordinates"": [-3.785062, 40.539789], ""type"": ""Point""}","Monte de El Pardo, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28048, Spain",leisure,nature_reserve
16,Manzanares River,Manzanares River,"['...Madrid lies in the centre of the Iberian peninsula on the southern Meseta Central, 60\xa0km south of the Guadarrama mountain range and straddling the Jarama and Manzanares river sub-drainage basins, in the wider Tagus River catchment area....', '...The oldest urban core is located on the hills next to the left bank of the Manzanares River....']","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain","{""coordinates"": [-3.685816, 40.194805], ""type"": ""Point""}","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain",leisure,swimming_pool
19,Canal de Isabel II,Canal de Isabel II,"['...They were the main infrastructure for the supply of water until the arrival of the Canal de Isabel II in the mid-19th century....', '...This water supply is managed by the Canal de Isabel II, a public entity created in 1851....']","Canal de Isabel II, Camino Finca Monte del Pilar, Majadahonda, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28221, Spain","{""coordinates"": [-3.846055, 40.473728], ""type"": ""Point""}","Canal de Isabel II, Camino Finca Monte del Pilar, Majadahonda, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28221, Spain",building,industrial
