,entity,to_search,snippet,address,coordinates,name_location,class,type
8,Fort Senneville,Fort Senneville,['*...Forster advanced to Fort Senneville on May 23....'],"Fort Senneville, Pont de l'Île-aux-Tourtes, Senneville, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 3R3, Canada","{""coordinates"": [-73.97428, 45.425858], ""type"": ""Point""}","Fort Senneville, Pont de l'Île-aux-Tourtes, Senneville, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 3R3, Canada",historic,ruins
9,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,"['*...Arnold and Forster negotiated further and more American prisoners were returned to Arnold at Sainte-Anne-de-Bellevue, Quebec, (""Fort Anne"") on May 30 (delayed two days by wind)....']","Sainte-Anne-de-Bellevue, Rue Demers, Sainte-Anne-de-Bellevue, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 1L9, Canada","{""coordinates"": [-73.950328, 45.407885], ""type"": ""Point""}","Sainte-Anne-de-Bellevue, Rue Demers, Sainte-Anne-de-Bellevue, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 1L9, Canada",railway,stop
10,Lachine Canal,Lachine Canal,"['...The opening of the Lachine Canal permitted ships to bypass the unnavigable Lachine Rapids, while the construction of the Victoria Bridge established Montreal as a major railway hub....']","Voie piétonne du Canal Lachine, Griffintown, Le Sud-Ouest, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3C 0S8, Canada","{""coordinates"": [-73.561333, 45.488597], ""type"": ""Point""}","Voie piétonne du Canal Lachine, Griffintown, Le Sud-Ouest, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3C 0S8, Canada",highway,footway
13,Pointe-aux-Trembles,Pointe-aux-Trembles,"[""*...After Arnold withdrew from Quebec City to Pointe-aux-Trembles on November 19, Montgomery's forces left Montreal on December 1 and arrived there on December 3 to plot to attack Quebec City, with Montgomery leaving David Wooster in charge of the city...."", '*...Montreal annexed 27 other cities, towns and villages beginning with Hochelaga in 1883, with the last prior to 2002 being Pointe-aux-Trembles in 1982....', ""...The boroughs are:\nCôte-des-Neiges–Notre-Dame-de-Grace, The Plateau Mount Royal, Outremont and Ville Marie in the centre; Mercier–Hochelaga-Maisonneuve, Rosemont–La Petite-Patrie and Villeray–Saint-Michel–Parc-Extension in the east; Anjou, Montréal-Nord, Rivière-des-Prairies–Pointe-aux-Trembles and Saint-Leonard in the northeast; Ahuntsic-Cartierville, L'Île-Bizard–Sainte-Geneviève, Pierrefonds-Roxboro and Saint-Laurent in the northwest; and Lachine, LaSalle, The South West and Verdun in the south.[citation needed]\nMany of these boroughs were independent cities that were forced to be merged with Montreal in January 2002 following the 2002 municipal reorganization of Montreal....""]","Pointe-aux-Trembles, Rue Prince Arthur, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1A 5J4, Canada","{""coordinates"": [-73.509358, 45.67408], ""type"": ""Point""}","Pointe-aux-Trembles, Rue Prince Arthur, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1A 5J4, Canada",railway,stop
14,Trudeau International Airport,Trudeau International Airport,"[""*...The construction of new residential skyscrapers, two super-hospitals (the Centre hospitalier de l'Université de Montréal and McGill University Health Centre), the creation of the Quartier des Spectacles, reconstruction of the Turcot Interchange, reconfiguration of the Decarie and Dorval interchanges, construction of the new Réseau électrique métropolitain, gentrification of Griffintown, subway line extensions and the purchase of new subway cars, the complete revitalization and expansion of Trudeau International Airport, the completion of Quebec Autoroute 30, the reconstruction of the Champlain Bridge and the construction of a new toll bridge to Laval are helping Montreal continue to grow.[citation needed]\nMontreal is in the southwest of the province of Quebec...."", '...Pierre Elliott Trudeau International Airport (also known as Dorval Airport) in the City of Dorval serves all commercial passenger traffic and is the headquarters of Air Canada and Air Transat....']","Montréal–Pierre Elliott Trudeau International Airport, Boulevard Hymus, Bois-Francs, Saint-Laurent, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4S 2G1, Canada","{""coordinates"": [-73.742497, 45.468729], ""type"": ""Point""}","Montréal–Pierre Elliott Trudeau International Airport, Boulevard Hymus, Bois-Francs, Saint-Laurent, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4S 2G1, Canada",aeroway,aerodrome
16,Champlain Bridge,Champlain Bridge,"[""...The construction of new residential skyscrapers, two super-hospitals (the Centre hospitalier de l'Université de Montréal and McGill University Health Centre), the creation of the Quartier des Spectacles, reconstruction of the Turcot Interchange, reconfiguration of the Decarie and Dorval interchanges, construction of the new Réseau électrique métropolitain, gentrification of Griffintown, subway line extensions and the purchase of new subway cars, the complete revitalization and expansion of Trudeau International Airport, the completion of Quebec Autoroute 30, the reconstruction of the Champlain Bridge and the construction of a new toll bridge to Laval are helping Montreal continue to grow.[citation needed]\nMontreal is in the southwest of the province of Quebec....""]","Champlain Bridge Ice-Control Structure Cycle Path, Île-des-Sœurs, Verdun, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3E 1W5, Canada","{""coordinates"": [-73.53389, 45.466727], ""type"": ""Point""}","Champlain Bridge Ice-Control Structure Cycle Path, Île-des-Sœurs, Verdun, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3E 1W5, Canada",highway,cycleway
18,Atlantic,Atlantic,"['*...The port of Montreal lies at one end of the Saint Lawrence Seaway, the river gateway that stretches from the Great Lakes to the Atlantic....']","Taverne Atlantic, Park Avenue, Rosemont–La Petite-Patrie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2V 1A5, Canada","{""coordinates"": [-73.613257, 45.526935], ""type"": ""Point""}","Taverne Atlantic, Park Avenue, Rosemont–La Petite-Patrie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2V 1A5, Canada",amenity,bar
19,West Island,West Island,"['*...Repentigny to the east and the West Island municipalities to the west....', '...Commuting traffic from the cities and towns in the West Island (such as Dollard-des-Ormeaux and Pointe-Claire) is compounded by commuters entering the city that use twenty-four road crossings from numerous off-island suburbs on the North and South Shores....']","Remorquage West Island Towing, 1540, Croissant Claire, Vieux-Lachine, Lachine, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4W 2J9, Canada","{""coordinates"": [-73.678038, 45.449124], ""type"": ""Point""}","Remorquage West Island Towing, 1540, Croissant Claire, Vieux-Lachine, Lachine, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4W 2J9, Canada",building,yes
20,Town of Mount Royal,Town of Mount Royal,"['...The anglophone enclaves of Westmount, Montreal West, Hampstead, Côte Saint-Luc, the Town of Mount Royal and the francophone enclave Montreal East are all surrounded by Montreal....']","Town of Mount-Royal Curling Club, 5, Montgomery Avenue, Mount Royal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3R 2B2, Canada","{""coordinates"": [-73.638362, 45.514572], ""type"": ""Point""}","Town of Mount-Royal Curling Club, 5, Montgomery Avenue, Mount Royal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3R 2B2, Canada",leisure,ice_rink
21,Montreal East,Montreal East,"['*...The anglophone enclaves of Westmount, Montreal West, Hampstead, Côte Saint-Luc, the Town of Mount Royal and the francophone enclave Montreal East are all surrounded by Montreal....']","Montréal East (Aim) Heliport, Boulevard Henri-Bourassa Est, Marc-Aurèle-Fortin, Anjou, Montréal-Est, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1E 1N9, Canada","{""coordinates"": [-73.562147, 45.635176], ""type"": ""Point""}","Montréal East (Aim) Heliport, Boulevard Henri-Bourassa Est, Marc-Aurèle-Fortin, Anjou, Montréal-Est, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1E 1N9, Canada",aeroway,helipad
