,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Central Russia,Central Russia,"['*...The city stands on the Moskva River in Central Russia, with a population estimated at 13.0 million residents within the city limits, over 17 million residents in the urban area, and over 21.5 million residents in the metropolitan area....', '...Moscow is situated on the banks of the Moskva River, which flows for just over 500\xa0km (311\xa0mi) through the East European Plain in central Russia, not far from the natural border of the forest and forest-steppe zone....', '*...Along with a southern part of Central Russia, after recent years of hot summer seasons, the climate of the city gets hot-summer classification trends....']","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia","{""coordinates"": [37.601556, 55.766158], ""type"": ""Point""}","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia",tourism,museum
3,Red Square,Red Square,"[""*...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '...In the time of Ivan III, the Red Square, originally named the Hollow Field (Полое поле) appeared....', ""...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", '*...He designed spacious elongated shop galleries, most notably the GUM department store on Red Square, bridged with innovative metal-and-glass vaults....', ""*...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", '*...The State Historical Museum of Russia (Государственный Исторический музей) is a museum of Russian history located between Red Square and Manege Square in Moscow....', ""*...14 hotspots were positioned across the city's main tourist attractions, including Lubyanka Square near Red Square, the Moscow City financial district and the VDNKh exhibition center....""]","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623978, 55.751238], ""type"": ""Point""}","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",highway,bus_stop
4,Saint Basil's,Saint Basil's,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", ""*...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", ""*...Moscow is the site of Saint Basil's Cathedral, with its elegant onion domes, as well as the Cathedral of Christ the Savior and the Seven Sisters....""]","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623063, 55.752488], ""type"": ""Point""}","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",place,house
8,Moscow River,Moscow River,"['...In the course of the Mongol invasion of Kievan Rus\', the Mongols under Batu Khan burned the city to the ground and killed its inhabitants.[citation needed]\nThe timber fort na Moskvě ""on the Moscow River"" was inherited by Daniel, the youngest son of Alexander Nevsky, in the 1260s, at the time considered the least valuable of his father\'s possessions....', '...In 1592, an outer earth rampart with 50 towers was erected around the city, including an area on the right bank of the Moscow River....']","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia","{""coordinates"": [37.44853, 55.805799], ""type"": ""Point""}","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia",man_made,pier
12,Siberia,Siberia,"['*...In 1480, Ivan III had finally broken the Russians free from Tatar control, and Moscow became the capital of an empire that would eventually encompass all of Russia and Siberia, and parts of many other lands....']","Siberia, Armyanskiy Lane, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia","{""coordinates"": [37.63641, 55.758716], ""type"": ""Point""}","Siberia, Armyanskiy Lane, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia",tourism,hostel
13,Great Bell Tower,Great Bell Tower,"[""*...The Kremlin's Great Bell Tower was built in 1505–08 and augmented to its present height in 1600....""]","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia","{""coordinates"": [37.61823, 55.750741], ""type"": ""Point""}","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia",amenity,place_of_worship
14,Novodevichy Convent,Novodevichy Convent,"['...As an outermost line of defense, a chain of strongly fortified monasteries was established beyond the ramparts to the south and east, principally the Novodevichy Convent and Donskoy, Danilov, Simonov, Novospasskiy, and Andronikov monasteries, most of which now house museums....']","Novodevichy Convent, 1, Novodevichy Passage, 531, Khamovniki District, Moscow, Central Federal District, 119435, Russia","{""coordinates"": [37.555771, 55.726028], ""type"": ""Point""}","Novodevichy Convent, 1, Novodevichy Passage, 531, Khamovniki District, Moscow, Central Federal District, 119435, Russia",tourism,attraction
18,Moskvoretskaya,Moskvoretskaya,['*...In 1903 the Moskvoretskaya water supply was completed....'],"Moskvoretskaya Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.624439, 55.749668], ""type"": ""Point""}","Moskvoretskaya Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 109012, Russia",highway,secondary
21,Sokolniki Park,Sokolniki Park,"[""*...Sokolniki Park, in the 18th century the home of the tsar's falconers well outside Moscow, became contiguous with the expanding city in the later 19th century and was developed into a public municipal park in 1878...."", '...Sokolniki Park, named after the falcon hunting that occurred there in the past, is one of the oldest parks in Moscow and has an area of 6 square kilometres (2.3\xa0sq\xa0mi)....', '*...Losiny Ostrov National Park (""Elk Island"" National Park), with a total area of more than 116 square kilometres (45\xa0sq\xa0mi), borders Sokolniki Park and was Russia\'s first national park....']","Парк Культуры и Отдыха «Сокольники», улица Сокольнический Вал, Sokolniki, Sokolniki District, Moscow, Central Federal District, 107113, Russia","{""coordinates"": [37.676383, 55.791821], ""type"": ""Point""}","Парк Культуры и Отдыха «Сокольники», улица Сокольнический Вал, Sokolniki, Sokolniki District, Moscow, Central Federal District, 107113, Russia",highway,bus_stop
26,Third Ring Road,Third Ring Road,"['...The Third Ring Road, intermediate between the early 19th-century Garden Ring and the Soviet-era outer ring road, was completed in 2004....', '...The Third Ring Road, was completed in 2003 as a high-speed freeway....', '...Situated in Presnensky District and located at the Third Ring, the Moscow City area is under intense development....', '...Major thoroughfares through MIBC are the Third Ring and Kutuzovsky Prospekt....']","Third Ring Road, Khamovniki District, Moscow, Central Federal District, 119334, Russia","{""coordinates"": [37.575253, 55.715244], ""type"": ""Point""}","Third Ring Road, Khamovniki District, Moscow, Central Federal District, 119334, Russia",highway,primary
33,Shukhov Tower,Shukhov Tower,"['*...Another prominent architect was Vladimir Shukhov, famous for Shukhov Tower, just one of many hyperboloid towers designed by Shukhov....']","Shukhov Tower, Shukhova Street, Donskoy District, Moscow, Central Federal District, 115162, Russia","{""coordinates"": [37.611595, 55.717307], ""type"": ""Point""}","Shukhov Tower, Shukhova Street, Donskoy District, Moscow, Central Federal District, 115162, Russia",tourism,attraction
34,Ostankino Tower,Ostankino Tower,"[""...All seven towers can be seen from most high points in the city; they are among the tallest constructions in central Moscow apart from the Ostankino Tower, which, when it was completed in 1967, was the highest free-standing land structure in the world and today remains the world's seventy-second tallest, ranking among buildings such as the Burj Khalifa in Dubai, Taipei 101 in Taiwan and the CN Tower in Toronto....""]","Ostankino Tower, 15 к1, Akademika Korolyova Street, Ostankino, Ostankinsky District, Moscow, Central Federal District, 129075, Russia","{""coordinates"": [37.611656, 55.81973], ""type"": ""Point""}","Ostankino Tower, 15 к1, Akademika Korolyova Street, Ostankino, Ostankinsky District, Moscow, Central Federal District, 129075, Russia",tourism,attraction
37,Tverskaya Street,Tverskaya Street,"['*...Many buildings found off the main streets of the inner city (behind the Stalinist façades of Tverskaya Street, for example) are also examples of bourgeois architecture typical of Tsarist times....', '*...Tverskaya Street is also one of the busiest shopping streets in Moscow....', '*...The adjoining Tretyakovsky Proyezd, also south of Tverskaya Street, in Kitai-gorod, is host to upmarket boutique stores such as Bulgari, Tiffany & Co., Armani, Prada and Bentley....']","Tverskaya Street, 18, 62, Tverskoy District, Moscow, Central Federal District, 103265, Russia","{""coordinates"": [37.614811, 55.757016], ""type"": ""Point""}","Tverskaya Street, 18, 62, Tverskoy District, Moscow, Central Federal District, 103265, Russia",highway,primary
43,Moscow Zoo,Moscow Zoo,"['...Other attractions include the Moscow Zoo, a zoological garden in two sections (the valleys of two streams) linked by a bridge, with nearly a thousand species and more than 6,500 specimens....']","Moscow Zoo, Большая Грузинская улица, Presnensky District, Moscow, Central Federal District, 123557, Russia","{""coordinates"": [37.576322, 55.763374], ""type"": ""Point""}","Moscow Zoo, Большая Грузинская улица, Presnensky District, Moscow, Central Federal District, 123557, Russia",tourism,zoo
45,Cathedral of Christ,Cathedral of Christ,"['...Multiple old churches and other examples of architectural heritage that had been demolished during the Stalin era have been restored, such as the Cathedral of Christ the Saviour....', ""...Moscow is the site of Saint Basil's Cathedral, with its elegant onion domes, as well as the Cathedral of Christ the Savior and the Seven Sisters...."", ""...Many of the city's churches, which in most cases were some of Moscow's oldest and most prominent buildings, were destroyed; some notable examples include the Kazan Cathedral and the Cathedral of Christ the Savior...."", '...The first and innermost major ring, Bulvarnoye Koltso (Boulevard Ring), was built at the former location of the 16th-century city wall around what used to be called Bely Gorod (White Town). The Bulvarnoye Koltso is technically not a ring; it does not form a complete circle, but instead a horseshoe-shaped arc that begins at the Cathedral of Christ the Savior and ends at the Yauza River....']","Cathedral of Christ the Saviour, 15, Volkhonka Street, 31, Khamovniki District, Moscow, Central Federal District, 119019, Russia","{""coordinates"": [37.60551, 55.744524], ""type"": ""Point""}","Cathedral of Christ the Saviour, 15, Volkhonka Street, 31, Khamovniki District, Moscow, Central Federal District, 119019, Russia",amenity,place_of_worship
50,Marina Tsvetaeva,Marina Tsvetaeva,"['*...Another art museum in the city of Moscow is the Pushkin Museum of Fine Arts, which was founded by, among others, the father of Marina Tsvetaeva....']","Marina Tsvetaeva Museum House, 6 с1, Borisoglebskiy Lane, 35, Arbat District, Moscow, Central Federal District, 121069, Russia","{""coordinates"": [37.590157, 55.754213], ""type"": ""Point""}","Marina Tsvetaeva Museum House, 6 с1, Borisoglebskiy Lane, 35, Arbat District, Moscow, Central Federal District, 121069, Russia",tourism,museum
