,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Île-de-France,Île-de-France,"[""...The City of Paris is the centre of the Île-de-France region, or Paris Region, with an estimated population of 12,262,544 in 2019, or about 19% of the population of France, making the region France's primate city...."", ""...Paris averages 1.9 people per residence, a number that has remained constant since the 1980s, but it is much less than Île-de-France's 2.33 person-per-residence average...."", ""*...Only 33 percent of principal residence Parisians own their habitation (against 47 percent for the entire Île-de-France): the major part of the city's population is a rent-paying one...."", '...The district of the Paris region was renamed ""Île-de-France"" in 1977, but this abbreviated ""Paris region"" name is still commonly used today to describe the Île-de-France, and as a vague reference to the entire Paris agglomeration....', '...According to the same census, three departments bordering Paris, Hauts-de-Seine, Seine-Saint-Denis and Val-de-Marne, had population densities of over 10,000 people per square kilometre, ranking among the 10 most densely populated areas of the EU.[verification needed]\nAccording to the 2012 French census, 586,163 residents of the City of Paris, or 26.2 percent, and 2,782,834 residents of the Paris Region (Île-de-France), or 23.4 percent, were born outside of metropolitan France (the last figure up from 22.4% at the 2007 census).[citation needed] 26,700 of these in the City of Paris and 210,159 in the Paris Region were people born in Overseas France (more than two-thirds of whom in the French West Indies) and are therefore not counted as immigrants since they were legally French citizens at birth.[citation needed]\nA further 103,648 in the City of Paris and in 412,114 in the Paris Region were born in foreign countries with French citizenship at birth.[citation needed]...', '...These last two groups of immigrants are again vastly outnumbered by migrants from French overseas regions and territories located in the Americas and the South Pacific.[citation needed][clarification needed]\nIn 2012, there were 8,810 British citizens and 10,019 United States citizens living in the City of Paris (Ville de Paris) and 20,466 British citizens and 16,408 United States citizens living in the entire Paris Region (Île-de-France)....', ""...According to a 2011 survey by the Institut français d'opinion publique (IFOP), a French public opinion research organisation, 61 percent of residents of the Paris Region (Île-de-France) identified themselves as Roman Catholic...."", '...In 2012 and 2013, it was estimated that there were almost 500,000 Muslims in the City of Paris, 1.5 million Muslims in the Île-de-France region and 4 to 5 million Muslims in France....', '...The story is similar in the Paris Region (Île-de-France): 76.7 percent of enterprises are engaged in commerce and services, and 3.4 percent in industry....', '...In 2010, it was the workplace of 500,000 salaried employees, about 30 percent of the salaried employees in Paris and 10 percent of those in the Île-de-France....', '...The median taxable income for 2011 was around €25,000 in Paris and €22,200 for Île-de-France....', '...Education in Paris and the Île-de-France region employs approximately 330,000 people, 170,000 of whom are teachers and professors teaching approximately 2.9 million children and students in around 9,000 primary, secondary, and higher education schools and institutions....', ""...Île-de-France Mobilités (IDFM), formerly the Syndicat des transports d'Île-de-France (STIF) and before that the Syndicat des transports parisiens (STP), oversees the transit network in the region...."", '...In 2012, around 50% of electricity generated in the Île-de-France came from cogeneration energy plants located near the outer limits of the region; other energy sources included thermal power (35%), waste incineration (9% – with cogeneration plants, these provide the city in heat as well), methane gas (5%), hydraulics (1%), solar power (0.1%) and a negligible amount of wind power (0.034 GWh)....', ""*...Paris averages 1.9 people per residence, a number that has remained constant since the 1980s, but it is much less than Île-de-France's 2.33 person-per-residence average...."", '*...The district of the Paris region was renamed ""Île-de-France"" in 1977, but this abbreviated ""Paris region"" name is still commonly used today to describe the Île-de-France, and as a vague reference to the entire Paris agglomeration....', '*...The median taxable income for 2011 was around €25,000 in Paris and €22,200 for Île-de-France....', ""*...Île-de-France Mobilités (IDFM), formerly the Syndicat des transports d'Île-de-France (STIF) and before that the Syndicat des transports parisiens (STP), oversees the transit network in the region....""]","Transitions Pro Île-de-France, Place Johann Strauss, Quartier de la Porte-Saint-Martin, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France","{""coordinates"": [2.359073, 48.868682], ""type"": ""Point""}","Transitions Pro Île-de-France, Place Johann Strauss, Quartier de la Porte-Saint-Martin, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France",office,association
1,Europe,Europe,"['*...The Paris Region had a GDP of €739 billion ($743 billion) in 2019, the highest in Europe....', '*...Paris is a major railway, highway, and air-transport hub served by two international airports: Charles de Gaulle Airport (the second-busiest airport in Europe) and Orly Airport....', ""*...Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily; it is the second-busiest metro system in Europe after the Moscow Metro...."", ""*...The Pompidou Centre Musée National d'Art Moderne has the largest collection of modern and contemporary art in Europe and Musée Rodin and Musée Picasso...."", ""*...In 1190, he transformed Paris's former cathedral school into a student-teacher corporation that would become the University of Paris and would draw students from all of Europe...."", '*...With 200,000 inhabitants in 1328, Paris, then already the capital of France, was the most populous city of Europe....', '*...By the early fourteenth century so much filth had collected inside urban Europe that French and Italian cities were naming streets after human waste....', '*...During the 17th century, Cardinal Richelieu, chief minister of Louis XIII, was determined to make Paris the most beautiful city in Europe....', '*...Paris was the financial capital of continental Europe, the primary European centre of book publishing and fashion and the manufacture of fine furniture and luxury goods....', '*...Despite the drop, Paris remains the most densely-populated city in Europe, with 252 residents per hectare, not counting parks....', '*...According to the 2012 census, 135,853 residents of the City of Paris were immigrants from Europe, 112,369 were immigrants from the Maghreb, 70,852 from sub-Saharan Africa and Egypt, 5,059 from Turkey, 91,297 from Asia (outside Turkey), 38,858 from the Americas, and 1,365 from the South Pacific....', '*...Note that the immigrants from the Americas and the South Pacific in Paris are vastly outnumbered by migrants from French overseas regions and territories located in these regions of the world.[citation needed]\nIn the Paris Region, 590,504 residents were immigrants from Europe, 627,078 were immigrants from the Maghreb, 435,339 from sub-Saharan Africa and Egypt, 69,338 from Turkey, 322,330 from Asia (outside Turkey), 113,363 from the Americas, and 2,261 from the South Pacific....', '*...In 2019, its GDP ranked first among the regions of Europe and its per-capita GDP PPP was the 7th highest in Europe....', '*...In the 2017 worldwide cost of living survey by the Economist Intelligence Unit, based on a survey made in September 2016, Paris ranked as the seventh most expensive city in the world, and the second most expensive in Europe, after Zurich....', ""*...Paris hosts one of the largest science museums in Europe, the Cité des sciences et de l'industrie, (984,000 visitors in 2020)...."", '*...The Guimet Museum, or Musée national des arts asiatiques, has one of the largest collections of Asian art in Europe....', '*...On 2 February 2000, Philippe Binant realised the first digital Cinema projection in Europe, with the DLP CINEMA technology developed by Texas Instruments, in Paris....', '*...There are also many business schools, including HEC, INSEAD, ESSEC, and ESCP Europe....', '*...It is the largest hospital system in Europe....', '*...Other hospitals include Pitié-Salpêtrière Hospital (one of the largest in Europe), Hôpital Cochin, Bichat–Claude Bernard Hospital, Hôpital Européen Georges-Pompidou, Bicêtre Hospital, Beaujon Hospital, the Curie Institute, Lariboisière Hospital, Necker–Enfants Malades Hospital, Hôpital Saint-Louis, Hôpital de la Charité and the American Hospital of Paris....']","Europe, Rue de Vienne, Quartier de l'Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France","{""coordinates"": [2.32319, 48.878643], ""type"": ""Point""}","Europe, Rue de Vienne, Quartier de l'Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France",highway,bus_stop
2,Orly Airport,Orly Airport,"['*...Paris is a major railway, highway, and air-transport hub served by two international airports: Charles de Gaulle Airport (the second-busiest airport in Europe) and Orly Airport....', '*...The city is served by three commercial international airports: Charles de Gaulle Airport, Orly Airport and Beauvais–Tillé Airport....', '*...Orly Airport, located in the southern suburbs of Paris, replaced Le Bourget as the principal airport of Paris from the 1950s to the 1980s....']","Hilton Garden Inn Paris Orly Airport, 4, Place des États-Unis, Parc ICADE Paris Orly-Rungis, Rungis, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Ile-de-France, Metropolitan France, 94150, France","{""coordinates"": [2.355722, 48.748477], ""type"": ""Point""}","Hilton Garden Inn Paris Orly Airport, 4, Place des États-Unis, Parc ICADE Paris Orly-Rungis, Rungis, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Ile-de-France, Metropolitan France, 94150, France",tourism,hotel
3,Paris Métro,Paris Métro,"[""...Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily; it is the second-busiest metro system in Europe after the Moscow Metro...."", '*...Late in the 19th century, Paris hosted two major international expositions: the 1889 Universal Exposition, was held to mark the centennial of the French Revolution and featured the new Eiffel Tower; and the 1900 Universal Exposition, which gave Paris the Pont Alexandre III, the Grand Palais, the Petit Palais and the first Paris Métro line....', '*...A suburban railway network, the RER (Réseau Express Régional), was built to complement the Métro; the Périphérique expressway encircling the city, was completed in 1973....', '*...The syndicate coordinates public transport and contracts it out to the RATP (operating 347 bus lines, the Métro, eight tramway lines, and sections of the RER), the SNCF (operating suburban rails, one tramway line and the other sections of the RER) and the Optile consortium of private operators managing 1,176 bus lines....', ""*...Since the inauguration of its first line in 1900, Paris's Métro network has grown to become the city's most widely used local transport system; today it carries about 5.23 million passengers daily through 16 lines, 308 stations (391 stops) and 226.9\xa0km (141.0\xa0mi) of rails...."", '*...Over €26.5 billion will be invested over the next 15 years to extend the Métro network into the suburbs, with notably the Grand Paris Express project....']","Gare d'Austerlitz, Pont de la Salpêtrière, Quartier de la Salpêtrière, 13th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75013, France","{""coordinates"": [2.366849, 48.840533], ""type"": ""Point""}","Gare d'Austerlitz, Pont de la Salpêtrière, Quartier de la Salpêtrière, 13th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75013, France",railway,stop
5,Gare du Nord,Gare du Nord,"['*...Gare du Nord is the 24th-busiest railway station in the world and the busiest outside Japan, with 262 million passengers in 2015....', ""*...A central hub of the national rail network, Paris's six major railway stations (Gare du Nord, Gare de l'Est, Gare de Lyon, Gare d'Austerlitz, Gare Montparnasse, Gare Saint-Lazare) and a minor one (Gare de Bercy) are connected to three networks: the TGV serving four high-speed rail lines, the normal speed Corail trains, and the suburban rails (Transilien)....""]","Gare du Nord, Rue de Saint-Quentin, Quartier Saint-Vincent-de-Paul, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France","{""coordinates"": [2.355795, 48.879456], ""type"": ""Point""}","Gare du Nord, Rue de Saint-Quentin, Quartier Saint-Vincent-de-Paul, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France",highway,bus_stop
6,Sainte-Chapelle,Sainte-Chapelle,"['*...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....', '...The centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral (now closed for restoration) and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre....']","Sainte-Chapelle, 8, Boulevard du Palais, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France","{""coordinates"": [2.344994, 48.855393], ""type"": ""Point""}","Sainte-Chapelle, 8, Boulevard du Palais, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France",amenity,place_of_worship
7,Eiffel Tower,Eiffel Tower,"['...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....', '*...Late in the 19th century, Paris hosted two major international expositions: the 1889 Universal Exposition, was held to mark the centennial of the French Revolution and featured the new Eiffel Tower; and the 1900 Universal Exposition, which gave Paris the Pont Alexandre III, the Grand Palais, the Petit Palais and the first Paris Métro line....', '...The 19th century produced the neoclassical church of La Madeleine (1808–1842), the Palais Garnier serving as an opera house (1875), the neo-Byzantine Basilica of Sacré-Cœur (1875–1919), as well as the exuberant Belle Époque modernism of the Eiffel Tower (1889)....', ""...The city's top cultural attraction in 2019 was the Basilica of Sacré-Cœur (11 million visitors), followed by the Louvre (9.6 million visitors); the Eiffel Tower (6.1 million visitors); the Centre Pompidou (3.5 million visitors); and the Musée d'Orsay (3.3 million visitors)...."", '...The centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral (now closed for restoration) and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre....', '...It includes a flypast over the Champs Élysées by the Patrouille de France, a parade of military units and equipment, and a display of fireworks in the evening, the most spectacular being the one at the Eiffel Tower....']","Eiffel Tower, 5, Avenue Anatole France, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France","{""coordinates"": [2.294499, 48.85826], ""type"": ""Point""}","Eiffel Tower, 5, Avenue Anatole France, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France",tourism,attraction
8,Basilica of Sacré-Coeur,Basilica of Sacré-Coeur,"['*...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....']","Basilica of the Sacred Heart of Paris, Rue du Chevalier de la Barre, Château Rouge, Quartier de Clignancourt, 18th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75018, France","{""coordinates"": [2.343015, 48.886806], ""type"": ""Point""}","Basilica of the Sacred Heart of Paris, Rue du Chevalier de la Barre, Château Rouge, Quartier de Clignancourt, 18th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75018, France",amenity,place_of_worship
10,Place du Carrousel,Place du Carrousel,"['...Gas lights were installed on the Place du Carrousel, Rue de Rivoli and Place Vendome in 1829....']","Place du Carrousel, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France","{""coordinates"": [2.334495, 48.861276], ""type"": ""Point""}","Place du Carrousel, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France",highway,service
11,Rue de Rivoli,Rue de Rivoli,"['*...Gas lights were installed on the Place du Carrousel, Rue de Rivoli and Place Vendome in 1829....']","Rue de Rivoli, Beaubourg, Quartier Saint-Merri, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France","{""coordinates"": [2.35145, 48.85749], ""type"": ""Point""}","Rue de Rivoli, Beaubourg, Quartier Saint-Merri, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France",highway,secondary
