,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Peter and Paul Fortress,Peter and Paul Fortress,"['...The consecration of the small wooden church in their names (its construction began at the same time as the citadel) made them the heavenly patrons of the Peter and Paul Fortress, while Saint Peter at the same time became the eponym of the whole city....', '...On 27 May\xa0[O.S. 16 May]\xa01703, closer to the estuary (5\xa0km (3\xa0mi) inland from the gulf), on Zayachy (Hare) Island, he laid down the Peter and Paul Fortress, which became the first brick and stone building of the new city....', '...While the city was being built, Peter lived in a three-room log cabin with his wife Catherine and their children.[citation needed]\nDuring its first few years, the city developed around Trinity Square on the right bank of the Neva, near the Peter and Paul Fortress....', '...The ensemble of Peter and Paul Fortress with the Peter and Paul Cathedral takes a dominant position on Zayachy Island along the right bank of the Neva River....', '...Other notable museums include the Central Naval Museum, and Zoological Museum, Central Soil Museum, the Russian Railway Museum, Suvorov Museum, Museum of the Siege of Leningrad, Erarta Museum of Contemporary Art, the largest non-governmental museum of contemporary art in Russia, Saint Petersburg Museum of History in the Peter and Paul Fortress and Artillery Museum, which includes not only artillery items, but also a huge collection of other military equipment, uniforms, and decorations....']","Peter and Paul Fortress, Кронверкская набережная, Petrograd Side, округ Кронверкское, Saint Petersburg, Northwestern Federal District, 197101, Russia","{""coordinates"": [30.316449, 59.950054], ""type"": ""Point""}","Peter and Paul Fortress, Кронверкская набережная, Petrograd Side, округ Кронверкское, Saint Petersburg, Northwestern Federal District, 197101, Russia",tourism,attraction
5,Menshikov Palace,Menshikov Palace,"['...The style of Petrine Baroque, developed by Trezzini and other architects and exemplified by such buildings as the Menshikov Palace, Kunstkamera, Peter and Paul Cathedral, Twelve Collegia, became prominent in the city architecture of the early 18th century....', ""*...The southern coast of Vasilyevsky Island along the Bolshaya Neva features some of the city's oldest buildings, dating from the 18th century, including the Kunstkamera, Twelve Collegia, Menshikov Palace and Imperial Academy of Arts....""]","Menshikov Palace, 15, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia","{""coordinates"": [30.29531, 59.938935], ""type"": ""Point""}","Menshikov Palace, 15, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia",tourism,museum
8,Winter Palace,Winter Palace,"['...Baroque architecture became dominant in the city during the first sixty years, culminating in the Elizabethan Baroque, represented most notably by Italian Bartolomeo Rastrelli with such buildings as the Winter Palace....', '...Established in 1762, the Commission of Stone Buildings of Moscow and Saint Petersburg ruled that no structure in the city could be higher than the Winter Palace and prohibited spacing between buildings....', '...On 7 November\xa0[O.S. 25 October]\xa01917, the Bolsheviks, led by Vladimir Lenin, stormed the Winter Palace in an event known thereafter as the October Revolution, which led to the end of the post-Tsarist provisional government, the transfer of all political power to the Soviets, and the rise of the Communist Party....', '...On the southern, left bank of the Neva, connected to the spit of Vasilyevsky Island via the Palace Bridge, lie the Admiralty building, the vast Hermitage Museum complex stretching along the Palace Embankment, which includes the Baroque Winter Palace, former official residence of Russian emperors, as well as the neoclassical Marble Palace....', ""...The Winter Palace faces Palace Square, the city's main square with the Alexander Column....""]","Winter Palace, 38 литА, Palace Embankment, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia","{""coordinates"": [30.315189, 59.940463], ""type"": ""Point""}","Winter Palace, 38 литА, Palace Embankment, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia",historic,palace
9,Moscow Triumphal Gate,Moscow Triumphal Gate,"['*...Vasily Stasov (Moscow Triumphal Gate, Trinity Cathedral) ;...']","The Moscow triumphal gate, площадь Московские Ворота, Blizhnyaya Rogatka, округ Московская застава, Saint Petersburg, Northwestern Federal District, 196006, Russia","{""coordinates"": [30.319429, 59.891404], ""type"": ""Point""}","The Moscow triumphal gate, площадь Московские Ворота, Blizhnyaya Rogatka, округ Московская застава, Saint Petersburg, Northwestern Federal District, 196006, Russia",tourism,attraction
10,Senate Square,Senate Square,"['...In 1825, the suppressed Decembrist revolt against Nicholas\xa0I took place on the Senate Square in the city, a day after Nicholas assumed the throne....', ""*...Many notable landmarks are to the west and south of the Admiralty Building, including the Trinity Cathedral, Mariinsky Palace, Hotel Astoria, famous Mariinsky Theatre, New Holland Island, Saint Isaac's Cathedral, the largest in the city, and Senate Square, with the Bronze Horseman, 18th-century equestrian monument to Peter the Great, which is considered among the city's most recognisable symbols....""]","Senate square, Адмиралтейский округ, Saint Petersburg, Northwestern Federal District, 191011, Russia","{""coordinates"": [30.303246, 59.934919], ""type"": ""Point""}","Senate square, Адмиралтейский округ, Saint Petersburg, Northwestern Federal District, 191011, Russia",highway,secondary
12,Palace Square,Palace Square,"['*...Nevsky Prospekt with Palace Square maintained the functions and the role of a city centre....', ""*...The Winter Palace faces Palace Square, the city's main square with the Alexander Column...."", '*...It starts at the Admiralty and runs eastwards next to Palace Square....', '*...An art symbol of the twinning was unveiled on Palace Square in Saint Petersburg, defaced and removed...']","Palace Square, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia","{""coordinates"": [30.315757, 59.939146], ""type"": ""Point""}","Palace Square, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia",highway,living_street
23,Neva Bay,Neva Bay,"['...Petersburg is on the middle taiga lowlands along the shores of the Neva Bay of the Gulf of Finland, and islands of the river delta....', '...The largest are Vasilyevsky Island (besides the artificial island between Obvodny canal and Fontanka, and Kotlin in the Neva Bay), Petrogradsky, Dekabristov and Krestovsky....', '...Floods in Saint Petersburg are triggered by a long wave in the Baltic Sea, caused by meteorological conditions, winds and shallowness of the Neva Bay....', '...The city is also served by passenger and cargo seaports[clarification needed] in the Neva Bay of the Gulf of Finland, Baltic Sea, the river port higher up the Neva and tens of smaller passenger stations on both banks of the Neva river....']","North Coast of the Neva Bay, Кольцевая улица, Dubki, Lisy Nos, Saint Petersburg, Northwestern Federal District, 189645, Russia","{""coordinates"": [30.049234, 60.000763], ""type"": ""Point""}","North Coast of the Neva Bay, Кольцевая улица, Dubki, Lisy Nos, Saint Petersburg, Northwestern Federal District, 189645, Russia",leisure,nature_reserve
32,Kazan Cathedral,Kazan Cathedral,"['...Andrey Voronikhin (Mining Institute, Kazan Cathedral) ;...', '...The oldest cathedral in the city is the Peter and Paul Cathedral, built between 1712–1733, and the largest is the Kazan Cathedral, completed in 1811....', ""...The Passage, Catholic Church of St. Catherine, Book House (former Singer Manufacturing Company Building in the Art Nouveau style), Grand Hotel Europe, Lutheran Church of Saint Peter and Saint Paul, Great Gostiny Dvor, Russian National Library, Alexandrine Theatre behind Mikeshin's statue of Catherine the Great, Kazan Cathedral, Stroganov Palace, Anichkov Palace and Beloselsky-Belozersky Palace are all along that avenue....""]","Kazansky Cathedral, 2, Казанская улица, Apraksin Dvor, округ № 78, Saint Petersburg, Northwestern Federal District, 191186, Russia","{""coordinates"": [30.324639, 59.934464], ""type"": ""Point""}","Kazansky Cathedral, 2, Казанская улица, Apraksin Dvor, округ № 78, Saint Petersburg, Northwestern Federal District, 191186, Russia",amenity,place_of_worship
36,Morskoy Vokzal,Morskoy Vokzal,"['*...The Port of Saint Petersburg has three large cargo terminals, Bolshoi Port Saint Petersburg, Kronstadt, and Lomonosov terminal.[citation needed] International cruise liners have been served at the passenger port at Morskoy Vokzal on the south-west of Vasilyevsky Island....']","Morskoy Vokzal Hotel, 1, площадь Морской Славы, Gavan, округ Гавань, Saint Petersburg, Northwestern Federal District, 199106, Russia","{""coordinates"": [30.235701, 59.925929], ""type"": ""Point""}","Morskoy Vokzal Hotel, 1, площадь Морской Славы, Gavan, округ Гавань, Saint Petersburg, Northwestern Federal District, 199106, Russia",tourism,hotel
37,Leader Tower,Leader Tower,"['*...Saint Petersburg has three skyscrapers: Leader Tower (140 m), Alexander Nevsky (124 m) and Atlantic City (105 m) all far from the historical centre....']","Leader Tower, 3 к2, площадь Конституции, Predportovaya, округ Новоизмайловское, Saint Petersburg, Northwestern Federal District, 196247, Russia","{""coordinates"": [30.304661, 59.850402], ""type"": ""Point""}","Leader Tower, 3 к2, площадь Конституции, Predportovaya, округ Новоизмайловское, Saint Petersburg, Northwestern Federal District, 196247, Russia",building,office
