,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Alcázar,Alcázar,"['*...Its old town, with an area of 4 square kilometres (2\xa0sq\xa0mi), contains a UNESCO World Heritage Site comprising three buildings: the Alcázar palace complex, the Cathedral and the General Archive of the Indies....', ""*...Legend states that the title was given by King Alfonso X, who was resident in the city's Alcázar and supported by the citizens when his son, later Sancho IV of Castile, tried to usurp the throne from him...."", '...Archaeological excavations in 1999 found anthropic remains under the north wall of the Real Alcázar dating to the 8th–7th century BC....', ""*...The Moors' Palace became the Castilian royal residence, and during Pedro I's rule it was replaced by the Alcázar (the upper levels are still used by the Spanish royal family as the official Seville residence)...."", '*...The Alcázar, the Cathedral, and the Archivo General de Indias (General Archive of the Indies) are UNESCO World Heritage Sites....', '*...The Alcázar facing the cathedral was developed from a previous Moorish Palace which was developed from a Visigoth establishment which was itself developed from an existing Roman construction....', '*...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', '*...The Alcázar Gardens, within the grounds of the Alcázar palace, consist of several sectors developed in different historical styles....', '*...The Gardens of Murillo and the Gardens of Catalina de Ribera, both along and outside the South wall of the Alcázar, lie next to the Santa Cruz quarter....', '...The Alcázar and other sites appear in the television series Game of Thrones, in the cities of Dorne....']","Alcázar of Seville, Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.990184, 37.383211], ""type"": ""Point""}","Alcázar of Seville, Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",tourism,attraction
9,Cuesta del Rosario,Cuesta del Rosario,"['*...The original core of the city, in the neighbourhood of the present-day street, Cuesta del Rosario, dates to the 8th century BC, when Seville was on an island in the Guadalquivir....']","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991189, 37.389812], ""type"": ""Point""}","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",highway,living_street
11,Metropol Parasol,Metropol Parasol,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '*...In 2004 the Metropol Parasol project, commonly known as Las Setas (The Mushrooms), due to the appearance of the structure, was launched to revitalise the Plaza de la Encarnación, for years used as a car park and seen as a dead spot between more popular tourist destinations in the city....', '...The Metropol Parasol was completed in March 2011, costing just over €102\xa0million in total, more than twice as much as originally planned....', ""...The Metropol Parasol, in La Encarnación square, is the world's largest wooden structure...."", '*...The Antiquarium in Metropol Parasol, an underground museum which is composed of the most important archaeological site of the ancient Roman stage of Seville and remains preserved....', '...The Seville metro (""Metro de Sevilla"" in Spanish) is a light metro network serving the city of Seville and its metropolitan area....', '*...It was the sixth Metro system to be built in Spain, after those in Madrid, Barcelona, Valencia, Bilbao and Palma de Mallorca....', '*...Currently, it is the fifth-biggest Metro company in Spain by the number of passengers carried (more than 12,000,000 in 2009)....', '...The metro of Sevilla has 1 line with 22 stations and is currently expanding, with 3 more different lines projected.[citation needed]\nMetroCentro is a surface tramway serving the centre of the city....', '...This extension was postponed although the City Council had made expanding the metro lines a priority.[citation needed]\nThe Seville-Santa Justa railway station is served by the AVE high-speed rail system, operated by the Spanish state-owned rail company Renfe....']","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain","{""coordinates"": [-5.991853, 37.393119], ""type"": ""Point""}","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain",tourism,attraction
13,La Alameda de Hércules,La Alameda de Hércules,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain","{""coordinates"": [-5.992168, 37.400255], ""type"": ""Point""}","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain",office,association
14,Patio de Banderas,Patio de Banderas,"['...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain","{""coordinates"": [-5.991303, 37.384831], ""type"": ""Point""}","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain",highway,pedestrian
15,Seville Cathedral,Seville Cathedral,"['...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '...Public buildings were constructed including churches—many of which were built in the Mudéjar and Gothic styles—such as the Seville Cathedral, built during the 15th century with Gothic architecture....', '...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', ""*...In the 2016 film Assassin's Creed, Master Assassins Aguilar de Nerha and Maria escape execution and are pursued by Templars through the city, eventually performing Leaps of Faith off of an unfinished Seville Cathedral to escape....""]","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.993141, 37.385915], ""type"": ""Point""}","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",amenity,place_of_worship
18,Plaza de San Francisco,Plaza de San Francisco,"[""...The Plaza de San Francisco was the site of the 'autos de fé'....""]","Plaza de San Francisco, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41001, Spain","{""coordinates"": [-5.993981, 37.388734], ""type"": ""Point""}","Plaza de San Francisco, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41001, Spain",highway,living_street
19,Medina del Campo,Medina del Campo,"['*...By 1492, tribunals existed in eight Castilian cities: Ávila, Córdoba, Jaén, Medina del Campo, Segovia, Sigüenza, Toledo, and Valladolid; and by the Alhambra Decree all Jews were forced to convert to Catholicism or be exiled (expelled) from Spain....']","Calle Medina del Campo, Amate, Distrito Cerro-Amate, Seville, Sevilla, Andalusia, 41006, Spain","{""coordinates"": [-5.957502, 37.377779], ""type"": ""Point""}","Calle Medina del Campo, Amate, Distrito Cerro-Amate, Seville, Sevilla, Andalusia, 41006, Spain",highway,residential
21,Americas,Americas,"[""*...A 'golden age of development' commenced in Seville, due to its being the only port awarded the royal monopoly for trade with the growing Spanish colonies in the Americas and the influx of riches from them...."", '*...Since only sailing ships leaving from and returning to the inland port of Seville could engage in trade with the Spanish Americas, merchants from Europe and other trade centres needed to go to Seville to acquire New World trade goods....', '*...His short story Rinconete y Cortadillo, since the 19th century one of his most-read pieces, includes much description of Sevillian society; it features two young vagabonds who come to Seville, attracted by the riches and disorder that the 16th-century commerce with the Americas had brought to the city....', '*...In 1992, coinciding with the fifth centenary of the Discovery of the Americas, the Universal Exposition was held for six months in Seville, on the occasion of which the local communications network and urban infrastructure was greatly improved under a 1987 PGOU plan launched by Mayor Manuel del Valle: the SE-30 ring road around the city was completed and new highways were constructed; the new Seville-Santa Justa railway station had opened in 1991, while the Spanish High-Speed Rail system, the Alta Velocidad Española (AVE), began to operate between Madrid-Seville....', '*...The General Archive of the Indies, is the repository of extremely valuable archival documents illustrating the history of the Spanish Empire in the Americas and the Philippines....', ""*...The Plaza of the Americas also appeared in Lawrence, substituting for Jerusalem, and in Anthony Mann's El Cid. It also appears as the Palace of Vladek Sheybal's Bashaw in The Wind and the Lion (1975)....""]","Avenida de las Américas, Mairena del Aljarafe, Sevilla, Andalusia, 41927, Spain","{""coordinates"": [-6.049914, 37.349978], ""type"": ""Point""}","Avenida de las Américas, Mairena del Aljarafe, Sevilla, Andalusia, 41927, Spain",highway,tertiary
24,La Cartuja,La Cartuja,"['*...Industrial architecture surviving today from the first half of the 19th century includes the ceramics factory installed in the Carthusian monastery at La Cartuja in 1841 by the Pickman family, and now home to the El Centro Andaluz de Arte Contemporáneo (CAAC), which manages the collections of the Museo de Arte Contemporáneo de Sevilla....', '...Most of the city is on the east side of the river, while Triana, La Cartuja and Los Remedios are on the west side....', '*...The administrative headquarters are in Torre Triana, in La Cartuja....', '*...The Andalusian Contemporary Art Centre, situated in the neighbourhood of La Cartuja....', ""*...The American Garden, also completed for Expo '92, is in La Cartuja. It is a public botanical garden, with a representative collection of American plants donated by different countries on the occasion of the world exposition. Despite its extraordinary botanical value, it remains a mostly abandoned place...."", ""*...Also Sevilla's stadium hosted the 1986 European Cup Final and the multi-purpose stadium built in 1999 La Cartuja, was the venue for the 2003 UEFA Cup Final...."", '...The city unsuccessfully bid for the 2004 and 2008 Summer Olympics, for which the 60,000-seat Estadio de La Cartuja was designed to stage....']","La Cartuja, Camino de los Descubrimientos, Triana, Seville, Sevilla, Andalusia, 41092, Spain","{""coordinates"": [-6.007141, 37.397064], ""type"": ""Point""}","La Cartuja, Camino de los Descubrimientos, Triana, Seville, Sevilla, Andalusia, 41092, Spain",building,yes
