,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Vitosha,Vitosha,"['*...It is situated in the Sofia Valley at the foot of the Vitosha mountain in the western parts of the country....', '*...It is surrounded by mountainsides, such as Vitosha by the southern side, Lyulin by the western side, and the Balkan Mountains by the north, which makes it the third highest European capital after Andorra la Vella and Madrid....', ""...The earliest works where this latest name is registered are the duplicate of the Gospel of Serdica, in a dialogue between two salesmen from Dubrovnik around 1359, in the 14th-century Vitosha Charter of Bulgarian tsar Ivan Shishman and in a Ragusan merchant's notes of 1376...."", '*...It is situated in western Bulgaria, at the northern foot of the Vitosha mountain, in the Sofia Valley that is surrounded by the Balkan mountains to the north....', '*...Three mountain passes lead to the city, which have been key roads since antiquity, Vitosha being the watershed between Black and Aegean Seas....', '*...The Vitosha Nature Park (the oldest national park in the Balkans) includes most of Vitosha mountain and covers an area of 266 square kilometres (103\xa0sq\xa0mi), with roughly half of it lying within the municipality of Sofia....', '...Vitosha mountain is a popular hiking destination due to its proximity and ease of access via car and public transport....', '...Vitosha Boulevard, also called Vitoshka, is a pedestrian zone with numerous cafés, restaurants, fashion boutiques, and luxury goods stores....', ""*...Sofia's geographic location, in the foothills of the weekend retreat Vitosha mountain, further adds to the city's specific atmosphere...."", '...In July 2016 the Vitosha Metro Station was opened on the M2 main line....']","Vitosha, bul. Cherni vrah, кв. Хладилника, Triadica, Sofia, Sofia City, Sofia-City, 1407, Bulgaria","{""coordinates"": [23.316268, 42.658178], ""type"": ""Point""}","Vitosha, bul. Cherni vrah, кв. Хладилника, Triadica, Sofia, Sofia City, Sofia-City, 1407, Bulgaria",railway,station
6,Banya Bashi Mosque,Banya Bashi Mosque,"['*...This is due to the fact that three temples of three major world religions—Christianity, Islam and Judaism—are situated close together: Sveta Nedelya Church, Banya Bashi Mosque and Sofia Synagogue....', '*...Most prominent churches such as Saint Sofia and Saint George were converted into mosques, and a number of new ones were constructed, including Banya Bashi Mosque built by the renowned Ottoman architect Mimar Sinan....']","Banya Bashi Mosque, bul. Knyaginya Mariya Luiza, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.322572, 42.6995], ""type"": ""Point""}","Banya Bashi Mosque, bul. Knyaginya Mariya Luiza, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",amenity,place_of_worship
8,Serdica Amphitheatre,Serdica Amphitheatre,"['...With its cultural significance in Southeast Europe, Sofia is home to the National Opera and Ballet of Bulgaria, the National Palace of Culture, the Vasil Levski National Stadium, the Ivan Vazov National Theatre, the National Archaeological Museum, and the Serdica Amphitheatre....', '...Known as Serdica in Antiquity and Sredets in the Middle Ages, Sofia has been an area of human habitation since at least 7000 BC....', '...The recorded history of the city begins with the attestation of the conquest of Serdica by the Roman Republic in 29 BC from the Celtic tribe Serdi....', '...In 809, Serdica was incorporated into the Bulgarian Empire by Khan Krum and became known as Sredets....', '...For a long time the city possessed a Thracian name, Serdica (Ancient Greek:  Serdikē, or  Sardikē; Latin:  or ), derived from the tribe Serdi, who were either of Thracian, Celtic, or mixed Thracian-Celtic origin....', '...The emperor Marcus Ulpius Traianus (53–117 AD) gave the city the combinative name of Ulpia Serdica; Ulpia may be derived from an Umbrian cognate of the Latin word lupus, meaning ""wolf"" or from the Latin vulpes (fox)....', '...It seems that the first written mention of Serdica was made during his reign and the last mention was in the 19th century in a Bulgarian text (Сардакіи, Sardaki)....', ""...The earliest works where this latest name is registered are the duplicate of the Gospel of Serdica, in a dialogue between two salesmen from Dubrovnik around 1359, in the 14th-century Vitosha Charter of Bulgarian tsar Ivan Shishman and in a Ragusan merchant's notes of 1376...."", '...In 27–29 BC, according do Dio Cassius, Pliny and Ptolemy, the region ""Segetike"" was attacked by Crassus, which is assumed to be Serdica, or the city of the Serdi....', '...Serdica expanded, as turrets, protective walls, public baths, administrative and cult buildings, a civic basilica, an amphitheatre, a circus, the City council (Boulé), a large forum, a big circus (theatre), etc. were built....', '...Serdica was a significant city on the Roman road Via Militaris, connecting Singidunum and Byzantium....', '...In the 3rd century, it became the capital of Dacia Aureliana, and when Emperor Diocletian divided the province of Dacia Aureliana into Dacia Ripensis (at the banks of the Danube) and Dacia Mediterranea, Serdica became the capital of the latter....', ""...Serdica's citizens of Thracian descent were referred to as Illyrians probably because it was at some time the capital of Eastern Illyria (Second Illyria)...."", '...When Emperor Diocletian divided the province of Dacia into Dacia Ripensis (on the banks of the Danube) and Dacia Mediterranea, Serdica became the capital of the latter....', '...Roman emperors Aurelian (215–275) and Galerius (260–311) were born in Serdica....', '...The Edict of Toleration by Galerius was issued in 311 in Serdica by the Roman emperor Galerius, officially ending the Diocletianic persecution of Christianity....', '...Serdica was the capital of the Diocese of Dacia (337-602)....', ""...It was 'Sardica mea Roma est' (Serdica is my Rome)...."", '...He considered making Serdica the capital of the Byzantine Empire instead of Constantinople....', '...Serdica became part of the First Bulgarian Empire during the reign of Khan Krum in 809, after a long siege....', '...These include the 4th century Rotunda of St. George, the walls of the Serdica fortress and the partially preserved Amphitheatre of Serdica....', '*...The city center contains many remains of ancient Serdica that have been excavated and are on public display, including Complex Ancient Serdica, eastern gate,  western gate, city walls, thermal baths, 4th c. church of St. George Rotunda, amphitheatre of Serdica, the tombs and basilicas under the basilica of St. Sophia....', '...Serdica Peak on Livingston Island in the South Shetland Islands, Antarctica is named after Serdica....']","Amphitheatre of Serdica, 2-4, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.328222, 42.697473], ""type"": ""Point""}","Amphitheatre of Serdica, 2-4, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",tourism,attraction
12,Sofia Airport,Sofia Airport,"['*...The Iskar flows north toward the Balkan Mountains, passing between the eastern city suburbs, next to the main building and below the runways of Sofia Airport, and flows out of the Sofia Valley at the town of Novi Iskar, where the scenic Iskar Gorge begins....', '*...Sofia Airport handled 7,107,096 passengers in 2019....', '*...In 2015 seven new stations were opened and the underground extended to Sofia Airport on its Northern branch and to Business Park Sofia on its Southern branch....']","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria","{""coordinates"": [23.414218, 42.695575], ""type"": ""Point""}","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria",aeroway,aerodrome
14,Eagles' Bridge,Eagles' Bridge,"[""*...A monitoring station on Eagles' Bridge, where some of the highest particulate matter values were measured, was moved away from the location and has measured sharply lower values since then....""]","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria","{""coordinates"": [23.337433, 42.690646], ""type"": ""Point""}","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria",highway,primary
16,Vatican,Vatican,"['*...In 1610 the Vatican established the See of Sofia for Catholics of Rumelia, which existed until 1715 when most Catholics had emigrated....']","Embassy of the Holy See (Vatican), 6, 11-ti avgust, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.332592, 42.697502], ""type"": ""Point""}","Embassy of the Holy See (Vatican), 6, 11-ti avgust, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",office,diplomatic
17,Largo,Largo,"['*...Stalinist Gothic public buildings emerged in the centre, notably the spacious government complex around The Largo, Vasil Levski Stadium, the Cyril and Methodius National Library and others....', '*...The President, along with the Council of Ministers, is located on Independence Square, also known as The Largo or The Triangle of Power....']","Ларгото, Oborishte, Sofia, Sofia City, Sofia-City, Bulgaria","{""coordinates"": [23.322918, 42.697786], ""type"": ""Point""}","Ларгото, Oborishte, Sofia, Sofia City, Sofia-City, Bulgaria",highway,pedestrian
21,Earth,Earth,"['*...Two natural sciences museums—the Natural History Museum and Earth and Man—display minerals, animal species (alive and taxidermic) and rare materials....']","Музей Земята и хората, bul. Cherni vrah, ж.к. Лозенец, Triadica, Sofia, Sofia City, Sofia-City, 1421, Bulgaria","{""coordinates"": [23.321134, 42.680196], ""type"": ""Point""}","Музей Земята и хората, bul. Cherni vrah, ж.к. Лозенец, Triadica, Sofia, Sofia City, Sofia-City, 1421, Bulgaria",railway,subway_entrance
23,St. George Rotunda,St. George Rotunda,"['*...The city center contains many remains of ancient Serdica that have been excavated and are on public display, including Complex Ancient Serdica, eastern gate,  western gate, city walls, thermal baths, 4th c. church of St. George Rotunda, amphitheatre of Serdica, the tombs and basilicas under the basilica of St. Sophia....']","Saint George Rotunda, 2, bul. Knyaz Aleksandar Dondukov, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.322888, 42.696909], ""type"": ""Point""}","Saint George Rotunda, 2, bul. Knyaz Aleksandar Dondukov, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",amenity,place_of_worship
24,Lokomotiv Stadium,Lokomotiv Stadium,"['*...The city is home to a number of large sports venues, including the 43,000-seat Vasil Levski National Stadium which hosts international football matches, as well as Balgarska Armia Stadium, Georgi Asparuhov Stadium and Lokomotiv Stadium, the main venues for outdoor musical concerts....']","Lokomotiv Stadium, 26, bul. Rozhen, Voenna rampa, zh.k. Svoboda, Nadejda, Sofia, Sofia City, Sofia-City, 1231, Bulgaria","{""coordinates"": [23.314729, 42.737532], ""type"": ""Point""}","Lokomotiv Stadium, 26, bul. Rozhen, Voenna rampa, zh.k. Svoboda, Nadejda, Sofia, Sofia City, Sofia-City, 1231, Bulgaria",leisure,stadium
26,Business Park Sofia,Business Park Sofia,"['*...Several office and tech clusters have been established across the city, including Business Park Sofia, Sofia Tech Park, Capital Fort and others....', '*...In 2015 seven new stations were opened and the underground extended to Sofia Airport on its Northern branch and to Business Park Sofia on its Southern branch....']","Business park Sofia, bul. Aleksandar Malinov, ж.к. Младост 4, Mladost, Sofia, Sofia City, Sofia-City, 1766, Bulgaria","{""coordinates"": [23.373135, 42.629394], ""type"": ""Point""}","Business park Sofia, bul. Aleksandar Malinov, ж.к. Младост 4, Mladost, Sofia, Sofia City, Sofia-City, 1766, Bulgaria",railway,station
27,Capital Fort,Capital Fort,"['...The 126-metre (413\xa0ft) Capital Fort Business Centre is the first skyscraper in Bulgaria, with its 36 floors....', '*...Several office and tech clusters have been established across the city, including Business Park Sofia, Sofia Tech Park, Capital Fort and others....']","Capital Fort Business Center, 90, Tsarigradsko Shose blvd., 7-ми 11-ти километър, Mladost, Sofia, Sofia City, Sofia-City, 1784, Bulgaria","{""coordinates"": [23.395813, 42.646504], ""type"": ""Point""}","Capital Fort Business Center, 90, Tsarigradsko Shose blvd., 7-ми 11-ти километър, Mladost, Sofia, Sofia City, Sofia-City, 1784, Bulgaria",building,yes
