,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Asia,Asia,"['*...Toronto is known for its many skyscrapers and high-rise buildings, in particular the tallest free-standing structure on land outside of Asia, the CN Tower....', ""*...The Gardiner Museum of ceramic art is the only museum in Canada entirely devoted to ceramics, and the Museum's collection contains more than 2,900 ceramic works from Asia, the Americas, and Europe....""]","Asia Pacific Foundation of Canada, 375, University Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J5, Canada","{""coordinates"": [-79.387251, 43.653347], ""type"": ""Point""}","Asia Pacific Foundation of Canada, 375, University Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J5, Canada",office,foundation
2,CN Tower,CN Tower,"['...Toronto is known for its many skyscrapers and high-rise buildings, in particular the tallest free-standing structure on land outside of Asia, the CN Tower....', '...Defining the Toronto skyline is the CN Tower, a telecommunications and tourism hub....', ""...Other tourist attractions include the CN Tower, Casa Loma, Toronto's theaters and musicals, Yonge-Dundas Square, and Ripley's Aquarium of Canada....""]","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada","{""coordinates"": [-79.387748, 43.642701], ""type"": ""Point""}","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada",shop,ticket
8,Rouge River,Rouge River,"['...In the 1660s, the Iroquois established two villages within what is today Toronto, Ganatsekwyagon (Bead Hill) on the banks of the Rouge River and Teiaiagon on the banks of the Humber River....', ""...The city's limits are formed by Lake Ontario to the south, the western boundary of Marie Curtis Park, Etobicoke Creek, Eglinton Avenue and Highway 427 to the west, Steeles Avenue to the north and the Rouge River and the Scarborough–Pickering Townline to the east...."", ""...The flat land is interrupted by the Toronto ravine system, which is cut by numerous creeks and rivers of the Toronto waterway system, most notably the Humber River in the west end, the Don River east of downtown (these two rivers flanking and defining the Toronto Harbour), and the Rouge River at the city's eastern limits...."", '...Managed by Parks Canada, the national park is centred around the Rouge River and encompasses several municipalities in the Greater Toronto Area....']","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada","{""coordinates"": [-79.187085, 43.804979], ""type"": ""Point""}","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada",highway,bus_stop
9,Humber River,Humber River,"['...In the 1660s, the Iroquois established two villages within what is today Toronto, Ganatsekwyagon (Bead Hill) on the banks of the Rouge River and Teiaiagon on the banks of the Humber River....', ""...The flat land is interrupted by the Toronto ravine system, which is cut by numerous creeks and rivers of the Toronto waterway system, most notably the Humber River in the west end, the Don River east of downtown (these two rivers flanking and defining the Toronto Harbour), and the Rouge River at the city's eastern limits...."", '...The shoreline from the harbour west to the Humber River has been extended into the lake....']","Humber River Trail, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M6S 5B5, Canada","{""coordinates"": [-79.472975, 43.632368], ""type"": ""Point""}","Humber River Trail, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M6S 5B5, Canada",highway,cycleway
10,Parliament Street,Parliament Street,"['*...The town\'s settlement formed at the harbour\'s eastern end behind the peninsula, near the present-day intersection of Parliament Street and Front Street (in the ""Old Town"" area)....']","Parliament Street, Trefann Court, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1Y1, Canada","{""coordinates"": [-79.365497, 43.658193], ""type"": ""Point""}","Parliament Street, Trefann Court, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1Y1, Canada",highway,secondary
11,Front Street,Front Street,"['*...The town\'s settlement formed at the harbour\'s eastern end behind the peninsula, near the present-day intersection of Parliament Street and Front Street (in the ""Old Town"" area)....']","Front Street West, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1C4, Canada","{""coordinates"": [-79.378466, 43.646092], ""type"": ""Point""}","Front Street West, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1C4, Canada",highway,secondary
13,Queen's Park,Queen's Park,"[""*...The seat of government of the Ontario briefly returned to the same building that hosted the Third Parliament Building of Upper Canada, before moving to the Ontario Legislative Building at Queen's Park in 1893...."", ""...There are many large downtown parks, which include Allan Gardens, Christie Pits, Grange Park, Little Norway Park, Moss Park, Queen's Park, Riverdale Park and Trinity Bellwoods Park....""]","Queen's Park, University Avenue, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3M2, Canada","{""coordinates"": [-79.390192, 43.659684], ""type"": ""Point""}","Queen's Park, University Avenue, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3M2, Canada",railway,station
16,Distillery District,Distillery District,"['...A preserved section of this once dominant local industry remains in the Distillery District....', '...This trend continues to this day, the largest factories and distribution warehouses are in the suburban environs of Peel and York Regions; but also within the current city: Etobicoke (concentrated around Pearson Airport), North York, and Scarborough.[citation needed]\nMany of Toronto\'s former industrial sites close to (or in) downtown have been redeveloped including parts of the Toronto waterfront, the rail yards west of downtown, and Liberty Village, the Massey-Harris district and large-scale development is underway in the West Don Lands.[citation needed]\nThe Gooderham & Worts Distillery produced spirits until 1990, and is preserved today as the ""Distillery District"", the largest and best-preserved collection of Victorian industrial architecture in North America....', '...The mid-1800s Distillery District, on the eastern edge of downtown, has been redeveloped into a pedestrian-oriented arts, culture and entertainment neighbourhood....']","Distillery District, Trinity Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada","{""coordinates"": [-79.359577, 43.65028], ""type"": ""Point""}","Distillery District, Trinity Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada",tourism,attraction
17,Bay Street,Bay Street,"['*...As the Irish before them, many of these migrants lived in overcrowded shanty-type slums, such as ""the Ward,"" which was centred on Bay Street, now the heart of the country\'s Financial District....', '*...Generally considered the financial and industrial capital of Canada, Toronto has a high concentration of banks and brokerage firms on Bay Street in the Financial District....', '*...The Financial District in Toronto centres on Bay Street, the equivalent to Wall Street in New York....']","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","{""coordinates"": [-79.382823, 43.65347], ""type"": ""Point""}","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada",highway,secondary
19,Europe,Europe,"['*...In the decades after World War II, refugees from war-torn Europe and Chinese job-seekers arrived, as well as construction labourers, particularly from Italy and Portugal....', ""*...The Gardiner Museum of ceramic art is the only museum in Canada entirely devoted to ceramics, and the Museum's collection contains more than 2,900 ceramic works from Asia, the Americas, and Europe....""]","Europe Bar and Restaurant, Fairholme Avenue, Lawrence Manor, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 2A1, Canada","{""coordinates"": [-79.429741, 43.718174], ""type"": ""Point""}","Europe Bar and Restaurant, Fairholme Avenue, Lawrence Manor, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 2A1, Canada",amenity,restaurant
