,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Alpine,Alpine,"['*...The city is mainly on the western bank of the Po River, below its Susa Valley, and is surrounded by the western Alpine arch and Superga Hill....', '...County of Savoy 1046–1416\n Duchy of Savoy 1416–1720 \n Kingdom of Sardinia 1720–1792 \n First French Republic 1792–1804 \n First French Empire 1804–1814 \n Kingdom of Sardinia 1814–1861 \n Kingdom of Italy 1861–1943 \n Italian Social Republic 1943–1945 \n Kingdom of Italy 1945–1946 \n Italian Republic 1946–present\nThe Taurini were an ancient Celto-Ligurian Alpine people, who occupied the upper valley of the Po River, in the center of modern Piedmont....']","Via Brigate Alpine, Ruata Bruna, Cumiana, Torino, Piedmont, Italy","{""coordinates"": [7.369364, 44.983663], ""type"": ""Point""}","Via Brigate Alpine, Ruata Bruna, Cumiana, Torino, Piedmont, Italy",highway,residential
3,Piazza Castello,Piazza Castello,"['*...In the second half of that century, a second enlargement of the walls was planned and executed, with the building of the arcaded Via Po, connecting Piazza Castello with the bridge on the Po through the regular street grid....', '*...Via Roma runs between Piazza Carlo Felice and Piazza Castello....', '*...The section of the street between Piazza San Carlo and Piazza Castello was built in an eclectic style, with arcades characterised by Serliana-type arches....', '*...On the northern edge of Via Roma stands Piazza Castello, regarded as the heart of the city....', '*...Moreover, Piazza Castello hosts a Fascist era building, the Torre Littoria, a sort of skyscraper which was supposed to become the headquarters of the Fascist party, although it never served as such....', ""*...The building's style is quite different from the Baroque style of Piazza Castello...."", '*...In Piazza Castello converge some of the main streets of the city centre....', '*...Just behind Piazza Castello stands the Turin Cathedral, dedicated to Saint John the Baptist, which is the major church of the city....', '*...It is a 1\xa0km (0.6\xa0mi) pedestrian street between Piazza Castello and Piazza Statuto which features some of the old shops of the city....', '*...Another main street of downtown is Via Pietro Micca, which starts in Piazza Castello and ends in the large Piazza Solferino....']","Piazza Castello, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.68684, 45.070311], ""type"": ""Point""}","Piazza Castello, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",highway,tertiary
4,Gran Madre di Dio,Gran Madre di Dio,"['...Some of the most iconic landmarks of the city, like the Mole Antonelliana, the Egyptian Museum, the Gran Madre di Dio church and Piazza Vittorio Veneto were built in this period....']","Piazza Gran Madre di Dio, Borgo Po, Circoscrizione 8, Turin, Torino, Piedmont, 10124, Italy","{""coordinates"": [7.69852, 45.062888], ""type"": ""Point""}","Piazza Gran Madre di Dio, Borgo Po, Circoscrizione 8, Turin, Torino, Piedmont, 10124, Italy",highway,secondary
5,Piazza Vittorio Veneto,Piazza Vittorio Veneto,"['*...Some of the most iconic landmarks of the city, like the Mole Antonelliana, the Egyptian Museum, the Gran Madre di Dio church and Piazza Vittorio Veneto were built in this period....', '*...Via Po ends in Piazza Vittorio Veneto (simply called Piazza Vittorio locally), the largest Baroque square in Europe and today heart of Turin nightlife....', '*...The district is quite popular nowadays because being quite closer to the heart of Turin nightlife Piazza Vittorio Veneto, many bars and restaurants opened recently in this area....']","Piazza Vittorio Veneto, Via Alfonso Bonafous, Borgo Nuovo, Circoscrizione 1, Turin, Torino, Piedmont, 10124, Italy","{""coordinates"": [7.69523, 45.064932], ""type"": ""Point""}","Piazza Vittorio Veneto, Via Alfonso Bonafous, Borgo Nuovo, Circoscrizione 1, Turin, Torino, Piedmont, 10124, Italy",tourism,attraction
7,Leonardo da Vinci,Leonardo da Vinci,"['...The half-pedestrianized square hosts some significant buildings such as Palazzo Reale (Former Savoy Royal House), the Palazzo Madama (which previously hosted the Savoy senate and, for few years, the Italian senate after Italian unification), the former Baroque Teatro Regio di Torino (rebuilt in modern style in the 1960s, after being destroyed by fire), the Royal Library of Turin which hosts the Leonardo da Vinci self-portrait, and the baroque Royal Church of San Lorenzo....']","Leonardo da Vinci, Via Pavia, Cascine Vica, Rivoli, Torino, Piedmont, 10098, Italy","{""coordinates"": [7.552438, 45.068989], ""type"": ""Point""}","Leonardo da Vinci, Via Pavia, Cascine Vica, Rivoli, Torino, Piedmont, 10098, Italy",aeroway,helipad
8,Torre Littoria,Torre Littoria,"['...Moreover, Piazza Castello hosts a Fascist era building, the Torre Littoria, a sort of skyscraper which was supposed to become the headquarters of the Fascist party, although it never served as such....', '...Main church of the district is the Chiesa di Nostra Signora del Suffragio e Santa Zita, which with its 83\xa0m (272\xa0ft) height of its bell tower, is well known to be the fifth tallest structure in the city of Turin, after the Mole Antonelliana, the Intesa-Sanpaolo skyscraper, the Torre Littoria and the two pennons of the Juventus Stadium....']","Torre Littoria, Via Monte di Pietà, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.683836, 45.070269], ""type"": ""Point""}","Torre Littoria, Via Monte di Pietà, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",building,yes
10,Europe,Europe,"['*...Via Po ends in Piazza Vittorio Veneto (simply called Piazza Vittorio locally), the largest Baroque square in Europe and today heart of Turin nightlife....', '*...Close to this site, the 51,300\xa0m2 (552,189\xa0sq\xa0ft) Piazza della Repubblica plays host to the biggest open market in Europe, locally known as Mercato di Porta Palazzo (Porta Palazzo or Porta Pila are the historical and local names of this area)....', '...The main building on the west side hosts a General Motors research centre, the General Motors Global Propulsion Systems (formerly known as General Motors Powertrain Europe)....', '*...Together with San Paolo district, Cenisia hosts an extensive street market along Corso Racconigi, which is locally known as the longest street market in Europe....', '*...Other notable buildings are the town public baths, eclectic building built in 1905 (Corso Regina Margherita crossing Via Vanchiglia), and theTeatro della Caduta theatre, opened in 2003 in Via Michele Buniva 23, which with its 45 seats is the smallest theatre in Turin and among the smallest theatres in Europe....', ""*...In 2008 the city generated a GDP of $68\xa0billion, ranking as the world's 78th richest city by purchasing power, and 16th in Europe, according to PricewaterhouseCoopers...."", '*...The International Book Fair is one of the most important fairs of its kind in Europe....', '*...Turin also hosts the United Nations System Staff College, the European Training Foundation, and a campus of the ESCP business school, ranked among the 10 best business schools in Europe....']","Europe, Corso Unità d'Italia, Italia '61, Circoscrizione 8, Cavoretto, Turin, Torino, Piedmont, 10126, Italy","{""coordinates"": [7.67101, 45.022434], ""type"": ""Point""}","Europe, Corso Unità d'Italia, Italia '61, Circoscrizione 8, Cavoretto, Turin, Torino, Piedmont, 10126, Italy",building,yes
11,Via Po,Via Po,"['*...In the second half of that century, a second enlargement of the walls was planned and executed, with the building of the arcaded Via Po, connecting Piazza Castello with the bridge on the Po through the regular street grid....', '*...Among them, one of the most significant is the arcaded Via Po, built by Amedeo di Castellamonte in 1868 and featuring some interesting buildings, such as the first and original building of the University of Turin and the historical Caffè Fiorio, which was the favourite café of the 19th-century politicians....', '*...Via Po ends in Piazza Vittorio Veneto (simply called Piazza Vittorio locally), the largest Baroque square in Europe and today heart of Turin nightlife....', '*...Parallel to Via Roma, the other two popular pedestrian streets, namely Via Lagrange and Via Carlo Alberto, cross the old town from Via Po to Corso Vittorio Emanuele II....', '*...Not far from Via Po stands the symbol of Turin, namely the Mole Antonelliana, so named after the architect who built it, Alessandro Antonelli....']","Via Po, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.686896, 45.070385], ""type"": ""Point""}","Via Po, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",highway,tertiary
19,Parco del Valentino,Parco del Valentino,"['*...The celebrated Parco del Valentino is situated in the east side of San Salvario and, albeit not in downtown, it represents kind of central park of Turin....', '*...From the terraces of Parco del Valentino, many sights of the hills on the other side of the river can be appreciated....', '*...The most popular park in the city is Parco del Valentino....']","Parco del Valentino, Viale Carlo Ceppi, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy","{""coordinates"": [7.684053, 45.0508], ""type"": ""Point""}","Parco del Valentino, Viale Carlo Ceppi, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy",leisure,pitch
20,Castello del Valentino,Castello del Valentino,"['...In the centre of the park stands the Castello del Valentino, built in the 17th century....', '*...Today, Castello del Valentino serves as the faculty of Architecture of the Polytechnic University of Turin....']","Castello del Valentino, Viale Pier Andrea Mattioli, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy","{""coordinates"": [7.686952, 45.054197], ""type"": ""Point""}","Castello del Valentino, Viale Pier Andrea Mattioli, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy",tourism,attraction
21,Borgo Medioevale,Borgo Medioevale,"['...Another cluster of buildings in the park is the Borgo Medioevale (Medieval village), a replica of medieval mountain castles of Piedmont and Aosta Valley, built for the 1884 International Exhibition....']","Borgo Medioevale, Viale Virgilio, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy","{""coordinates"": [7.685489, 45.048846], ""type"": ""Point""}","Borgo Medioevale, Viale Virgilio, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy",amenity,ferry_terminal
22,Piazzetta Primo Levi,Piazzetta Primo Levi,"['*...Another building is the largest synagogue of the city, in Piazzetta Primo Levi, a square....']","Piazzetta Primo Levi, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy","{""coordinates"": [7.682118, 45.0606], ""type"": ""Point""}","Piazzetta Primo Levi, San Salvario, Circoscrizione 8, Turin, Torino, Piedmont, 10125, Italy",highway,pedestrian
23,Crocetta,Crocetta,"['...Circoscrizione 1: Centro – Crocetta ;...', '*...South of Centro stands the Crocetta district, considered one of the most exclusive districts of the city, because of highly rated residential buildings....', '*...Crocetta is crossed by large and modern avenues, such as Corso Duca degli Abruzzi, Corso Galileo Ferraris, and Corso Einaudi....', '...However, the most popular avenue is Corso De Gasperi, which, albeit smaller than other avenues of the district, hosts one of the most fashionable open markets of the city, the so-called Mercato della Crocetta, in which it is possible to find some discounted branded clothing among the more popular ones....', '*...The Western border of Crocetta is instead an example of contemporary architecture....']","Caffè Crocetta, 25, Corso Luigi Einaudi, Crocetta, Circoscrizione 1, Turin, Torino, Piedmont, 10129, Italy","{""coordinates"": [7.664387, 45.058695], ""type"": ""Point""}","Caffè Crocetta, 25, Corso Luigi Einaudi, Crocetta, Circoscrizione 1, Turin, Torino, Piedmont, 10129, Italy",amenity,bar
24,Moderna,Moderna,"[""*...North of this area stands the GAM (Galleria d'Arte Moderna), one of the two Museum of Modern Arts of the Turin Metro area (the second and largest one is hosted in Castello di Rivoli, a former Savoy royal castle in the suburbs)....""]","Moderna, 58A, Via Tripoli, Santa Rita, Circoscrizione 2, Turin, Torino, Piedmont, 10136, Italy","{""coordinates"": [7.647589, 45.048331], ""type"": ""Point""}","Moderna, 58A, Via Tripoli, Santa Rita, Circoscrizione 2, Turin, Torino, Piedmont, 10136, Italy",amenity,pharmacy
26,Porta Nuova,Porta Nuova,"['*...Across from Piazza Carlo Felice stands the monumental façade of Porta Nuova railway station, the central station of the city built between 1861 and 1868 by the architect Alessandro Mazzucchetti....', '*...This is near Porta Nuova railway station and is older than the rest of the district, featuring several apartment buildings from the late 19th century, to include the birthplace and home of author Primo Levi on Corso Re Umberto....', '*...One of the main thoroughfares crossing Borgo San Secondo is Via Sacchi, which serves as an ideal gate to the city centre: its Serlian arcades on the west side of the street (the east side is enclosed by Porta Nuova railway station service buildings) host some significant boutiques and hotels, such as the historic Pfatisch pastry shop and the Turin Palace Hotel (totally refurbished and reopened in 2015)....', ""*...Porta Susa, on this section, will become Turin's main station to substitute the terminus of Porta Nuova with a through station...."", '*...On 4 October 2007, the line was extended to Porta Nuova and then, in March 2011, to Lingotto....', ""*...The city has an international airport known as Caselle International Airport Sandro Pertini (airport code: TRN), in Caselle Torinese, about 13\xa0km (8\xa0mi) from Turin's centre—connected to the city by rail (from Dora Station) and bus (from Porta Nuova and Porta Susa railway stations)....""]","Porta Nuova, Corso Vittorio Emanuele II, San Secondo, Circoscrizione 1, Turin, Torino, Piedmont, 10125, Italy","{""coordinates"": [7.678963, 45.062747], ""type"": ""Point""}","Porta Nuova, Corso Vittorio Emanuele II, San Secondo, Circoscrizione 1, Turin, Torino, Piedmont, 10125, Italy",railway,station
28,Palazzo di Giustizia,Palazzo di Giustizia,"[""...The district is also characterised by two massive recent buildings: the Palazzo di Giustizia, Turin's new courthouse built in the 1990s (in a 350-metre-long facility), and the first real skyscraper of Turin, the Torre Intesa Sanpaolo, which house the headquarters of one of the major Italian private banks....""]","Palazzo di Giustizia - Bruno Caccia, 130, Corso Vittorio Emanuele II, Cit Turin, Circoscrizione 3, Turin, Torino, Piedmont, 10138, Italy","{""coordinates"": [7.657076, 45.071052], ""type"": ""Point""}","Palazzo di Giustizia - Bruno Caccia, 130, Corso Vittorio Emanuele II, Cit Turin, Circoscrizione 3, Turin, Torino, Piedmont, 10138, Italy",amenity,courthouse
29,Parco Dora,Parco Dora,"['...San Donato district is between Corso Francia, Corso Lecce, Corso Potenza, Via Nole, the Parco Dora and Corso Principe Oddone....', '*...The northern part of the district was part of the former industrial district of Turin, recently reconverted to a park called Parco Dora....', '*...Differently for other portions of Parco Dora, this part has been totally reconverted to park without letting any evidence of the industrial area except for the cooling tower which stands along Corso Umbria and became a symbol of the park....', '*...South of the park, an interesting architecture of different levels is hosting a new shopping mall called Centro Commerciale Parco Dora....']","Parco commerciale Dora, Salita Michelangelo Garove, Parco Dora (Spina 3), Circoscrizione 4, Turin, Torino, Piedmont, 10144, Italy","{""coordinates"": [7.668373, 45.087884], ""type"": ""Point""}","Parco commerciale Dora, Salita Michelangelo Garove, Parco Dora (Spina 3), Circoscrizione 4, Turin, Torino, Piedmont, 10144, Italy",shop,mall
30,Piazza Statuto,Piazza Statuto,"['*...It is a 1\xa0km (0.6\xa0mi) pedestrian street between Piazza Castello and Piazza Statuto which features some of the old shops of the city....', '*...Large Piazza Statuto is another example of Baroque square with arcades....', '*...The conservation of the street and of this old building influences the straightness of Via San Donato, which makes a slight curve to result in parallel with Via Pacinotti before ending in central Piazza Statuto square....', '*...The tower is facing the central Piazza Statuto square....']","Piazza Statuto, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10140, Italy","{""coordinates"": [7.67221, 45.076028], ""type"": ""Point""}","Piazza Statuto, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10140, Italy",highway,residential
31,Chiesa di Nostra,Chiesa di Nostra,"['...Main church of the district is the Chiesa di Nostra Signora del Suffragio e Santa Zita, which with its 83\xa0m (272\xa0ft) height of its bell tower, is well known to be the fifth tallest structure in the city of Turin, after the Mole Antonelliana, the Intesa-Sanpaolo skyscraper, the Torre Littoria and the two pennons of the Juventus Stadium....']","Chiesa di Nostra Signora del Suffragio, Via San Donato, Martinetto, Circoscrizione 4, Turin, Torino, Piedmont, 10140, Italy","{""coordinates"": [7.664684, 45.079956], ""type"": ""Point""}","Chiesa di Nostra Signora del Suffragio, Via San Donato, Martinetto, Circoscrizione 4, Turin, Torino, Piedmont, 10140, Italy",amenity,place_of_worship
34,Environment Park,Environment Park,"['...West of Via Livorno, the Environment Park is a research centre for renewable energy....']","Environment Park - Parco Scientifico Tecnologico per l'Ambiente, Via Andrea Costaguta, Parco Dora (Spina 3), Circoscrizione 4, Turin, Torino, Piedmont, 10144, Italy","{""coordinates"": [7.670736, 45.088207], ""type"": ""Point""}","Environment Park - Parco Scientifico Tecnologico per l'Ambiente, Via Andrea Costaguta, Parco Dora (Spina 3), Circoscrizione 4, Turin, Torino, Piedmont, 10144, Italy",building,office
37,Porta Palazzo,Porta Palazzo,"['*...Close to this site, the 51,300\xa0m2 (552,189\xa0sq\xa0ft) Piazza della Repubblica plays host to the biggest open market in Europe, locally known as Mercato di Porta Palazzo (Porta Palazzo or Porta Pila are the historical and local names of this area)....', '*...The historical hub of the district is Borgo Dora (The ""Dora Borough""), a small neighbourhood next to Porta Palazzo and enclosed by Corso Regina Margherita, Via Cigna, the Dora river and Corso Giulio Cesare....', '*...Right at the borders of Borgo Dora stands part of Porta Palazzo open market which hosts the New Exhibition Hall, designed by the Italian architect Massimiliano Fuksas....', '*...The building has replaced the Clothes Market, one of the four covered pavilions of Porta Palazzo market, but unfortunately, this glass green-shaded building has been highly criticized because of its lack of usability for commercial activities, albeit an example of contemporary architecture....', '*...As for the rest of Aurora, the district is crossed by an important thoroughfare named Corso Giulio Cesare, a long boulevard that extends from Porta Palazzo up to Turin-Trieste motorway entrance in the Northern urban fringe of Turin....']","Porta Palazzo, Piazza della Repubblica, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10122, Italy","{""coordinates"": [7.68444, 45.075996], ""type"": ""Point""}","Porta Palazzo, Piazza della Repubblica, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10122, Italy",amenity,marketplace
