,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Europe,Europe,"[""*...The city's port is the 5th-busiest container port in Europe and the second busiest container port on the Mediterranean Sea...."", '*...Valencia has one of the mildest winters in Europe, owing to its southern location on the Mediterranean Sea and the Foehn phenomenon, locally known as ponentà....', '*...The 18th century was the age of the Enlightenment in Europe, and its humanistic ideals influenced such men as Gregory Maians and Pérez Bayer in Valencia, who maintained correspondence with the leading French and German thinkers of the time....', '*...The Central Market (Mercat Central) in Valencian Art Nouveau style, is one of the largest in Europe....', ""*...L'Oceanogràfic, the largest aquarium in Europe, with a variety of ocean beings from different environments: from the Mediterranean, fishes from the ocean and reef inhabitants, sharks, mackerel swarms, dolphinarium, inhabitants of the polar regions (belugas, walruses, penguins), coast inhabitants (sea lions, etc. L'Oceanogràfic exhibits also smaller animals as coral, jellyfish, sea anemones, etc...."", '*...Valencia is also internationally famous for its football club, Valencia CF, one of the most successful clubs in Europe and La Liga, winning the Spanish league a total of six times including in 2002 and 2004 (the year it also won the UEFA Cup), and was a UEFA Champions League runner-up in 2000 and 2001....']","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain","{""coordinates"": [-0.35715, 39.471647], ""type"": ""Point""}","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain",building,commercial
6,Medina,Medina,"[""*...During the rule of the Muslim kingdoms in Spain, it had the title Medina at-Tarab ('City of Joy') according to one transliteration, or Medina at-Turab ('City of Sands') according to another, since it was located on the banks of the River Turia....""]","Medina, Plaza de los Trabajadores del Calzado, Casco Antiguo de Elda, Elda, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Valencian Community, 03600, Spain","{""coordinates"": [-0.793725, 38.476237], ""type"": ""Point""}","Medina, Plaza de los Trabajadores del Calzado, Casco Antiguo de Elda, Elda, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Valencian Community, 03600, Spain",shop,hairdresser
9,Parc Natural de,Parc Natural de,"[""...The City Council bought the lake from the Crown of Spain for 1,072,980 pesetas in 1911, and today it forms the main portion of the Parc Natural de l'Albufera (Albufera Nature Reserve), with a surface area of 21,120 hectares (52,200 acres)....""]","Parc Natural de l'Albufera, el Palmar, Pobles del Sud, Valencia, Comarca de València, Valencia, Valencian Community, 46430, Spain","{""coordinates"": [-0.342739, 39.305485], ""type"": ""Point""}","Parc Natural de l'Albufera, el Palmar, Pobles del Sud, Valencia, Comarca de València, Valencia, Valencian Community, 46430, Spain",leisure,nature_reserve
18,Palau de Justícia,Palau de Justícia,['...The Palau de Justícia is an example of the affluence manifested in the most prosperous times of Bourbon rule (1758–1802) during the rule of Charles III....'],"Palau de Justícia, Carrer del Palau de Justícia, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46004, Spain","{""coordinates"": [-0.36971, 39.4718], ""type"": ""Point""}","Palau de Justícia, Carrer del Palau de Justícia, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46004, Spain",building,yes
21,North Station,North Station,"['...Among the most architecturally successful buildings of the era were those designed in the Art Nouveau style, such as the North Station (Estació del Nord) and the Central and Columbus markets....', '...The Estació del Nord (North Station) is the major railway terminus in Valencia....']","North Station, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Valencian Community, 46007, Spain","{""coordinates"": [-0.377374, 39.466316], ""type"": ""Point""}","North Station, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Valencian Community, 46007, Spain",building,train_station
22,Central,Central,"['*...Among the most architecturally successful buildings of the era were those designed in the Art Nouveau style, such as the North Station (Estació del Nord) and the Central and Columbus markets....', '...The Central Market (Mercat Central) in Valencian Art Nouveau style, is one of the largest in Europe....', '...The largest plaza in Valencia is the Plaça del Ajuntament; it is home to the City Hall (Ajuntament) on its western side and the central post office (Edifici de Correus) on its eastern side, a Cinema that shows classic movies, and many restaurants and bars....']","Central, Muro de Alcoy, el Comtat, Alacant / Alicante, Valencian Community, 03830, Spain","{""coordinates"": [-0.44067, 38.778678], ""type"": ""Point""}","Central, Muro de Alcoy, el Comtat, Alacant / Alicante, Valencian Community, 03830, Spain",highway,residential
24,Valencia Airport,Valencia Airport,['*...Valencia Airport is situated 9\xa0km (5.6\xa0mi) west of Valencia city centre....'],"Valencia International Airport, Llegadas, Manises, l'Horta Sud, Valencia, Valencian Community, 46940, Spain","{""coordinates"": [-0.481209, 39.487865], ""type"": ""Point""}","Valencia International Airport, Llegadas, Manises, l'Horta Sud, Valencia, Valencian Community, 46940, Spain",aeroway,aerodrome
25,Alicante Airport,Alicante Airport,['*...Alicante Airport is situated about 133\xa0km (83\xa0mi) south of center of Valencia....'],"1A-1B to Alicante-Airport, Avinguda Illice, Torrellano, Elx / Elche, el Baix Vinalopó, Alacant / Alicante, Valencian Community, 03320, Spain","{""coordinates"": [-0.586535, 38.293605], ""type"": ""Point""}","1A-1B to Alicante-Airport, Avinguda Illice, Torrellano, Elx / Elche, el Baix Vinalopó, Alacant / Alicante, Valencian Community, 03320, Spain",highway,bus_stop
28,Palau de congressos,Palau de congressos,"['...The city has numerous convention centres and venues for trade events, among them the Feria Valencia Convention and Exhibition Centre (Institución Ferial de Valencia) and the Palau de congressos (Conference Palace), and several 5-star hotels to accommodate business travelers....']","Palau de Congressos, Carrer de Miguel Ángel Blanco, Beniferri, Pobles de l'Oest, Valencia, Comarca de València, Valencia, Valencian Community, 46015, Spain","{""coordinates"": [-0.400842, 39.495596], ""type"": ""Point""}","Palau de Congressos, Carrer de Miguel Ángel Blanco, Beniferri, Pobles de l'Oest, Valencia, Comarca de València, Valencia, Valencian Community, 46015, Spain",highway,bus_stop
30,Palau de les Arts,Palau de les Arts,"[""...In 2012, Boston's Berklee College of Music opened a satellite campus at the Palau de les Arts Reina Sofia, its first and only international campus outside the U.S. Since 2003, Valencia has also hosted the music courses of Musikeon, the leading musical institution in the Spanish-speaking world...."", '...Palau de les Arts Reina Sofía, a flamboyant opera and music palace with four halls and a total area of 37,000\xa0m2 (398,000\xa0sq\xa0ft)....']","Reina Sofia Palace of the Arts, Avinguda del Professor López Piñero (Historiador de la Medicina), Ciutat de les Arts i de les Ciències, Quatre Carreres, Valencia, Comarca de València, Valencia, Valencian Community, 46023, Spain","{""coordinates"": [-0.355909, 39.458032], ""type"": ""Point""}","Reina Sofia Palace of the Arts, Avinguda del Professor López Piñero (Historiador de la Medicina), Ciutat de les Arts i de les Ciències, Quatre Carreres, Valencia, Comarca de València, Valencia, Valencian Community, 46023, Spain",amenity,theatre
31,Americas,Americas,"['*...Valencia was also the birthplace of the cold xufa beverage known as orxata, popular in many parts of the world, including the Americas....']","Capricho de las Américas, 4, Carrer del Doctor Calatayud Baya, Campanar, Valencia, Comarca de València, Valencia, Valencian Community, 46015, Spain","{""coordinates"": [-0.395963, 39.480333], ""type"": ""Point""}","Capricho de las Américas, 4, Carrer del Doctor Calatayud Baya, Campanar, Valencia, Comarca de València, Valencia, Valencian Community, 46015, Spain",amenity,cafe
32,Valencia Cathedral,Valencia Cathedral,"['*...Major monuments include Valencia Cathedral, the Torres de Serrans, the Torres de Quart (ca:Torres de Quart), the Lonja de la Seda (declared a World Heritage Site by UNESCO in 1996), and the Ciutat de les Arts i les Ciències (City of Arts and Sciences), an entertainment-based cultural and architectural complex designed by Santiago Calatrava and Félix Candela....', '...The Valencia Cathedral was called Iglesia Major in the early days of the Reconquista, then Iglesia de la Seu (Seu is from the Latin sedes, i.e., (archiepiscopal) See), and by virtue of the papal concession of 16 October 1866, it was called the Basilica Metropolitana....']","Valencia Cathedral, Carrer de la Barcella, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain","{""coordinates"": [-0.375124, 39.475576], ""type"": ""Point""}","Valencia Cathedral, Carrer de la Barcella, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain",amenity,place_of_worship
35,Estació Del Nord,Estació Del Nord,"['...Among the most architecturally successful buildings of the era were those designed in the Art Nouveau style, such as the North Station (Estació del Nord) and the Central and Columbus markets....', '...The Estació del Nord (North Station) is the major railway terminus in Valencia....', '*...The main railway station Estació Del Nord is built in Valencian Art Nouveau (a Spanish version of Art Nouveau) style....']","Estació del Nord, Carrer de Xàtiva, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46002, Spain","{""coordinates"": [-0.376467, 39.467508], ""type"": ""Point""}","Estació del Nord, Carrer de Xàtiva, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46002, Spain",highway,bus_stop
39,Torre del Micalet,Torre del Micalet,"[""*...Bishop Vidal de Blanes built the chapter hall, and James I added the tower, called El Miguelete in Castilian Spanish or Torre del Micalet in the Valencian language because it was blessed on St. Michael's day in 1418.[citation needed]...""]","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain","{""coordinates"": [-0.375608, 39.475326], ""type"": ""Point""}","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain",tourism,attraction
42,Plaza de la Reina,Plaza de la Reina,"['...Around the corner is the Plaza de la Reina, with the cathedral, orange trees, and many bars and restaurants....']","Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46001, Spain","{""coordinates"": [-0.375517, 39.473776], ""type"": ""Point""}","Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46001, Spain",highway,residential
