,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Fraser Valley,Fraser Valley,"['...Greater Vancouver, along with the Fraser Valley, comprises the Lower Mainland with a regional population of over 3million....', '*...The larger Lower Mainland-Southwest economic region (which includes also the Squamish-Lillooet, Fraser Valley, and Sunshine Coast Regional District) has a population of over 3.04million....']","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada","{""coordinates"": [-123.135369, 49.272632], ""type"": ""Point""}","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada",amenity,fast_food
1,Canadian Pacific,Canadian Pacific,"['...The city was renamed ""Vancouver"" in 1886, through a deal with the Canadian Pacific Railway....', '*...The Canadian Pacific transcontinental railway was extended to the city by 1887....', ""...The mill's central role in the city waned after the arrival of the Canadian Pacific Railway (CPR) in the 1880s...."", '...This site, with its natural harbour, was selected in 1884 as the terminus for the Canadian Pacific Railway, to the disappointment of Port Moody, New Westminster and Victoria, all of which had vied to be the railhead....', '...Another line (1902), the Vancouver and Lulu Island Railway, was leased by the Canadian Pacific Railway to the British Columbia Electric Railway in 1905 and ran from the Granville Street Bridge to Steveston via Kerrisdale, which encouraged residential neighbourhoods outside the central core to develop....']","Canadian Pacific 374, 181, Roundhouse Mews, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6Z 2T9, Canada","{""coordinates"": [-123.121244, 49.273711], ""type"": ""Point""}","Canadian Pacific 374, 181, Roundhouse Mews, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6Z 2T9, Canada",historic,locomotive
5,Port of Vancouver,Port of Vancouver,"['...As of 2016[update], the Port of Vancouver is the fourth-largest port by tonnage in the Americas, the busiest and largest in Canada, and the most diversified port in North America....']","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada","{""coordinates"": [-123.080224, 49.090991], ""type"": ""Point""}","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada",office,government
7,Burrard Inlet,Burrard Inlet,"['*...Gastown then formally registered as a townsite dubbed Granville, Burrard Inlet....', '*...The city takes its name from George Vancouver, who explored the inner harbour of Burrard Inlet in 1792 and gave various places British names....', '*...Europeans became acquainted with the area of the future Vancouver when José María Narváez of Spain explored the coast of present-day Point Grey and parts of Burrard Inlet in 1791—although one author contends that Francis Drake may have visited the area in 1579....', '*...Located on the Burrard Peninsula, Vancouver lies between Burrard Inlet to the north and the Fraser River to the south....', '*...Only in Elliott Bay, Seattle, did the size of trees rival those of Burrard Inlet and English Bay....']","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada","{""coordinates"": [-122.985641, 49.201232], ""type"": ""Point""}","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada",office,company
8,Fraser River,Fraser River,"['...They had villages in various parts of present-day Vancouver, such as Stanley Park, False Creek, Kitsilano, Point Grey and near the mouth of the Fraser River....', '...In 1808, they travelled from the east down the Fraser River, perhaps as far as Point Grey....', '...The Fraser Gold Rush of 1858 brought over 25,000 men, mainly from California, to nearby New Westminster (founded February 14, 1859) on the Fraser River, on their way to the Fraser Canyon, bypassing what would become Vancouver....', ""...Vancouver is among British Columbia's youngest cities; the first European settlement in what is now Vancouver was not until 1862 at McCleery's Farm on the Fraser River, just east of the ancient village of Musqueam in what is now Marpole...."", '...Located on the Burrard Peninsula, Vancouver lies between Burrard Inlet to the north and the Fraser River to the south....']","Fraser River Stories, Interurban Way, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V5X, Canada","{""coordinates"": [-123.116863, 49.209226], ""type"": ""Point""}","Fraser River Stories, Interurban Way, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V5X, Canada",tourism,artwork
13,Hastings Mill,Hastings Mill,"['*...The beginnings of the modern city, which was originally named Gastown, grew around the site of a makeshift tavern on the western edges of Hastings Mill that was built on July 1, 1867, and owned by proprietor Gassy Jack....', '...This mill, known as the Hastings Mill, became the nucleus around which Vancouver formed....', '*...The settlement, which came to be called Gastown, grew quickly around the original makeshift tavern established by Gassy Jack in 1867 on the edge of the Hastings Mill property....']","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada","{""coordinates"": [-123.094993, 49.281417], ""type"": ""Point""}","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada",amenity,pub
14,Port Moody,Port Moody,"['*...This site, with its natural harbour, was selected in 1884 as the terminus for the Canadian Pacific Railway, to the disappointment of Port Moody, New Westminster and Victoria, all of which had vied to be the railhead....', '*...CPR president William Van Horne arrived in Port Moody to establish the CPR terminus recommended by Henry John Cambie, and gave the city its name in honour of George Vancouver....', '*...The Evergreen Extension, which opened on December 2, 2016, links the cities of Coquitlam and Port Moody with the SkyTrain system....']","Port Moody Secondary School, 300, Albert Street, Port Moody, Metro Vancouver Regional District, British Columbia, V3H 2M5, Canada","{""coordinates"": [-122.86709, 49.273941], ""type"": ""Point""}","Port Moody Secondary School, 300, Albert Street, Port Moody, Metro Vancouver Regional District, British Columbia, V3H 2M5, Canada",amenity,school
16,Hudson,Hudson,"[""*...One of those merchants, Charles Woodward, had opened the first Woodward's store at Abbott and Cordova Streets in 1892 and, along with Spencer's and the Hudson's Bay department stores, formed the core of the city's retail sector for decades....""]","Hudson, 3211, Grant McConachie Way, Sea Island, Richmond, Metro Vancouver Regional District, British Columbia, V7B 0A6, Canada","{""coordinates"": [-123.17591, 49.197088], ""type"": ""Point""}","Hudson, 3211, Grant McConachie Way, Sea Island, Richmond, Metro Vancouver Regional District, British Columbia, V7B 0A6, Canada",shop,convenience
23,English Bay,English Bay,"['*...Only in Elliott Bay, Seattle, did the size of trees rival those of Burrard Inlet and English Bay....', ""*...The largest trees in Vancouver's old-growth forest were in the Gastown area, where the first logging occurred and on the southern slopes of False Creek and English Bay, especially around Jericho Beach...."", ""*...A number of city's biggest tourist attractions, such as English Bay, Stanley Park, the Vancouver Aquarium, University of British Columbia with the Museum of Anthropology, and Kitsilano are not connected by this rapid transit system...."", '*...The city has several large beaches, many adjacent to one another, extending from the shoreline of Stanley Park around False Creek to the south side of English Bay, from Kitsilano to the University Endowment Lands, (which also has beaches that are not part of the city proper)....', '*...The 18\xa0km (11\xa0mi) of beaches include Second and Third Beaches in Stanley Park, English Bay (First Beach), Sunset, Kitsilano Beach, Jericho, Locarno, Spanish Banks, Spanish Banks Extension, Spanish Banks West, and Wreck Beach....']","Seaside - English Bay, Davie Village, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6E, Canada","{""coordinates"": [-123.136236, 49.276679], ""type"": ""Point""}","Seaside - English Bay, Davie Village, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6E, Canada",highway,footway
25,Mediterranean,Mediterranean,"[""*...Vancouver's climate is temperate by Canadian standards and is classified as oceanic or marine west coast, (Köppen climate classification Cfb) that borders on a warm-summer Mediterranean climate (Csb)....""]","Cioppino's Mediterranean Grill, 1133, Hamilton Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 5P6, Canada","{""coordinates"": [-123.121753, 49.27568], ""type"": ""Point""}","Cioppino's Mediterranean Grill, 1133, Hamilton Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 5P6, Canada",amenity,restaurant
