,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Comune di Venezia,Comune di Venezia,"['...In 2020, around 258,685\xa0people resided in greater Venice or the Comune di Venezia, of whom around 55,000 live in the historical island city of Venice (centro storico) and the rest on the mainland (terraferma)....']","Comune di Venezia, Calle Chiaccherina, Lido-Pellestrina, Pellestrina, Venice, Venezia, Veneto, Italy","{""coordinates"": [12.301042, 45.273246], ""type"": ""Point""}","Comune di Venezia, Calle Chiaccherina, Lido-Pellestrina, Pellestrina, Venice, Venezia, Veneto, Italy",amenity,townhall
3,San Giacomo,San Giacomo,"['*...The traditional founding is identified with the dedication of the first church, that of San Giacomo on the islet of Rialto (Rivoalto, ""High Shore"")—said to have taken place at the stroke of noon on 25 March 421 (the Feast of the Annunciation)....']","Chiesa di San Giacomo Apostolo, Ruga dei Oresi, San Polo, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30125, Italy","{""coordinates"": [12.335462, 45.438497], ""type"": ""Point""}","Chiesa di San Giacomo Apostolo, Ruga dei Oresi, San Polo, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30125, Italy",amenity,place_of_worship
7,Ragusa,Ragusa,"['*...In addition to Venice there were seven others: the most important ones were Genoa, Pisa, and Amalfi; and the lesser known were Ragusa, Ancona, Gaeta and Noli....']","Via Ragusa, Gazzera, Chirignago-Zelarino, Marghera, Venice, Venezia, Veneto, 30171, Italy","{""coordinates"": [12.219957, 45.492447], ""type"": ""Point""}","Via Ragusa, Gazzera, Chirignago-Zelarino, Marghera, Venice, Venezia, Veneto, 30171, Italy",highway,residential
14,Mediterranean,Mediterranean,"['*...In building its maritime commercial empire, Venice dominated the trade in salt, acquired control of most of the islands in the Aegean, including Crete, and Cyprus in the Mediterranean, and \nbecame a major power-broker in the Near East....', '*...Venice subsequently carved out a sphere of influence in the Mediterranean known as the Duchy of the Archipelago, and captured Crete....', '*...At the peak of its power and wealth, it had 36,000 sailors operating 3,300 ships, dominating Mediterranean commerce....', '*...After the Fall of Constantinople, Sultan Mehmed II declared the first of a series of Ottoman-Venetian wars that cost Venice much of its eastern Mediterranean possessions....', '*...The Port of Venice (Italian: Porto di Venezia) is the eighth-busiest commercial port in Italy and was a major hub for the cruise sector in the Mediterranean, as since August 2021 ships of more 25,000 tons are forbidden to pass the Giudecca Canal....']","SKK Mediterranean Restaurant, 4253, San Marco, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.334573, 45.43529], ""type"": ""Point""}","SKK Mediterranean Restaurant, 4253, San Marco, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30124, Italy",amenity,fast_food
21,Acqua alta,Acqua alta,"['*...Subsidence, the gradual lowering of the surface of Venice, has contributed—along with other factors—to the seasonal Acqua alta (""high water"") when much of the city\'s surface is occasionally covered at high tide....', '...However, the city is still threatened by more frequent low-level floods—the Acqua alta, that rise to a height of several centimetres over its quays—regularly following certain tides....']","Libreria Acqua Alta, 5176b, Castello, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30122, Italy","{""coordinates"": [12.342275, 45.437971], ""type"": ""Point""}","Libreria Acqua Alta, 5176b, Castello, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30122, Italy",tourism,attraction
28,Venice Biennale,Venice Biennale,"['*...In the 1980s, the Carnival of Venice was revived; and the city has become a major centre of international conferences and festivals, such as the prestigious Venice Biennale and the Venice Film Festival, which attract visitors from all over the world for their theatrical, cultural, cinematic, artistic, and musical productions....', '...The Venice Biennale is one of the most important events in the arts calendar....', ""...It is one of the world's most prestigious film festivals and is part of the Venice Biennale....""]","Home Venice Apartments - Biennale, 1044, Calle de le Ancore, Castello, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30122, Italy","{""coordinates"": [12.356187, 45.431461], ""type"": ""Point""}","Home Venice Apartments - Biennale, 1044, Calle de le Ancore, Castello, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30122, Italy",tourism,apartment
29,Grand Canal,Grand Canal,"[""...Today, there are numerous attractions in Venice, such as St Mark's Basilica, the Doge's Palace, the Grand Canal, and the Piazza San Marco...."", ""...Having failed in its 2013 bid to ban oversized cruise ships from the Giudecca Canal, the Italian inter-ministerial Comitatone overseeing Venice's lagoon released an official directive in November 2017 to keep the largest cruise ships away from the Piazza San Marco and the entrance to the Grand Canal...."", '...The classic Venetian boat is the gondola, (plural: gondole) although it is now mostly used for tourists, or for weddings, funerals, or other ceremonies, or as traghetti (sing.: traghetto) to cross the Grand Canal in lieu of a nearby bridge....', '...In 2011, the city opened the Ponte della Costituzione, the fourth bridge across the Grand Canal, which connects the Piazzale Roma bus-terminal area with the Venezia Santa Lucia railway station....', ""...The main means of public transportation consists of motorised waterbuses (vaporetti) which ply regular routes along the Grand Canal and between the city's islands...."", '...The only gondole still in common use by Venetians are the traghetti, foot passenger ferries crossing the Grand Canal at certain points where there are no convenient bridges....', '...This gives the crowded buildings on the Grand Canal and elsewhere an essential harmony, even where buildings from very different periods sit together....']","WellVenice Grand Canal, 1112 A, Fondamenta de la Pasina, San Polo, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30125, Italy","{""coordinates"": [12.332879, 45.436887], ""type"": ""Point""}","WellVenice Grand Canal, 1112 A, Fondamenta de la Pasina, San Polo, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30125, Italy",tourism,apartment
30,Lido di Venezia,Lido di Venezia,"['...The Lido di Venezia is also a popular international luxury destination, attracting thousands of actors, critics, celebrities, and others in the cinematic industry....', '*...Venezia-Lido ""Giovanni Nicelli"", a public airport suitable for smaller aircraft, is at the northeast end of Lido di Venezia....', '...In the long-term, space for ships would be provided at new terminals, perhaps at Chioggia or Lido San Nicolo....', '*...Lido and Pellestrina are two islands forming a barrier between the southern Venetian Lagoon and the Adriatic Sea....', '*...Venice, Lido, and Murano by Alilaguna (private company) motor boats;...', ""...The city hosts the Ca' Foscari University of Venice, founded in 1868; the Università Iuav di Venezia, founded in 1926; the Venice International University, founded in 1995 and located on the island of San Servolo and the EIUC-European Inter-University Centre for Human Rights and Democratisation, located on the island of Lido di Venezia.[citation needed]\nOther Venetian institutions of higher education are: the Accademia di Belle Arti (Academy of Fine Arts), established in 1750, whose first chairman was Giovanni Battista Piazzetta, and the Benedetto Marcello Conservatory of Music, which was first established in 1876 as a high school and musical society, later (1915) became Liceo Musicale, and then, when its director was Gian Francesco Malipiero, the State Conservatory of Music (1940)...."", '...Some words with a Venetian etymology include arsenal, ciao, ghetto, gondola, imbroglio, lagoon, lazaret, lido, Montenegro, and regatta....', ""*...Founded by Count Giuseppe Volpi di Misurata in 1932 as the Esposizione Internazionale d'Arte Cinematografica, the festival has since taken place every year in late August or early September on the island of the Lido....""]","Lido di Venezia, Lido-Pellestrina, Lido, Venice, Venezia, Veneto, 30132, Italy","{""coordinates"": [12.36841, 45.417518], ""type"": ""Point""}","Lido di Venezia, Lido-Pellestrina, Lido, Venice, Venezia, Veneto, 30132, Italy",highway,footway
33,Piazza San Marco,Piazza San Marco,"['...On 3 October 2020, the MOSE was activated for the first time in response to a predicted high tide event, preventing some of the low-lying parts of the city (in particular the Piazza San Marco) from being flooded....', ""...Today, there are numerous attractions in Venice, such as St Mark's Basilica, the Doge's Palace, the Grand Canal, and the Piazza San Marco...."", ""...Having failed in its 2013 bid to ban oversized cruise ships from the Giudecca Canal, the Italian inter-ministerial Comitatone overseeing Venice's lagoon released an official directive in November 2017 to keep the largest cruise ships away from the Piazza San Marco and the entrance to the Grand Canal...."", '...Andrea Tirali (ca. 1660 – 1737), architect. He designed the pavement in the Piazza San Marco....']","St. Mark's Square, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.338509, 45.434259], ""type"": ""Point""}","St. Mark's Square, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy",highway,pedestrian
35,Piazzale Roma,Piazzale Roma,"['*...The adjoining Ponte della Libertà road causeway and terminal parking facilities in Tronchetto island and Piazzale Roma were built during the 20th century....', '*...In 2011, the city opened the Ponte della Costituzione, the fourth bridge across the Grand Canal, which connects the Piazzale Roma bus-terminal area with the Venezia Santa Lucia railway station....', '*...The Venice People Mover is an elevated shuttle train public transit system connecting Tronchetto island with its car parking facility with Piazzale Roma where visitors arrive in the city by bus, taxi, or automobile....', '*...Several bus routes and one of the tramway lines link the mainland with Piazzale Roma, the main bus station in Venice, via Ponte della Libertà, the road bridge connecting the mainland with the group of islands that comprise the historic centre of Venice....', '...The Venezia Santa Lucia railway station is a few steps away from a vaporetti stop in the historic city next to the Piazzale Roma. As well as for other, local trains, this station is the terminus of the luxury Venice Simplon Orient Express from London via Paris and other cities....', '...Venice Piazzale Roma by ATVO (provincial company) buses and by ACTV (city company) buses (route 5 aerobus);...']","Piazzale Roma, Santa Croce, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30135, Italy","{""coordinates"": [12.319825, 45.437601], ""type"": ""Point""}","Piazzale Roma, Santa Croce, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30135, Italy",highway,pedestrian
