,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Scots Abbey,Scots Abbey,"[""*...Irish Benedictines founded twelfth-century monastic settlements; evidence of these ties persists in the form of Vienna's great Schottenstift monastery (Scots Abbey), once home to many Irish monks....""]","Abbey of the Scots, 6, Freyung, Schottenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.363994, 48.212562], ""type"": ""Point""}","Abbey of the Scots, 6, Freyung, Schottenviertel, Innere Stadt, Vienna, 1010, Austria",tourism,museum
12,Innere Stadt,Innere Stadt,"[""*...The heart and historical city of Vienna, a large part of today's Innere Stadt, was a fortress surrounded by fields in order to defend itself from potential attackers...."", '...The Innere Stadt is situated away from the main flow of the Danube, but is bounded by the Donaukanal (""Danube canal"")....']","Bezirksmuseum Innere Stadt, 8, Wipplingerstraße, Textilviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370797, 48.212235], ""type"": ""Point""}","Bezirksmuseum Innere Stadt, 8, Wipplingerstraße, Textilviertel, Innere Stadt, Vienna, 1010, Austria",tourism,museum
13,Rathaus,Rathaus,"['*...These buildings include the Rathaus (town hall), the Burgtheater, the University, the Parliament, the twin museums of natural history and fine art, and the Staatsoper....', '*...The Rathaus accommodates the offices of the mayor (de:Magistrat der Stadt Wien) and the state government (Landesregierung)....']","Vienna City Library, 1, City Hall Square, Schottenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.357176, 48.211478], ""type"": ""Point""}","Vienna City Library, 1, City Hall Square, Schottenviertel, Innere Stadt, Vienna, 1010, Austria",amenity,library
14,West,West,"['...Barbed wire fences were installed around the perimeter of West Berlin in 1953, but not in Vienna....', '...Thus they ensured that Austria would not be a member of NATO and that NATO forces would therefore not have direct communications between Italy and West Germany....', '...Precipitation is generally moderate throughout the year, averaging around 550\xa0mm (21.7\xa0in) annually, with considerable local variations, the Vienna Woods region in the west being the wettest part (700 to 800\xa0mm (28 to 31\xa0in) annually) and the flat plains in the east being the driest part (500 to 550\xa0mm (20 to 22\xa0in) annually)....', '*...From 1850 to 1890, city limits in the West and the South mainly followed another wall called Linienwall at which a road toll called the Liniengeld was charged....']","West, Gerstnerstraße, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria","{""coordinates"": [16.337454, 48.195267], ""type"": ""Point""}","West, Gerstnerstraße, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria",amenity,fast_food
15,South,South,"[""...The earliest settlement, at the location of today's inner city, was south of the meandering Danube while the city now spans both sides of the river...."", '*...From 1850 to 1890, city limits in the West and the South mainly followed another wall called Linienwall at which a road toll called the Liniengeld was charged....', '...International Anti-Corruption Academy (in Laxenburg, 24\xa0km (15\xa0mi) south of Vienna) ....']","Department of South Asian, Tibetan and Buddhist Studies, 2-4, Tür 2.7, Spitalgasse, Alservorstadt, KG Alsergrund, Alsergrund, Vienna, 1090, Austria","{""coordinates"": [16.353374, 48.216789], ""type"": ""Point""}","Department of South Asian, Tibetan and Buddhist Studies, 2-4, Tür 2.7, Spitalgasse, Alservorstadt, KG Alsergrund, Alsergrund, Vienna, 1090, Austria",amenity,university
17,Eastern Europe,Eastern Europe,"['*...Since the fall of the Iron Curtain in 1989, Vienna has expanded its position as gateway to Eastern Europe: 300 international companies have their Eastern European headquarters in Vienna and its environs....', ""*...Companies in Vienna have extensive contacts and competences in business with Eastern Europe due to the city's historical role as center of the Habsburg Empire....""]","Henkel Central Eastern Europe GesmbH, Wassergasse, Erdberg, KG Landstraße, Landstraße, Vienna, 1030, Austria","{""coordinates"": [16.396626, 48.201743], ""type"": ""Point""}","Henkel Central Eastern Europe GesmbH, Wassergasse, Erdberg, KG Landstraße, Landstraße, Vienna, 1030, Austria",building,office
18,Central Europe,Central Europe,"['*...Since 2012, the city hosts the annual Pioneers Festival, the largest start-up event in Central Europe with 2,500 international participants taking place at Hofburg Palace....', '*...Vienna has regained much of its former international stature by hosting international organizations, such as the United Nations (United Nations Industrial Development Organization, United Nations Office at Vienna and United Nations Office on Drugs and Crime), the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization, the International Atomic Energy Agency, the Organization of Petroleum Exporting Countries, and the Organization for Security and Cooperation in Europe....', '*...In 1910, Vienna had more than two million inhabitants, and was the third largest city in Europe after London and Paris....', '*...At that time, Vienna\'s municipal policy was admired by Socialists throughout Europe, who therefore referred to the city as ""Red Vienna"" (Rotes Wien)....', '...Since the fall of the Iron Curtain in 1989, Vienna has expanded its position as gateway to Eastern Europe: 300 international companies have their Eastern European headquarters in Vienna and its environs....', ""...Companies in Vienna have extensive contacts and competences in business with Eastern Europe due to the city's historical role as center of the Habsburg Empire...."", ""*...The Viennese sector for information and communication technologies is comparable in size with the sector in Helsinki, Milan or Munich and thus among Europe's largest IT locations...."", '*...The US technology corporation Cisco runs its Entrepreneurs in Residence program for Europe in Vienna in cooperation with the Vienna Business Agency....', '*...Seestadt Aspern is one of the largest urban expansion projects of Europe....', '*...It is the oldest English-language theater in continental Europe....', ""*...Other important sports clubs include the Raiffeisen Vikings Vienna (American Football), who won the Eurobowl title between 2004 and 2007 4 times in a row and had a perfect season in 2013, the Aon hotVolleys Vienna, one of Europe's premier Volleyball organizations, the Vienna Wanderers (baseball) who won the 2012 and 2013 Championship of the Austrian Baseball League, and the Vienna Capitals (Ice Hockey)...."", '*...Vienna is the seat of a number of United Nations offices and various international institutions and companies, including the International Atomic Energy Agency (IAEA), the United Nations Industrial Development Organization (UNIDO), the United Nations Office on Drugs and Crime (UNODC), the Organization of Petroleum Exporting Countries (OPEC), the OPEC Fund for International Development (OFID), the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO), the Organization for Security and Co-operation in Europe (OSCE), the United Nations Office for Outer Space Affairs (UNOOSA) and the European Union Agency for Fundamental Rights (FRA)....', '*...Among the more important documents negotiated in Vienna are the 1969 Vienna Convention on the Law of Treaties, as well as the 1990 Treaty on Conventional Armed Forces in Europe....']","Henkel Central Eastern Europe GesmbH, Wassergasse, Erdberg, KG Landstraße, Landstraße, Vienna, 1030, Austria","{""coordinates"": [16.396626, 48.201743], ""type"": ""Point""}","Henkel Central Eastern Europe GesmbH, Wassergasse, Erdberg, KG Landstraße, Landstraße, Vienna, 1030, Austria",building,office
19,Hofburg Palace,Hofburg Palace,"['*...Since 2012, the city hosts the annual Pioneers Festival, the largest start-up event in Central Europe with 2,500 international participants taking place at Hofburg Palace....', '...Other centers are the Messe Wien Exhibition & Congress Center (up to 3,000 people) and the Hofburg Palace (up to 4,900 people)....', '...Balls are held in the many palaces in Vienna, with the principal venue being the Hofburg Palace in Heldenplatz....']","Hofburg Palace, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.365626, 48.206329], ""type"": ""Point""}","Hofburg Palace, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",tourism,attraction
21,Austria Center Vienna,Austria Center Vienna,"[""...The city's largest conference center, the Austria Center Vienna (ACV) has a total capacity for around 22,800 people and is situated next to the United Nations Headquarters in Vienna....""]","Austria Center Vienna, 1, Bruno-Kreisky-Platz, Donau City, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria","{""coordinates"": [16.414633, 48.23508], ""type"": ""Point""}","Austria Center Vienna, 1, Bruno-Kreisky-Platz, Donau City, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria",amenity,conference_centre
23,Liechtenstein Palace,Liechtenstein Palace,"[""...The Liechtenstein Palace contains much of one of the world's largest private art collections, especially strong in the Baroque....""]","City Palace Liechtenstein, Löwelstraße, Schottenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.362435, 48.209809], ""type"": ""Point""}","City Palace Liechtenstein, Löwelstraße, Schottenviertel, Innere Stadt, Vienna, 1010, Austria",historic,castle
