,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Elbe,Elbe,['*...Amburgo sorge sulle rive del fiume Elba (Elbe in tedesco) nel nordovest della Germania....'],"Elbphilharmonie, 1, Platz der Deutschen Einheit, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania","{""coordinates"": [9.984206, 53.541292], ""type"": ""Point""}","Elbphilharmonie, 1, Platz der Deutschen Einheit, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania",tourism,attraction
7,Niedersachsen,Niedersachsen,"['*...È una città-Stato (Stadtstaat), situata fra i Länder della Bassa Sassonia (Niedersachsen) e lo Schleswig-Holstein....']","Provinzialloge von Niedersachsen, 36, Moorweidenstraße, Rotherbaum, Eimsbüttel, Amburgo, 20146, Germania","{""coordinates"": [9.98658, 53.56409], ""type"": ""Point""}","Provinzialloge von Niedersachsen, 36, Moorweidenstraße, Rotherbaum, Eimsbüttel, Amburgo, 20146, Germania",building,apartments
8,Schleswig-Holstein,Schleswig-Holstein,"['*...È una città-Stato (Stadtstaat), situata fra i Länder della Bassa Sassonia (Niedersachsen) e lo Schleswig-Holstein....', '*...Amburgo confina con trenta comuni, di cui ventidue nello Schleswig-Holstein e otto nella Bassa Sassonia:...', '...Schleswig-Holstein:...', '*...Presenta inoltre evidenti influenze della cucina della vicina regione dello Schleswig-Holstein....']","Schleswig-Holstein, A 23, Eidelstedt, Eimsbüttel, Rellingen, Kreis Pinneberg, Schleswig-Holstein, 25462, Germania","{""coordinates"": [9.879821, 53.62662], ""type"": ""Point""}","Schleswig-Holstein, A 23, Eidelstedt, Eimsbüttel, Rellingen, Kreis Pinneberg, Schleswig-Holstein, 25462, Germania",tourism,information
9,Bille,Bille,"[""*...Amburgo si trova nel punto in cui i fiumi Alster e Bille sfociano nell'Elba, che  più a nord-ovest sfocia a sua volta nel Mare del Nord....""]","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania","{""coordinates"": [10.043016, 53.543539], ""type"": ""Point""}","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania",leisure,sports_centre
13,Appen,Appen,"['*...Circondario di Pinneberg: Wedel, Appen, Pinneberg, Schenefeld, Halstenbek, Rellingen, Ellerbek e Bönningstedt ;...']","Herr von Appen, 28, Neanderstraße, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania","{""coordinates"": [9.977595, 53.551735], ""type"": ""Point""}","Herr von Appen, 28, Neanderstraße, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania",shop,hairdresser
14,Pinneberg,Pinneberg,"['*...Circondario di Pinneberg: Wedel, Appen, Pinneberg, Schenefeld, Halstenbek, Rellingen, Ellerbek e Bönningstedt ;...']","Grenzstein Nr. 10 Herrschaft Pinneberg, Troplowitzstraße, Hoheluft-West, Eimsbüttel, Amburgo, 20253, Germania","{""coordinates"": [9.968327, 53.585864], ""type"": ""Point""}","Grenzstein Nr. 10 Herrschaft Pinneberg, Troplowitzstraße, Hoheluft-West, Eimsbüttel, Amburgo, 20253, Germania",historic,boundary_stone
16,Halstenbek,Halstenbek,"['*...Circondario di Pinneberg: Wedel, Appen, Pinneberg, Schenefeld, Halstenbek, Rellingen, Ellerbek e Bönningstedt ;...']","Heideweg 67, 25469 Halstenbek, Heideweg, Lurup, Altona, Halstenbek, Kreis Pinneberg, Schleswig-Holstein, 25469, Germania","{""coordinates"": [9.854978, 53.614683], ""type"": ""Point""}","Heideweg 67, 25469 Halstenbek, Heideweg, Lurup, Altona, Halstenbek, Kreis Pinneberg, Schleswig-Holstein, 25469, Germania",amenity,post_box
17,Rellingen,Rellingen,"['*...Circondario di Pinneberg: Wedel, Appen, Pinneberg, Schenefeld, Halstenbek, Rellingen, Ellerbek e Bönningstedt ;...']","Deutsche Post, Drosselstraße, Schnelsen, Eimsbüttel, Rellingen, Kreis Pinneberg, Schleswig-Holstein, 25462, Germania","{""coordinates"": [9.894975, 53.6321], ""type"": ""Point""}","Deutsche Post, Drosselstraße, Schnelsen, Eimsbüttel, Rellingen, Kreis Pinneberg, Schleswig-Holstein, 25462, Germania",amenity,post_box
22,Stapelfeld,Stapelfeld,"['*...Circondario di Stormarn: Tangstedt, Jersbek, Ammersbek, Ahrensburg, Stapelfeld, Barsbüttel, Oststeinbek, Glinde e Reinbek ;...']","Salka Beer geb. Stapelfeld, Julius-Ludowieg-Straße, Phoenix-Viertel, Harburg, Amburgo, 21073, Germania","{""coordinates"": [9.974737, 53.459251], ""type"": ""Point""}","Salka Beer geb. Stapelfeld, Julius-Ludowieg-Straße, Phoenix-Viertel, Harburg, Amburgo, 21073, Germania",historic,memorial
23,Oststeinbek,Oststeinbek,"['*...Circondario di Stormarn: Tangstedt, Jersbek, Ammersbek, Ahrensburg, Stapelfeld, Barsbüttel, Oststeinbek, Glinde e Reinbek ;...']","Oststeinbek, Willinghusener Weg, Glinder Straße, Billstedt, Hamburg-Mitte, Amburgo, 22117, Germania","{""coordinates"": [10.151227, 53.543173], ""type"": ""Point""}","Oststeinbek, Willinghusener Weg, Glinder Straße, Billstedt, Hamburg-Mitte, Amburgo, 22117, Germania",highway,bus_stop
28,Börnsen,Börnsen,"['*...Circondario del ducato di Lauenburg: Wentorf bei Hamburg, Börnsen, Escheburg e Geesthacht ;...']","Natur- und Geschichtspfad Bergedorf - Börnsen, Gojenbergsweg, Bergedorf, Amburgo, 21029, Germania","{""coordinates"": [10.237973, 53.480015], ""type"": ""Point""}","Natur- und Geschichtspfad Bergedorf - Börnsen, Gojenbergsweg, Bergedorf, Amburgo, 21029, Germania",tourism,information
31,Winsen,Winsen,"['*...Circondario di Harburg: Drage, Winsen (Luhe), Stelle, Seevetal, Rosengarten e Neu Wulmstorf ;...']","Paula Meyer geb. Winsen, Grindelhof, Rotherbaum, Eimsbüttel, Amburgo, 20146, Germania","{""coordinates"": [9.981433, 53.567593], ""type"": ""Point""}","Paula Meyer geb. Winsen, Grindelhof, Rotherbaum, Eimsbüttel, Amburgo, 20146, Germania",historic,memorial
34,Seevetal,Seevetal,"['*...Circondario di Harburg: Drage, Winsen (Luhe), Stelle, Seevetal, Rosengarten e Neu Wulmstorf ;...']","Seevetal-Fleestedt, A 7, Weide, Beckedorf, Seevetal, Harburg, Bassa Sassonia, 21218, Germania","{""coordinates"": [9.978941, 53.413351], ""type"": ""Point""}","Seevetal-Fleestedt, A 7, Weide, Beckedorf, Seevetal, Harburg, Bassa Sassonia, 21218, Germania",highway,motorway_junction
35,Rosengarten,Rosengarten,"['*...Circondario di Harburg: Drage, Winsen (Luhe), Stelle, Seevetal, Rosengarten e Neu Wulmstorf ;...']","Rosengarten, Tiergartenstraße, Karolinenviertel, St. Pauli, Hamburg-Mitte, Amburgo, 20355, Germania","{""coordinates"": [9.983367, 53.563029], ""type"": ""Point""}","Rosengarten, Tiergartenstraße, Karolinenviertel, St. Pauli, Hamburg-Mitte, Amburgo, 20355, Germania",leisure,garden
38,Hammaburg,Hammaburg,"[""...La fortificazione (Hammaburg) sorgeva sul fondo di una palude fra l'Alster e l'Elba e fungeva da difesa contro le invasioni slave...."", '*...Il nome del castello era Hammaburg, dove la parola burg ha il significato di castello....', '*...La parola Hamma rimane di origine incerta....', ""...L'alto tedesco antico include sia la parola hamma, angolo, sia hamme, pascolo...."", ""*...Altre teorie sostengono che l'origine del nome del castello sia da individuarsi in un'ipotetica foresta di Hamma, o nel villaggio di Hamm, inglobato più tardi nella città...."", '*...La parola Hamm come nome di località ricorre molto spesso in Germania, ma il suo significato è altrettanto incerto....']","Hammaburg, Nordkanalstraße, Hammerbrook, Hamburg-Mitte, Amburgo, 20097, Germania","{""coordinates"": [10.024294, 53.551221], ""type"": ""Point""}","Hammaburg, Nordkanalstraße, Hammerbrook, Hamburg-Mitte, Amburgo, 20097, Germania",building,commercial
40,Wellingsbüttel,Wellingsbüttel,"[""*...I primi coloni della zona erano una società di cacciatori e raccoglitori del tardo Paleolitico superiore e del Neolitico, con diverse testimonianze archeologiche documentate nelle aree di Wellingsbüttel, Meiendorf e Rahlstedt dal 20.000 all'8000 a.C.....""]","Wellingsbüttel, Rehmkoppelstieg, Wellingsbüttel, Wandsbek, Amburgo, 22391, Germania","{""coordinates"": [10.082738, 53.641168], ""type"": ""Point""}","Wellingsbüttel, Rehmkoppelstieg, Wellingsbüttel, Wandsbek, Amburgo, 22391, Germania",railway,stop
41,Meiendorf,Meiendorf,"[""*...I primi coloni della zona erano una società di cacciatori e raccoglitori del tardo Paleolitico superiore e del Neolitico, con diverse testimonianze archeologiche documentate nelle aree di Wellingsbüttel, Meiendorf e Rahlstedt dal 20.000 all'8000 a.C.....""]","Gymnasium Meiendorf, Eismeerweg, Rahlstedt, Wandsbek, Amburgo, 22145, Germania","{""coordinates"": [10.149919, 53.623716], ""type"": ""Point""}","Gymnasium Meiendorf, Eismeerweg, Rahlstedt, Wandsbek, Amburgo, 22145, Germania",amenity,school
42,Fischbeker Heide,Fischbeker Heide,['*...Nel 4000 a.C. si registrano i primi insediamenti permanenti nella zona di Fischbeker Heide....'],"Fischbeker Heide, Daerstorfer Weg, Siedlung Sandbek, Neugraben-Fischbek, Harburg, Amburgo, 21149, Germania","{""coordinates"": [9.848295, 53.449809], ""type"": ""Point""}","Fischbeker Heide, Daerstorfer Weg, Siedlung Sandbek, Neugraben-Fischbek, Harburg, Amburgo, 21149, Germania",leisure,nature_reserve
