,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Singelgracht,Singelgracht,"[""*...L'area compresa nella cintura di canali del XVII secolo all'interno del Singelgracht è inserita nella lista dei Patrimoni dell'umanità dell'UNESCO (vedi Canali di Amsterdam)...."", ""*...Canali di Amsterdam. Tutto il centro storico della città è costituito da una rete di canali lunga più di cento chilometri, circa 90 isole e 1.500 ponti. I tre canali principali, Herengracht, Prinsengracht e Keizersgracht, scavati nel XVII secolo, durante il Secolo d'oro olandese, formano una cintura concentrica intorno alla città detta Grachtengordel. Lungo i canali si trovano 1550 edifici monumentali. L'area compresa nella cintura di canali del XVII secolo all'interno del Singelgracht, che comprende il Prinsengracht, Keizersgracht, Herengracht e Jordan, è inserita nella lista dei Patrimoni dell'umanità dell'UNESCO....""]","Grachtengordel van Amsterdam, Weesperstraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 VA, Paesi Bassi","{""coordinates"": [4.884727, 52.371979], ""type"": ""Point""}","Grachtengordel van Amsterdam, Weesperstraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 VA, Paesi Bassi",historic,heritage
5,Europa,Europa,"['*...La città possiede uno dei maggiori centri rinascimentali di tutta Europa....', ""*...Mentre le guerre di religione imperversavano per l'Europa, Amsterdam divenne un rifugio per molte genti perseguitate o timorose di persecuzioni per via della loro religione...."", ""*...Il commercio e l'industria soffrirono comunque le conseguenze di un'Europa devastata...."", ""*...La città di Amsterdam ha 4.630.000 turisti l'anno, il che la rende una delle capitali più visitate d'Europa...."", ""*...Nel 2007 venne rilevata la presenza di ben 171 nazionalità diverse nella città, rendendola uno dei luoghi più multiculturali d'Europa...."", ""*...Amsterdam è conosciuta anche per essere uno dei principali centri museali d'Europa...."", '...La città ha una squadra di football americano, gli Amsterdam Crusaders (in passato sono esistiti anche gli Amsterdam Admirals che militavano in NFL Europa)...']","Europa, Vriesseveem, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Paesi Bassi, 1019 GM, Paesi Bassi","{""coordinates"": [4.918916, 52.377164], ""type"": ""Point""}","Europa, Vriesseveem, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Paesi Bassi, 1019 GM, Paesi Bassi",building,yes
6,Zuiderzee,Zuiderzee,"['*...Questi cingono il vecchio porto, che un tempo era affacciato sullo Zuiderzee, oggi un lago separato dal resto del mare e noto con il nome di IJsselmeer....', '*...Tra le due guerre gli olandesi costruirono delle dighe che separarono lo Zuiderzee dal Mare del Nord, creando il cosiddetto IJsselmeer (lago IJssel)....']","Zuiderzeeweg, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1023 NA, Paesi Bassi","{""coordinates"": [4.954472, 52.386882], ""type"": ""Point""}","Zuiderzeeweg, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1023 NA, Paesi Bassi",highway,tertiary
10,Amsterdamse Bos,Amsterdamse Bos,"[""*...Si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis....""]","Amsterdamse Bos, Amsterdamseweg, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1081 JP, Paesi Bassi","{""coordinates"": [4.857364, 52.327009], ""type"": ""Point""}","Amsterdamse Bos, Amsterdamseweg, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1081 JP, Paesi Bassi",highway,platform
11,Vondelpark,Vondelpark,"[""*...Si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis...."", '*...Il Vondelpark invece è un Parco all\'inglese, di circa 48 ettari, che si trova nel centro di Amsterdam, in quella che viene chiamata come la ""zona dei musei""....']","Vondelpark, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 AB, Paesi Bassi","{""coordinates"": [4.881683, 52.361699], ""type"": ""Point""}","Vondelpark, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 AB, Paesi Bassi",highway,pedestrian
12,Artis,Artis,"[""*...Si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis...."", '...Lo zoo di Amsterdam, chiamato Artis, dal motto latino Natura Artis Magistra, ossia ""Natura maestra d\'arte"", che è il più antico complesso zoologico dei Paesi Bassi....']","Artis, Plantage Middenlaan, Plantage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 DB, Paesi Bassi","{""coordinates"": [4.910955, 52.366719], ""type"": ""Point""}","Artis, Plantage Middenlaan, Plantage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 DB, Paesi Bassi",railway,tram_stop
22,Africa,Africa,"[""*...Le navi olandesi salpavano per il nord America, l'Indonesia, il Brasile e l'Africa, creando un impero coloniale....""]","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1075 AT, Paesi Bassi","{""coordinates"": [4.862822, 52.354403], ""type"": ""Point""}","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1075 AT, Paesi Bassi",tourism,artwork
28,Suriname,Suriname,"['*...Durante gli anni seguenti crebbe grandemente il numero degli immigrati, soprattutto dal Suriname, dalla Turchia e dal Marocco....', ""*...In particolare sono molto apprezzati i piatti di carne del Suriname e il rijsttafel (riso bianco con contorni di verdure e di carne) dell'Indonesia....""]","Surinamestraat, West, Amsterdam, Noord-Holland, Paesi Bassi, 1058 GK, Paesi Bassi","{""coordinates"": [4.854583, 52.357993], ""type"": ""Point""}","Surinamestraat, West, Amsterdam, Noord-Holland, Paesi Bassi, 1058 GK, Paesi Bassi",highway,secondary
31,Purmerend,Purmerend,"['*...Molte persone si trasferirono nelle città vicine, tra cui Purmerend ed Almere....']","Amsterdam-Monnickendam/Purmerend, Meeuwenlaan, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1021 HR, Paesi Bassi","{""coordinates"": [4.91115, 52.3839], ""type"": ""Point""}","Amsterdam-Monnickendam/Purmerend, Meeuwenlaan, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1021 HR, Paesi Bassi",historic,railway
33,Jordaan,Jordaan,"['*...Quartieri come De Pijp e Jordaan, precedentemente abitati da operai, divennero ambite mete per i nuovi yuppie abbienti e per gli studenti....']","Elandsgracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1016 TV, Paesi Bassi","{""coordinates"": [4.882338, 52.370152], ""type"": ""Point""}","Elandsgracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1016 TV, Paesi Bassi",highway,pedestrian
