,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Αθήνα,Αθήνα,"['*...Αθήνα, traslitterato:...']","Athena, 3, Κοτοπούλη, Ομόνοια, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 31, Grecia","{""coordinates"": [23.727517, 37.984575], ""type"": ""Point""}","Athena, 3, Κοτοπούλη, Ομόνοια, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 31, Grecia",amenity,fast_food
1,Athḕnai,Athḕnai,"[""*..., Athḕnai) è un comune greco di 655\xa0780 abitanti, capitale della Repubblica Ellenica, capoluogo dell'unità periferica di Atene Centrale e della periferia dell'Attica....""]","Αθήναι, Μακρυγιάννη, Γαργαρέττα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.730033, 37.969279], ""type"": ""Point""}","Αθήναι, Μακρυγιάννη, Γαργαρέττα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",amenity,cafe
4,Museo dell'Acropoli,Museo dell'Acropoli,"[""*...Nel XXI secolo è stata al centro dell'attenzione di tutto il mondo per aver organizzato con successo i Giochi della XXVIII Olimpiade nel 2004 e per l'inaugurazione del nuovo Museo dell'Acropoli nel 2009, che ha riaperto il dibattito riguardante i Marmi del Partenone...."", ""...Museo dell'acropoli di Atene, di Bernard Tschumi ;..."", ""*...Museo dell'Acropoli ;..."", ""...Popolazioni vi si erano insediate già dal Neolitico intorno al 3500 a.C., ma fu in età micenea che la città iniziò a fiorire diventando sede di un'importante fortezza intorno all'acropoli...."", ""*...Atena e Poseidone riunirono il popolo della città sull'Acropoli e dissero che ciascuno dei due avrebbe concesso un dono:..."", ""...L'Acropoli ;...""]","Vecchio Museo dell'Acropoli, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.727798, 37.971398], ""type"": ""Point""}","Vecchio Museo dell'Acropoli, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",tourism,museum
5,Partenone,Partenone,"[""*...Nel XXI secolo è stata al centro dell'attenzione di tutto il mondo per aver organizzato con successo i Giochi della XXVIII Olimpiade nel 2004 e per l'inaugurazione del nuovo Museo dell'Acropoli nel 2009, che ha riaperto il dibattito riguardante i Marmi del Partenone...."", '*...Ciò è raccontato in parte attraverso le statue del frontone orientale del Partenone....']","Partenone, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.726618, 37.971503], ""type"": ""Point""}","Partenone, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",tourism,attraction
9,Kifisià,Kifisià,"['*...La città si estende dalle pendici del monte Parnete, dove si trovano i cosiddetti sobborghi settentrionali, i più famosi dei quali sono Kifisià e Marousi, fino alla costa, dove si trova il porto del Pireo e i sobborghi meridionali come Glyfada e Palaio Faliro....']","Κηφισιά, Atene - Salonicco - Evzoni, Δήμος Κηφισιάς, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 145 64, Grecia","{""coordinates"": [23.791283, 38.091532], ""type"": ""Point""}","Κηφισιά, Atene - Salonicco - Evzoni, Δήμος Κηφισιάς, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 145 64, Grecia",highway,motorway_junction
14,Europa,Europa,"[""*...È una delle città d'Europa con il maggior numero di giorni di sole all'anno, visto che si possono contare in media 179 giorni durante i quali il sole non è coperto da nuvole nemmeno in un istante, e altri 157 durante i quali il sole è coperto da nuvole solo per mezz'ora...."", ""*...La temperatura effettiva percepita è però minore di quella di altre città d'Europa per il basso tasso d'umidità...."", ""*...Atene risulta pertanto, insieme a Madrid, una delle città più aride d'Europa...."", '*...Atene possiede uno dei maggiori parchi autobus a metano in Europa e di filobus, per un totale di 293 linee che si sviluppano per circa 8500 chilometri con 8000 fermate....', ""*...La rete di filobus è la più estesa dell'Europa occidentale (392 chilometri)...."", ""*...La città è inoltre tagliata da nord a sud tramite la tangenziale del Cefiso (Leoforos Kifisias, dal nome del fiume sul quale è stata in parte costruita, è infatti sopraelevata per un lungo tratto), che costituisce il prolungamento urbano dell'autostrada per le città settentrionali di Lamia, Larissa e Salonicco, e giunge fino al Pireo concludendosi in uno degli svincoli autostradali più grandi d'Europa....""]","Europa, Ιπποκράτους, Πευκάκια, Συνοικία Γκύζη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 114 72, Grecia","{""coordinates"": [23.743572, 37.986797], ""type"": ""Point""}","Europa, Ιπποκράτους, Πευκάκια, Συνοικία Γκύζη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 114 72, Grecia",shop,doors
18,Corfù,Corfù,"['*...Infatti mentre qui le precipitazioni medie annuali si aggirano sui 350–400\xa0mm, a Corfù si superano spesso i 1000–1200\xa0mm....']","Corfu, 52, Παναγή Τσαλδάρη (Πειραιώς), Μεταξουργείο, Συνοικία Ρουφ, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 53, Grecia","{""coordinates"": [23.722236, 37.981655], ""type"": ""Point""}","Corfu, 52, Παναγή Τσαλδάρη (Πειραιώς), Μεταξουργείο, Συνοικία Ρουφ, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 53, Grecia",amenity,fast_food
23,Thiseio,Thiseio,"[""*...È stata riscontrata la responsabilità dell'isola di calore di Atene anche rispetto ad alterazioni delle serie storiche climatologiche di alcune stazioni meteorologiche ateniesi quali Thiseio (Osservatorio Nazionale di Atene), Nea Philadelphia (HNMS) e Hellinikon (HNMS) a causa del suo effetto di innalzamento delle temperature da esse registrate rispetto alle vicine zone rurali...."", '*...3: 48\xa0305 (include i quartieri di Votanikos, Petralona, Kerameikos e Thiseio) ;...']","Θησείο, Επταχάλκου, Θησείο, Συνοικία Άνω Πετραλώνων, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 53, Grecia","{""coordinates"": [23.720536, 37.976685], ""type"": ""Point""}","Θησείο, Επταχάλκου, Θησείο, Συνοικία Άνω Πετραλώνων, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 53, Grecia",railway,stop
26,"5000 a.C.
","5000 a.C.
","['*...I primi segni di presenza umana si trovano nella Grotta di Scisto, e sono datati tra il 13000 e il 5000 a.C....']","Πρασσά Γ., Νεάπολη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 80, Grecia","{""coordinates"": [23.737948, 37.982806], ""type"": ""Point""}","Πρασσά Γ., Νεάπολη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 80, Grecia",highway,pedestrian
32,Atena,Atena,"['*...Tradizionalmente la protettrice della città è la dea Atena, raffigurata sia sullo stemma che sulla bandiera della città....', '*...Atena....', ""*...Un'altra versione del mito che spiega l'origine del nome di questa città, non designa Atena come fondatrice, ma solo come la dea che le diede il proprio nome e ne diventò la protettrice...."", '*...Atena decise, quindi, di prenderla sotto la sua custodia....', ""*...Atena e Poseidone entrarono in conflitto, perché nessuno dei due voleva concedere la giovane città all'altro;..."", '*...Così Atena propose di lasciar decidere ai cittadini chi ne avrebbe preso la custodia....', ""*...Atena e Poseidone riunirono il popolo della città sull'Acropoli e dissero che ciascuno dei due avrebbe concesso un dono:..."", '*...Poseidone fece comparire un magnifico cavallo, mentre Atena fece nascere dal terreno un ulivo....', ""*...Tutti concordarono con le parole dell'anziano e scelsero il dono di Atena, che diede infine il suo nome alla città...."", ""*...Sotto la protezione di Atena, dea della saggezza, Atene diventò una città fiorente, abile anche nelle guerre, per l'intelligenza e per l'attento uso della tattica dei suoi comandanti....""]","Άγαλμα Αθηνάς Προμάχου, Περίπατος Ακρόπολης (Βόρεια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.725665, 37.971817], ""type"": ""Point""}","Άγαλμα Αθηνάς Προμάχου, Περίπατος Ακρόπολης (Βόρεια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",historic,archaeological_site
