,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Ciutat Comtal,Ciutat Comtal,"['*...Soprannominata Ciutat Comtal o Ciudad Condal (Città dei Conti), è la seconda città della Spagna per numero di abitanti dopo la capitale Madrid....']","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08007, Spagna","{""coordinates"": [2.16689, 41.3888], ""type"": ""Point""}","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08007, Spagna",amenity,restaurant
1,Ciudad Condal,Ciudad Condal,"['*...Soprannominata Ciutat Comtal o Ciudad Condal (Città dei Conti), è la seconda città della Spagna per numero di abitanti dopo la capitale Madrid....', ""*...Nei distretti dell'Eixample e della Ciutat Vella si trovano molti teatri tra i quali il Condal, il Poliorama, il Romea, il Victoria ed El Mercat de les Flors, che offrono spettacoli musicali, commedie e Teatro sperimentale....""]","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08007, Spagna","{""coordinates"": [2.16689, 41.3888], ""type"": ""Point""}","Ciudad Condal, 18, Rambla de Catalunya, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08007, Spagna",amenity,restaurant
3,Madrid,Madrid,"['*...Soprannominata Ciutat Comtal o Ciudad Condal (Città dei Conti), è la seconda città della Spagna per numero di abitanti dopo la capitale Madrid....', ""*...Forte del turismo, del porto e della vicinanza alla Francia (160\xa0km da Le Perthus), la città è il secondo maggior centro industriale e finanziario della Spagna dopo Madrid, nonché il maggior porto commerciale e turistico e uno dei maggiori d'Europa...."", '*...Per esempio, è stata il primo centro di produzione di vignette a fumetti della Spagna, davanti a Valencia e Madrid....', '*...Nei primi mesi del 2008 è stata inaugurata anche la linea ferroviaria ad alta velocità tra Madrid e Barcellona....', '*...Un intero padiglione dell\'Aeroporto è destinato al cosiddetto ""Ponte Aereo"", che unisce Barcellona e Madrid con voli ogni 20 minuti nelle ore di punta....', '*...Barcellona dispone di una fitta rete di autostrade, le principali sono la AP7, che comincia ad Almería, passa da Valencia, Barcellona e continua per Perpignano, la A-2 che comincia a Madrid, passa da Saragozza, Barcellona e continua fino alla Francia e infine la AP-2, che scorre parallela alla A-2 tra Saragozza e Barcellona....']","Plaça de la Vila de Madrid, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.17218, 41.384296], ""type"": ""Point""}","Plaça de la Vila de Madrid, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,footway
5,Francia,Francia,"[""*...Forte del turismo, del porto e della vicinanza alla Francia (160\xa0km da Le Perthus), la città è il secondo maggior centro industriale e finanziario della Spagna dopo Madrid, nonché il maggior porto commerciale e turistico e uno dei maggiori d'Europa...."", '*...È situata nella Spagna orientale, sul mar Mediterraneo a sud della catena montuosa dei Pirenei e 150\xa0km dal Colle del Perthus, che segna il confine con la Francia, in una pianura situata tra il mare e la suddetta catena montuosa, tra le foci dei fiumi Besòs e Llobregat....', ""*...La regione di maggior provenienza degli stranieri è l'Europa, con le comunità più importanti provenienti da Italia (26.676 nel 2016 e 36.276 nel 2019) e Francia (13.506 nel 2016 e 16.940 nel 2019)...."", '*...Barcellona dispone di una fitta rete di autostrade, le principali sono la AP7, che comincia ad Almería, passa da Valencia, Barcellona e continua per Perpignano, la A-2 che comincia a Madrid, passa da Saragozza, Barcellona e continua fino alla Francia e infine la AP-2, che scorre parallela alla A-2 tra Saragozza e Barcellona....']","Stazione di Barcellona-Francia, Avinguda del Marquès de l'Argentera, la Ribera, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.185469, 41.384287], ""type"": ""Point""}","Stazione di Barcellona-Francia, Avinguda del Marquès de l'Argentera, la Ribera, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",railway,station
6,Europa,Europa,"[""*...Forte del turismo, del porto e della vicinanza alla Francia (160\xa0km da Le Perthus), la città è il secondo maggior centro industriale e finanziario della Spagna dopo Madrid, nonché il maggior porto commerciale e turistico e uno dei maggiori d'Europa...."", ""...L'estate del 2003, similmente a tutta l'Europa Occidentale, lasciò il mese con la temperatura media più alta da quando si hanno registrazioni (27,8\xa0°C di media ad agosto), mentre il febbraio del 1956 vide la temperatura media mensile più bassa del secolo XX:..."", ""*...La regione di maggior provenienza degli stranieri è l'Europa, con le comunità più importanti provenienti da Italia (26.676 nel 2016 e 36.276 nel 2019) e Francia (13.506 nel 2016 e 16.940 nel 2019)...."", '*...La Catedral de la Santa Creu i Santa Eulàlia, la Basilica di Santa Maria del Mar, caratterizzata dalla sua austerità e armonia nelle dimensioni che la rendono una delle opere più rilevanti del gotico catalano, o anche il Drassanes uno dei pochi esempi di cantiere navale gotico ancora esistente in Europa....', ""*...Negli ultimi anni Barcellona si è trasformata in uno dei centri più importanti d'Europa per la musica, grazie alla qualità e quantità della sua proposta...."", ""*...Questa linea è costruita per permettere un uso misto, sia per treni passeggeri sia per treni merci, permettendo così una connessione ferroviaria rapida ai passeggeri e un traffico mercantile con il resto d'Europa delle merci giunte nel porto...."", ""*...Alcune di queste sono tra le più importanti in Spagna e in Europa, con più di 3,5 milioni di visitatori annuali, che generano un grande giro d'affari per il settore alberghiero e ristoratore...."", ""*...Nella struttura operano le principali compagnie aeree del mondo, con voli diretti a tutte le maggiori città d'Europa e a molte degli altri continenti...."", ""*...L'attuale rete spagnola ha i binari a scartamento largo, incompatibili con lo scartamento ferroviario standard utilizzato in Europa, per questo motivo la nuova rete ferroviaria ad alta velocità utilizzerà lo standard europeo...."", ""*...Una volta uniti i due rami, comuni a entrambe le linee, la linea 9 sarà la linea automatica più lunga d'Europa e attraverserà il territorio di cinque comuni:..."", ""...Il pluri-titolato Futbol Club Barcelona, che gioca nello stadio Camp Nou, situato nel nord-ovest della città, l'Espanyol, il cui stadio è il Cornellà-El Prat (fino al luglio 2009 giocava le partite interne allo Stadio Olimpico Lluís Companys), e le meno note CE Europa e Unió Esportiva Sant Andreu, che gioca al Narcís Sala....""]","Europa, Carrer dels Enamorats, el Camp de l'Arpa del Clot, Sant Martí, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.185135, 41.408553], ""type"": ""Point""}","Europa, Carrer dels Enamorats, el Camp de l'Arpa del Clot, Sant Martí, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",amenity,restaurant
12,Sant Cugat del Vallès,Sant Cugat del Vallès,"[""*...Il comune è delimitato a nord dai comuni di Santa Coloma de Gramenet e Sant Adrià de Besòs, a ovest da Montcada i Reixac e da Sant Cugat del Vallès, a sud dalla zona franca con L'Hospitalet e Esplugues de Llobregat, mentre a est dal Mar Mediterraneo\n...."", ""*...Nella comarca del Vallès le ghiacciate superano i 30 giorni annui e i 25 giorni per le massime superiori ai 30\xa0°C d'estate....""]","Carrer de Sant Cugat del Vallès, la Salut, Gràcia, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.155851, 41.411836], ""type"": ""Point""}","Carrer de Sant Cugat del Vallès, la Salut, Gràcia, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,footway
20,Romani,Romani,"[""*...Successivamente i Romani riorganizzarono la città come un castrum (un campo militare), situato sul monte Tàber, una collina dove oggi sorgono da una parte il municipio e dall'altra la sede della Generalitat de Catalunya (Plaça de Sant Jaume)...."", '*...La città fu battezzata dai Romani con il nome di Colonia Iulia Augusta Faventia Paterna Barcino....']","Plaça del Poble Romaní, la Vila de Gràcia, Gràcia, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.160926, 41.401831], ""type"": ""Point""}","Plaça del Poble Romaní, la Vila de Gràcia, Gràcia, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,footway
22,Plaça de Sant Jaume,Plaça de Sant Jaume,"[""*...Successivamente i Romani riorganizzarono la città come un castrum (un campo militare), situato sul monte Tàber, una collina dove oggi sorgono da una parte il municipio e dall'altra la sede della Generalitat de Catalunya (Plaça de Sant Jaume)...."", ""*...La Generalitat (governo Autonomo della Catalogna) e la sede dei suoi organi sono a Barcellona: il Parlamento della Catalogna è situato nel Parco della Cittadella e il Palazzo della Generalitat de Catalunya, sede della Presidenza e dal Governo della Generalitat, è situato nella Plaça de Sant Jaume. La Generalitat viene eletta a suffragio universale in elezioni che si svolgono ogni quattro anni in tutta la Catalogna, e ha grandi competenze sulla gestione della regione autonoma, dall'educazione ai problemi sociali, ai trasporti, alla politica economica, al commercio, ecc. È anche responsabile della costruzione di infrastrutture come ospedali, scuole, Università e residenze per la terza età....""]","Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.176991, 41.38265], ""type"": ""Point""}","Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,pedestrian
30,Eixample,Eixample,"[""*...Nella seconda metà del XIX secolo il progetto di abbattere le antiche mura medievali fece spazio a l'Estensione (in catalano Eixample) che allargò i confini della città fino a inglobare i paesini della vicina periferia...."", ""*...Alcuni esempi del modernismo sono gli edifici del Quadrat d'Or nel quartiere dell'Eixample, le opere di Antoni Gaudí e il Palau de la Música Catalana di Lluís Domènech i Montaner, dichiarato nel 1997 patrimonio dell'umanità dall'UNESCO e situato nel quartiere di Sant Pere, accanto a Via Laietana...."", ""*...È situata tra la Gran Via e il Carrer Marina nel distretto dell'Eixample...."", ""*...Nei distretti dell'Eixample e della Ciutat Vella si trovano molti teatri tra i quali il Condal, il Poliorama, il Romea, il Victoria ed El Mercat de les Flors, che offrono spettacoli musicali, commedie e Teatro sperimentale...."", ""*...Nei distretti dell'Eixample, e soprattutto nella Ciutat Vella, c'è una grande quantità di locali che offrono musica jazz per un pubblico ridotto, ma esistono anche locali di più ampia capienza come il Luz de Gas, il Razzmatazz, il Jamboree de la Plaza Real o la Sala Bikini, dove ogni settimana suonano artisti pop e rock....""]","Torre de les Aigües de l'Eixample, 52I, Carrer de Roger de Llúria, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08009, Spagna","{""coordinates"": [2.169817, 41.393248], ""type"": ""Point""}","Torre de les Aigües de l'Eixample, 52I, Carrer de Roger de Llúria, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08009, Spagna",man_made,water_tower
31,Sarrià,Sarrià,"['*...Fu il caso di Gràcia, Sarrià, Horta, Sant Gervasi de Cassoles, Les Corts, Sants, Sant Andreu de Palomar e Sant Martí de Provençals....']","Sarrià, Via Augusta, les Tres Torres, Sarrià - Sant Gervasi, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.125629, 41.398566], ""type"": ""Point""}","Sarrià, Via Augusta, les Tres Torres, Sarrià - Sant Gervasi, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",railway,station
