,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Spree,Spree,"[""*...Il centro di Berlino sorge sulle rive della Sprea (Spree in tedesco), in un'ampia valle di origine glaciale (Berliner Urstromtal) fra gli altopiani di Barnim e Teltow, orientata in senso est-ovest....""]","Am Kupfergraben, Friedrichswerder, Mitte, Berlino, 10117, Germania","{""coordinates"": [13.395354, 52.520355], ""type"": ""Point""}","Am Kupfergraben, Friedrichswerder, Mitte, Berlino, 10117, Germania",highway,residential
7,Barnim,Barnim,"[""*...Il centro di Berlino sorge sulle rive della Sprea (Spree in tedesco), in un'ampia valle di origine glaciale (Berliner Urstromtal) fra gli altopiani di Barnim e Teltow, orientata in senso est-ovest...."", '...Barnim: Wandlitz, Panketal, Ahrensfelde....']","Barnimstraße, Barnimkiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlino, 10249, Germania","{""coordinates"": [13.424553, 52.524823], ""type"": ""Point""}","Barnimstraße, Barnimkiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlino, 10249, Germania",highway,residential
8,Teltow,Teltow,"[""*...Il centro di Berlino sorge sulle rive della Sprea (Spree in tedesco), in un'ampia valle di origine glaciale (Berliner Urstromtal) fra gli altopiani di Barnim e Teltow, orientata in senso est-ovest...."", '*...Potsdam-Mittelmark: Teltow (città), Kleinmachnow, Stahnsdorf....']","Teltow-Grundschule, Feurigstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlino, 10827, Germania","{""coordinates"": [13.356482, 52.484075], ""type"": ""Point""}","Teltow-Grundschule, Feurigstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlino, 10827, Germania",amenity,school
9,Treptow-Köpenick,Treptow-Köpenick,"['*...Nel quartiere periferico di Treptow-Köpenick orientale si trova invece il Müggelsee....', '*...I traghetti di servizio pubblico contano 10 linee, tutte periferiche, che attraversano la Sprea e altri fiumi e laghi. Sono concentrate a sud-est (Treptow-Köpenick), ma la linea più lunga si trova nella zona sud-occidentale, tra Wannsee e Kladow....', '*...Anche altre città e villaggi nei dintorni\xa0– alcuni dei quali fondati prima della stessa Berlino\xa0– erano cresciuti, partecipando al boom economico della capitale, come Spandau, Köpenick, Wilmersdorf....', ""*...La più piccola tra le città era Köpenick con 32\xa0589 abitanti, anch'essa fondata prima di Berlino...."", '*...Con Köpenick entrarono nel nuovo territorio berlinese anche le ampie zone verde nel sud-est, il grande lago Müggelsee con le sue foreste e i parchi\xa0– più centrali – Treptower Park e Plänterwald....']","JugendKunstSchule Treptow-Köpenick, 28a, Mentzelstraße, Spindlersfeld, Köpenick, Treptow-Köpenick, Berlino, 12555, Germania","{""coordinates"": [13.568366, 52.446828], ""type"": ""Point""}","JugendKunstSchule Treptow-Köpenick, 28a, Mentzelstraße, Spindlersfeld, Köpenick, Treptow-Köpenick, Berlino, 12555, Germania",amenity,training
11,Müggelheim,Müggelheim,"[""*...La maggiore è il Großer Müggelberg, nel quartiere di Müggelheim, che raggiunge un'altezza di  s.l.m....""]","Müggelheim, 254, Müggelheimer Damm, Müggelheim, Treptow-Köpenick, Berlino, 12559, Germania","{""coordinates"": [13.658178, 52.413926], ""type"": ""Point""}","Müggelheim, 254, Müggelheimer Damm, Müggelheim, Treptow-Köpenick, Berlino, 12559, Germania",amenity,fast_food
15,Landkreis,Landkreis,"['*...Vengono qui riportati gli altri 26, suddivisi per circondario (Landkreis), partendo da nord-est e procedendo in senso orario:...']","Grumbacher Weg, Zehlendorf, Steglitz-Zehlendorf, Berlino, 14163, Germania","{""coordinates"": [13.240728, 52.448767], ""type"": ""Point""}","Grumbacher Weg, Zehlendorf, Steglitz-Zehlendorf, Berlino, 14163, Germania",highway,footway
16,Woltersdorf,Woltersdorf,"['*...Oder-Spree: Schöneiche bei Berlin, Woltersdorf, Erkner (città), Gosen-Neu Zittau....', ""*...La rete tranviaria berlinese conta 22 linee urbane (quasi tutte nella zona orientale) e 2 extraurbane (verso Schöneiche, Rüdersdorf e Woltersdorf). La rete occidentale venne soppressa negli anni cinquanta e sessanta; di essa è stata ricostruita una sola linea, che attraversa i quartieri di Gesundbrunnen e Wedding. Tuttavia sono allo studio ulteriori prolungamenti. Inoltre nel 2005 la rete venne completamente riorganizzata con l'istituzione delle linee MetroTram (M)....""]","Woltersdorfer Weg, Kolonie Am Seggeluchbecken e.V., Wittenau, Reinickendorf, Berlino, 13435, Germania","{""coordinates"": [13.34517, 52.604683], ""type"": ""Point""}","Woltersdorfer Weg, Kolonie Am Seggeluchbecken e.V., Wittenau, Reinickendorf, Berlino, 13435, Germania",highway,footway
17,Erkner,Erkner,"['*...Oder-Spree: Schöneiche bei Berlin, Woltersdorf, Erkner (città), Gosen-Neu Zittau....']","Erknerstraße, Wilhelmshagen, Rahnsdorf, Treptow-Köpenick, Berlino, 12589, Germania","{""coordinates"": [13.719335, 52.441187], ""type"": ""Point""}","Erknerstraße, Wilhelmshagen, Rahnsdorf, Treptow-Köpenick, Berlino, 12589, Germania",highway,residential
18,Gosen-Neu Zittau,Gosen-Neu Zittau,"['*...Oder-Spree: Schöneiche bei Berlin, Woltersdorf, Erkner (città), Gosen-Neu Zittau....']","Gosener Brücke, Müggelheim, Treptow-Köpenick, Berlino, 12559, Germania","{""coordinates"": [13.712442, 52.397979], ""type"": ""Point""}","Gosener Brücke, Müggelheim, Treptow-Köpenick, Berlino, 12559, Germania",highway,secondary
19,Königs Wusterhausen,Königs Wusterhausen,"['*...Dahme-Spreewald: Königs Wusterhausen (città), Zeuthen, Eichwalde, Schulzendorf, Schönefeld....', ""*...La S-Bahn è un servizio ferroviario suburbano, prevalentemente di superficie, con tracciati spesso paralleli (ma autonomi) a quelli delle ferrovie nazionali della Deutsche Bahn. La rete, composta da 15 linee (di cui due circolari, il cosiddetto Ring), fra loro sovrapposte nelle tratte centrali, copre tutta la città e i dintorni: fra le città servite vi sono Potsdam, Strausberg, Oranienburg, Bernau e Königs Wusterhausen. La compagnia che la gestisce è la S-Bahn Berlin GmbH, parte del gruppo Deutsche Bahn. La sua storia inizia nel 1882, con l'inaugurazione della Stadtbahn, per poi incrementare il suo sviluppo con l'elettrificazione, a partire dalla metà degli anni venti....""]","Königs Wusterhausen, Imkerweg, Schmöckwitz, Treptow-Köpenick, Berlino, 12527, Germania","{""coordinates"": [13.65404, 52.380572], ""type"": ""Point""}","Königs Wusterhausen, Imkerweg, Schmöckwitz, Treptow-Köpenick, Berlino, 12527, Germania",tourism,information
