,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Evere,Evere,"['*...A Evere ha inoltre sede il quartier generale della NATO....', '*...Regione di Bruxelles-Capitale (19 comuni): Anderlecht, Auderghem, Berchem-Sainte-Agathe, Bruxelles, Etterbeek, Evere, Forest, Ganshoren, Ixelles, Jette, Koekelberg, Molenbeek-Saint-Jean, Saint-Gilles, Saint-Josse-ten-Noode, Schaerbeek, Uccle, Watermael-Boitsfort, Woluwe-Saint-Lambert, Woluwe-Saint-Pierre;...']","Evere, Rue Auguste De Boeck - August De Boeckstraat, Evere, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1140, Belgio","{""coordinates"": [4.400276, 50.866926], ""type"": ""Point""}","Evere, Rue Auguste De Boeck - August De Boeckstraat, Evere, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1140, Belgio",railway,platform
2,Kraainem,Kraainem,"[""*...Tra questi Zaventem (sede dell'Aeroporto internazionale), Kraainem (capolinea della metropolitana) e Tervuren (quartiere residenziale)...."", '*...Provincia del Brabante Fiammingo (15 comuni): Beersel, Dilbeek, Drogenbos, Grimbergen, Halle, Kraainem, Linkebeek, Machelen, Sint-Genesius-Rode, Sint-Pieters-Leeuw, Tervuren, Vilvoorde, Wemmel, Wezembeek-Oppem, Zaventem;...']","Kraainem, E40, Sint-Stevens-Woluwe, Zaventem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1932, Belgio","{""coordinates"": [4.447137, 50.864317], ""type"": ""Point""}","Kraainem, E40, Sint-Stevens-Woluwe, Zaventem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1932, Belgio",highway,motorway_junction
3,Tervuren,Tervuren,"[""*...Tra questi Zaventem (sede dell'Aeroporto internazionale), Kraainem (capolinea della metropolitana) e Tervuren (quartiere residenziale)...."", '*...Provincia del Brabante Fiammingo (15 comuni): Beersel, Dilbeek, Drogenbos, Grimbergen, Halle, Kraainem, Linkebeek, Machelen, Sint-Genesius-Rode, Sint-Pieters-Leeuw, Tervuren, Vilvoorde, Wemmel, Wezembeek-Oppem, Zaventem;...']","Tervuren, Leuvensesteenweg, Tervuren, Wezembeek-Oppem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, Belgio","{""coordinates"": [4.51365, 50.829605], ""type"": ""Point""}","Tervuren, Leuvensesteenweg, Tervuren, Wezembeek-Oppem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, Belgio",tourism,information
6,"Bruxelles
Il","Bruxelles
Il","['*...Nel 2014 Eurostat includeva 2\xa0607\xa0961 abitanti nell\'area urbana funzionale (functional urban area) di Bruxelles\nIl toponimo Bruxelles deriva da Bruocsella o Brucsella, che significa ""casa (sel) nella palude (broek)"";...']","Il Centro Belga Dei Fumetti, 20, Rue des Sables - Zandstraat, Quartier Marais-Jacqmain - Wijk Marais-Jacqmain, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1010, Belgio","{""coordinates"": [4.360178, 50.851249], ""type"": ""Point""}","Il Centro Belga Dei Fumetti, 20, Rue des Sables - Zandstraat, Quartier Marais-Jacqmain - Wijk Marais-Jacqmain, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1010, Belgio",tourism,museum
13,Bruges,Bruges,"['*...Il primo nucleo della città di Bruxelles sarebbe sorto nel VI secolo d.C. per iniziativa del vescovo di Cambrai, come punto di collegamento strategico tra le città di Colonia e Bruges....']","Rue de Bruges - Bruggestraat, Cité Nogent - Tuinwijk Nogent, Molenbeek-Saint-Jean - Sint-Jans-Molenbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1080, Belgio","{""coordinates"": [4.309739, 50.859228], ""type"": ""Point""}","Rue de Bruges - Bruggestraat, Cité Nogent - Tuinwijk Nogent, Molenbeek-Saint-Jean - Sint-Jans-Molenbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1080, Belgio",highway,residential
15,Lorena,Lorena,['*...Nel corso del secolo XII passò dalla corona di Brabante a quella dei duchi di Lorena....'],"Les macarons de Lorena, 25, Rue Godefroid Kurth - Godfroid Kurthstraat, Conscience, Evere, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1140, Belgio","{""coordinates"": [4.397227, 50.869082], ""type"": ""Point""}","Les macarons de Lorena, 25, Rue Godefroid Kurth - Godfroid Kurthstraat, Conscience, Evere, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1140, Belgio",shop,confectionery
17,Francia,Francia,"[""*...Successivamente la sua storia risultò indissolubilmente legata alle sorti della regione delle Fiandre, passando attraverso le lotte per il predominio tra l'Austria, la Spagna e la Francia...."", '*...Il resto della produzione si accostò agli aspetti decorativi imperanti nel nord della Francia....']","Ambassade de France - Ambassade van Frankrijk, 65, Rue Ducale - Hertogstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.368059, 50.846761], ""type"": ""Point""}","Ambassade de France - Ambassade van Frankrijk, 65, Rue Ducale - Hertogstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",office,diplomatic
19,Europa,Europa,"[""*...Nel 1477, quando divenne capitale dei Paesi Bassi austriaci, era ritenuta una delle città più attraenti e ricche d'Europa, grazie soprattutto alle sue attività commerciali, concentrate sul traffico di tessuti...."", '*...Il Municipio di Bruxelles è uno dei più begli esempi di Palazzi pubblici in Europa, e uno dei più alti capolavori dello stile Gotico brabantino, eretto fra il 1402 e il 1455....', ""*...Statua dell'Europa ;...""]","Palazzo Europa, 155, Rue de la Loi - Wetstraat, Quartier européen - Europese Wijk, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.380655, 50.842539], ""type"": ""Point""}","Palazzo Europa, 155, Rue de la Loi - Wetstraat, Quartier européen - Europese Wijk, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",office,government
21,Maelbeek,Maelbeek,"[""*...Nella sala accettazione dell'Aeroporto internazionale di Zaventem e alla stazione metro di Maelbeek, nel quartiere delle Istituzioni europee, dove vi sono stati 35 morti e centinaia di feriti di 40 nazionalità diverse....""]","Maelbeek - Maalbeek, Rue de la Loi - Wetstraat, Quartier des Squares - Wijk van de Squares, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, Belgio","{""coordinates"": [4.376335, 50.843987], ""type"": ""Point""}","Maelbeek - Maalbeek, Rue de la Loi - Wetstraat, Quartier des Squares - Wijk van de Squares, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, Belgio",railway,stop
26,Maison du Roi,Maison du Roi,"[""*...La Maison du Roi, era l'antico Mercato coperto del pane, costruito nel XVI secolo in stile gotico brabantino e restaurato nel XIX secolo....""]","Maison du Roi - Broodhuis, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio","{""coordinates"": [4.352826, 50.847005], ""type"": ""Point""}","Maison du Roi - Broodhuis, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio",historic,building
