,entity,to_search,snippet,address,coordinates,name_location,class,type
0,New York,New York,"[""*...In inglese ) è la più grande città dell'Illinois, la più grande metropoli dell'entroterra americano e la terza degli Stati Uniti per popolazione dopo New York e Los Angeles, con i suoi 2\xa0746\xa0388 abitanti...."", '*...Questo tipo architettonico è nato proprio a Chicago che, se da tempo ha dovuto cedere a New York il primato di città con più grattacieli nel paese, vanta ancora oggi il terzo grattacielo più alto statunitense (dopo il nuovo World Trade Center e la Central Park Tower)....', ""*...Negli anni ottanta Chicago è stata, prima di New York, il centro e il punto di partenza di quel fenomeno musicale denominato house music, che una volta che ebbe raggiunto l'Europa (e in particolare l'Inghilterra nella seconda metà del decennio) diede vita, assieme alla techno di Detroit, all'evoluzione nei principali generi della musica elettronica dagli anni novanta ad oggi...."", ""*...Seppur preceduta per importanza nell'industria cinematografica da Los Angeles e New York, a Chicago sono stati girati diversi celebri film, tra cui The Blues Brothers (1980), Gli intoccabili (1987), Il fuggitivo (1993), Mamma, ho perso l'aereo (1990), Drago d'acciaio (1992), Appuntamento a Wicker Park (1996),Ti odio, ti lascio, ti... (2006),Payback - La rivincita di Porter (1999), What Women Want (2000), Alta fedeltà (2000), Save the Last Dance (2001), Io, robot (2004) Cadillac Records (2008), La memoria del cuore (2012), Divergent (2014), Jupiter - Il destino dell'universo (2015) Il matrimonio del mio migliore amico (1997) Tra le serie TV ambientate a Chicago vanno citate E.R. - Medici in prima linea, La vita secondo Jim, Prison Break, Ultime dal cielo, Shameless, Perception, The Chicago Code, Chicago Fire (serie televisiva), Chicago P.D. e Chicago Med, The Good Wife e The Chi....""]","New York Jewelers, 11, North Wabash Avenue, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America","{""coordinates"": [-87.62596, 41.882528], ""type"": ""Point""}","New York Jewelers, 11, North Wabash Avenue, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America",shop,jewelry
2,Chicagoland,Chicagoland,"[""*...La sua area metropolitana (detta Chicagoland) conta 9\xa0618\xa0502 abitanti distribuiti in un'ampia area pianeggiante situata lungo le rive del lago Michigan....""]","Chicagoland Realty Services, 1338-1340, West Madison Street, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America","{""coordinates"": [-87.66123, 41.881761], ""type"": ""Point""}","Chicagoland Realty Services, 1338-1340, West Madison Street, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America",office,estate_agent
3,Willis Tower,Willis Tower,"['*...Soprannominata ""Windy City"" e ""Second City"", il centro della città (denominato ""the Loop"") è dominato da imponenti grattacieli che arrivano anche ai 104 piani (per un\'altezza di ) della Willis Tower....', '...Willis Tower ;...']","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America","{""coordinates"": [-87.635908, 41.878872], ""type"": ""Point""}","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America",building,commercial
11,Chicago River,Chicago River,"['*...Nel suo diario, Henry Joutel scrisse che nel settembre del 1687:«arrivati nel luogo chiamato Checagou, che da quanto sappiamo, prende il nome dalla grande quantità di porri selvatici che crescono nelle foreste di questa regione»Il primo abitante di Chicago non appartenente a tribù native fu Jean Baptiste Pointe du Sable, un haitiano di origini francesi, che si stabilì sul Chicago River intorno al 1770 e che sposò una donna Potawatomi ed è infatti conosciuto come il Fondatore di Chicago....']","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America","{""coordinates"": [-87.624686, 41.888495], ""type"": ""Point""}","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America",tourism,museum
13,Fort Dearborn,Fort Dearborn,['*...Fort Dearborn fu eretto nel 1803 ma fu distrutto durante la guerra del 1812 per poi essere ricostruito nel 1816 e definitivamente demolito nel 1871....'],"Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America","{""coordinates"": [-87.624867, 41.888436], ""type"": ""Point""}","Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America",historic,memorial
14,Ottawa,Ottawa,"['*...Dopo la guerra, nel 1816 i Potawatomi, gli Ottawa e gli Ojibway furono costretti a cedere altre terre al governo dopo il trattato di Saint Louis....']","North Ottawa Avenue, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, Stati Uniti d'America","{""coordinates"": [-87.817862, 41.941332], ""type"": ""Point""}","North Ottawa Avenue, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, Stati Uniti d'America",highway,residential
16,Mississippi,Mississippi,"['*...I Potawatomi furono forzatamente rimossi dalle zone nel 1833 dopo il Trattato di Chicago e costretti a migrare a ovest del fiume Mississippi durante la deportazione degli indiani....', ""*...Il Chicago Portage diventa un centro nevralgico per il trasporto dall'est all'ovest degli Stati Uniti, viene costruita la prima ferrovia, la Galena and Chicago Union Railroad, e nel 1848 viene costruito l'Illinois and Michigan Canal che permetteva alle imbarcazioni che navigavano nei Grandi Laghi di raggiungere il Mississippi...."", '*...Fu proprio il blues, caratteristica intrinseca dei musicisti neri del delta del Mississippi, ad essere importato in questa grande metropoli industriale creando, con il passare degli anni, un proprio Chicago-style, caratterizzato da innovative sonorità elettriche....', ""*...Inoltre, l'apertura dell'Illinois and Michigan Canal agevolò i traffici verso sud, lungo il corso del Mississippi...."", ""*...Negli anni quaranta dell'Ottocento, Chicago divenne il principale porto del mondo per il commercio dei cereali, che dal bacino granario del Mississippi, una delle principali regioni agricole del mondo, venivano esportati via mare attraverso i Grandi Laghi....""]","The Blues Trail: Mississippi to Chicago, East Roosevelt Road, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America","{""coordinates"": [-87.622862, 41.867933], ""type"": ""Point""}","The Blues Trail: Mississippi to Chicago, East Roosevelt Road, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America",historic,memorial
18,Kinzie,Kinzie,"[""*...I primi confini della città furono le strade Kinzie, Desplaines, Madison e State, all'interno delle quali era incluso un territorio di circa ....""]","West Kinzie Street, River North, Near North Side, Chicago, Cook County, Illinois, 60654, Stati Uniti d'America","{""coordinates"": [-87.632415, 41.889187], ""type"": ""Point""}","West Kinzie Street, River North, Near North Side, Chicago, Cook County, Illinois, 60654, Stati Uniti d'America",highway,secondary
19,Desplaines,Desplaines,"[""*...I primi confini della città furono le strade Kinzie, Desplaines, Madison e State, all'interno delle quali era incluso un territorio di circa ....""]","South Desplaines Street, Greektown, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America","{""coordinates"": [-87.64399, 41.877546], ""type"": ""Point""}","South Desplaines Street, Greektown, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America",highway,secondary
20,Madison,Madison,"[""*...I primi confini della città furono le strade Kinzie, Desplaines, Madison e State, all'interno delle quali era incluso un territorio di circa ...."", '...181\xa0W. Madison St....']","181 West Madison, 181, West Madison Street, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America","{""coordinates"": [-87.633382, 41.881576], ""type"": ""Point""}","181 West Madison, 181, West Madison Street, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America",building,office
22,Galena,Galena,"[""*...Il Chicago Portage diventa un centro nevralgico per il trasporto dall'est all'ovest degli Stati Uniti, viene costruita la prima ferrovia, la Galena and Chicago Union Railroad, e nel 1848 viene costruito l'Illinois and Michigan Canal che permetteva alle imbarcazioni che navigavano nei Grandi Laghi di raggiungere il Mississippi....""]","Galena Street, West Chicago, DuPage County, Illinois, 60185, Stati Uniti d'America","{""coordinates"": [-88.202885, 41.8844], ""type"": ""Point""}","Galena Street, West Chicago, DuPage County, Illinois, 60185, Stati Uniti d'America",highway,residential
23,Illinois and,Illinois and,"[""*...Il Chicago Portage diventa un centro nevralgico per il trasporto dall'est all'ovest degli Stati Uniti, viene costruita la prima ferrovia, la Galena and Chicago Union Railroad, e nel 1848 viene costruito l'Illinois and Michigan Canal che permetteva alle imbarcazioni che navigavano nei Grandi Laghi di raggiungere il Mississippi...."", ""...Inoltre, l'apertura dell'Illinois and Michigan Canal agevolò i traffici verso sud, lungo il corso del Mississippi....""]","University Of Illinois Hospital Cafeteria And Coffee Shop, 1740, West Taylor Street, Illinois Medical District, Near West Side, Chicago, Cook County, Illinois, 60612, Stati Uniti d'America","{""coordinates"": [-87.670528, 41.869326], ""type"": ""Point""}","University Of Illinois Hospital Cafeteria And Coffee Shop, 1740, West Taylor Street, Illinois Medical District, Near West Side, Chicago, Cook County, Illinois, 60612, Stati Uniti d'America",amenity,cafe
26,Lincoln Park,Lincoln Park,"[""*...Egli creò il Lincoln Park chiudendo un Cimitero pieno di tombe poco profonde e, nel 1867, in risposta allo scoppio di un'epidemia di colera contribuì a creare un nuovo Consiglio di salute di Chicago...."", '*...Alcuni discorsi vennero tenuti a Lincoln Park, e John Jonson disse che:...', '...Lincoln Park Zoo ;...']","Lincoln Park, North Lakeview Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, Stati Uniti d'America","{""coordinates"": [-87.639195, 41.932492], ""type"": ""Point""}","Lincoln Park, North Lakeview Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, Stati Uniti d'America",tourism,information
