,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Gammel Strand,Gammel Strand,"['*...Copenaghen venne fondata nel X secolo come villaggio di pescatori vichingo situato nei pressi di quella che oggi è Gammel Strand....', '*...Le prime abitazioni erano probabilmente concentrate su Gammel Strand (letteralmente ""vecchia sponda"")....']","Gammel Strand, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1202, Danimarca","{""coordinates"": [12.578741, 55.677647], ""type"": ""Point""}","Gammel Strand, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1202, Danimarca",highway,living_street
11,Castello di Rosenborg,Castello di Rosenborg,"['*...I monumenti cittadini come i Giardini di Tivoli, la statua della Sirenetta, i palazzi di Amalienborg e di Christiansborg, il Castello di Rosenborg, la Marmorkirken, Børsen e molti musei, ristoranti e locali notturni sono importanti attrazioni turistiche....', '*...Cristiano IV promosse anche una serie di ambiziosi progetti di costruzione tra cui il Castello di Rosenborg e il Rundetårn....', '...Non così alte sono le guglie rinascimentali del castello di Rosenborg e la ""guglia del drago"" dell\'ex borsa valori di Cristiano IV, così chiamato perché ricorda le code intrecciate di quattro draghi....']","Castello di Rosenborg, Husalléen, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1307, Danimarca","{""coordinates"": [12.57742, 55.685693], ""type"": ""Point""}","Castello di Rosenborg, Husalléen, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1307, Danimarca",tourism,attraction
12,Børsen,Børsen,"['*...I monumenti cittadini come i Giardini di Tivoli, la statua della Sirenetta, i palazzi di Amalienborg e di Christiansborg, il Castello di Rosenborg, la Marmorkirken, Børsen e molti musei, ristoranti e locali notturni sono importanti attrazioni turistiche....', ""...L'Arsenale di Tøjhus e la borsa valori Børsen...."", '*...Børsen e il Castello di Frederiksborg a Hillerød sono importanti esempi dello stile rinascimentale olandese a Copenaghen....']","Børsen, Børsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1216, Danimarca","{""coordinates"": [12.582588, 55.676323], ""type"": ""Point""}","Børsen, Børsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1216, Danimarca",highway,bus_stop
13,Università di Copenaghen,Università di Copenaghen,"[""*...La città è sede dell'Università di Copenaghen (fondata nel 1479 e la prima della Danimarca), l'Università tecnica della Danimarca, la Copenhagen Business School e l'Università di informatica...."", ""*...L'Università di Copenaghen, una delle più antiche Università d'Europa, fu inaugurata il 1º giugno 1479 da re Cristiano I di Danimarca dopo aver ricevuto l'approvazione di papa Sisto IV...."", ""*...La Biblioteca reale è la biblioteca nazionale danese, utilizzata anche come biblioteca dell'Università di Copenaghen...."", ""*...Copenaghen è sede dell'Università più antica e più grande di Danimarca, l'Università di Copenaghen, fondata nel 1479....""]","Università di Copenaghen, Krystalgade, Vesterbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 1165, Danimarca","{""coordinates"": [12.572327, 55.68015], ""type"": ""Point""}","Università di Copenaghen, Krystalgade, Vesterbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 1165, Danimarca",amenity,university
14,Copenhagen Business School,Copenhagen Business School,"[""*...La città è sede dell'Università di Copenaghen (fondata nel 1479 e la prima della Danimarca), l'Università tecnica della Danimarca, la Copenhagen Business School e l'Università di informatica...."", ""*...Altri importanti poli universitari nella capitale danese sono la Copenhagen Business School, con 20.819 studenti,, University College Capital, che conta più di 10.000 studenti, e l'Università Tecnica della Danimarca...."", '...Copenaghen ospita le squadre di calcio FC Copenhagen e Brøndby IF....', ""*...Il nome inglese per la città, Copenhagen (notare la posizione dell'acca rispetto all'esonimo italiano), deriva dalla lingua basso-tedesca Kopenhagen...."", ""...Fra le principali orchestre sinfoniche della città bisogna ricordare l'Orchestra Reale Danese, risalente al 1448, l'Orchestra Filarmonica di Copenhagen e l'Orchestra Sinfonica Nazionale Danese...."", '...Il Copenhagen Jazz Festival, che si svolge in estate, è un evento annuale che è il risultato di una significativa scena jazz che è esistita per molti anni....', '...Entrambe le strutture sono gestite dalla Copenhagen Malmö Port (CMP)....']","Copenhagen Business School, Krimsvej, Copenaghen, Københavns Kommune, Region Hovedstaden, 1441, Danimarca","{""coordinates"": [12.631604, 55.661046], ""type"": ""Point""}","Copenhagen Business School, Krimsvej, Copenaghen, Københavns Kommune, Region Hovedstaden, 1441, Danimarca",office,educational_institution
17,Atlantico,Atlantico,"[""*...Durante tutto l'anno il meteo è influenzato dalla presenza di sistemi di bassa pressione provenienti dall'Atlantico, che portano a condizioni meteo sempre instabili....""]","Nordatlantens Brygge, Strandgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1428, Danimarca","{""coordinates"": [12.596634, 55.677674], ""type"": ""Point""}","Nordatlantens Brygge, Strandgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1428, Danimarca",tourism,attraction
19,Kopenhagen,Kopenhagen,"[""*...Il nome inglese per la città, Copenhagen (notare la posizione dell'acca rispetto all'esonimo italiano), deriva dalla lingua basso-tedesca Kopenhagen....""]","Chiesa del Nostro Redentore, Dronningensgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1416, Danimarca","{""coordinates"": [12.594252, 55.672908], ""type"": ""Point""}","Chiesa del Nostro Redentore, Dronningensgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1416, Danimarca",amenity,place_of_worship
20,Kongens Nytorv,Kongens Nytorv,"[""*...Sebbene i primi documenti storici relativi Copenaghen risalgano solo alla fine del XII secolo, recenti scoperte archeologiche avvenute in concomitanza con i lavori di realizzazione della metropolitana cittadina hanno portato alla luce i resti di un grande edificio mercantile risalente al 1020 circa nei pressi dell'odierna Kongens Nytorv...."", '*...Per il tempo libero si può passeggiare per Strøget, via pedonale nel centro di Copenaghen, è la più lunga del suo tipo in tutto il mondo, in particolare tra Nytorv e Højbro Plads la sera è possibile assistere alle performance di musicisti, maghi, giocolieri e altri artisti di Strada....']","Kongens Nytorv, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1050, Danimarca","{""coordinates"": [12.585994, 55.680574], ""type"": ""Point""}","Kongens Nytorv, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1050, Danimarca",highway,pedestrian
21,Pilestræde,Pilestræde,['*...Ulteriori scavi realizzati a Pilestræde hanno permesso di scoprire un pozzo databile alla fine del XII secolo....'],"Pilestræde, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1119, Danimarca","{""coordinates"": [12.577765, 55.68181], ""type"": ""Point""}","Pilestræde, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1119, Danimarca",highway,pedestrian
22,Strøget,Strøget,"[""*...I resti di un'antica Chiesa, con tombe risalenti all'XI secolo, sono invece rivenuti vicino al punto in cui Strøget incontra Rådhuspladsen...."", '*...Per il tempo libero si può passeggiare per Strøget, via pedonale nel centro di Copenaghen, è la più lunga del suo tipo in tutto il mondo, in particolare tra Nytorv e Højbro Plads la sera è possibile assistere alle performance di musicisti, maghi, giocolieri e altri artisti di Strada....']","Stroget, Nytorv, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1450, Danimarca","{""coordinates"": [12.573044, 55.677923], ""type"": ""Point""}","Stroget, Nytorv, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1450, Danimarca",highway,bus_stop
