,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Liffey,Liffey,"[""*...Fondata dai vichinghi come centro per il commercio di schiavi, la città è situata sulla foce del fiume Liffey, al centro della costa orientale dell'isola e di quella che oggi viene chiamata Dublin Region, affacciata sul mare d'Irlanda...."", '*...Il toponimo è un adattamento dal gaelico Dubh Linn, ""stagno nero"", che fa riferimento a uno stagno che esisteva un tempo alla confluenza tra il fiume Poddle e il Liffey....', '*...Molti coloni lasciarono Inghilterra e Galles insediandosi nella nuova terra conquistata e costringendo i vichinghi a spostarsi al di là del Liffey....', '*...Si cominciò per girare tutte le case verso il Liffey, dando loro una facciata gradevole:...', '*...Tradizionalmente Dublino è caratterizzata dalla rivalità fra le zone separate dal passaggio del Liffey, ovvero quelle settentrionali (il Northside) e quelle meridionali (il Southside)....', '*...Il quartiere di Temple Bar, a sud del Liffey, è il luogo in cui si svolge prevalentemente la vita notturna nella capitale irlandese....']","Liffey Street Upper, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 HW54, Irlanda","{""coordinates"": [-6.264191, 53.348672], ""type"": ""Point""}","Liffey Street Upper, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 HW54, Irlanda",highway,pedestrian
6,Dublin City Council,Dublin City Council,"['*...La città consiste nella zona amministrata dal Dublin City Council assieme ai contigui sobborghi un tempo appartenenti alla Contea di Dublino, ma ora divisi tra le contee di Dún Laoghaire-Rathdown, Fingal e South Dublin....', '*...La città è inoltre circondata da quel che il Dublin City Council ha definito ""inner and outer orbital route"" (""tratto orbitale esterno e interno""):...', '*...La città di Dublino è governata dal Dublin City Council (già Dublin Corporation), presieduto dal Lord Mayor of Dublin, il quale viene eletto annualmente e risiede nella Mansion House, residenza dei Primi Cittadini di Dublino dal 1715....']","Dublin City Council, Wood Quay, Wood Quay A ED, Dublino, County Dublin, Leinster, D08 RF3F, Irlanda","{""coordinates"": [-6.270814, 53.3443], ""type"": ""Point""}","Dublin City Council, Wood Quay, Wood Quay A ED, Dublino, County Dublin, Leinster, D08 RF3F, Irlanda",amenity,townhall
8,Dún Laoghaire-Rathdown,Dún Laoghaire-Rathdown,"['*...La città consiste nella zona amministrata dal Dublin City Council assieme ai contigui sobborghi un tempo appartenenti alla Contea di Dublino, ma ora divisi tra le contee di Dún Laoghaire-Rathdown, Fingal e South Dublin....', ""*...In realtà si tratta di un'Università confederata, con più Università distaccate che ne fanno parte, fra cui l'importantissimo University College Dublin (UCD), che gode di altissima reputazione anche all'estero e ha sede nel territorio della contea di Dún Laoghaire-Rathdown....""]","Dún Laoghaire-Rathdown County Council, Dundrum Office Park, Dundrum, Dundrum-Kilmacud DED 1986, Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 HD83, Irlanda","{""coordinates"": [-6.244754, 53.291676], ""type"": ""Point""}","Dún Laoghaire-Rathdown County Council, Dundrum Office Park, Dundrum, Dundrum-Kilmacud DED 1986, Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 HD83, Irlanda",building,yes
9,Fingal,Fingal,"['*...La città consiste nella zona amministrata dal Dublin City Council assieme ai contigui sobborghi un tempo appartenenti alla Contea di Dublino, ma ora divisi tra le contee di Dún Laoghaire-Rathdown, Fingal e South Dublin....']","Fingal Street, Merchants Quay F Ward 1986, Dublino, Dublin 8, Leinster, D08 WN40, Irlanda","{""coordinates"": [-6.286858, 53.336038], ""type"": ""Point""}","Fingal Street, Merchants Quay F Ward 1986, Dublino, Dublin 8, Leinster, D08 WN40, Irlanda",highway,residential
10,South Dublin,South Dublin,"['*...La città consiste nella zona amministrata dal Dublin City Council assieme ai contigui sobborghi un tempo appartenenti alla Contea di Dublino, ma ora divisi tra le contee di Dún Laoghaire-Rathdown, Fingal e South Dublin....']","HSE Dublin South City Local Health Office, 21-25, Lord Edward Street, Royal Exchange A Ward 1986, Dublino, County Dublin, Leinster, D08 AV24, Irlanda","{""coordinates"": [-6.268408, 53.343798], ""type"": ""Point""}","HSE Dublin South City Local Health Office, 21-25, Lord Edward Street, Royal Exchange A Ward 1986, Dublino, County Dublin, Leinster, D08 AV24, Irlanda",office,government
12,Kildare,Kildare,"['*...La Greater Dublin Area si compone di quanto sopra assieme alle contee di Kildare, Meath e Wicklow....', '*...Nel XVI secolo emerse la figura di Fitzgerald conte di Kildare e dei suoi discendenti, figure politiche di spicco volute dai dominatori britannici a difesa di Dublino per mantenere intatte le proprie colonie dal rischio di invasione delle popolazioni irlandesi vicine....', '...La rivalità probabilmente nacque ai tempi del Duca di Kildare, che decise di costruire la sua residenza (Leinster House, l\'attuale parlamento) nella zona meridionale, allora effettivamente meno ambita, commentando l\'inusuale scelta con un Where I go, fashion follows me (""Dovunque vado, la moda mi segue"")....', '*...Linee pendolari per Kildare e Maynooth, inoltre, raggiungono gran parte dei sobborghi occidentale della capitale irlandese....']","Kildare Street, Mansion House B Ward 1986, Dublino, Dublin 2, Leinster, D02 CY95, Irlanda","{""coordinates"": [-6.254572, 53.342093], ""type"": ""Point""}","Kildare Street, Mansion House B Ward 1986, Dublino, Dublin 2, Leinster, D02 CY95, Irlanda",highway,secondary
13,Meath,Meath,"['*...La Greater Dublin Area si compone di quanto sopra assieme alle contee di Kildare, Meath e Wicklow....']","Meath Street, The Liberties, Merchants Quay B 1986, Dublino, Dublin 8, Leinster, D08 C2W7, Irlanda","{""coordinates"": [-6.279148, 53.342826], ""type"": ""Point""}","Meath Street, The Liberties, Merchants Quay B 1986, Dublino, Dublin 8, Leinster, D08 C2W7, Irlanda",highway,tertiary
14,Wicklow,Wicklow,"['*...La Greater Dublin Area si compone di quanto sopra assieme alle contee di Kildare, Meath e Wicklow....']","Wicklow House, South Great George's Street, Royal Exchange A Ward 1986, Dublino, County Dublin, Leinster, D02 TX84, Irlanda","{""coordinates"": [-6.264741, 53.343569], ""type"": ""Point""}","Wicklow House, South Great George's Street, Royal Exchange A Ward 1986, Dublino, County Dublin, Leinster, D02 TX84, Irlanda",building,commercial
15,Poddle,Poddle,"['*...Il toponimo è un adattamento dal gaelico Dubh Linn, ""stagno nero"", che fa riferimento a uno stagno che esisteva un tempo alla confluenza tra il fiume Poddle e il Liffey....']","Millennium Bridge, North City Ward 1986, Dublino, Dublin 1, Leinster, D02 YK79, Irlanda","{""coordinates"": [-6.26512, 53.346194], ""type"": ""Point""}","Millennium Bridge, North City Ward 1986, Dublino, Dublin 1, Leinster, D02 YK79, Irlanda",highway,footway
16,Armagh,Armagh,"['*...Thorkel, tuttavia, scelse Armagh come centro del suo potere....']","Armagh Road, Cashel Road, Armagh Road, Kimmage B ED, Dublino, County Dublin, Leinster, D12 W62N, Irlanda","{""coordinates"": [-6.305072, 53.320962], ""type"": ""Point""}","Armagh Road, Cashel Road, Armagh Road, Kimmage B ED, Dublino, County Dublin, Leinster, D12 W62N, Irlanda",highway,bus_stop
