,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Medioevo,Medioevo,"['*...Nel Medioevo è stata un importantissimo centro artistico, culturale, commerciale, politico, economico e finanziario;...', '*...Importante centro universitario e patrimonio dell\'umanità UNESCO (il centro storico, dal 1982), è considerata luogo d\'origine del Rinascimento – la consapevolezza di una nuova era moderna dopo il Medioevo, periodo di cambiamento e ""rinascita"" culturale e scientifica – e della lingua italiana, grazie al volgare fiorentino usato nella letteratura....', ""...Un periodo di grande fermento innovativo che, recuperando i modelli dell'età antica promossi dagli studi umanistici, portò a un superamento di alcuni schemi sviluppati nel medioevo, ponendo l'uomo come individuo al centro dell'universo filosofico, e promuovendo una produzione artistica all'insegna della chiarezza compositiva e spaziale, di misurata eleganza e sobrietà, che ebbe un enorme influenza nello sviluppo dell'arte europea...."", '*...Insufficiente per spazi e forma urbana ancora legata al Medioevo, Firenze fu interessata da una serie di ""risanamenti"", che diedero alla città un aspetto più moderno, ma che purtroppo videro la perdita irrimediabile di importantissimi edifici storici e di interi quartieri come quello di Mercato Vecchio....']","Biblioteca della Società internazionale per lo studio del medioevo latino - SISMEL, Via del Restauro del libro, La Gora, Quartiere 3, Galluzzo, Firenze, Toscana, 50124, Italia","{""coordinates"": [11.220826, 43.731243], ""type"": ""Point""}","Biblioteca della Società internazionale per lo studio del medioevo latino - SISMEL, Via del Restauro del libro, La Gora, Quartiere 3, Galluzzo, Firenze, Toscana, 50124, Italia",amenity,library
3,Rinascimento –,Rinascimento –,"['*...Importante centro universitario e patrimonio dell\'umanità UNESCO (il centro storico, dal 1982), è considerata luogo d\'origine del Rinascimento – la consapevolezza di una nuova era moderna dopo il Medioevo, periodo di cambiamento e ""rinascita"" culturale e scientifica – e della lingua italiana, grazie al volgare fiorentino usato nella letteratura....', '*...Firenze è conosciuta come la culla del Rinascimento, termine coniato dal trattatista toscano Giorgio Vasari:...', '*...Firenze come ""culla del Rinascimento"" ha i suoi capolavori nelle opere di Filippo Brunelleschi (lo Spedale degli Innocenti, la basilica di San Lorenzo e quella di Santo Spirito) e di Leon Battista Alberti (la facciata di Santa Maria Novella e Palazzo Rucellai), ma anche altri periodi artistici hanno lasciato i loro capolavori assoluti:...', '*...Il Rinascimento....', ""*...È considerato uno degli esempi più compiuti di architettura civile fiorentina del Rinascimento, con la sua austera maestosità data dalle notevoli dimensioni e dall'uso del bugnato digradante...."", ""*...Piazza Santa Croce\ndominata dall'omonima basilica, essendo molto grande e di forma regolare, nel Rinascimento come in epoca moderna divenne il luogo ideale per giostre cavalleresche, feste, spettacoli e gare popolari, come il calcio in costume, che ancora oggi vi si tiene ogni giugno...."", '*...Molte Università straniere hanno una rappresentanza a Firenze per studi riguardanti la storia del Rinascimento o attività artistiche e creative....', ""*...Galleria dell'Accademia, è famosa nel mondo per la collezione di statue di Michelangelo Buonarroti, tra le quali il celeberrimo David. Nata come sussidio alla formazione degli studenti della vicina Accademia di Belle Arti e arricchitasi dei capolavori provenienti dalle soppressioni di chiese e conventi dell'area fiorentina, mostra oggi un percorso espositivo eterogeneo, che spazia dai primitivi toscani (pittori su fondo oro dal XIII secolo) ai capolavori del Rinascimento e del Manierismo, dalla gipsoteca di Lorenzo Bartolini alla collezione lorenese di icone russe, fino alle collezioni dell'adiacente Museo degli strumenti musicali...."", '...Museo nazionale del Bargello, conserva la più importante collezione di scultura della città, con capolavori del Rinascimento di Michelangelo, Donatello (come il David di Donatello), Benvenuto Cellini, Verrocchio, Giambologna, Ammannati, Lorenzo Ghiberti, Michelozzo, Luca della Robbia e Brunelleschi. Conserva inoltre straordinarie collezioni di arte applicata, dai gioielli alle armi, dalle ceramiche agli avori....']","Rinascimento, Via del Giglio, Serravalle, Empoli, Firenze, Toscana, 50053, Italia","{""coordinates"": [10.947885, 43.720149], ""type"": ""Point""}","Rinascimento, Via del Giglio, Serravalle, Empoli, Firenze, Toscana, 50053, Italia",shop,clothes
6,Cercina,Cercina,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)....""]","Cercina, Via Dante da Castiglione, Segalari, Sesto Fiorentino, Firenze, Toscana, 50131, Italia","{""coordinates"": [11.262397, 43.845115], ""type"": ""Point""}","Cercina, Via Dante da Castiglione, Segalari, Sesto Fiorentino, Firenze, Toscana, 50131, Italia",highway,bus_stop
7,Rifredi,Rifredi,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)...."", '*...Santa Maria Novella, Rifredi e Campo Marte....']","Rifredi, Via dello Steccuto, Firenze Nova, Quartiere 5, Firenze, Toscana, 50134, Italia","{""coordinates"": [11.236659, 43.800608], ""type"": ""Point""}","Rifredi, Via dello Steccuto, Firenze Nova, Quartiere 5, Firenze, Toscana, 50134, Italia",amenity,taxi
9,Fiesole,Fiesole,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)...."", '*...Attorno al 150 a.C., gli Etruschi della vicina Visul (l\'odierna Fiesole), situata in alto sulla collina, vi fondarono una ""città satellite"" nei pressi dell\'Arno, per sfruttare la presenza della via d\'acqua, e vi edificarono un primo ponte in legno....', ""*...Con ciò la città ottenne l'autonomia amministrativa da Fiesole...."", '...Radio Fiesole 100 ;...']","Via Fra' Giovanni da Fiesole detto il Beato Angelico, San Domenico, Pian di Mugnone, Fiesole, Firenze, Toscana, 50010, Italia","{""coordinates"": [11.29461, 43.803344], ""type"": ""Point""}","Via Fra' Giovanni da Fiesole detto il Beato Angelico, San Domenico, Pian di Mugnone, Fiesole, Firenze, Toscana, 50010, Italia",highway,secondary
10,Settignano,Settignano,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)...."", ""*...Ci sono, inoltre, sedi di Università statunitensi e internazionali in tutta la città, come l'Università di Harvard, che ha sede presso la Villa I Tatti nella zona di Settignano, la California State University, la Pepperdine University, la New York University che ha, nella storica villa La Pietra, il più grande campus in Europa, la Florida State University e tante altre....""]","Settignano, Piazza Niccolò Tommaseo, i fancielli, Quartiere 2, Settignano, Firenze, Toscana, 50135, Italia","{""coordinates"": [11.321624, 43.782991], ""type"": ""Point""}","Settignano, Piazza Niccolò Tommaseo, i fancielli, Quartiere 2, Settignano, Firenze, Toscana, 50135, Italia",highway,bus_stop
11,Arcetri,Arcetri,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)....""]","San Leonardo in Arcetri, Via di San Leonardo, Oltrarno, Quartiere 1, Firenze, Toscana, 50125, Italia","{""coordinates"": [11.255334, 43.759714], ""type"": ""Point""}","San Leonardo in Arcetri, Via di San Leonardo, Oltrarno, Quartiere 1, Firenze, Toscana, 50125, Italia",amenity,place_of_worship
12,Poggio Imperiale,Poggio Imperiale,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)...."", '*...Villa medicea del Poggio Imperiale ;...']","Viale del Poggio Imperiale, Oltrarno, Quartiere 1, Firenze, Toscana, 50124, Italia","{""coordinates"": [11.242874, 43.75857], ""type"": ""Point""}","Viale del Poggio Imperiale, Oltrarno, Quartiere 1, Firenze, Toscana, 50124, Italia",highway,service
13,Bellosguardo,Bellosguardo,"[""*...Firenze si trova in una posizione scenografica, al centro di un'ampia conca ad anfiteatro all'estremità sud-orientale della piana di Firenze-Prato-Pistoia, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, circondata dalle incantevoli colline argillose di Cercina, appena sopra il quartiere di Rifredi e l'Ospedale di Careggi (a nord), dalle colline di Fiesole (a nord-est), di Settignano (a est), e di Arcetri, Poggio Imperiale e Bellosguardo (a sud)....""]","Bellosguardo, Autostrada del Sole, Bellosguardo, Barberino di Mugello, Firenze, Toscana, 50031, Italia","{""coordinates"": [11.209281, 43.959676], ""type"": ""Point""}","Bellosguardo, Autostrada del Sole, Bellosguardo, Barberino di Mugello, Firenze, Toscana, 50031, Italia",tunnel,yes
14,Mugnone,Mugnone,"[""*...La piana dove sorge la città è attraversata dall'Arno (la città stessa divide il suo corso fra Valdarno superiore e Valdarno inferiore) e da corsi d'acqua minori come il Mugnone, il Terzolle e il fiume Greve...."", ""*...Ha inizio dall'attuale piazza Vittorio Veneto per arrivare fino sotto al ponte all'Indiano delimitato naturalmente dal fiume Arno dal torrente Mugnone e dal canale Macinante....""]","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Firenze, Toscana, 50129, Italia","{""coordinates"": [11.248659, 43.783181], ""type"": ""Point""}","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Firenze, Toscana, 50129, Italia",historic,city_gate
