,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Uusimaa,Uusimaa,"[""*...Si trova nella regione dell'Uusimaa ed è bilingue finlandese e svedese....""]","Kiinteistöliitto Uusimaa, 24, Annankatu, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia","{""coordinates"": [24.936555, 60.166981], ""type"": ""Point""}","Kiinteistöliitto Uusimaa, 24, Annankatu, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia",office,company
3,Estonia,Estonia,"[""*...Helsinki è geograficamente situata nella parte meridionale del Paese sulle rive del golfo di Finlandia, parte del mar Baltico, di fronte alla capitale dell'Estonia, Tallinn, e si estende su più isole...."", ""*...Per rivaleggiare con Tallinn, re Gustav ordinò ai mercati di Porvoo, Ekenäs, Rauma e Ulvila di trasferirsi a Helsinki ma con la conquista dell'Estonia (1561) da parte della Svezia, cessò la necessità di espandere la città, ed Helsinki rimase un povero paesino....""]","Kuuban tasavallan suurlähetystö, 61, Fredrikinkatu, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia","{""coordinates"": [24.932439, 60.167969], ""type"": ""Point""}","Kuuban tasavallan suurlähetystö, 61, Fredrikinkatu, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia",office,diplomatic
5,Vantaa,Vantaa,"[""*...L'area metropolitana di Helsinki include l'area urbana della città, Espoo, Vantaa, Kauniainen e paesi limitrofi...."", '*...Il villaggio era affiancato già da un porto, menzionato per la prima volta con il nome di Helsinge (""stretto"", ""golfo"", ""approdo"") nel 1351 in un documento del re Magnus II di Svezia che garantiva i diritti per la pesca del salmone sul fiume Vantaa al monastero estone di Padise....', ""*...L'Aeroporto internazionale che serve la città si trova a Vantaa, a circa 20\xa0km dal centro cittadino....""]","Rosendalinkuja, Vantaa, Rosendalinkuja, Tammisto, Aviapoliksen suuralue, Vantaa, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00690, Finlandia","{""coordinates"": [24.966861, 60.268569], ""type"": ""Point""}","Rosendalinkuja, Vantaa, Rosendalinkuja, Tammisto, Aviapoliksen suuralue, Vantaa, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00690, Finlandia",amenity,motorcycle_parking
6,Kauniainen,Kauniainen,"[""*...L'area metropolitana di Helsinki include l'area urbana della città, Espoo, Vantaa, Kauniainen e paesi limitrofi....""]","Kauniainen, Helsingintie, 3, Kauniainen, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02700, Finlandia","{""coordinates"": [24.733147, 60.212162], ""type"": ""Point""}","Kauniainen, Helsingintie, 3, Kauniainen, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02700, Finlandia",railway,crossing
11,Nord,Nord,"[""...È l'area metropolitana più a nord nel mondo, con il suo milione di abitanti è la città e capitale più a nord degli Stati membri dell'Unione europea...."", '*...Helsset è il termine usato dai sami del Nord per Helsinki....']","Pohjantie, Revontuli, Tapiolan keskus, Tapiola, Suur-Tapiola, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02100, Finlandia","{""coordinates"": [24.801153, 60.174564], ""type"": ""Point""}","Pohjantie, Revontuli, Tapiolan keskus, Tapiola, Suur-Tapiola, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02100, Finlandia",highway,secondary
16,Helsingfors,Helsingfors,"['*...Helsinki (pronuncia italiana , in finlandese  ; in svedese Helsingfors, , ) è la capitale della Finlandia....', '*...Helsinki venne fondata nel 1550 su ordine del re di Svezia Gustav Vasa con il nome di Helsingfors sul sito di Forsby, alla foce del fiume Vanda....', '...Helsingfors IFK ;...']","Helsinki, 1, Kaivokatu, Keskusta, Kluuvi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia","{""coordinates"": [24.941355, 60.171779], ""type"": ""Point""}","Helsinki, 1, Kaivokatu, Keskusta, Kluuvi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Finlandia",railway,station
17,Forsby,Forsby,"['*...Helsinki venne fondata nel 1550 su ordine del re di Svezia Gustav Vasa con il nome di Helsingfors sul sito di Forsby, alla foce del fiume Vanda....']","Koskela, 6, Voudintie, Koskela, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00600, Finlandia","{""coordinates"": [24.964341, 60.219706], ""type"": ""Point""}","Koskela, 6, Voudintie, Koskela, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00600, Finlandia",highway,bus_stop
18,Vanda,Vanda,"['*...Helsinki venne fondata nel 1550 su ordine del re di Svezia Gustav Vasa con il nome di Helsingfors sul sito di Forsby, alla foce del fiume Vanda....']","Vantaan kaupunginmuseo, 1, Hertaksentie, Kukkaketo, Tikkurila, Tikkurilan suuralue, Vantaa, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 01300, Finlandia","{""coordinates"": [25.043051, 60.290861], ""type"": ""Point""}","Vantaan kaupunginmuseo, 1, Hertaksentie, Kukkaketo, Tikkurila, Tikkurilan suuralue, Vantaa, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 01300, Finlandia",tourism,museum
19,Helsinge,Helsinge,"['*...Il villaggio era affiancato già da un porto, menzionato per la prima volta con il nome di Helsinge (""stretto"", ""golfo"", ""approdo"") nel 1351 in un documento del re Magnus II di Svezia che garantiva i diritti per la pesca del salmone sul fiume Vantaa al monastero estone di Padise....']","Helsinginkatu, Töölö, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00260, Finlandia","{""coordinates"": [24.928957, 60.182211], ""type"": ""Point""}","Helsinginkatu, Töölö, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00260, Finlandia",highway,primary
20,Porvoo,Porvoo,"[""*...Per rivaleggiare con Tallinn, re Gustav ordinò ai mercati di Porvoo, Ekenäs, Rauma e Ulvila di trasferirsi a Helsinki ma con la conquista dell'Estonia (1561) da parte della Svezia, cessò la necessità di espandere la città, ed Helsinki rimase un povero paesino....""]","Aleksanteri I ja Porvoon valtiopäivät 1809, Snellmaninkatu, Torikorttelit, Kruununhaka, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00170, Finlandia","{""coordinates"": [24.953733, 60.171209], ""type"": ""Point""}","Aleksanteri I ja Porvoon valtiopäivät 1809, Snellmaninkatu, Torikorttelit, Kruununhaka, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00170, Finlandia",historic,memorial
