,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Vieux Lyon,Vieux Lyon,"['*...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....']","Vieux Lyon, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.827755, 45.759468], ""type"": ""Point""}","Vieux Lyon, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,bus_stop
5,Saint Jean,Saint Jean,"['*...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....']","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.82656, 45.760525], ""type"": ""Point""}","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",amenity,bicycle_rental
6,Place Bellecour,Place Bellecour,"['*...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....', '...La place Bellecour, quarta piazza più grande di Francia, con una statua equestre di Luigi XIV....']","Place Bellecour, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.831995, 45.757516], ""type"": ""Point""}","Place Bellecour, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",tourism,square
7,Rue de la République,Rue de la République,"['*...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....']","Rue de la République, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.83503, 45.759267], ""type"": ""Point""}","Rue de la République, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",highway,pedestrian
8,Avant,Avant,"['*...Il motto della città è Avant, Avant, Lion le melhor, in lingua lionese ""Avanti, avanti, Lione la migliore""....']","C. Com. Avant…, Rue Smith, Sainte-Blandine, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.822065, 45.742175], ""type"": ""Point""}","C. Com. Avant…, Rue Smith, Sainte-Blandine, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",amenity,cafe
15,Vienne,Vienne,"[""*...La città si trova in linea d'aria a 26 chilometri da Vienne a sud, su Strada 54 km da Saint-Étienne, 106 km da Grenoble, 151 km da Ginevra, 306 km da Torino, 313 km da Marsiglia, 441 km da Milano, 463 km da Parigi, 333 km da Basilea, 495 km da Strasburgo, 537 km da Tolosa, 637 km da Barcellona, \u200b\u200b\u200b\u200b684 km da Nantes, 698 km da Francoforte sul Meno, 737 km da Monaco di Baviera e 972 km da Brest...."", '*...Autostrada A7 verso il Sud (Vienne, Valence e Marsiglia) ;...']","Route de Vienne, Jean-Macé, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia","{""coordinates"": [4.850049, 45.744198], ""type"": ""Point""}","Route de Vienne, Jean-Macé, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia",highway,secondary
17,Saint-Étienne,Saint-Étienne,"[""*...La città si trova in linea d'aria a 26 chilometri da Vienne a sud, su Strada 54 km da Saint-Étienne, 106 km da Grenoble, 151 km da Ginevra, 306 km da Torino, 313 km da Marsiglia, 441 km da Milano, 463 km da Parigi, 333 km da Basilea, 495 km da Strasburgo, 537 km da Tolosa, 637 km da Barcellona, \u200b\u200b\u200b\u200b684 km da Nantes, 698 km da Francoforte sul Meno, 737 km da Monaco di Baviera e 972 km da Brest...."", '*...Nel 1832 fu collegata per mezzo di una delle più antiche ferrovie alla vicina città di Saint-Étienne....', '*...Autostrada A47 verso Saint-Étienne e la Haute Loire....']","Cathédrale Saint-Jean, Place Saint-Jean, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.827424, 45.760714], ""type"": ""Point""}","Cathédrale Saint-Jean, Place Saint-Jean, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",amenity,place_of_worship
21,Milano,Milano,"[""*...La città si trova in linea d'aria a 26 chilometri da Vienne a sud, su Strada 54 km da Saint-Étienne, 106 km da Grenoble, 151 km da Ginevra, 306 km da Torino, 313 km da Marsiglia, 441 km da Milano, 463 km da Parigi, 333 km da Basilea, 495 km da Strasburgo, 537 km da Tolosa, 637 km da Barcellona, \u200b\u200b\u200b\u200b684 km da Nantes, 698 km da Francoforte sul Meno, 737 km da Monaco di Baviera e 972 km da Brest...."", '...Milano, dal 1967 ;...']","Milano, 94, Avenue Félix Faure, La Buire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.85841, 45.75313], ""type"": ""Point""}","Milano, 94, Avenue Félix Faure, La Buire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",amenity,restaurant
29,Brest,Brest,"[""*...La città si trova in linea d'aria a 26 chilometri da Vienne a sud, su Strada 54 km da Saint-Étienne, 106 km da Grenoble, 151 km da Ginevra, 306 km da Torino, 313 km da Marsiglia, 441 km da Milano, 463 km da Parigi, 333 km da Basilea, 495 km da Strasburgo, 537 km da Tolosa, 637 km da Barcellona, \u200b\u200b\u200b\u200b684 km da Nantes, 698 km da Francoforte sul Meno, 737 km da Monaco di Baviera e 972 km da Brest....""]","Rue de Brest, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.833278, 45.761015], ""type"": ""Point""}","Rue de Brest, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",highway,pedestrian
30,Vaise,Vaise,"['*...Gli scavi realizzati nel quartiere di Vaise hanno dimostrato che il sito era occupato ben prima della fondazione della città romana:...', '*...Guillaume Bottazzi - «senza titolo», Vaise, 2006....', ""...IX arrondissement: Vaise, La Duchère, Saint-Rambert-l'Île-Barbe ...."", '...Vaise (attualmente IX arrondissement) ;...']","Vaise, Quai Arloing, Vaise, Lyon 9e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69009, Francia","{""coordinates"": [4.809958, 45.773664], ""type"": ""Point""}","Vaise, Quai Arloing, Vaise, Lyon 9e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69009, Francia",amenity,ferry_terminal
