,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europa,Europa,"[""*...Situata sull'estremità occidentale della penisola iberica, presso l'estuario del fiume Tago, è geograficamente la capitale (nonché la zona geografica) più occidentale dell'Europa continentale...."", ""*...La città è la sesta più visitata dell'Europa meridionale dopo Roma, Barcellona, Madrid, Atene e Milano, con 1\xa0740\xa0000 turisti nel 2009...."", ""*...Durante il Neolitico la regione è stata abitata da popolazioni di origine iberica che a quel tempo occupavano anche altre regioni dell'Europa atlantica...."", ""*...All'inizio del XVIII secolo, con una popolazione stimata di circa 250\xa0000 abitanti, Lisbona era una delle città più grandi d'Europa...."", ""*...Per l'occasione fu costruito un quartiere completamente nuovo, Parque das Nações, e il ponte Vasco da Gama, il più lungo d'Europa con i suoi 17,2\xa0km....""]","Europa, Rua Nova do Carvalho, Cais do Sodré, Misericórdia, Lisbona, 1249-002, Portogallo","{""coordinates"": [-9.14331, 38.70722], ""type"": ""Point""}","Europa, Rua Nova do Carvalho, Cais do Sodré, Misericórdia, Lisbona, 1249-002, Portogallo",amenity,bar
3,Madrid,Madrid,"[""*...La città è la sesta più visitata dell'Europa meridionale dopo Roma, Barcellona, Madrid, Atene e Milano, con 1\xa0740\xa0000 turisti nel 2009...."", '...Madrid ;...']","Hotel 3K Madrid, 24, Rua do Conde de Redondo, Coração de Jesus, Santo António, Lisbona, 1150-106, Portogallo","{""coordinates"": [-9.144681, 38.727134], ""type"": ""Point""}","Hotel 3K Madrid, 24, Rua do Conde de Redondo, Coração de Jesus, Santo António, Lisbona, 1150-106, Portogallo",tourism,hotel
5,Milano,Milano,"[""*...La città è la sesta più visitata dell'Europa meridionale dopo Roma, Barcellona, Madrid, Atene e Milano, con 1\xa0740\xa0000 turisti nel 2009....""]","Milano, Rua das Portas de Santo Antão, Santa Justa, Santa Maria Maior, Lisbona, 1150-268, Portogallo","{""coordinates"": [-9.139873, 38.715668], ""type"": ""Point""}","Milano, Rua das Portas de Santo Antão, Santa Justa, Santa Maria Maior, Lisbona, 1150-268, Portogallo",amenity,restaurant
6,São Roque,São Roque,"[""*...São Jorge, São Vicente, Sant'Ana, Santo André, das Chagas, Santa Catarina, São Roque...."", '...Chiesa di São Roque ;...', '...Museu de São Roque (Sito) ;...']","Museu-Igreja de São Roque, Largo Trindade Coelho, Encarnação, Misericórdia, Lisbona, 1200-470, Portogallo","{""coordinates"": [-9.143465, 38.713546], ""type"": ""Point""}","Museu-Igreja de São Roque, Largo Trindade Coelho, Encarnação, Misericórdia, Lisbona, 1200-470, Portogallo",amenity,place_of_worship
12,Sé de Lisboa,Sé de Lisboa,"[""*...In passato si credeva che Lisbona fosse stata fondata dai Fenici e questo sembrerebbe accreditato dai recenti ritrovamenti di reperti fenici risalenti all'VIII secolo a.C. sotto la medievale Sé de Lisboa, la cattedrale della città moderna....""]","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo","{""coordinates"": [-9.13264, 38.709527], ""type"": ""Point""}","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo",building,apartments
13,Troia,Troia,"['*...I greci conoscevano Lisbona con il nome di ""Olisipo"", che, secondo il mito, fu fondata da Ulisse durante il suo viaggio di ritorno da Troia ad Itaca....']","Rua Pinhal de Troia, Casal do Freixo, Alto do Miradouro, Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisbona, 1685-605, Portogallo","{""coordinates"": [-9.232833, 38.821969], ""type"": ""Point""}","Rua Pinhal de Troia, Casal do Freixo, Alto do Miradouro, Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisbona, 1685-605, Portogallo",highway,unclassified
18,Rua da Prata,Rua da Prata,"[""*...Durante il periodo di Augusto furono erette delle mura difensive, un grande Teatro, delle terme (sotto l'attuale Rua da Prata), numerosi templi, una necropoli (sotto l'attuale Praça da Figueira), un grande foro e numerose abitazioni nella zona tra il castello di San Giorgio e l'attuale centro cittadino....""]","Rua da Prata, Baixa, Santa Maria Maior, Lisbona, 1149-027, Portogallo","{""coordinates"": [-9.13614, 38.70894], ""type"": ""Point""}","Rua da Prata, Baixa, Santa Maria Maior, Lisbona, 1149-027, Portogallo",highway,secondary
19,Praça da Figueira,Praça da Figueira,"[""*...Durante il periodo di Augusto furono erette delle mura difensive, un grande Teatro, delle terme (sotto l'attuale Rua da Prata), numerosi templi, una necropoli (sotto l'attuale Praça da Figueira), un grande foro e numerose abitazioni nella zona tra il castello di San Giorgio e l'attuale centro cittadino...."", '...Praça da Figueira ;...', '*...Praça da Figueira ;...']","Praça da Figueira, São Cristóvão e São Lourenço, Santa Maria Maior, Lisbona, 1100-090, Portogallo","{""coordinates"": [-9.138122, 38.713241], ""type"": ""Point""}","Praça da Figueira, São Cristóvão e São Lourenço, Santa Maria Maior, Lisbona, 1100-090, Portogallo",highway,secondary
20,Reno,Reno,"[""*...Fu tuttavia con la sconfitta della pirateria e le innovazioni tecnologiche che la città assunse grande importanza come punto strategico per il commercio con la Cornovaglia, la zona del Reno e anche con l'interno della penisola iberica....""]","SANA Reno Hotel, 195;197, Avenida Duque de Ávila, São Sebastião da Pedreira, Campo Pequeno, Avenidas Novas, Lisbona, 1050-082, Portogallo","{""coordinates"": [-9.150884, 38.734723], ""type"": ""Point""}","SANA Reno Hotel, 195;197, Avenida Duque de Ávila, São Sebastião da Pedreira, Campo Pequeno, Avenidas Novas, Lisbona, 1050-082, Portogallo",tourism,hotel
23,Braga,Braga,"['*...Bracara Augusta (oggi Braga) ed Emerita Augusta, capitale della Lusitania romana (oggi Mérida in Spagna)....', ""*...Sul finire della dominazione romana, Olisipo subì numerose invasioni da parte di Alani e Vandali, che dominarono la regione tra il 409 d.C. ed il 429 d.C. Tra il 409 d.C. e il 585 d.C. la regione di Olisipo fu dominata per lunghi periodi dagli svevi, che avevano istituito un regno in Gallaecia (l'attuale Galizia a nord del Portogallo) con capitale Bracara Augusta (oggi Braga)....""]","Braga, 56, Avenida de Roma, Alvalade, Lisbona, 1700-348, Portogallo","{""coordinates"": [-9.141193, 38.7484], ""type"": ""Point""}","Braga, 56, Avenida de Roma, Alvalade, Lisbona, 1700-348, Portogallo",shop,hairdresser
