,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Europa,Europa,"[""*...La sua estensione territoriale la rende la terza città più estesa d'Europa, preceduta da Mosca e Istanbul...."", ""*...È anche sede del più antico sistema di metropolitana del mondo, la London Underground (The Tube) che è anche la più estesa d'Europa...."", ""*...Dal 1950 in poi Londra divenne la meta di un gran numero di immigrati, in gran parte provenienti da paesi del Commonwealth come Giamaica, India, Bangladesh e Pakistan, rendendola una delle città più internazionali d'Europa...."", ""*...Ugonotti, ebrei dell'Europa orientale e ciprioti sono esempi di migrazioni dovute a problemi di sicurezza, invece irlandesi, bengalesi e indiani possono essere riportati come esempi di migrazione dovuta a migliori aspettative economiche...."", ""...L'Università di Londra, con oltre 100\xa0000 studenti, risulta essere una delle più grandi Università d'Europa...."", ""*...Central London\nLa City, detta anche Square Mile (Miglio Quadrato), è il principale distretto finanziario del Regno Unito, d'Europa ed uno dei principali del mondo...."", ""*...L'edificio più alto di Londra attualmente è The Shard, una gigantesca piramide irregolare, progettata dall'architetto italiano Renzo Piano, che è alta 310 metri, facendola il secondo più alto edificio d'Europa...."", ""*...Londra è collegata alla rete ferroviaria nazionale, all'Europa e a tutti i suoi aeroporti da circa 50 stazioni ferroviarie, disseminate per la città...."", ""...Heathrow - il principale per i voli internazionali, a  a ovest della città. Scalo di alcune delle più grandi compagnie aeree (British Airways, Virgin Atlantic Airways, Bmi British Midland), racchiude 5 terminal, facilmente raggiungibili sia in treno (Heathrow Express, dalla stazione di Paddington) sia con la Piccadilly line (Underground). Nel 2016, circa 75,5 milioni di passeggeri sono passati da questo Aeroporto, ponendolo al primo posto come Aeroporto più trafficato d'Europa...."", '...London Monarchs (attivi in NFL Europa) ;...']","Europa Place, Saint Luke's, Finsbury, London Borough of Islington, Londra, Greater London, Inghilterra, EC1V 3RH, Regno Unito","{""coordinates"": [-0.095582, 51.527132], ""type"": ""Point""}","Europa Place, Saint Luke's, Finsbury, London Borough of Islington, Londra, Greater London, Inghilterra, EC1V 3RH, Regno Unito",highway,residential
2,Istanbul,Istanbul,"[""*...La sua estensione territoriale la rende la terza città più estesa d'Europa, preceduta da Mosca e Istanbul...."", '...Istanbul ;...']","Istanbul, Great Portland Street, East Marylebone, Fitzrovia, Camden Town, City of Westminster, Greater London, Inghilterra, W1W 5JL, Regno Unito","{""coordinates"": [-0.143824, 51.523669], ""type"": ""Point""}","Istanbul, Great Portland Street, East Marylebone, Fitzrovia, Camden Town, City of Westminster, Greater London, Inghilterra, W1W 5JL, Regno Unito",amenity,cafe
4,Hong Kong,Hong Kong,"['*...Sede della prima esposizione universale della storia (Expo 1851) e di tre edizioni dei Giochi olimpici (1908, 1948 e 2012), è la terza città più visitata al mondo dal turismo internazionale, dopo Hong Kong e Bangkok in Asia ed è considerata una delle capitali mondiali della moda....']","Hong Kong, 200, Hoxton Street, Hoxton, London Borough of Hackney, Londra, Greater London, Inghilterra, N1 5LH, Regno Unito","{""coordinates"": [-0.079902, 51.533654], ""type"": ""Point""}","Hong Kong, 200, Hoxton Street, Hoxton, London Borough of Hackney, Londra, Greater London, Inghilterra, N1 5LH, Regno Unito",amenity,fast_food
5,Bangkok,Bangkok,"['*...Sede della prima esposizione universale della storia (Expo 1851) e di tre edizioni dei Giochi olimpici (1908, 1948 e 2012), è la terza città più visitata al mondo dal turismo internazionale, dopo Hong Kong e Bangkok in Asia ed è considerata una delle capitali mondiali della moda....']","The King of Falafel, Rosebery Avenue, Little Italy, Holborn, Camden, Londra, Greater London, Inghilterra, EC1R 5DE, Regno Unito","{""coordinates"": [-0.11223, 51.521875], ""type"": ""Point""}","The King of Falafel, Rosebery Avenue, Little Italy, Holborn, Camden, Londra, Greater London, Inghilterra, EC1R 5DE, Regno Unito",amenity,fast_food
6,Asia,Asia,"['*...Sede della prima esposizione universale della storia (Expo 1851) e di tre edizioni dei Giochi olimpici (1908, 1948 e 2012), è la terza città più visitata al mondo dal turismo internazionale, dopo Hong Kong e Bangkok in Asia ed è considerata una delle capitali mondiali della moda....', '*...Il 20,9% dei londinesi è invece di origine asiatica, ed è costituito soprattutto da indiani (6,6% della popolazione totale), pakistani (2,7%), bengalesi (2,7%), cinesi (1,5%), arabi (1,3%) e ""altri asiatici"" (4,9%, provenienti soprattutto da altri paesi dell\'Asia meridionale)....']","Asia, South Carriage Drive, Knightsbridge, Londra, Greater London, Inghilterra, SW7 5ET, Regno Unito","{""coordinates"": [-0.177395, 51.502274], ""type"": ""Point""}","Asia, South Carriage Drive, Knightsbridge, Londra, Greater London, Inghilterra, SW7 5ET, Regno Unito",tourism,artwork
8,New York,New York,"[""*...Insieme a New York fa parte della categoria Alfa++, quella che le pone come le due città più importanti per l'economia globale...."", ""*...Con l'aumento dell'industrializzazione tra il XIX e il XX secolo, la popolazione di Londra si sviluppò grandemente, arrivando a renderla la città più popolata del mondo, fino al sorpasso, nel 1925, da parte di New York...."", ""*...Londra è uno dei due centri principali dell'editoria in lingua inglese insieme a New York...."", '*...Londra è la patria di designer internazionali come Vivienne Westwood, Galliano, Stella McCartney, Manolo Blahnik e Jimmy Choo, i suoi negozi e le rinomate scuole di moda ne fanno un centro internazionale della moda insieme a Parigi, Milano e New York....', '*...Più di 100 delle 500 principali società europee hanno sede a Londra, mentre il Mercato dei cambi è il più grande del mondo, con un cambio medio giornaliero di 504 miliardi di dollari, più di quelli di Tokyo e New York insieme....', ""*...Londra produce da sola un quinto del prodotto interno lordo britannico, ed è annoverata tra le città guida dell'economia mondiale, insieme a New York e Tokyo...."", '*...Londra è considerata una delle quattro capitali mondiali della moda, insieme a Milano, Parigi e New York....', '*...Londra è la seconda città più visitata al mondo dai turisti internazionali ed ha attirato oltre 18 milioni di visitatori nel 2013, piazzandosi davanti a New York e Parigi....', '...New York ;...']","New York, Longbridge Road, London Borough of Barking and Dagenham, Londra, Greater London, Inghilterra, IG11 8RU, Regno Unito","{""coordinates"": [0.081926, 51.54009], ""type"": ""Point""}","New York, Longbridge Road, London Borough of Barking and Dagenham, Londra, Greater London, Inghilterra, IG11 8RU, Regno Unito",amenity,fast_food
9,Buckingham Palace,Buckingham Palace,"['*...Inoltre, presso Buckingham Palace risiede stabilmente il monarca del Regno Unito, ed il Palazzo di Westminster ospita il Parlamento;...', '*...Nel 1762 Giorgio III acquistò Buckingham Palace che fu poi ampliato nel corso dei seguenti 75 anni....', '*...Uno dei più famosi è certamente Buckingham Palace, situato a City of Westminster è la residenza ufficiale della monarchia britannica a Londra....', '*...La City of Westminster con la Westminster Abbey, il palazzo reale di Buckingham Palace, Clarence House e altro, Kensington and Chelsea, con i suoi musei (lo Science Museum, il Natural History Museum, il Victoria and Albert Museum) e Hyde Park....']","Buckingham Palace, Ambassador's Court, Victoria, Londra, Greater London, Inghilterra, SW1A 1AA, Regno Unito","{""coordinates"": [-0.142986, 51.500841], ""type"": ""Point""}","Buckingham Palace, Ambassador's Court, Victoria, Londra, Greater London, Inghilterra, SW1A 1AA, Regno Unito",tourism,attraction
10,Palazzo di Westminster,Palazzo di Westminster,"['*...Inoltre, presso Buckingham Palace risiede stabilmente il monarca del Regno Unito, ed il Palazzo di Westminster ospita il Parlamento;...', ""*...L'edificio è poi divenuto la base del Palazzo di Westminster...."", ""*...La Chiesa di Santa Margherita è una Chiesa anglicana che si trova nel quartiere di City of Westminster in Parliament Square, accanto all'Abbazia di Westminster e di fronte al Palazzo di Westminster...."", '*...A poca distanza il Palazzo di Westminster con la torre del Big Ben è la sede del parlamento del Regno Unito....', '*...La parte più antica conservata del Palazzo di Westminster è stata edificata nel 1097 ed è servito in origine come residenza del re inglese....', '*...Esso si trova a breve distanza dal Palazzo di Westminster, sito sulla riva opposta....']","Palazzo di Westminster, The Landing Place, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1A 0AA, Regno Unito","{""coordinates"": [-0.124481, 51.499389], ""type"": ""Point""}","Palazzo di Westminster, The Landing Place, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1A 0AA, Regno Unito",tourism,attraction
11,Downing Street,Downing Street,['*...Il numero 10 Downing Street è la residenza del Primo ministro e la sede del Governo del Regno Unito....'],"Downing Street, Westminster, Covent Garden, Londra, Greater London, Inghilterra, SW1A 2AG, Regno Unito","{""coordinates"": [-0.127174, 51.503218], ""type"": ""Point""}","Downing Street, Westminster, Covent Garden, Londra, Greater London, Inghilterra, SW1A 2AG, Regno Unito",highway,residential
17,Francia,Francia,"['*...Londra si trova nel sud-est della Gran Bretagna, sulle rive del fiume Tamigi a poche ore dal Passo di Calais, che separa il Regno Unito dalla Francia attraverso il canale della Manica....']","Francia’s Mini Mart, 84, Meeting House Lane, Acorn Estate, Peckham, London Borough of Southwark, Londra, Greater London, Inghilterra, SE15 2TX, Regno Unito","{""coordinates"": [-0.062846, 51.476427], ""type"": ""Point""}","Francia’s Mini Mart, 84, Meeting House Lane, Acorn Estate, Peckham, London Borough of Southwark, Londra, Greater London, Inghilterra, SE15 2TX, Regno Unito",shop,convenience
