,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Stad,Stad,"[""*...Lussemburgo (Lëtzebuerg o, colloquialmente, d'Stad in lussemburghese, Luxembourg in francese, Luxemburg in tedesco) è la capitale del Granducato di Lussemburgo, piccolo Stato compreso fra l'Europa occidentale e l'Europa centrale e racchiuso tra il Belgio a ovest e a nord, la Germania a est e la Francia a sud....""]","Grande Synagogue de Luxembourg, 45, Avenue Monterey, Ville-Haute, Lussemburgo, Canton Luxembourg, 2163, Lussemburgo","{""coordinates"": [6.121645, 49.609662], ""type"": ""Point""}","Grande Synagogue de Luxembourg, 45, Avenue Monterey, Ville-Haute, Lussemburgo, Canton Luxembourg, 2163, Lussemburgo",amenity,place_of_worship
2,Europa,Europa,"[""*...Lussemburgo (Lëtzebuerg o, colloquialmente, d'Stad in lussemburghese, Luxembourg in francese, Luxemburg in tedesco) è la capitale del Granducato di Lussemburgo, piccolo Stato compreso fra l'Europa occidentale e l'Europa centrale e racchiuso tra il Belgio a ovest e a nord, la Germania a est e la Francia a sud...."", ""*...Sotto la dominazione asburgica le sue fortificazioni vennero ulteriormente rafforzate, facendo così di Lussemburgo una delle più solide roccaforti d'Europa....""]","Corte dei conti europea, 12, Rue Alcide de Gasperi, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1615, Lussemburgo","{""coordinates"": [6.15026, 49.622796], ""type"": ""Point""}","Corte dei conti europea, 12, Rue Alcide de Gasperi, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1615, Lussemburgo",office,government
6,Pétrusse,Pétrusse,"[""*...È situata su uno sperone roccioso alla confluenza della Pétrusse con l'Alzette, e conta 124\xa0528 abitanti al 2021...."", ""*...Nel XX secolo, con l'allargarsi della città sono stati edificati più di cinquanta ponti, alcuni dei quali veri e propri modelli di ingegneria, come il ponte Adolphe, con l'arcata in pietra a volta più ampia del mondo, che scavalcano i fiumi Alzette e Pétrusse....""]","Pétrusse Casemates, Place de la Constitution, Ville-Haute, Lussemburgo, Canton Luxembourg, 2450, Lussemburgo","{""coordinates"": [6.129932, 49.609429], ""type"": ""Point""}","Pétrusse Casemates, Place de la Constitution, Ville-Haute, Lussemburgo, Canton Luxembourg, 2450, Lussemburgo",tourism,attraction
17,Alzette,Alzette,"[""*...È situata su uno sperone roccioso alla confluenza della Pétrusse con l'Alzette, e conta 124\xa0528 abitanti al 2021...."", ""*...Nel XX secolo, con l'allargarsi della città sono stati edificati più di cinquanta ponti, alcuni dei quali veri e propri modelli di ingegneria, come il ponte Adolphe, con l'arcata in pietra a volta più ampia del mondo, che scavalcano i fiumi Alzette e Pétrusse...."", '*...Quando si contempla dal fondo della vallata del fiume Alzette o dalle case del Grund, la parte ""vecchia"" della città di Lussemburgo...', ""...Le fortificazioni, imponenti muraglioni a strapiombo sull'Alzette, erette nel 1632 dagli Spagnoli e ampliate da Vauban nel 1685....""]","Boulevard de l'Alzette, Pfaffenthal, Lussemburgo, Canton Luxembourg, 2663, Lussemburgo","{""coordinates"": [6.13341, 49.614474], ""type"": ""Point""}","Boulevard de l'Alzette, Pfaffenthal, Lussemburgo, Canton Luxembourg, 2663, Lussemburgo",highway,residential
19,Eich,Eich,"[""*...Nel 1921 i confini cittadini vennero ampliati con l'annessione delle borgate di Eich, Hamm, Hollerich e Rollingergrund...."", '*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....']","Eich, Rue de Mühlenbach, Eich, Lussemburgo, Canton Luxembourg, 1413, Lussemburgo","{""coordinates"": [6.125186, 49.626823], ""type"": ""Point""}","Eich, Rue de Mühlenbach, Eich, Lussemburgo, Canton Luxembourg, 1413, Lussemburgo",amenity,post_office
22,Kirchberg –,Kirchberg –,"['*...Oggi, il palazzo Alcide de Gasperi (detto Bâtiment Tour), le torri A et B – situate al Kirchberg\xa0– definiscono, con le fortificazioni, la Chiesa Saint-Michel e la cattedrale Notre-Dame, la ""skyline"" della città di Lussemburgo....', '...Il plateau du Kirchberg è dalla fine degli anni ottanta in piena espansione....', '*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....']","Kirchberg, Rue des Maraîchers, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1513, Lussemburgo","{""coordinates"": [6.140118, 49.625115], ""type"": ""Point""}","Kirchberg, Rue des Maraîchers, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1513, Lussemburgo",amenity,post_office
24,cattedrale Notre-Dame,cattedrale Notre-Dame,"['*...Oggi, il palazzo Alcide de Gasperi (detto Bâtiment Tour), le torri A et B – situate al Kirchberg\xa0– definiscono, con le fortificazioni, la Chiesa Saint-Michel e la cattedrale Notre-Dame, la ""skyline"" della città di Lussemburgo....']","Cattedrale di Notre-Dame, 7, Rue Notre-Dame, Ville-Haute, Lussemburgo, Canton Luxembourg, 2240, Lussemburgo","{""coordinates"": [6.131564, 49.609603], ""type"": ""Point""}","Cattedrale di Notre-Dame, 7, Rue Notre-Dame, Ville-Haute, Lussemburgo, Canton Luxembourg, 2240, Lussemburgo",amenity,place_of_worship
25,DP,DP,"['*...Il sindaco della città di Lussemburgo è Lydie Polfer (DP), dal 2013....']","DP, 9, Rue du Saint-Esprit, Ville-Haute, Lussemburgo, Canton Luxembourg, 1475, Lussemburgo","{""coordinates"": [6.133485, 49.608955], ""type"": ""Point""}","DP, 9, Rue du Saint-Esprit, Ville-Haute, Lussemburgo, Canton Luxembourg, 1475, Lussemburgo",office,political_party
26,Gare,Gare,"['*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....']","Gare, Pont Jean-Pierre Buchler, Gare, Lussemburgo, Canton Luxembourg, 1122, Lussemburgo","{""coordinates"": [6.132127, 49.597057], ""type"": ""Point""}","Gare, Pont Jean-Pierre Buchler, Gare, Lussemburgo, Canton Luxembourg, 1122, Lussemburgo",amenity,parking
27,Gasperich,Gasperich,"['*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....']","Rue de Gasperich, Gasperich, Lussemburgo, Canton Luxembourg, 2322, Lussemburgo","{""coordinates"": [6.118936, 49.593457], ""type"": ""Point""}","Rue de Gasperich, Gasperich, Lussemburgo, Canton Luxembourg, 2322, Lussemburgo",highway,tertiary
