,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Marselha,Marselha,"['*...Marselha o Marsiho, in latino:...']","InterContinental Marseille – Hotel Dieu, Place du 23 Janvier 1943, Hôtel de Ville, 2e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13002, Francia","{""coordinates"": [5.369815, 43.298586], ""type"": ""Point""}","InterContinental Marseille – Hotel Dieu, Place du 23 Janvier 1943, Hôtel de Ville, 2e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13002, Francia",tourism,hotel
1,Massilia,Massilia,['*...Massilia o Massalia;...'],"Massilia, Rue Saint-Antoine, Les Grands Carmes, 2e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13000, Francia","{""coordinates"": [5.369483, 43.299596], ""type"": ""Point""}","Massilia, Rue Saint-Antoine, Les Grands Carmes, 2e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13000, Francia",amenity,cafe
2,Massalia,Massalia,"['*...Massilia o Massalia;...', '*...I Focesi fondarono la colonia di Massalia nel 600 a.C., in un momento storico particolare, essendo la costa microasiatica minacciata dai Lidi....']","Pharmacie Massalia, Rue Halle Delacroix, Noailles, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.37951, 43.294743], ""type"": ""Point""}","Pharmacie Massalia, Rue Halle Delacroix, Noailles, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",amenity,pharmacy
3,Μασσαλία,Μασσαλία,"['*...In greco: Μασσαλία o Μασαλία) è la più grande città della Francia meridionale, capoluogo della regione Provenza-Alpi-Costa Azzurra e del dipartimento delle Bocche del Rodano, oltre che il primo porto della Francia, quarto del Mediterraneo e a livello europeo....']","Pharmacie Massalia, Rue Halle Delacroix, Noailles, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.37951, 43.294743], ""type"": ""Point""}","Pharmacie Massalia, Rue Halle Delacroix, Noailles, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",amenity,pharmacy
10,Focea,Focea,"['*...È soprannominata in francese la cité phocéenne (la città focese), perché fu fondata nel 600 a.C. da marinai greci originari di Focea, l\'attuale Foça (un toponimo sito a 60\xa0km nord-ovest di Smirne, in Turchia) e ""focesi"" vengono ancora detti i suoi abitanti....', '*...La città di Focea quindi sostanzialmente si divise tra sostenitori e oppositori, questi ultimi andando a rinfoltire le file dei primi coloni Masalioti....', '*...Circa trentacinque anni dopo Focea venne conquistata dai persiani....']","Le Phocea, Quai du Port Île Ratonneau, Isole delle Frioul, 7e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13007, Francia","{""coordinates"": [5.305072, 43.279218], ""type"": ""Point""}","Le Phocea, Quai du Port Île Ratonneau, Isole delle Frioul, 7e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13007, Francia",amenity,restaurant
16,مرسيليا,مرسيليا,"['*...Per curiosità l\'arabo Marsīliyā (مرسيليا) deriva da marsa, ""porto""....']","Stazione di Marsiglia-Saint-Charles, Boulevard Maurice Bourdet, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.38152, 43.303167], ""type"": ""Point""}","Stazione di Marsiglia-Saint-Charles, Boulevard Maurice Bourdet, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",building,train_station
20,Etoile,Etoile,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Rue de l'Étoile, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.376315, 43.300444], ""type"": ""Point""}","Rue de l'Étoile, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",highway,residential
21,Garlaban,Garlaban,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Le Garlaban, Traverse des Bonnets, La Rose, 13e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13013, Francia","{""coordinates"": [5.423055, 43.32936], ""type"": ""Point""}","Le Garlaban, Traverse des Bonnets, La Rose, 13e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13013, Francia",amenity,social_facility
22,Saint-Cyr,Saint-Cyr,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Le Saint-Cyr, Boulevard de Pont de Vivaux, Pont-de-Vivaux, 10e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13010, Francia","{""coordinates"": [5.417264, 43.27968], ""type"": ""Point""}","Le Saint-Cyr, Boulevard de Pont de Vivaux, Pont-de-Vivaux, 10e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13010, Francia",amenity,bar
25,Huveaune,Huveaune,"[""*...L'area metropolitana marsigliese è bagnata dal fiume Huveaune e dal suo affluente Jarret...."", '*...Il fiume cittadino si chiama Huveaune....']","Sentier Pédestre de l'Huveaune, Saint-Giniez, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia","{""coordinates"": [5.38504, 43.263017], ""type"": ""Point""}","Sentier Pédestre de l'Huveaune, Saint-Giniez, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia",highway,track
