,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Miensk,Miensk,"['*..., Miensk;...', '*...Il nome ""Minsk"", noto anche come Miensk in bielorusso, deriva più probabilmente dalla parola мена (miena, ""baratto"" in italiano), basato sulla lunga storia di commerci della città....']","Стары Менск, праспект Незалежнасці, Ленінскі раён, Minsk, 220030, Bielorussia","{""coordinates"": [27.55411, 53.897715], ""type"": ""Point""}","Стары Менск, праспект Незалежнасці, Ленінскі раён, Minsk, 220030, Bielorussia",amenity,cafe
3,Nioman,Nioman,"['*...La città di Minsk si trova sul versante sud-orientale dei Colli di Minsk, una regione collinare che va dal sud-ovest, corso superiore del fiume Nioman, al nord-est, fino al lago Lukomskaje....']","вуліца Нармандыя-Нёман, Барысаў, Барысаўскі раён, Мінская вобласць, 222517, Bielorussia","{""coordinates"": [28.509454, 54.245254], ""type"": ""Point""}","вуліца Нармандыя-Нёман, Барысаў, Барысаўскі раён, Мінская вобласць, 222517, Bielorussia",highway,tertiary
8,Fanipaĺ,Fanipaĺ,"[""*...L'area urbana di Minsk non conta grossi centri conurbati, i maggiori dei quali non superano i 15\xa0000 abitanti, tra i quali i principali Fanipaĺ, Zasłaŭje ed i villaggi urbani di Mačuliščy e Rudziensk\nMinsk, secondo la classificazione dei climi di Köppen, ha un clima umido continentale con calde estati semiboreali....""]","Фаніпаль, Баранавіцкі напрамак, Фаніпаль, Дзяржынскі раён, Мінская вобласць, 222750, Bielorussia","{""coordinates"": [27.334708, 53.744955], ""type"": ""Point""}","Фаніпаль, Баранавіцкі напрамак, Фаніпаль, Дзяржынскі раён, Мінская вобласць, 222750, Bielorussia",building,train_station
10,Mačuliščy,Mačuliščy,"[""*...L'area urbana di Minsk non conta grossi centri conurbati, i maggiori dei quali non superano i 15\xa0000 abitanti, tra i quali i principali Fanipaĺ, Zasłaŭje ed i villaggi urbani di Mačuliščy e Rudziensk\nMinsk, secondo la classificazione dei climi di Köppen, ha un clima umido continentale con calde estati semiboreali....""]","Мачулищи, вуліца Іосіфа Жыновіча, Дамброўка, Фрунзенскі раён, Minsk, 220055, Bielorussia","{""coordinates"": [27.440838, 53.923705], ""type"": ""Point""}","Мачулищи, вуліца Іосіфа Жыновіча, Дамброўка, Фрунзенскі раён, Minsk, 220055, Bielorussia",shop,supermarket
21,Kiev,Kiev,"['*...La prima menzione scritta di Minsk risale al 1066, ed è correlata alle lotte dinastiche tra il principato di Polack e quello di Kiev....']","Кіеў, плошча Перамогі, Партызанскі раён, Minsk, 119049, Bielorussia","{""coordinates"": [27.574847, 53.908386], ""type"": ""Point""}","Кіеў, плошча Перамогі, Партызанскі раён, Minsk, 119049, Bielorussia",historic,memorial
34,Janka Kupala,Janka Kupala,"['*...Teatro nazionale ""Janka Kupala"" ....']","Янка Купала, праспект Незалежнасці, Валокі Полацкія, Цэнтральны раён, Minsk, 220009, Bielorussia","{""coordinates"": [27.56664, 53.905724], ""type"": ""Point""}","Янка Купала, праспект Незалежнасці, Валокі Полацкія, Цэнтральны раён, Minsk, 220009, Bielorussia",historic,memorial
38,Aeradromnaja,Aeradromnaja,"['*...Essi sono Aeradromnaja, Akademgorodok, Angarskaja, Azjaryša, Červonyj Bor, Čyžovka, Drazdy, Dražnja, Harkauskaja, Kuntsauščina, Kurasovščina, Loshitsa, Malinovka, Maly Trostenets, Masjukovščina, Povdnyovij Zagad, Paunočnyj Posjolok, Serabranka, Shabanyj, Sokol, Sosnyj, Stsypjanka, Suharova, Sjarova, Uručča, Ushod, Ushodny, Velikaja Slepjanka, Vesnjanka, Zagad, Zelënyj Lug....']","Аэрадромная, праспект Міру, Мінск-Свет, Кастрычніцкі раён, Minsk, 220065, Bielorussia","{""coordinates"": [27.546951, 53.867781], ""type"": ""Point""}","Аэрадромная, праспект Міру, Мінск-Свет, Кастрычніцкі раён, Minsk, 220065, Bielorussia",railway,construction
39,Akademgorodok,Akademgorodok,"['*...Essi sono Aeradromnaja, Akademgorodok, Angarskaja, Azjaryša, Červonyj Bor, Čyžovka, Drazdy, Dražnja, Harkauskaja, Kuntsauščina, Kurasovščina, Loshitsa, Malinovka, Maly Trostenets, Masjukovščina, Povdnyovij Zagad, Paunočnyj Posjolok, Serabranka, Shabanyj, Sokol, Sosnyj, Stsypjanka, Suharova, Sjarova, Uručča, Ushod, Ushodny, Velikaja Slepjanka, Vesnjanka, Zagad, Zelënyj Lug....']","Акадэмгарадок, вуліца Францыска Скарыны, Першамайскі раён, Minsk, 220503, Bielorussia","{""coordinates"": [27.686195, 53.924594], ""type"": ""Point""}","Акадэмгарадок, вуліца Францыска Скарыны, Першамайскі раён, Minsk, 220503, Bielorussia",highway,bus_stop
47,Loshitsa,Loshitsa,"['*...Essi sono Aeradromnaja, Akademgorodok, Angarskaja, Azjaryša, Červonyj Bor, Čyžovka, Drazdy, Dražnja, Harkauskaja, Kuntsauščina, Kurasovščina, Loshitsa, Malinovka, Maly Trostenets, Masjukovščina, Povdnyovij Zagad, Paunočnyj Posjolok, Serabranka, Shabanyj, Sokol, Sosnyj, Stsypjanka, Suharova, Sjarova, Uručča, Ushod, Ushodny, Velikaja Slepjanka, Vesnjanka, Zagad, Zelënyj Lug....']","Схема Лошыцкі сядзібна-паркавы комплекс, Галоўная гістарычная алея, Лошыца, Ленінскі раён, Minsk, 220028, Bielorussia","{""coordinates"": [27.572905, 53.85529], ""type"": ""Point""}","Схема Лошыцкі сядзібна-паркавы комплекс, Галоўная гістарычная алея, Лошыца, Ленінскі раён, Minsk, 220028, Bielorussia",tourism,information
50,Serabranka,Serabranka,"['*...Essi sono Aeradromnaja, Akademgorodok, Angarskaja, Azjaryša, Červonyj Bor, Čyžovka, Drazdy, Dražnja, Harkauskaja, Kuntsauščina, Kurasovščina, Loshitsa, Malinovka, Maly Trostenets, Masjukovščina, Povdnyovij Zagad, Paunočnyj Posjolok, Serabranka, Shabanyj, Sokol, Sosnyj, Stsypjanka, Suharova, Sjarova, Uručča, Ushod, Ushodny, Velikaja Slepjanka, Vesnjanka, Zagad, Zelënyj Lug....']","Серабранка, праспект Ракасоўскага, Серабранка-8, Серабранка, Ленінскі раён, Minsk, 220094, Bielorussia","{""coordinates"": [27.596397, 53.87587], ""type"": ""Point""}","Серабранка, праспект Ракасоўскага, Серабранка-8, Серабранка, Ленінскі раён, Minsk, 220094, Bielorussia",tourism,attraction
57,VOLAT,VOLAT,['*...Minsky Zavod Koljosnykh Tjagachey (VOLAT) - produttore di chassis per i mezzi d`opera speciali;...'],"Волат, вуліца Чапаева, Мар’іна Горка, Пухавіцкі раён, Мінская вобласць, 222810, Bielorussia","{""coordinates"": [28.134331, 53.516488], ""type"": ""Point""}","Волат, вуліца Чапаева, Мар’іна Горка, Пухавіцкі раён, Мінская вобласць, 222810, Bielorussia",shop,hardware
58,MTZ,MTZ,['*...Minsky Traktarny Zavod (MTZ) - produttore di trattori medie e grandi;...'],"Аптэка МТЗ, 10А, Стаханаўская вуліца, Трактаразаводскі пасёлак, Партызанскі раён, Minsk, 220070, Bielorussia","{""coordinates"": [27.606474, 53.889382], ""type"": ""Point""}","Аптэка МТЗ, 10А, Стаханаўская вуліца, Трактаразаводскі пасёлак, Партызанскі раён, Minsk, 220070, Bielorussia",amenity,pharmacy
62,MMZ,MMZ,"['*...Minsky Motorniy Zavod (MMZ) - produttore di motori diesel per i trattori, autocarri, bus e tanti altri;...']","Гасцініца ММЗ, вуліца Шчарбакова, Трактаразаводскі пасёлак, Партызанскі раён, Minsk, 220070, Bielorussia","{""coordinates"": [27.604577, 53.889628], ""type"": ""Point""}","Гасцініца ММЗ, вуліца Шчарбакова, Трактаразаводскі пасёлак, Партызанскі раён, Minsk, 220070, Bielorussia",tourism,hotel
68,Minsktrans,Minsktrans,['*...L`operatore maggiore è Minsktrans - società municipale di Governo della Città di Minsk....'],"Минсктранс, вуліца Веры Харужай, Камароўка, Савецкі раён, Minsk, 220123, Bielorussia","{""coordinates"": [27.574163, 53.919986], ""type"": ""Point""}","Минсктранс, вуліца Веры Харужай, Камароўка, Савецкі раён, Minsk, 220123, Bielorussia",shop,ticket
71,BŽD,BŽD,"[""*...La capitale bielorussa, sia per l'importanza che per la posizione geografica, è il centro nevralgico dei trasporti ferroviari nazionali, gestiti dalla Belorusskaja železnaja doroga (BŽD) (in bielorusso БЧ -Belaruskaja Čygunka-)....""]","Багажнае аддзяленне станцыі Мінск-пасажырскі Мінскага аддзялення БЧ, 9А, Вакзальная вуліца, Уборкі, Кастрычніцкі раён, Minsk, 220007, Bielorussia","{""coordinates"": [27.553161, 53.888821], ""type"": ""Point""}","Багажнае аддзяленне станцыі Мінск-пасажырскі Мінскага аддзялення БЧ, 9А, Вакзальная вуліца, Уборкі, Кастрычніцкі раён, Minsk, 220007, Bielorussia",building,industrial
73,Plošad Lenina,Plošad Lenina,"['*...Dalla rinnovata stazione centrale Minsk-Pasažyrski, (sita nella centralissima Plošad Lenina - Piazza Lenin), partono ogni giorno numerosi treni internazionali che sovente coprono distanze notevoli, come ad esempio Irkutsk (in Siberia)....']","Плошча Леніна, праспект Незалежнасці, Маскоўскі раён, Minsk, 721816, Bielorussia","{""coordinates"": [27.548178, 53.894711], ""type"": ""Point""}","Плошча Леніна, праспект Незалежнасці, Маскоўскі раён, Minsk, 721816, Bielorussia",railway,subway_entrance
76,Siberia,Siberia,"['*...Dalla rinnovata stazione centrale Minsk-Pasažyrski, (sita nella centralissima Plošad Lenina - Piazza Lenin), partono ogni giorno numerosi treni internazionali che sovente coprono distanze notevoli, come ad esempio Irkutsk (in Siberia)....']","Сибирь, праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 220035, Bielorussia","{""coordinates"": [27.532939, 53.917261], ""type"": ""Point""}","Сибирь, праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 220035, Bielorussia",amenity,restaurant
80,Smoleviči,Smoleviči,"['*...E Minsk-II, sito a Shemetovo, nella vicina raion di Smoleviči....']","Смалявічы, Аэрадромная вуліца, Забалоцкі сельскі Савет, Смалявіцкі раён, Мінская вобласць, 222201, Bielorussia","{""coordinates"": [28.068526, 53.996571], ""type"": ""Point""}","Смалявічы, Аэрадромная вуліца, Забалоцкі сельскі Савет, Смалявіцкі раён, Мінская вобласць, 222201, Bielorussia",aeroway,aerodrome
82,Minsk-II,Minsk-II,"['*...E Minsk-II, sito a Shemetovo, nella vicina raion di Smoleviči....', ""*...Tutti i voli si fanno dall'Aeroporto Nazionale di Minsk (Minsk-II)....""]","Мінск — Калачы — Мядзель, Папярнянскі сельскі Савет, Мінскі раён, Мінская вобласць, 220053, Bielorussia","{""coordinates"": [27.536783, 53.97285], ""type"": ""Point""}","Мінск — Калачы — Мядзель, Папярнянскі сельскі Савет, Мінскі раён, Мінская вобласць, 220053, Bielorussia",highway,primary
87,город-герой,город-герой,"[""...Minsk è stata insignita, con altre città dell'Unione Sovietica, del titolo di Città eroina (in russo: город-герой?, traslitterato: gorod-geroj) nel 1974, per la resistenza all'invasione nazista durante la Seconda guerra mondiale....""]","Стэла ""Мінск-Горад Герой"", праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 722197, Bielorussia","{""coordinates"": [27.538139, 53.91594], ""type"": ""Point""}","Стэла ""Мінск-Горад Герой"", праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 722197, Bielorussia",historic,monument
88,gorod-geroj,gorod-geroj,"[""*...Minsk è stata insignita, con altre città dell'Unione Sovietica, del titolo di Città eroina (in russo: город-герой?, traslitterato: gorod-geroj) nel 1974, per la resistenza all'invasione nazista durante la Seconda guerra mondiale....""]","Стэла ""Мінск-Горад Герой"", праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 722197, Bielorussia","{""coordinates"": [27.538139, 53.91594], ""type"": ""Point""}","Стэла ""Мінск-Горад Герой"", праспект Пераможцаў, Людамонт, Цэнтральны раён, Minsk, 722197, Bielorussia",historic,monument
89,Fk Minsk,Fk Minsk,"[""*...Le principali squadre calcistiche di Minsk sono la Dinamo Minsk, l'MTZ-RIPO Minsk, l'Fk Minsk ed il Futbol'ny Klub Krumkačy....""]","ФК Мінск, вуліца Крупцы, Крупцы, Вяснянка, Цэнтральны раён, Minsk, 220020, Bielorussia","{""coordinates"": [27.503355, 53.93473], ""type"": ""Point""}","ФК Мінск, вуліца Крупцы, Крупцы, Вяснянка, Цэнтральны раён, Minsk, 220020, Bielorussia",club,sport
