,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Monaco di Baviera,Monaco di Baviera,"['*...Monaco di Baviera (AFI:...', '*...Nel 2015 uno studio della società di consulenza globale Mercer ha classificato Monaco di Baviera al quarto posto tra le 20 città del mondo con la miglior qualità della vita;...', '*...Monaco di Baviera ha un clima continentale, fortemente influenzato dalla posizione geografica in prossimità delle Alpi....', '*...La storia di Monaco di Baviera inizia nel 1158 quando Enrico il Leone, duca di Sassonia, installa un accampamento militare battezzandolo Munichen (in latino Monacum, in volgare Monachium):...', '*...Monaco di Baviera fu molto danneggiata dai bombardamenti alleati durante la seconda guerra mondiale....', '*...Un sondaggio, condotto per il National Geographic Traveler, ha scelto oltre 100 luoghi storici in tutto il mondo e ha classificato Monaco di Baviera come la trentesima migliore destinazione....', ""*...Tale limite venne approvato nel novembre 2004, dalla popolazione di Monaco di Baviera, con un referendum promosso da Georg Kronawitter, già sindaco, contro la volontà dei partiti politici nel Parlamento della città (Stadtrat), che temeva che questo potesse nuocere all'attrattiva costituita dalla città per gli investitori...."", '*...La Chiesa di San Pietro, sulla Marienplatz, è la più antica Chiesa della città. Fu costruita in stile romanico ed è stato il primo insediamento monastico di Monaco di Baviera, ancor prima della fondazione ufficiale della città del 1158. Venne rifatta due volte in stile gotico e barocchizzata dal grande Maestro stuccatore Johann Baptist Zimmermann. Venne ricostruita quasi interamente dopo la guerra....', '*...La Chiesa di San Giovanni Battista, costruita tra il 1852 e il 1874, è la più grande Chiesa a est del fiume Isar. Il campanile è alto 97 metri ed è il terzo in quanto altezza a Monaco di Baviera....', ""*...Il Municipio Vecchio (Altes Rathaus) era l'antica sede del municipio di Monaco di Baviera, ristrutturato più volte, conserva gli interni medievali originali...."", '*...Hofbräuhaus, la più antica e celebre birreria di Monaco di Baviera, fondata nel 1589, nonché una delle sette fabbriche di birra della città....', '*...Nel luglio 2007 Monaco di Baviera contava 1\xa0340\xa0000 abitanti, 300\xa0129 dei quali non avevano la cittadinanza tedesca....', ""*...A Monaco di Baviera ha sede l'emittente radiotelevisiva pubblica Bayerischer Rundfunk (BR)...."", ""*...L'Accademia delle belle arti di Monaco di Baviera ;..."", '*...La città è ritenuta il secondo più grande centro editoriale del mondo (circa 250 case editrici hanno uffici in città) e molte pubblicazioni nazionali e internazionali sono pubblicati a Monaco di Baviera, come la rivista Matchless, LAXMag e Prinz....', '*...Eminenti figure letterarie hanno lavorato a Monaco di Baviera in particolare durante i secoli finali del Regno come Paul Heyse, Max Halbe, Rainer Maria Rilke e Frank Wedekind....', '*...Monaco di Baviera e soprattutto il suo sobborgo di Schwabing, divenne la residenza di molti artisti e scrittori....', '*...Dal gotico al barocco, le belle arti erano rappresentate a Monaco di Baviera da artisti quali Erasmo Grasser, Jan Polack, Johann Baptist Straub, Ignaz Günther, Hans Krumpper, Ludwig von Schwanthaler, Cosmas Damian Asam, Egid Quirin Asam, Johann Baptist Zimmermann, Johann Michael Fischer, François de Cuvilliés il Vecchio ed il figlio François de Cuvilliés il Giovane....', ""...Monaco di Baviera è una delle città guida dell'economia tedesca e ha le strutture produttive più dinamiche...."", ""*...Monaco di Baviera è una popolare destinazione turistica, la più visitata dell'intera Germania, con splendidi monumenti, un gioioso e caratteristico stile di vita, e interessantissimi dintorni...."", ""*...Probabilmente l'attrazione più famosa di Monaco di Baviera è l'Oktoberfest, una fiera che dura due settimane con lunapark e grandi tende-birreria...."", '*...Il Parco Olimpico con il suo stadio è stato costruito in occasione delle Olimpiadi estive del 1972 che si svolsero a Monaco di Baviera....', ""...N17 Amalienburgstraße-  Effnerplatz \nN19 Pasing Bahnhof-  St.-Veit-Strasse \nN20 Karlsplatz (Stachus)-  Moosach Bahnhof \nN27 Petuelring-  Grosshesseloher Brücke \nMonaco di Baviera ha una storia quasi ininterrotta di governi del Partito Socialdemocratico di Germania a partire dalla seconda guerra mondiale, nonostante la parte meridionale della Baviera sia una roccaforte conservatrice, con l'Unione Cristiano-Sociale vincente nella maggioranza delle consultazioni a livello comunale, statale e federale...."", ""*...Diverse autorità nazionali e internazionali si trovano a Monaco di Baviera, compresa la Corte federale delle finanze della Germania e l'Ufficio europeo dei brevetti...."", '*...Monaco di Baviera è suddivisa in 25 distretti (Stadtbezirk):...', '*...A Monaco di Baviera sono state organizzate alcune gare di sci di fondo e di sci alpino valide per le rispettive Coppe del Mondo....']","Monaco di Baviera Centrale, Paul-Heyse-Unterführung, St. Paul, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80335, Germania","{""coordinates"": [11.555296, 48.140843], ""type"": ""Point""}","Monaco di Baviera Centrale, Paul-Heyse-Unterführung, St. Paul, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80335, Germania",railway,station
1,Minga,Minga,"['*...In bavarese: Minga) è una città extracircondariale della Germania meridionale, capitale (Landeshauptstadt) della Baviera....']","dios Minga, 11, Thalkirchner Straße, Am alten südlichen Friedhof, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80337, Germania","{""coordinates"": [11.566575, 48.131265], ""type"": ""Point""}","dios Minga, 11, Thalkirchner Straße, Am alten südlichen Friedhof, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80337, Germania",amenity,restaurant
2,Landeshauptstadt,Landeshauptstadt,"['*...In bavarese: Minga) è una città extracircondariale della Germania meridionale, capitale (Landeshauptstadt) della Baviera....']","Fremdspracheninstitut der Landeshauptstadt München, 36, Amalienstraße, Universität, Maxvorstadt, Monaco, Baviera, 80799, Germania","{""coordinates"": [11.577392, 48.148269], ""type"": ""Point""}","Fremdspracheninstitut der Landeshauptstadt München, 36, Amalienstraße, Universität, Maxvorstadt, Monaco, Baviera, 80799, Germania",office,educational_institution
6,Oktoberfest,Oktoberfest,"[""*...Monaco è la città più importante della Germania meridionale, grazie alle residenze reali, agli immensi parchi, ai suoi musei, alle sue chiese barocche e rococò, al folclore bavarese ancora molto vissuto, alla vicinanza delle Prealpi e delle Alpi e naturalmente grazie alla birra ed alla sua manifestazione più famosa, l'Oktoberfest...."", ""*...Opera anche nella seconda tenda più grande all'Oktoberfest, una delle più famose attrazioni di Monaco...."", ""*...Per due settimane, l'Oktoberfest attira milioni di persone che visitano le tende della birra (Bierzelte) e attrazioni da fiera...."", ""*...L'Oktoberfest si è svolto la prima volta il 12 ottobre 1810 in onore del matrimonio del principe ereditario Ludovico con la principessa Teresa di Sassonia-Hildburghausen ed in seguito diventata la festa popolare più grande del mondo...."", ""*...I festeggiamenti si sono conclusi con una corsa di cavalli e negli anni seguenti le corse dei cavalli sono continuate e successivamente si è sviluppato in quello che ora è conosciuto come l'Oktoberfest...."", '*...A dispetto del nome, la maggior parte degli Oktoberfest si svolgono nella seconda metà del mese di settembre....', '*...Di rilievo è il turismo, soprattutto nel periodo della Festa della Birra (Oktoberfest)....', ""*...Probabilmente l'attrazione più famosa di Monaco di Baviera è l'Oktoberfest, una fiera che dura due settimane con lunapark e grandi tende-birreria...."", '*...La prima Oktoberfest si tenne il 12 ottobre 1810 in occasione del matrimonio del futuro re Ludovico I di Baviera con la principessa Teresa di Sassonia-Hildburghausen....', ""*...I festeggiamenti si chiusero con una corsa di cavalli e negli anni seguenti le corse continuarono ad essere effettuate e si trasformarono successivamente nell'evento oggi noto come Oktoberfest...."", ""*...Nonostante il suo nome, l'Oktoberfest in realtà inizia a settembre e finisce sempre la prima domenica di ottobre, a meno che il 3 ottobre, ovvero il giorno dell'unità tedesca, festa nazionale, non cada di lunedì o martedì, nel qual caso l'Oktoberfest viene prolungata fino a quel giorno....""]","Theresienwiese, Schubertstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80336, Germania","{""coordinates"": [11.549419, 48.131338], ""type"": ""Point""}","Theresienwiese, Schubertstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Monaco, Baviera, 80336, Germania",tourism,attraction
7,Benno,Benno,['*...Il santo patrono della città è Benno di Meißen....'],"St. Benno-Brunnen, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania","{""coordinates"": [11.573097, 48.138922], ""type"": ""Point""}","St. Benno-Brunnen, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania",amenity,fountain
12,Ammersee,Ammersee,"[""*...La città viene attraversata dall'Isar e a sud si stendono boschi di conifere con laghi di notevole estensione, tra cui, verso ovest, il lago di Starnberg e l'Ammersee....""]","Ammerseestraße, Friedenheim, Land in Sonne, Sendling-Westpark, Monaco, Baviera, 80686, Germania","{""coordinates"": [11.507434, 48.125872], ""type"": ""Point""}","Ammerseestraße, Friedenheim, Land in Sonne, Sendling-Westpark, Monaco, Baviera, 80686, Germania",highway,secondary
18,Ruhmeshalle,Ruhmeshalle,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....']","Ruhmeshalle, Theresienhöhe, Schwanthalerhöhe, Monaco, Baviera, 80339, Germania","{""coordinates"": [11.545646, 48.130719], ""type"": ""Point""}","Ruhmeshalle, Theresienhöhe, Schwanthalerhöhe, Monaco, Baviera, 80339, Germania",tourism,attraction
19,Ludwigstraße,Ludwigstraße,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....']","Ludwigstraße, Schönfeldvorstadt, Maxvorstadt, Monaco, Baviera, 80539, Germania","{""coordinates"": [11.578618, 48.14483], ""type"": ""Point""}","Ludwigstraße, Schönfeldvorstadt, Maxvorstadt, Monaco, Baviera, 80539, Germania",highway,tertiary
20,Königsplatz,Königsplatz,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....', '*...Il quartier generale del NSDAP fu stabilito a Monaco e costruito, assieme ad altri edifici connessi al partito, a Königsplatz;...', ""*...Königsplatz, la Piazza del Re, vastissima e quadrangolare, venne aperta per volere di Ludovico I di Baviera. Vi prospettano edifici neoclassici eretti su progetto di Leo von Klenze. A ovest sono i Propyläen, del 1846-62, a colonne d'ordine dorico; a nord è la Gliptoteca, il più bell'edificio neoclassico di Monaco, eretto nel 1816-34 in ordine ionico; e a sud, è la Ausstellungsgebäude, corinzia del 1838-48, che accoglie la Staatliche Antikensammlungen. Sul lato posteriore di quest'ultima sorge l'enorme Abbazia di San Bonifacio, eretta nel 1834-37 sullo stile delle antiche basiliche paleocristiane. La zona intorno a Königsplatz è sede del Kunstareal, il quartiere dei musei di Monaco.  ...."", '*...Brienner Straße, neoclassica, parte da Odeonsplatz ai margini settentrionali del centro storico vicino alla Residenz e prosegue da est verso ovest, dove si apre la Königsplatz....']","Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania","{""coordinates"": [11.565813, 48.145718], ""type"": ""Point""}","Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania",highway,path
26,Università di Monaco,Università di Monaco,"[""*...Monaco fu inoltre la città dove nacque la Rosa Bianca (in tedesco Die Weiße Rose), formata da un gruppo di studenti che si costituirono in un movimento di resistenza al nazismo dal giugno 1942 al febbraio 1943, quando il nucleo del gruppo venne arrestato ed ucciso dopo la distribuzione di volantini all'Università di Monaco da parte di Hans e Sophie Scholl....""]","Università tecnica di Monaco, 21, Arcisstraße, Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania","{""coordinates"": [11.567445, 48.149073], ""type"": ""Point""}","Università tecnica di Monaco, 21, Arcisstraße, Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania",amenity,university
