,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Île-de-France,Île-de-France,"[""*...Con riferimento alla città antica, Lutezia, in francese Lutèce , dal latino Lutetia Parisiorum) è la capitale e la città più popolata della Francia, capoluogo della regione dell'Île-de-France e l'unico comune a essere nello stesso tempo dipartimento, secondo la riforma del 1977 e i dettami della legge PML che espansero i vecchi confini comunali...."", '*...Bassin parisien) come un territorio ancora più ampio, comprendente 28 dipartimenti su 8 regioni (Alta Normandia, Bassa Normandia, Borgogna, Centro, Champagne-Ardenne, Île-de-France, Piccardia e dei Paesi della Loira solo la Sarthe), ovvero la ZEAT 1 Région parisienne e la ZEAT 2 Bassin parisien più il dipartimento della Sarthe....', ""*...Circa quattro milioni di persone, il 35% della popolazione della regione dell'Île-de-France, sono o immigrati (17%) o hanno almeno un genitore immigrato (18%)...."", ""*...Secondo uno studio del 2008, il 56% circa di tutti i neonati dell'Île-de-France nel 2007 aveva almeno un genitore di origine straniera...."", ""*...L'ottavo dipartimento dell'Île-de-France, che da solo rappresenta circa la metà del territorio regionale, è quello orientale di Seine-et-Marne...."", '*...La ""Francilienne"", invece, delimita grosso modo la regione dell’Île-de-France e risulta ancora ben lontana dall\'essere completata....']","Conseil régional d'Île-de-France, Rue du Bac, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75007, Francia","{""coordinates"": [2.323642, 48.850733], ""type"": ""Point""}","Conseil régional d'Île-de-France, Rue du Bac, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75007, Francia",office,government
3,Madrid,Madrid,"[""*...Con una popolazione di 2\xa0229\xa0095 abitanti è, dopo Berlino, Madrid, Roma e Bucarest, il quinto comune più popoloso dell'Unione europea e, in considerazione della superficie comunale, possiede una delle più alte densità abitative del mondo...."", '...Madrid, dal 2000 ;...']","Rue de Madrid, Quartier de l'Europe, Paris 8e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75008, Francia","{""coordinates"": [2.322902, 48.878941], ""type"": ""Point""}","Rue de Madrid, Quartier de l'Europe, Paris 8e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75008, Francia",highway,unclassified
4,Bucarest,Bucarest,"[""*...Con una popolazione di 2\xa0229\xa0095 abitanti è, dopo Berlino, Madrid, Roma e Bucarest, il quinto comune più popoloso dell'Unione europea e, in considerazione della superficie comunale, possiede una delle più alte densità abitative del mondo....""]","Bucarest, Rue de Saint-Pétersbourg, Quartier de l'Europe, Paris 8e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75008, Francia","{""coordinates"": [2.324994, 48.881114], ""type"": ""Point""}","Bucarest, Rue de Saint-Pétersbourg, Quartier de l'Europe, Paris 8e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75008, Francia",highway,bus_stop
9,New York,New York,"['*...Secondo stime effettuate dalla CNN, nel 2009 Parigi era sede di 27 delle aziende Fortune Global 500, davanti a Pechino, New York e Londra....', '*...La città è anche un punto di riferimento per gli stilisti e per la moda, essendone considerata una delle capitali mondiali insieme a Milano, Londra e New York....', '*...Ha ispirato la riconversione di parte della High Line di New York del 2009....', ""*...L'attività economica di Parigi non è specializzata in un settore particolare (come per esempio Los Angeles con le industrie di intrattenimento o Londra e New York con il comparto finanziario)....""]","Avenue de New York, Quartier de Chaillot, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75007, Francia","{""coordinates"": [2.299764, 48.863932], ""type"": ""Point""}","Avenue de New York, Quartier de Chaillot, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75007, Francia",highway,secondary
11,Milano,Milano,"['*...La città è anche un punto di riferimento per gli stilisti e per la moda, essendone considerata una delle capitali mondiali insieme a Milano, Londra e New York....']","BOGGI Milano, Rue Mignon, Quartier de la Monnaie, Paris 6e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75006, Francia","{""coordinates"": [2.341467, 48.85197], ""type"": ""Point""}","BOGGI Milano, Rue Mignon, Quartier de la Monnaie, Paris 6e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75006, Francia",shop,clothes
12,Europa,Europa,"['*...I turisti spesso le attribuiscono il qualificativo di ""più romantica città del globo"", titolo derivato dal periodo del Secondo Impero durante il quale Parigi fu profondamente trasformata dal barone Haussmann, guidato dall\'imperatore Napoleone III che voleva fare della capitale francese la più bella città d\'Europa....', ""*...Generalmente il clima di Parigi è quello tipico dell'Europa occidentale, largamente influenzato dalla corrente del Golfo, quindi un clima oceanico, seppure appunto con picchi di maggiore continentalità...."", ""*...Infatti, non essendo snodo di ferrovie militari né sede di fabbriche (collocate solo in periferia), fu risparmiata dai bombardamenti che la RAF condusse sul resto d'Europa tra il 1942 e il 1945...."", ""*...Sempre sulla riva destra, oltre il quartiere del Marais, vi è la storica Place de la Bastille, un tempo occupata dalla fortezza della Bastiglia, da cui il nome, e dove oggi sorge il Teatro dell'Opéra Bastille, il più grande d'Europa...."", ""*...Nonché la famosa Basilica del Sacro Cuore di Montmartre e la Grande moschea di Parigi, la più grande del Paese e la terza d'Europa, costruita in stile moresco nel 1926...."", ""*...Da non dimenticare i caratteristici Passages, passaggi coperti, sorta di galleria commerciale, aperti fin dalla fine del XVIII secolo e poi sviluppatisi in tutt'Europa...."", ""*...L'area metropolitana di Parigi è la quarta più ampia d'Europa (dopo Mosca, Istanbul (parte del cui territorio si estende in Asia) e Londra) ed è, all'incirca, la ventesima al mondo...."", ""*...L'area metropolitana di Parigi, con un PIL complessivo superiore a quello dell'Australia, è il secondo più grande centro economico e finanziario d'Europa dopo Londra...."", '*...Ospita più del 30% dei ""colletti bianchi"" francesi, e più del 40% delle sedi centrali delle compagnie francesi, con il più grande distretto finanziario d\'Europa per dimensioni (La Défense) e la seconda più grande borsa d\'Europa (Euronext Paris)....', ""*...Da ciò è possibile rilevare che l'area metropolitana di Parigi sia una delle più multi-culturali in Europa...."", ""*...Gli italiani e gli ebrei dell'Europa centrale nel corso del XIX secolo, i russi dopo la rivoluzione del 1917, gli armeni in fuga in seguito al genocidio perpetrato dall'Impero ottomano, i cittadini coloniali durante la prima guerra mondiale e in seguito, nel periodo interbellico, spagnoli, italiani e portoghesi...."", '*...Parigi è stata storicamente una calamita per gli immigrati, ospitando oggi una delle più grandi concentrazioni di immigrati in Europa....', ""*...Tra i giovani sotto i 18 anni, il 12,1% è di origine magrebina, il 9,9% di origine africana sub-sahariana e il 4,0% proviene dall'Europa meridionale...."", '...La prima proiezione pubblica di Cinema digitale in Europa è stata realizzata a Parigi, il 2 febbraio 2000, da Philippe Binant....', ""*...È anche un nodo primario in Europa, e la rete ferroviaria s'irradia da sette stazioni di testa:..."", ""*...Parigi è la prima in Europa in termini di capacità di ricerca e sviluppo ed è considerata una delle migliori città del mondo per quanto concerne l'innovazione....""]","Europa market, Rue Oberkampf, Quartier Saint-Ambroise, Paris 11e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75011, Francia","{""coordinates"": [2.368773, 48.863128], ""type"": ""Point""}","Europa market, Rue Oberkampf, Quartier Saint-Ambroise, Paris 11e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75011, Francia",shop,deli
13,Hong Kong,Hong Kong,"['*...Secondo il sito money.it, nel 2020, Parigi è la città più cara al mondo assieme a Hong Kong e Zurigo....']","Hong Kong, Rue de Trévise, Quartier du Faubourg-Montmartre, Paris 9e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75009, Francia","{""coordinates"": [2.345682, 48.876213], ""type"": ""Point""}","Hong Kong, Rue de Trévise, Quartier du Faubourg-Montmartre, Paris 9e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75009, Francia",amenity,restaurant
17,Point du Jour,Point du Jour,"['*...Dai 26\xa0m del Point du Jour ai 148,48\xa0m di rue du Télégraphe 40, nel XX arrondissement)....']","Route du Point du Jour à Bagatelle, Quartier de la Porte-Dauphine, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 92522, Francia","{""coordinates"": [2.268144, 48.872958], ""type"": ""Point""}","Route du Point du Jour à Bagatelle, Quartier de la Porte-Dauphine, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 92522, Francia",highway,track
18,rue du Télégraphe 40,rue du Télégraphe 40,"['*...Dai 26\xa0m del Point du Jour ai 148,48\xa0m di rue du Télégraphe 40, nel XX arrondissement)....']","40, Rue du Télégraphe, Quartier Saint-Fargeau, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia","{""coordinates"": [2.399256, 48.874432], ""type"": ""Point""}","40, Rue du Télégraphe, Quartier Saint-Fargeau, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia",place,house
19,Buttes Chaumont,Buttes Chaumont,"['*...Buttes Chaumont: 101\xa0m (rue des Alouettes, XIX) ;...']","Buttes Chaumont, Rue Botzaris, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia","{""coordinates"": [2.381319, 48.878129], ""type"": ""Point""}","Buttes Chaumont, Rue Botzaris, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia",railway,subway_entrance
