,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Vltava,Vltava,"[""*...Situata sul fiume Moldava (Vltava), conta approssimativamente 1,3 milioni di abitanti (2,3 con l'area metropolitana)....""]","Terezka, Mariánské náměstí, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca","{""coordinates"": [14.417658, 50.086716], ""type"": ""Point""}","Terezka, Mariánské náměstí, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca",tourism,artwork
6,Lahovice,Lahovice,"['*...Praga si trova nella parte centro-occidentale della Repubblica Ceca, al centro della regione storica della Boemia, ed è attraversata dal fiume Moldava, nel quale confluisce, presso il quartiere di Lahovice, il fiume Berounka....', ""...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Lahovice, Lahovská, Lahovice, Praga, Praha, 143 00, Repubblica Ceca","{""coordinates"": [14.398691, 49.989899], ""type"": ""Point""}","Lahovice, Lahovská, Lahovice, Praga, Praha, 143 00, Repubblica Ceca",highway,bus_stop
12,Austria,Austria,"['*...Linz in Austria;...', '*...Vienna (Austria)....']","ADVANTAGE AUSTRIA Praha, Krakovská, Città Nuova, Praha 1, Praga, Praha, 121 32, Repubblica Ceca","{""coordinates"": [14.427658, 50.077905], ""type"": ""Point""}","ADVANTAGE AUSTRIA Praha, Krakovská, Città Nuova, Praha 1, Praga, Praha, 121 32, Repubblica Ceca",office,company
15,Petřín,Petřín,"['*...La città di Praga si sviluppa su nove colli, di cui il più alto è il Petřín....', '*...Una funicolare per la collina di Petřín;...']","Petřín, Strahovská, Hradčany, Praha 1, Praga, Praha, 118 00, Repubblica Ceca","{""coordinates"": [14.396794, 50.08197], ""type"": ""Point""}","Petřín, Strahovská, Hradčany, Praha 1, Praga, Praha, 118 00, Repubblica Ceca",railway,station
20,Hradčany,Hradčany,"['*...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""*...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:..."", '*...2Le registrazioni del 1370 e del 1600 includono Staré město, Nové Město, Malá Strana e i quartieri di Hradčany ....', ""*...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Hradčany, 6, Keplerova, Hradčany, Praha 1, Praga, Praha, 118 00, Repubblica Ceca","{""coordinates"": [14.388506, 50.088187], ""type"": ""Point""}","Hradčany, 6, Keplerova, Hradčany, Praha 1, Praga, Praha, 118 00, Repubblica Ceca",amenity,restaurant
21,Malá Strana,Malá Strana,"['*...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""*...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:..."", '*...2Le registrazioni del 1370 e del 1600 includono Staré město, Nové Město, Malá Strana e i quartieri di Hradčany ....', ""*...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Sokol Malá Strana, alej Obětí totality, Piccolo Quartiere, Praha 1, Praga, Praha, 118 00, Repubblica Ceca","{""coordinates"": [14.403567, 50.082219], ""type"": ""Point""}","Sokol Malá Strana, alej Obětí totality, Piccolo Quartiere, Praha 1, Praga, Praha, 118 00, Repubblica Ceca",leisure,sports_centre
22,Città Vecchia,Città Vecchia,"['*...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""*...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009...."", ""...Nel videogioco Deus Ex: Mankind Divided la città è vittima di attentati terroristici dovuti ai potenziati cibernetici. Possono essere visitate alcune parti, tra le quali la città vecchia dal protagonista di Deus Ex: Human Revolution, Adam Jensen nell'anno 2027, tre anni dopo gli eventi di Deus Ex: Human Revolution....""]","Municipio della città vecchia, Mikulášská, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca","{""coordinates"": [14.420293, 50.086978], ""type"": ""Point""}","Municipio della città vecchia, Mikulášská, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca",tourism,attraction
23,Nové Město,Nové Město,"['*...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""*...Il gotico ponte Carlo è uno dei più importanti monumenti dell'architettura medievale in Boemia), il Muro di Lennon, il vecchio Cimitero ebraico e il quartiere di Nové Město con il suo municipio, Novoměstská radnice...."", '*...2Le registrazioni del 1370 e del 1600 includono Staré město, Nové Město, Malá Strana e i quartieri di Hradčany ....', ""*...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Fio banka, Benediktská, Città Vecchia, Praha 1, Praga, Praha, 110 05, Repubblica Ceca","{""coordinates"": [14.426898, 50.089553], ""type"": ""Point""}","Fio banka, Benediktská, Città Vecchia, Praha 1, Praga, Praha, 110 05, Repubblica Ceca",amenity,atm
26,Vyšehrad,Vyšehrad,"[""*...La città subì un'ulteriore espansione con l'annessione di Josefov (il quartiere ebraico) nel 1850 e Vyšehrad nel 1883...."", ""...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Vyšehrad, Vratislavova, Vyšehrad, Praga, Praha, 128 00, Repubblica Ceca","{""coordinates"": [14.41929, 50.065514], ""type"": ""Point""}","Vyšehrad, Vratislavova, Vyšehrad, Praga, Praha, 128 00, Repubblica Ceca",tourism,information
28,Praga –,Praga –,"[""*...1526: Praga – con l'intera Boemia – passa sotto la corona asburgica fino al 1918;..."", ""*...1993: è l'anno della pacifica divisione tra le due regioni dell'ex repubblica, che adesso formano due stati indipendenti: la Repubblica Ceca – capitale Praga – e la Repubblica Slovacca – capitale Bratislava...."", ""...· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009....""]","Orologio astronomico di Praga, Staroměstské náměstí, Città Vecchia, Praha 1, Praga, Praha, 110 00, Repubblica Ceca","{""coordinates"": [14.420707, 50.086994], ""type"": ""Point""}","Orologio astronomico di Praga, Staroměstské náměstí, Città Vecchia, Praha 1, Praga, Praha, 110 00, Repubblica Ceca",tourism,attraction
