,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Montréal,Montréal,"['*...Toronto, motore economico del Canada, è assieme a Montréal la città del Paese nordamericano più conosciuta nel mondo, seguita da Ottawa....', '*...Toronto fu per ben due volte, ma per brevi periodi, la capitale della Provincia del Canada, nel 1849-1852 a seguito di disordini a Montréal, e successivamente nel 1856-1858....', '*...Nonostante la sua veloce crescita negli anni venti, Toronto in termini di popolazione e importanza economica rimase seconda nel Canada dopo Montréal....', '*...Negli anni ottanta Toronto aveva superato Montréal come popolazione e come centro economico....']","BMO, 2, Queen Street East, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 3G7, Canada","{""coordinates"": [-79.379098, 43.652683], ""type"": ""Point""}","BMO, 2, Queen Street East, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 3G7, Canada",amenity,bank
3,Ottawa,Ottawa,"['*...Toronto, motore economico del Canada, è assieme a Montréal la città del Paese nordamericano più conosciuta nel mondo, seguita da Ottawa....', '*...Toronto è situata nella regione dei Grandi Laghi, dove vivono circa un quarto dei canadesi, e rispetto alle dimensioni del Paese sicuramente non è distante dalla capitale canadese Ottawa che si trova orientata a Nord Est....']","The Ottawa, 650, Parliament Street, St. James Town, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4X 1G9, Canada","{""coordinates"": [-79.37066, 43.669585], ""type"": ""Point""}","The Ottawa, 650, Parliament Street, St. James Town, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4X 1G9, Canada",building,apartments
4,Saint Clair,Saint Clair,"['*...Il primo quartiere dove si insediarono gli italiani fu quello di College, successivamente si spostarono a Saint Clair denominata con il nome aggiuntivo di Corso Italia dal 1988....']","47-49 Saint Clair Avenue West, Deer Park, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4V 1L3, Canada","{""coordinates"": [-79.396149, 43.68756], ""type"": ""Point""}","47-49 Saint Clair Avenue West, Deer Park, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4V 1L3, Canada",highway,service
5,Corso Italia,Corso Italia,"['*...Il primo quartiere dove si insediarono gli italiani fu quello di College, successivamente si spostarono a Saint Clair denominata con il nome aggiuntivo di Corso Italia dal 1988....', '*...Nel campo delle costruzioni in particolare da Italia e Portogallo....', ""...L'Art Gallery of Ontario (chiamata AGO) è una galleria d'arte recentemente ristrutturata e ampliata dall'architetto nato a Toronto Frank Gehry che raccoglie tra le numerosissime opere, la più vasta collezione di sculture di Henry Moore al mondo. Uno degli elementi più caratteristici del recente ampliamento è la grande Galleria Italia che si affaccia per tutta la sua lunghezza su Dundas Street e ospita collezioni di artisti italiani. Si possono apprezzare inoltre, sia all'interno che all'esterno dell'edificio, le due ardite scale elicoidali che salgono sospese nel vuoto per raggiungere i vari livelli della nuova torre espositiva rivestita di zinco-titanio blu....""]","Corso Italia Garage, MacKay Avenue, Corso Italia, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 1B5, Canada","{""coordinates"": [-79.445021, 43.676867], ""type"": ""Point""}","Corso Italia Garage, MacKay Avenue, Corso Italia, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 1B5, Canada",amenity,parking
6,Old Toronto,Old Toronto,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)....""]","West Toronto St at Old Stock Yards Rd, West Toronto Street, The Junction, York South—Weston, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6N 3E2, Canada","{""coordinates"": [-79.469845, 43.669328], ""type"": ""Point""}","West Toronto St at Old Stock Yards Rd, West Toronto Street, The Junction, York South—Weston, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6N 3E2, Canada",highway,bus_stop
7,East York,East York,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)...."", '*...Nel 1967 le sette più piccole municipalità della regione furono raggruppate con le loro vicine più grandi e come risultato si ebbero sei municipalità che comprendevano la vecchia città di Toronto, East York, Etobicoke, North York, Scarborough e York....', '*...Nel 1793 il governatore John Graves Simcoe istituì la città di York e le assegnò il nome in onore del duca Federico Augusto di York e Albany....', ""...Fort York fu costruito all'ingresso del porto naturale della città, protetto da una lunga penisola sabbiosa...."", '...Nel 1813, durante la guerra anglo-americana, la battaglia di York si concluse con la caduta della città e il saccheggio da parte delle forze americane....', '...I soldati americani distrussero buona parte di Fort York e appiccarono il fuoco agli edifici del parlamento durante la loro occupazione durata cinque giorni....', '...York fu incorporata come città di Toronto il 6 marzo 1834, con il ritorno al suo originale nome nativo....', ""...A Toronto ha sede la più grande Università canadese, l'Università di Toronto, oltre all'Università Metropolitana di Toronto e alla York University, e numerose tra le maggiori industrie e attività economiche del Canada, che fanno di tale città il maggiore polo economico del Canada...."", '...È il terzo più grande quartiere dei teatri di lingua inglese al mondo, dopo il West End di Londra e Broadway a New York....']","East York Avenue, Pape Village, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4K 3T8, Canada","{""coordinates"": [-79.347891, 43.684884], ""type"": ""Point""}","East York Avenue, Pape Village, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4K 3T8, Canada",highway,residential
8,Etobicoke,Etobicoke,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)...."", ""...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord...."", '*...Nel 1967 le sette più piccole municipalità della regione furono raggruppate con le loro vicine più grandi e come risultato si ebbero sei municipalità che comprendevano la vecchia città di Toronto, East York, Etobicoke, North York, Scarborough e York....']","Gibbs Road, Etobicoke, Gibbs Road, Bloordale Gardens, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada","{""coordinates"": [-79.558319, 43.638024], ""type"": ""Point""}","Gibbs Road, Etobicoke, Gibbs Road, Bloordale Gardens, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada",amenity,post_box
9,Scarborough,Scarborough,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)...."", '*...Nel 1967 le sette più piccole municipalità della regione furono raggruppate con le loro vicine più grandi e come risultato si ebbero sei municipalità che comprendevano la vecchia città di Toronto, East York, Etobicoke, North York, Scarborough e York....']","Scarborough, Natal Avenue, Scarborough Junction, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 1G4, Canada","{""coordinates"": [-79.256123, 43.715387], ""type"": ""Point""}","Scarborough, Natal Avenue, Scarborough Junction, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 1G4, Canada",railway,stop
10,North York,North York,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)...."", '*...Nel 1967 le sette più piccole municipalità della regione furono raggruppate con le loro vicine più grandi e come risultato si ebbero sei municipalità che comprendevano la vecchia città di Toronto, East York, Etobicoke, North York, Scarborough e York....']","North York (Chinese) Baptist Church, Sheppard Avenue East, Concord Park Place, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 1C3, Canada","{""coordinates"": [-79.378743, 43.768262], ""type"": ""Point""}","North York (Chinese) Baptist Church, Sheppard Avenue East, Concord Park Place, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 1C3, Canada",amenity,place_of_worship
11,Weston,Weston,"[""*...Toronto è suddivisa in 240 quartieri all'interno dei suoi confini, raggruppati in sei distretti (Old Toronto, East York, Etobicoke, Scarborough, North York e York, dove si trova anche il quartiere di Weston)....""]","Weston, Weston Road, Weston, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M9N 3B3, Canada","{""coordinates"": [-79.509828, 43.698557], ""type"": ""Point""}","Weston, Weston Road, Weston, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M9N 3B3, Canada",railway,stop
