,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Pacifica,Pacifica,"[""*...Vancouver (AFI: ) è una città canadese, sulla costa Pacifica della provincia canadese della Columbia Britannica, situata nella parte meridionale della provincia, uno dei maggiori porti dell'Oceano Pacifico, delimitata dallo Stretto di Georgia, dal fiume Fraser, e dalla catena montuosa delle Montagne Costiere...."", ""...È la maggiore città canadese sulla costa pacifica ed è proprio l'Oceano Pacifico a caratterizzare il clima, rendendolo tra i più miti del paese nordamericano....""]","Pacifica, 13277, 108 Avenue, City Centre, Surrey, Metro Vancouver Regional District, Columbia Britannica, V3T 0G4, Canada","{""coordinates"": [-122.853953, 49.199685], ""type"": ""Point""}","Pacifica, 13277, 108 Avenue, City Centre, Surrey, Metro Vancouver Regional District, Columbia Britannica, V3T 0G4, Canada",office,financial
2,Fraser,Fraser,"[""*...Vancouver (AFI: ) è una città canadese, sulla costa Pacifica della provincia canadese della Columbia Britannica, situata nella parte meridionale della provincia, uno dei maggiori porti dell'Oceano Pacifico, delimitata dallo Stretto di Georgia, dal fiume Fraser, e dalla catena montuosa delle Montagne Costiere...."", ""*...È adiacente allo stretto di Georgia e all'isola di Vancouver (Vancouver Island), a sud è delimitata dalla foce del fiume Fraser e al nord dai fiordi Burrard Inlet, Indian Arm e le montagne costiere...."", '*...Il commerciante Simon Fraser della Compagnia del Nord-Ovest e il suo equipaggio furono i primi europei nel 1808 a mettere piede sul sito della città odierna, avendo prima disceso il fiume Fraser....', ""*...La corsa all'oro nel 1861 portò 25\xa0000 uomini, provenienti soprattutto dalla California, alla foce del Fraser e di quella che sarebbe diventata Vancouver...."", ""*...Il primo insediamento europeo fu creato nel 1862 presso McLeery's Farm sul fiume Fraser, appena ad est dell'antico villaggio di Musqueam in quello che ora è Mariole...."", '*...Dal 1º gennaio 1929 la popolazione di Vancouver era di 228\xa0193 abitanti tanto da occupare tutta la penisola tra il Burrard Inlet e il fiume Fraser....', ""...Vancouver è sede di due Università notevoli, l'Università della Columbia Britannica e la Simon Fraser University....""]","Fraser Hall, East Road, Forest Knolls, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V1M 2J6, Canada","{""coordinates"": [-122.598543, 49.140793], ""type"": ""Point""}","Fraser Hall, East Road, Forest Knolls, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V1M 2J6, Canada",building,residential
4,Greater Vancouver Regional District,Greater Vancouver Regional District,"['*...Vancouver fa infatti parte della regione metropolitana conosciuta come ""Greater Vancouver Regional District"" (GVRD) o Metro Vancouver, i cui 2\xa0463\xa0431 abitanti nel 2016 la rendono la più grande area metropolitana nel Canada occidentale, e la terza più grande nel paese....']","Metro Vancouver, 4730, Kingsway, Metrotown, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5H 2B3, Canada","{""coordinates"": [-123.001156, 49.225294], ""type"": ""Point""}","Metro Vancouver, 4730, Kingsway, Metrotown, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5H 2B3, Canada",amenity,townhall
5,Canada,Canada,"['*...Vancouver fa infatti parte della regione metropolitana conosciuta come ""Greater Vancouver Regional District"" (GVRD) o Metro Vancouver, i cui 2\xa0463\xa0431 abitanti nel 2016 la rendono la più grande area metropolitana nel Canada occidentale, e la terza più grande nel paese....', '*...Come in buona parte del Canada, anche Vancouver etnicamente è molto diversificata:...', ""*...Nel 2007 Vancouver era la città più cara del Canada dopo Toronto e l'89ª a livello globale...."", '*...Dal punto di vista climatico, Vancouver va contro lo stereotipo canadese ed è, tra quelle medio-grandi, la città del Canada ad avere le temperature più miti....', '*...Mary Ellen Smith divenne la prima donna eletta in una legislatura provinciale in Canada nel 1918....', ""*...La ragione dell'elevato numero di senzatetto sta principalmente nel fatto che, essendo climaticamente la città più vivibile del Canada, molti vagabondi vi si stabiliscono...."", '*...Meno delle maggiori città del Canada, anche Vancouver dispone della cosiddetta ""città sotterranea"" e cioè l\'insieme di gallerie piene di negozi ed attività commerciali di vario genere che passano da un palazzo all\'altro....', '*...Con la sua posizione sulla costa del Pacifico e al capolinea occidentale delle autostrade e delle linee ferroviarie transcontinentali del Canada, Vancouver è uno dei più grandi centri industriali della nazione....', '*...Port Metro Vancouver, il porto più grande e diversificato del Canada, scambia più di 172 miliardi di dollari ogni anno con oltre 160 diverse economie commerciali....', '*...E la più grande pubblicazione solo online del Canada occidentale, Daily Hive....', '*...Il porto di Vancouver è il porto più grande del Canada e il terzo porto più grande delle Americhe (per tonnellaggio)....', ""*...Vancouver è la città più stressata per quanto riguarda l'accessibilità degli alloggi in Canada...."", '*...Un fattore che spiega i prezzi elevati degli immobili potrebbe essere la politica del governo canadese che consente il lavaggio della neve, che consente agli stranieri di acquistare proprietà in Canada proteggendo la loro identità dalle autorità fiscali, rendendo le transazioni immobiliari un modo efficace per condurre il riciclaggio di denaro....', ""...Alcuni punti di riferimento di Vancouver ancora in piedi, tra cui il sistema di trasporto pubblico SkyTrain e Canada Place, sono stati costruiti come parte dell'esposizione...."", '*...Vancouver è una delle città più dinamiche e trasformiste di tutto il Canada ed offre diversi divertimenti e svaghi....', ""*...L'Aeroporto, un tempo di importanza minore, negli ultimi anni, grazie alla crescita economica ed ai XXI Giochi olimpici invernali del 2010, sta subendo lavori di ampliamento ed il suo traffico è in costante aumento, sia sulle tratte USA - Canada che sulle tratte intercontinentali...."", '*...La città è collegata al resto del Canada tramite l\'autostrada HWY1 meglio nota come ""Trans-Canada HighWay""....', '*...Il treno, sebbene in Canada come in USA sia un mezzo di trasporto poco considerato, ha un suo Terminal dedicato nella Pacific Central Station....']","Rogers Arena, 800, Griffiths Way, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 1V4, Canada","{""coordinates"": [-123.108942, 49.277909], ""type"": ""Point""}","Rogers Arena, 800, Griffiths Way, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 1V4, Canada",leisure,stadium
7,New York,New York,"['*...La popolazione metropolitana è proiettata a raggiungere i 3 milioni di abitanti entro il 2021, mentre la densità di popolazione è tra le più alte del Nord America, e la pone al quarto posto (dopo New York, San Francisco e Città del Messico);...', '*...La città è diventata il più grande polo di produzione cinematografica del Nord America dopo Los Angeles e New York, tanto da guadagnarsi il soprannome di ""Hollywood del Nord"" (""Hollywood North"")....', '*...L\'enorme quantità di grattacieli commerciali e residenziali costruiti dal 1997 e fino al 2004, hanno fatto posizionare Vancouver al 3º posto nella graduatoria delle \'città verticali"" del Nord America, con una densità di grattacieli per chilometro quadrato che la colloca terza dietro a New York e San Francisco....']","Kate Spade New York, Howe Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7Y 1K8, Canada","{""coordinates"": [-123.119953, 49.28208], ""type"": ""Point""}","Kate Spade New York, Howe Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7Y 1K8, Canada",shop,clothes
12,Hollywood North,Hollywood North,"['*...La città è diventata il più grande polo di produzione cinematografica del Nord America dopo Los Angeles e New York, tanto da guadagnarsi il soprannome di ""Hollywood del Nord"" (""Hollywood North"")....', '*...Negli ultimi anni Vancouver è divenuta famosa anche per un soprannome datole dagli americani Hollywood North....']","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 3L5, Canada","{""coordinates"": [-123.119671, 49.280017], ""type"": ""Point""}","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 3L5, Canada",amenity,bar
13,Toronto,Toronto,"[""*...Nel 2007 Vancouver era la città più cara del Canada dopo Toronto e l'89ª a livello globale...."", '*...La ""città sotterranea"" di Vancouver è comunque molto limitata (circa  di gallerie), specialmente se rapportata a realtà quali Montréal e Toronto....']","Toronto Road, University Endowment Lands, Metro Vancouver Regional District, Columbia Britannica, V6T 1W4, Canada","{""coordinates"": [-123.237059, 49.266236], ""type"": ""Point""}","Toronto Road, University Endowment Lands, Metro Vancouver Regional District, Columbia Britannica, V6T 1W4, Canada",highway,residential
16,Burrard Inlet,Burrard Inlet,"[""*...È adiacente allo stretto di Georgia e all'isola di Vancouver (Vancouver Island), a sud è delimitata dalla foce del fiume Fraser e al nord dai fiordi Burrard Inlet, Indian Arm e le montagne costiere...."", '*...Point Grey, nel 1791, fu il primo punto esplorato da un europeo, più precisamente dallo spagnolo José María Narváez, seguito da George Vancouver, che si spinse fino al porto interno di Burrard Inlet nel 1792 e diede diversi nomi inglesi ai luoghi....', '*...Dal 1º gennaio 1929 la popolazione di Vancouver era di 228\xa0193 abitanti tanto da occupare tutta la penisola tra il Burrard Inlet e il fiume Fraser....']","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5J 0A2, Canada","{""coordinates"": [-122.985641, 49.201232], ""type"": ""Point""}","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5J 0A2, Canada",office,company
17,California,California,"[""*...La corsa all'oro nel 1861 portò 25\xa0000 uomini, provenienti soprattutto dalla California, alla foce del Fraser e di quella che sarebbe diventata Vancouver....""]","Sushi California, 388, West Broadway, Mount Pleasant, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5Y 1P5, Canada","{""coordinates"": [-123.112501, 49.262991], ""type"": ""Point""}","Sushi California, 388, West Broadway, Mount Pleasant, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5Y 1P5, Canada",amenity,restaurant
19,Musqueam,Musqueam,"[""*...Il primo insediamento europeo fu creato nel 1862 presso McLeery's Farm sul fiume Fraser, appena ad est dell'antico villaggio di Musqueam in quello che ora è Mariole....""]","Musqueam, West 41st Avenue, Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6N 3E0, Canada","{""coordinates"": [-123.183397, 49.2346], ""type"": ""Point""}","Musqueam, West 41st Avenue, Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6N 3E0, Canada",amenity,post_office
23,Cumberland,Cumberland,"[""*...Il primo sciopero generale si è verificato a seguito della morte di un altro leader laburista, Ginger Goodwin, nel 1918, presso le miniere di carbone di Cumberland sull'Isola di Vancouver....""]","Cumberland Crescent, Marine-Hamilton, North Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7P, Canada","{""coordinates"": [-123.096092, 49.32581], ""type"": ""Point""}","Cumberland Crescent, Marine-Hamilton, North Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7P, Canada",highway,residential
26,South Vancouver,South Vancouver,"['*...La fusione con Point Grey e South Vancouver hanno dato alla città i suoi definitivi contorni, tanto da rappresentare oggi la terza più grande metropoli del paese....']","Vancouver Public Library South Hill Branch, 6076, Fraser Street, South Hill, Sunset, Vancouver, Metro Vancouver Regional District, Columbia Britannica, Canada","{""coordinates"": [-123.090399, 49.229499], ""type"": ""Point""}","Vancouver Public Library South Hill Branch, 6076, Fraser Street, South Hill, Sunset, Vancouver, Metro Vancouver Regional District, Columbia Britannica, Canada",amenity,library
27,Hong Kong,Hong Kong,"['*...La popolazione di origine asiatica è talmente numerosa che la città viene spesso soprannominata ""Hong Kouver"", in merito al fatto che qui si sono stabiliti molti facoltosi cinesi fuggiti da Hong Kong prima che questa fosse restituita alla Cina nel 1997....', ""*...A partire dal 1997 in poi, con l'arrivo in città di nuovi e facoltosi immigrati, specialmente da Hong Kong, la città ha velocemente iniziato a crescere e così, vista la necessità e le numerose richieste, si è cominciato a costruire nuovi edifici residenziali nel centro...."", ""*...Dagli anni '90, lo sviluppo di condomini a molti piani nel centro della penisola è stato finanziato, in parte, dall'afflusso di capitali dagli immigrati di Hong Kong a causa del passaggio di consegne dell'ex colonia alla Cina nel 1997....""]","Hong Kong, 4500, Kingsway, Metrotown, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5H 2A6, Canada","{""coordinates"": [-123.005151, 49.229426], ""type"": ""Point""}","Hong Kong, 4500, Kingsway, Metrotown, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5H 2A6, Canada",shop,clothes
29,East Side,East Side,"['*...Nonostante la città goda di un elevato tenore e qualità di vita, fenomeni come il vagabondaggio e i senzatetto, sono molto diffusi, specialmente nel East Side e a sud del Downtown, tanto da essere indicati nelle maggiori guide turistiche come possibili fonti di problemi per i visitatori....']","East Side Craft House, East 41st Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5P 1J8, Canada","{""coordinates"": [-123.07612, 49.232915], ""type"": ""Point""}","East Side Craft House, East 41st Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5P 1J8, Canada",amenity,pub
32,Italia,Italia,"[""*...Nonostante tali crimini vengano considerati un problema serio dalla Polizia Canadese, la percentuale di essi, specialmente se rapportata ai vicini USA ma anche all'Italia, è da considerarsi molto bassa....""]","Duso's Italia, 1689, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6H, Canada","{""coordinates"": [-123.135337, 49.272363], ""type"": ""Point""}","Duso's Italia, 1689, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6H, Canada",shop,deli
33,East Hastings Street,East Hastings Street,['*...Le aree più a rischio si trovano nella zona compresa tra East Hastings Street e Nord Main Street....'],"East Hastings Street, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5L, Canada","{""coordinates"": [-123.059933, 49.281177], ""type"": ""Point""}","East Hastings Street, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5L, Canada",highway,primary
36,East End,East End,"['*...Anche l\'area dell\'East End si compone di alcune zone a rischio, ma come sopracitato, se comparate con gli USA e l\'Europa, queste zone possono essere definite a ""rischio ridotto""....']","East End Pharmacy, 2021, Commercial Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5N, Canada","{""coordinates"": [-123.0699, 49.266486], ""type"": ""Point""}","East End Pharmacy, 2021, Commercial Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5N, Canada",amenity,pharmacy
37,Europa,Europa,"['*...Anche l\'area dell\'East End si compone di alcune zone a rischio, ma come sopracitato, se comparate con gli USA e l\'Europa, queste zone possono essere definite a ""rischio ridotto""....']","Europa, 63, Keefer Place, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 0C9, Canada","{""coordinates"": [-123.106444, 49.279847], ""type"": ""Point""}","Europa, 63, Keefer Place, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 0C9, Canada",building,yes
38,Asia,Asia,"[""*...Negli ultimi anni Vancouver è diventata una città importante come ponte con l'Asia....""]","Asia, 5048, 264 Street, Gloucester, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V4W 2V1, Canada","{""coordinates"": [-122.489447, 49.090852], ""type"": ""Point""}","Asia, 5048, 264 Street, Gloucester, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V4W 2V1, Canada",tourism,attraction
39,Università della Columbia Britannica,Università della Columbia Britannica,"[""*...Vancouver è sede di due Università notevoli, l'Università della Columbia Britannica e la Simon Fraser University...."", ""*...Vancouver (AFI: ) è una città canadese, sulla costa Pacifica della provincia canadese della Columbia Britannica, situata nella parte meridionale della provincia, uno dei maggiori porti dell'Oceano Pacifico, delimitata dallo Stretto di Georgia, dal fiume Fraser, e dalla catena montuosa delle Montagne Costiere...."", ""*...La sua economia ha tradizionalmente fatto leva sulle risorse della Columbia Britannica (forestali, minerarie, pesca e agricoltura), ma tuttavia è andata diversificandosi nel tempo, e oggi Vancouver ha un'importante e vitale industria nel settore dei servizi e del turismo...."", '*...Vancouver si presenta quindi come una delle città più giovani della Columbia Britannica....', ""*...La costruzione della ferrovia fu tra le condizioni preliminari per l'adesione della Columbia Britannica alla Confederazione canadese nel 1871....""]","Università della Columbia Britannica, University Boulevard, West Point Grey, Electoral Area A, Metro Vancouver Regional District, Columbia Britannica, V6R 3E9, Canada","{""coordinates"": [-123.246242, 49.257831], ""type"": ""Point""}","Università della Columbia Britannica, University Boulevard, West Point Grey, Electoral Area A, Metro Vancouver Regional District, Columbia Britannica, V6R 3E9, Canada",amenity,university
41,Montréal,Montréal,"['*...La ""città sotterranea"" di Vancouver è comunque molto limitata (circa  di gallerie), specialmente se rapportata a realtà quali Montréal e Toronto....']","BMO, 1004, Hamilton Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 5P6, Canada","{""coordinates"": [-123.119592, 49.276739], ""type"": ""Point""}","BMO, 1004, Hamilton Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 5P6, Canada",amenity,bank
42,Scotia Tower,Scotia Tower,"['*...Fino alla metà degli anni novanta del XX secolo, la città di Vancouver disponeva di un ridottissimo numero di grattacieli, tra cui spiccava la Scotia Tower, sede locale della Banca della Nova Scotia ( - 34 piani)....']","Scotia Tower, 753, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2B7, Canada","{""coordinates"": [-123.117931, 49.281873], ""type"": ""Point""}","Scotia Tower, 753, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2B7, Canada",building,commercial
43,Harbour Centre,Harbour Centre,['*...Harbour Centre  - 28 piani;...'],"Harbour Centre, 555, West Hastings Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 4N6, Canada","{""coordinates"": [-123.112064, 49.284767], ""type"": ""Point""}","Harbour Centre, 555, West Hastings Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 4N6, Canada",building,office
44,Granville Square,Granville Square,['*...Granville Square  - 30 piani;...'],"Granville Square/PwC Place, Waterfront Station (underground walkway), Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 5A7, Canada","{""coordinates"": [-123.112666, 49.286114], ""type"": ""Point""}","Granville Square/PwC Place, Waterfront Station (underground walkway), Gastown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 5A7, Canada",amenity,parking
47,City of Surrey,City of Surrey,['*...City of Surrey ;...'],"City of Surrey District Energy Boiler Plant, Whalley Boulevard, City Centre, Surrey, Metro Vancouver Regional District, Columbia Britannica, V3T 0L5, Canada","{""coordinates"": [-122.841321, 49.181221], ""type"": ""Point""}","City of Surrey District Energy Boiler Plant, Whalley Boulevard, City Centre, Surrey, Metro Vancouver Regional District, Columbia Britannica, V3T 0L5, Canada",building,industrial
50,Aritzia,Aritzia,"[""*...La forte attenzione della città allo stile di vita e alla cultura della salute la rende anche un hub per molti marchi di lifestyle con Lululemon, Arc'teryx, Kit and Ace, Mountain Equipment Co-op, Herschel Supply Co., Aritzia, Reigning Champ e Nature's Path Foods tutti fondata e con sede a Vancouver....""]","Aritzia, Granville Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7Y 1A1, Canada","{""coordinates"": [-123.117885, 49.28285], ""type"": ""Point""}","Aritzia, Granville Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7Y 1A1, Canada",shop,clothes
51,Reigning Champ,Reigning Champ,"[""*...La forte attenzione della città allo stile di vita e alla cultura della salute la rende anche un hub per molti marchi di lifestyle con Lululemon, Arc'teryx, Kit and Ace, Mountain Equipment Co-op, Herschel Supply Co., Aritzia, Reigning Champ e Nature's Path Foods tutti fondata e con sede a Vancouver....""]","Reigning Champ, 1148, Robson Street, Davie Village, West End, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6E, Canada","{""coordinates"": [-123.12613, 49.285234], ""type"": ""Point""}","Reigning Champ, 1148, Robson Street, Davie Village, West End, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6E, Canada",shop,clothes
