,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Bezirke,Bezirke,"['*...La città è composta da 23 distretti (in tedesco Bezirke, per approfondimenti vedi Distretti di Vienna) e il centro della città è il primo distretto....']","Stadtpolizeikommando Margareten f.d. Bezirke 4, 5, 6, 19, Viktor-Christ-Gasse, Margareten, KG Margareten, Margareten, Vienna, 1050, Austria","{""coordinates"": [16.357544, 48.188103], ""type"": ""Point""}","Stadtpolizeikommando Margareten f.d. Bezirke 4, 5, 6, 19, Viktor-Christ-Gasse, Margareten, KG Margareten, Margareten, Vienna, 1050, Austria",place,house
8,Wienerwald,Wienerwald,"['*...La periferia cittadina è pianeggiante e industrializzata a sud, collinare e verdeggiante a nord ai piedi della Selva Viennese (Wienerwald)....', ""*...Wienerwald (Bosco viennese): a ovest della città è ricco di bellezze paesistiche e monumenti d'arte.  quadrati di boschi, vigneti e villaggi che offrono al visitatore la gioia di apprezzare le bellezza della natura incontaminata. I suoi prati si estendono a perdita d'occhio con fiori di stecco, frassinelle, campanule, gigli martagoni, tra sentieri ben tracciati dove la gente passeggia o fa jogging. Vi si trovano parecchie abbazie e castelli, ricchi di storia. La Helenental è una delle valli più romantiche e luogo prediletto dagli innamorati. Per una sosta si possono scegliere le locande (Gasthaus) a conduzione familiare; se ne trovano anche di particolarmente eleganti e romantiche. Il bosco viennese è stato anche il luogo che ha ispirato scrittori e musicisti di fama mondiale e intramontabile come Beethoven, Schubert e Johann Strauss...."", '*...In particolare permette di raggiungere le zone degli Heuriger, le zone mete di gite nel nord ovest di Vienna e del Wienerwald a sud....']","Wienerwald, 3, Annagasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.371202, 48.204605], ""type"": ""Point""}","Wienerwald, 3, Annagasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",amenity,restaurant
9,Ringstraße,Ringstraße,"['*...La Ringstraße è uno dei più raffinati e monumentali viali europei, dove si affacciano prestigiosi palazzi e splendidi edifici storici, capolavoro di urbanistica e architettura....', '*...A ""Vienna fin de siècle"" il sovrano operò una rivoluzione urbanistica, demolendo le mura già in parte distrutte da Napoleone ed edificando al loro posto la monumentale Ringstraße, il viale che circonda la città ad anello e ancora oggi arteria principale della città....', ""*...L'anello (Ring) che circonda il centro storico è oggi una Strada che ricalca le scomparse antiche mura della città....""]","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370025, 48.202379], ""type"": ""Point""}","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",railway,subway_entrance
10,Gürtel,Gürtel,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria","{""coordinates"": [16.345745, 48.184431], ""type"": ""Point""}","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria",railway,platform
11,U6,U6,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....', '*...Le linee (attualmente U1, U2, U3, U4, U6) nel week-end sono in servizio 24 ore su 24, dal 2010....']","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria","{""coordinates"": [16.338137, 48.192154], ""type"": ""Point""}","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria",railway,subway
12,Westbahnhof,Westbahnhof,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","Westbahnhof, Neubaugürtel, KG Neubau, Neubau, Mariahilf, Vienna, 1060, Austria","{""coordinates"": [16.33974, 48.196762], ""type"": ""Point""}","Westbahnhof, Neubaugürtel, KG Neubau, Neubau, Mariahilf, Vienna, 1060, Austria",highway,platform
13,Donaukanal,Donaukanal,"['*...La città è attraversata nella sua parte orientale dal Danubio, mentre un piccolo canale artificiale (il Donaukanal) lambisce il centro storico a est, seguendo la tratta di un antico ramo del Danubio....']","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria","{""coordinates"": [16.369938, 48.255322], ""type"": ""Point""}","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria",man_made,monitoring_station
14,Alte Donau,Alte Donau,"['*...Dalla parte opposta del Danubio, un altro ramo storico del Danubio, chiamato Alte Donau (Vecchio Danubio), tagliato dal corso del Danubio in seguito alla sua regolazione, è diventato un lago....']","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria","{""coordinates"": [16.424823, 48.236373], ""type"": ""Point""}","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria",highway,bus_stop
19,Europa,Europa,"[""*...L'estate è abbastanza calda con alcuni giorni più freschi causati da piogge che vengono dal nord-ovest dell'Europa...."", '*...Data la posizione molto esposta verso est, Vindobona fu presto oggetto di conquista dei vari popoli che cercavano di penetrare in Europa centrale, tra i quali i Longobardi, gli Avari e gli Slavi....', ""*...Gli scontri tra le due religioni provocarono lo scoppio nell'Impero e in tutta Europa della Guerra dei trent'anni, durante la quale la città fu devastata dalla peste (circa 30\xa0000 morti) e dagli assedi stranieri...."", ""*...Proprio a Vienna sotto la regia di Metternich si tenne il Congresso che sancì la nuova divisione dell'Europa post-napoleonica...."", ""*...Nei primi del Novecento la città assunse rapidamente il ruolo di capitale culturale d'Europa attirando personaggi di altissimo livello con le sue istituzioni, prima fra tutte l'Università di Vienna, il Circolo filosofico di Vienna (Moritz Schlick, Ludwig Wittgenstein, Rudolf Carnap), la Scuola di economia (Carl Menger, Ludwig von Mises), la prima e seconda Scuola musicale di Vienna (Gustav Mahler, Arnold Schönberg), la scuola di letteratura Jung Wien la Giovane Vienna, a livello architettonico Otto Wagner pianificò le infrastrutture cittadine, gli istituti di arte e design Wiener Werkstätte (Josef Hoffmann, Koloman Moser), fu in questo crogiuolo che nacquero anche le teorie di Freud e fu scossa da nuovi fermenti artistici:..."", ""*...SCS (in periferia il più grande centro commerciale d'Europa) ;..."", ""*...L'Università di Vienna fu fondata nel 1365, perciò è la seconda Università più antica dell'Europa Centrale, e la più antica tra i paesi di lingua tedesca...."", ""*...L'Università tecnica di Vienna (Technische Universität Wien) è il politecnico di Vienna, mentre l'Università economica di Vienna (Wirtschaftsuniversität Wien) è la più grande business school d'Europa...."", ""*...Principale centro culturale dell'Austria, la città ospita teatri tra i più prestigiosi d'Europa...."", '*...OSCE - Organizzazione per la sicurezza e la cooperazione in Europa; attiva in Vienna dal 1995, ha per scopo la promozione della pace, del dialogo politico, della giustizia e della cooperazione in Europa ;...']","Hotel Europa Wien, 3, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370986, 48.20623], ""type"": ""Point""}","Hotel Europa Wien, 3, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",tourism,hotel
20,Vindobona,Vindobona,"[""*...Nel luogo occupato dall'odierna città i romani fondarono attorno al 89 d.C. un accampamento militare che venne chiamato Vindobona, a protezione della vicina città di Carnuntum fondata nel 6 d.C. Successivamente vi si stabilirono anche civili e, secondo alcune fonti, l'imperatore Marco Aurelio potrebbe esservi morto dopo una lunga malattia il 17 marzo del 180 d.C., nel corso della seconda spedizione germanica...."", '*...Data la posizione molto esposta verso est, Vindobona fu presto oggetto di conquista dei vari popoli che cercavano di penetrare in Europa centrale, tra i quali i Longobardi, gli Avari e gli Slavi....']","Vindobona, Sanatoriumstraße, KG Hütteldorf, Penzing, Vienna, 1140, Austria","{""coordinates"": [16.274402, 48.206442], ""type"": ""Point""}","Vindobona, Sanatoriumstraße, KG Hütteldorf, Penzing, Vienna, 1140, Austria",building,yes
24,Hofburg,Hofburg,"[""*...Nel 1533 la sede del potere venne spostata nell'edificio della Hofburg, il tradizionale palazzo imperiale di Vienna...."", ""*...Sotto Carlo VI fu costruita la Karlskirche, il sontuoso castello del Belvedere, le residenze dei nobili intorno all'Hofburg...."", '*...Hofburg ;...', ""*...Volksgarten (nell'Hofburg) ;..."", ""*...Burggarten (all'Hofburg) e la Palmenhaus ;..."", ""...La Hofburg ospita la Tesoreria imperiale, che raccoglie il tesoro sacro e profano degli Asburgo, nonché il Museo di Sissi e gli appartamenti dell'imperatore (Kaiserappartements)...."", ""*...Di fianco alla Hofburg si trovano i due edifici simmetrici del Museo di Storia dell'Arte (Kunsthistorisches Museum) e del Museo di Storia Naturale (Naturhistorisches Museum Wien)....""]","Hofburg, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.365626, 48.206329], ""type"": ""Point""}","Hofburg, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",tourism,attraction
26,Karlskirche,Karlskirche,"[""*...Sotto Carlo VI fu costruita la Karlskirche, il sontuoso castello del Belvedere, le residenze dei nobili intorno all'Hofburg...."", '...Chiesa di San Carlo Borromeo (Karlskirche) ;...']","Karlskirche, 3, Mattiellistraße, Wieden, KG Wieden, Wieden, Vienna, 1040, Austria","{""coordinates"": [16.372912, 48.198299], ""type"": ""Point""}","Karlskirche, 3, Mattiellistraße, Wieden, KG Wieden, Wieden, Vienna, 1040, Austria",amenity,charging_station
