,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Вильна,Вильна,"[""*..., Vil'njus oppure Вильна, Vil'na;...""]","Vilnius, Geležinkelio g., Naujamiestis, Naujamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01047, Lituania","{""coordinates"": [25.284742, 54.669888], ""type"": ""Point""}","Vilnius, Geležinkelio g., Naujamiestis, Naujamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01047, Lituania",railway,station
3,Vilna,Vilna,"[""*...In italiano Vilna, è la capitale e la città più popolosa della Lituania, capoluogo dell'omonima contea....""]","Vilnius, Geležinkelio g., Naujamiestis, Naujamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01047, Lituania","{""coordinates"": [25.284742, 54.669888], ""type"": ""Point""}","Vilnius, Geležinkelio g., Naujamiestis, Naujamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01047, Lituania",railway,station
5,Vilnia,Vilnia,"[""*...Si ritiene che Vilnius, analogamente a molte altre città, debba l'origine del suo nome al fiume su cui sorge, la Vilnia...."", '*...Vilnius si trova nel sud est della Lituania, alla confluenza dei fiumi Vilnia e Neris....']","Hotel Vilnia, 1, Maironio g., Senamiestis, Senamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01124, Lituania","{""coordinates"": [25.29288, 54.684911], ""type"": ""Point""}","Hotel Vilnia, 1, Maironio g., Senamiestis, Senamiesčio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 01124, Lituania",tourism,hotel
6,Neris,Neris,"['*...Vilnius si trova nel sud est della Lituania, alla confluenza dei fiumi Vilnia e Neris....', '*...Anche se il fiume Neris sarebbe navigabile, non esistono regolari trasporti via acqua....']","Petro Vileišio st., Antakalnio g., Antakalnis, Antakalnio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 10305, Lituania","{""coordinates"": [25.309211, 54.70165], ""type"": ""Point""}","Petro Vileišio st., Antakalnio g., Antakalnis, Antakalnio seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 10305, Lituania",highway,bus_stop
10,Kaunas,Kaunas,"['*...Kaunas è a 102\xa0km di distanza, Šiauliai a 214\xa0km e Panevėžys a 135\xa0km....', ""*...Le autorità lituane, dalla nuova capitale, Kaunas, rifiutarono di riconoscere l'annessione di Vilnius alla Polonia e le relazioni diplomatiche tra i due paesi vennero interrotte fino al 1938...."", '*...Le autorità lituane entrarono a Vilnius poco dopo e le strutture governative cominciarono ad esservi spostate da Kaunas....', '*...Vilnius è il punto di partenza delle autostrade Vilnius - Kaunas - Klaipėda e Vilnius-Panevežys....', '*...Numerosi convogli regionali ed espressi raggiungono Kaunas, Klaipėda, Šiaulai, Ignalina, Varėna e Telšiai....', '*...La squadra calcistica più importante della città è lo FK Žalgiris, da non confondere con il Kauno Žalgiris della città di Kaunas....']","Kaunas, Gariūnų g., Gariūnai, Panerių seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 02300, Lituania","{""coordinates"": [25.151408, 54.655263], ""type"": ""Point""}","Kaunas, Gariūnų g., Gariūnai, Panerių seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 02300, Lituania",highway,motorway_junction
11,Šiauliai,Šiauliai,"['*...Kaunas è a 102\xa0km di distanza, Šiauliai a 214\xa0km e Panevėžys a 135\xa0km....']","Šiauliai, Vilniaus g., Šiauliai, Jauniūnų seniūnija, Širvintų rajono savivaldybė, Contea di Vilnius, 19150, Lituania","{""coordinates"": [25.075578, 54.959359], ""type"": ""Point""}","Šiauliai, Vilniaus g., Šiauliai, Jauniūnų seniūnija, Širvintų rajono savivaldybė, Contea di Vilnius, 19150, Lituania",highway,bus_stop
13,Ucraini,Ucraini,"[""*...Ebrei scomparsi (già in netto calo negli anni), e l'8,6% di altre nazionalità come Bielorussi o Ucraini....""]","Via Eroi Ucraini, Žvėrynas, Žvėryno seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 08111, Lituania","{""coordinates"": [25.241283, 54.695282], ""type"": ""Point""}","Via Eroi Ucraini, Žvėrynas, Žvėryno seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 08111, Lituania",highway,residential
16,Šalčininkai,Šalčininkai,"['*...Il Comune distrettuale di Vilnius e i comuni di Šalčininkai, Širvintos, Švenčionys, Trakai, Ukmergė ed Elektrėnai....']","Šalčininkai, Saulėtoji g., Šalčininkai, Šalčininkų seniūnija, Šalčininkų rajono savivaldybė, Contea di Vilnius, 17120, Lituania","{""coordinates"": [25.405129, 54.315081], ""type"": ""Point""}","Šalčininkai, Saulėtoji g., Šalčininkai, Šalčininkų seniūnija, Šalčininkų rajono savivaldybė, Contea di Vilnius, 17120, Lituania",highway,bus_stop
17,Trakai,Trakai,"['*...Il Comune distrettuale di Vilnius e i comuni di Šalčininkai, Širvintos, Švenčionys, Trakai, Ukmergė ed Elektrėnai....']","Trakai, Savanorių pr., Aukštieji Paneriai, Panerių seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 02301, Lituania","{""coordinates"": [25.185994, 54.639844], ""type"": ""Point""}","Trakai, Savanorių pr., Aukštieji Paneriai, Panerių seniūnija, Vilna, Comune urbano di Vilnius, Contea di Vilnius, 02301, Lituania",highway,motorway_junction
18,Ukmergė,Ukmergė,"['*...Il Comune distrettuale di Vilnius e i comuni di Šalčininkai, Širvintos, Švenčionys, Trakai, Ukmergė ed Elektrėnai....']","Ukmergė (Vytinė), A2, Jačionys, Pivonijos seniūnija, Ukmergės rajono savivaldybė, Contea di Vilnius, 20195, Lituania","{""coordinates"": [24.812518, 55.176017], ""type"": ""Point""}","Ukmergė (Vytinė), A2, Jačionys, Pivonijos seniūnija, Ukmergės rajono savivaldybė, Contea di Vilnius, 20195, Lituania",highway,motorway_junction
