,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Stati Uniti d'America,Stati Uniti d'America,"[""*...In inglese ) formalmente Distretto di Columbia, nota anche come Washington o D.C. è la capitale degli Stati Uniti d'America, con una popolazione di 709\xa0265 abitanti (5\xa0582\xa0170 abitanti nell'area metropolitana)...."", ""*...Si trova sulla costa orientale degli Stati Uniti d'America a circa  dal mare, a sud dello stato del Maryland, a nord dello stato della Virginia e a  circa a sud di New York...."", ""*...Hanno sede a Washington le principali istituzioni di governo degli Stati Uniti d'America (Presidente presso la Casa Bianca, Congresso, Corte Suprema), molti ministeri ed enti federali (F.B.I.), e alcune organizzazioni internazionali, tra cui la Banca Mondiale, il Fondo Monetario Internazionale e l'Organizzazione degli Stati americani...."", '...L\'articolo 1, sezione 8, della Costituzione degli Stati Uniti d\'America consente la creazione di un ""distretto (non eccedente le dieci miglia quadrate) che, per cessione di Stati particolari, e l\'accettazione del Congresso, divenga sede del governo degli Stati Uniti""....', ""...Il Palazzo della Corte Suprema degli Stati Uniti d'America è stato realizzato nel 1935, prima di allora la corte si riuniva in alcune stanze del Campidoglio...."", '*...L\'articolo 1, sezione 8, della Costituzione degli Stati Uniti d\'America consente la creazione di un ""distretto (non eccedente le dieci miglia quadrate) che, per cessione di Stati particolari, e l\'accettazione del Congresso, divenga sede del governo degli Stati Uniti""....', '*...Il distretto federale è stato chiamato Columbia, che era un nome poetico per gli Stati Uniti in uso comune in quel momento....', ""...Con il ventitreesimo emendamento della Costituzione degli Stati Uniti, ratificato nel 1961, vennero concessi agli abitanti del Distretto tre voti nel collegio elettorale per l'elezione del Presidente e del Vice Presidente, ma ancora nessuna possibilità di voto al Congresso...."", ""*...Nonostante la credenza popolare, nessuna legge ha mai limitato gli edifici all'altezza del Campidoglio degli Stati Uniti o del Monumento a Washington, che rimane la struttura più alta del distretto...."", '*...Alcune strade sono particolarmente degne di nota, come la Pennsylvania Avenue, che collega la Casa Bianca al Campidoglio degli Stati Uniti e la K Street, che ospita gli uffici di molti gruppi lobbistici....', '*...La Casa Bianca, la Washington National Cathedral, il Jefferson Memorial, il Campidoglio degli Stati Uniti, il Lincoln Memorial e il Vietnam Veterans Memorial....', '*...La città, a partire dal 2010, ha raggiunto il 24º posto nella classifica delle città più popolose degli Stati Uniti....', ""*...L'area metropolitana di Washington, che comprende il Distretto e la periferia circostante, è la settima più grande area metropolitana degli Stati Uniti, con circa 5,6 milioni di abitanti, come rilevato nel censimento del 2010...."", ""*...Circa il 17% dei residenti del Distretto, nel 2010, avevano un'età sotto ai 18 anni, un dato inferiore rispetto a quello generale degli Stati Uniti del 24%...."", '*...Nel 2006, i residenti di Washington avevano un reddito personale pro capite di , superiore a qualsiasi dei 50 stati degli Stati Uniti....', '*...Il prodotto lordo del Distretto nel 2010 è stato di 103,3 miliardi di dollari, che la classificano al 34º posto rispetto ai 50 stati degli Stati Uniti....', '*...Il prodotto interno lordo della zona metropolitana di Washington è stato 425 miliardi di dollari nel 2010, diventando così la quarta più grande economia metropolitana degli Stati Uniti....', ""*...Nella città hanno sede anche varie istituzioni scientifiche e culturali, come l'Accademia nazionale delle scienza, l'accademia delle scienze degli Stati Uniti, la famosa National Geographic Society, lo United States Naval Observatory...."", ""...Lungo il National Mall ha sede la National Archives and Records Administration, l'archivio di stato americano, contenente migliaia di documenti di notevole importanza per la storia americana, compresa la Dichiarazione di Indipendenza, la Costituzione degli Stati Uniti e il Bill of Rights...."", ""*...Il governo degli Stati Uniti sponsorizza parzialmente i fondi dell'ente, rendendo le sue collezioni aperte al pubblico gratuitamente...."", '*...La galleria e le sue collezioni sono di proprietà del governo degli Stati Uniti e non della Smithsonian Institution....', ""*...Vi sono molti altri musei d'arte privati nel Distretto di Columbia, che ospitano collezioni importanti e mostre aperte al pubblico, come il National Museum of Women in the Arts, la Corcoran Gallery of Art, il più grande Museo privato a Washington e la Phillips Collection di Dupont Circle, il primo Museo di arte moderna negli Stati Uniti...."", '*...I Kennedy Center Honors sono premi che vengono assegnati ogni anno a personalità dello spettacolo che hanno contribuito alla vita culturale degli Stati Uniti....', ""*...Il Washington Times fondato nel 1982 da Sun Myung Moon, leader della Chiesa dell'unificazione, ha una linea editoriale di stampo conservatore\nWashington è una delle dodici città degli Stati Uniti che possiedono squadre nei principali sport professionistici....""]","Senato degli Stati Uniti d'America, West Terraces and Steps, Washington, District of Columbia, 20534, Stati Uniti d'America","{""coordinates"": [-77.009044, 38.89065], ""type"": ""Point""}","Senato degli Stati Uniti d'America, West Terraces and Steps, Washington, District of Columbia, 20534, Stati Uniti d'America",office,government
14,Madison,Madison,"['...In un suo scritto, pubblicato il 23 gennaio 1788, James Madison sostenne che il nuovo governo federale necessitasse di autorità su una capitale nazionale per il suo mantenimento e per la sicurezza....', '*...In quello che in seguito divenne noto come il Compromesso del 1790, Madison, Alexander Hamilton e Thomas Jefferson giunsero a un accordo....']","Madison Place Northwest, Washington, District of Columbia, 20005, Stati Uniti d'America","{""coordinates"": [-77.035141, 38.899058], ""type"": ""Point""}","Madison Place Northwest, Washington, District of Columbia, 20005, Stati Uniti d'America",highway,living_street
17,Potomac,Potomac,"['*...Il 9 luglio 1790, il Congresso approvò una legge (il Residence Act) che approvava la creazione di una capitale nazionale sul fiume Potomac, il luogo esatto è stato scelto dal presidente George Washington, che promosse il disegno di legge in legge il 16 luglio....', '*...La nuova ""città federale"" è stata poi edificata sulla riva nord del Potomac, a est di Georgetown....', '*...La contea di Washington a est del Potomac e la Contea di Alessandria a ovest....', ""...Il Washington Kastles (World TeamTennis), Washington D.C. Slayers (American National Rugby League), la Eagles Washington Baltimora (USAFL), la D.C. Divas (Independent Women's Football League) e la Potomac Athletic Club RFC (Rugby Super League)....""]","University of the Potomac, 1401, H Street Northwest, Downtown, Washington, District of Columbia, 20005, Stati Uniti d'America","{""coordinates"": [-77.032215, 38.900517], ""type"": ""Point""}","University of the Potomac, 1401, H Street Northwest, Downtown, Washington, District of Columbia, 20005, Stati Uniti d'America",amenity,university
20,U Street,U Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali...."", '*...La U Street, nella parte nord-ovest della città, nota come ""Broadway nera di Washington"", è sede di istituzioni come il Teatro Howard, la Bohemian Caverns e il Teatro Lincoln, che ha ospitato leggende della musica come Duke Ellington, John Coltrane e Miles Davis....']","U Street, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, Stati Uniti d'America","{""coordinates"": [-77.026008, 38.916979], ""type"": ""Point""}","U Street, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, Stati Uniti d'America",railway,stop
21,14th Street,14th Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali....""]","14th Street Northeast, Near Northeast, Washington, District of Columbia, 20002, Stati Uniti d'America","{""coordinates"": [-76.985503, 38.900315], ""type"": ""Point""}","14th Street Northeast, Near Northeast, Washington, District of Columbia, 20002, Stati Uniti d'America",highway,primary
22,7th Street,7th Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali....""]","7th Street Northwest, Penn Quarter, Washington, District of Columbia, 20001, Stati Uniti d'America","{""coordinates"": [-77.021918, 38.896264], ""type"": ""Point""}","7th Street Northwest, Penn Quarter, Washington, District of Columbia, 20001, Stati Uniti d'America",highway,secondary
25,Amsterdam,Amsterdam,"[""*...Egli basò il suo progetto sui piani urbanistici di città come Parigi, Amsterdam, Karlsruhe, Milano e portati dall'Europa da Thomas Jefferson nel 1788....""]","Philip Amsterdam Hall, 2350, H Street Northwest, George Washington University, Washington, District of Columbia, 20037, Stati Uniti d'America","{""coordinates"": [-77.050916, 38.899293], ""type"": ""Point""}","Philip Amsterdam Hall, 2350, H Street Northwest, George Washington University, Washington, District of Columbia, 20037, Stati Uniti d'America",building,dormitory
27,Milano,Milano,"[""*...Egli basò il suo progetto sui piani urbanistici di città come Parigi, Amsterdam, Karlsruhe, Milano e portati dall'Europa da Thomas Jefferson nel 1788....""]","Milano, 1408, Wisconsin Avenue Northwest, Peter Square, Georgetown, Washington, District of Columbia, 20007, Stati Uniti d'America","{""coordinates"": [-77.06389, 38.908109], ""type"": ""Point""}","Milano, 1408, Wisconsin Avenue Northwest, Peter Square, Georgetown, Washington, District of Columbia, 20007, Stati Uniti d'America",shop,clothes
30,National Mall,National Mall,"['*...L\'Enfant progettò anche un grande viale alberato ""Grand Avenue"" di circa 1 miglio () di lunghezza e  di larghezza nella zona che ora è il National Mall....', ""*...Con l'inizio del XX secolo, il progetto di L'Enfant di una capitale con parchi aperti e grandi monumenti nazionali era andato perso per via di baraccopoli ed edifici costruiti casualmente, tra cui una stazione ferroviaria sul National Mall...."", ""*...Lungo il National Mall ha sede la National Archives and Records Administration, l'archivio di stato americano, contenente migliaia di documenti di notevole importanza per la storia americana, compresa la Dichiarazione di Indipendenza, la Costituzione degli Stati Uniti e il Bill of Rights...."", '*...Il National Mall è un grande Parco situato nel centro di Washington tra il Lincoln Memorial e il Campidoglio....', '*...Il più visitato dei musei Smithsonian, nel 2010, è stato il National Air and Space Museum situato sul National Mall....', ""*...La National Gallery of Art, sul National Mall vicino al Campidoglio, presenta opere d'arte americana ed europea...."", ""*...L'United States Holocaust Memorial Museum vicino al National Mall contiene documenti e oggetti legati alla Shoah....""]","Headquarters, National Park Service, National Mall and Memorial Parks, Ohio Drive Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America","{""coordinates"": [-77.032802, 38.881334], ""type"": ""Point""}","Headquarters, National Park Service, National Mall and Memorial Parks, Ohio Drive Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America",tourism,information
36,C Street SW,C Street SW,"['*...Nella maggior parte delle città, le strade sono stabilite in un modello di griglia con vie est-ovest denominati con le lettere (ad esempio, C Street SW) e nord-sud strade con i numeri (ad esempio, 4th Street NW)....', '*...Nord-Ovest (NW), Nord-Est (NE), Sud-Est (SE), e Sud-Ovest (SW)....']","C Street Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America","{""coordinates"": [-77.032022, 38.885976], ""type"": ""Point""}","C Street Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America",highway,secondary
37,4th Street NW,4th Street NW,"['*...Nella maggior parte delle città, le strade sono stabilite in un modello di griglia con vie est-ovest denominati con le lettere (ad esempio, C Street SW) e nord-sud strade con i numeri (ad esempio, 4th Street NW)....', '*...Nord-Ovest (NW), Nord-Est (NE), Sud-Est (SE), e Sud-Ovest (SW)....']","4th Street Northwest, Washington, District of Columbia, 20004, Stati Uniti d'America","{""coordinates"": [-77.017559, 38.890493], ""type"": ""Point""}","4th Street Northwest, Washington, District of Columbia, 20004, Stati Uniti d'America",highway,secondary
39,Florida Avenue,Florida Avenue,"['*...La città di Washington è stata delimitata da Boundary Street a nord (rinominato Florida Avenue nel 1890), Rock Creek a ovest, e dal fiume Anacostia a est....']","Florida Avenue Northwest, 9th St NW-13th St NW, Washington DC, Washington, District of Columbia, 20060, Stati Uniti d'America","{""coordinates"": [-77.024179, 38.918012], ""type"": ""Point""}","Florida Avenue Northwest, 9th St NW-13th St NW, Washington DC, Washington, District of Columbia, 20060, Stati Uniti d'America",highway,secondary
