,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Dam Square,Dam Square,"[""...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", '*...A famous building in baroque style in Amsterdam is the Royal Palace on Dam Square....', '*...The namesake of the city as the site of the original dam, Dam Square, is the main city square and has the Royal Palace and National Monument....', '*...It is near Dam Square in the city centre....', '*...The ceremony traditionally takes place at the Nieuwe Kerk on Dam Square, immediately after the former monarch has signed the act of abdication at the nearby Royal Palace of Amsterdam....']","Dam Square, Centrum, Amsterdam, North Holland, Netherlands, 1012 NP, Netherlands","{""coordinates"": [4.892515, 52.373243], ""type"": ""Point""}","Dam Square, Centrum, Amsterdam, North Holland, Netherlands, 1012 NP, Netherlands",highway,pedestrian
3,Concertgebouw,Concertgebouw,"[""*...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", '*...New museums, a railway station, and the Concertgebouw were built; in this same time, the Industrial Revolution reached the city....', '*...The Concertgebouw is located across this street from the square....', '...Amsterdam has a world-class symphony orchestra, the Royal Concertgebouw Orchestra....', '*...Their home is the Concertgebouw, which is across the Van Baerlestraat from the Museum Square....', '*...Some nine hundred concerts and other events per year take place in the Concertgebouw, for a public of over 700,000, making it one of the most-visited concert halls in the world....']","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, North Holland, Netherlands, 1071 BB, Netherlands","{""coordinates"": [4.879671, 52.356701], ""type"": ""Point""}","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, North Holland, Netherlands, 1071 BB, Netherlands",railway,platform
4,Hortus Botanicus,Hortus Botanicus,"[""*...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", ""*...Amsterdam's Hortus Botanicus, founded in the early 17th century, is one of the oldest botanical gardens in the world, with many old and rare specimens, among them the coffee plant that served as the parent for the entire coffee culture in Central and South America....""]","Hortus Botanicus, 2a, Plantage Middenlaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 DD, Netherlands","{""coordinates"": [4.90778, 52.366806], ""type"": ""Point""}","Hortus Botanicus, 2a, Plantage Middenlaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 DD, Netherlands",tourism,attraction
5,Melkweg,Melkweg,"[""*...The city is also well known for its nightlife and festival activity; with several of its nightclubs (Melkweg, Paradiso) among the world's most famous...."", '*...Two other notable venues, Paradiso and the Melkweg are located near the Leidseplein....', '*...Another popular dance festival is 5daysoff, which takes place in the venues Paradiso and Melkweg....', '*...In 2009, the new hall of the Stadsschouwburg Amsterdam, Toneelgroep Amsterdam and Melkweg opened, and the renovation of the front end of the theatre was ready....', '*...The Paradiso, Melkweg and Sugar Factory are cultural centres, which turn into discothèques on some nights....']","The Milky Way, Lijnbaansgracht, Centrum, Amsterdam, North Holland, Netherlands, 1017 PH, Netherlands","{""coordinates"": [4.881073, 52.364778], ""type"": ""Point""}","The Milky Way, Lijnbaansgracht, Centrum, Amsterdam, North Holland, Netherlands, 1017 PH, Netherlands",amenity,theatre
6,Paradiso,Paradiso,"[""*...The city is also well known for its nightlife and festival activity; with several of its nightclubs (Melkweg, Paradiso) among the world's most famous...."", '*...Two other notable venues, Paradiso and the Melkweg are located near the Leidseplein....', '*...Another popular dance festival is 5daysoff, which takes place in the venues Paradiso and Melkweg....', '*...The Paradiso, Melkweg and Sugar Factory are cultural centres, which turn into discothèques on some nights....', '*...A number of these squats have legalised and become well known, such as OCCII, OT301, Paradiso and Vrankrijk....']","Paradiso, 6, Weteringschans, Centrum, Amsterdam, North Holland, Netherlands, 1017 SG, Netherlands","{""coordinates"": [4.883782, 52.362155], ""type"": ""Point""}","Paradiso, 6, Weteringschans, Centrum, Amsterdam, North Holland, Netherlands, 1017 SG, Netherlands",amenity,concert_hall
8,Damrak,Damrak,"[""*...Neolithic and Roman artefacts have also been found in the prehistoric Amstel bedding under Amsterdam's Damrak and Rokin, such as shards of Bell Beaker culture pottery (2200-2000 BC) and a granite grinding stone (2700-2750 BC), but the location of these artefacts around the river banks of the Amstel probably point to a presence of a modest semi-permanent or seasonal settlement...."", '*...Amsterdam fans out south from the Amsterdam Centraal station and Damrak, the main street off the station....', ""*...It lies to the east of Damrak and contains the city's famous red-light district....""]","Damrak, Centrum, Amsterdam, North Holland, Netherlands, 1012 LP, Netherlands","{""coordinates"": [4.893287, 52.373414], ""type"": ""Point""}","Damrak, Centrum, Amsterdam, North Holland, Netherlands, 1012 LP, Netherlands",highway,pedestrian
9,Rokin,Rokin,"[""*...Neolithic and Roman artefacts have also been found in the prehistoric Amstel bedding under Amsterdam's Damrak and Rokin, such as shards of Bell Beaker culture pottery (2200-2000 BC) and a granite grinding stone (2700-2750 BC), but the location of these artefacts around the river banks of the Amstel probably point to a presence of a modest semi-permanent or seasonal settlement....""]","Rokin, Centrum, Amsterdam, North Holland, Netherlands, 1012 KB, Netherlands","{""coordinates"": [4.892771, 52.372674], ""type"": ""Point""}","Rokin, Centrum, Amsterdam, North Holland, Netherlands, 1012 KB, Netherlands",highway,pedestrian
12,IJssel,IJssel,"['*...In an extremely short period of time, the shallow river IJ turned into a wide estuary, which from then on offered the Amstel an open connection to the Zuiderzee, IJssel and waterways further afield....']","IJsselplein, Berkelstraat, IJselbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1078 CV, Netherlands","{""coordinates"": [4.902796, 52.347738], ""type"": ""Point""}","IJsselplein, Berkelstraat, IJselbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1078 CV, Netherlands",leisure,common
16,Caribbean,Caribbean,"['*...Ships sailed from Amsterdam to the Baltic Sea, the Caribbean, North America, and Africa, as well as present-day Indonesia, India, Sri Lanka, and Brazil, forming the basis of a worldwide trading network....']","Asian-caribbean Market, 40, Ten Katestraat, Kinkerbuurt, Oud-West, West, Amsterdam, North Holland, Netherlands, 1053 CG, Netherlands","{""coordinates"": [4.867271, 52.366129], ""type"": ""Point""}","Asian-caribbean Market, 40, Ten Katestraat, Kinkerbuurt, Oud-West, West, Amsterdam, North Holland, Netherlands, 1053 CG, Netherlands",shop,convenience
18,Africa,Africa,"['*...Ships sailed from Amsterdam to the Baltic Sea, the Caribbean, North America, and Africa, as well as present-day Indonesia, India, Sri Lanka, and Brazil, forming the basis of a worldwide trading network....', '*...Other immigrants, including refugees asylum seekers and undocumented immigrants, came from Europe, the Americas, Asia and Africa....']","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 AT, Netherlands","{""coordinates"": [4.862822, 52.354403], ""type"": ""Point""}","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1075 AT, Netherlands",tourism,artwork
