,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Rudas Baths,Rudas Baths,"['*...Some of the baths that the Turks erected during their rule are still in use 500 years later (Rudas Baths and Király Baths)....', '*...Budapest is in fact one of the few places in the world with functioning original Turkish bathhouses dating back to the 16th century, like Rudas Baths or Király Baths....', '...The Rudas Baths are centrally placed – in the narrow strip of land between Gellért Hill and the River Danube – and also an outstanding example of architecture dating from the Turkish period....']","Rudas Baths, 9, Döbrentei tér, Tabán, 1st district, Budapest, Central Hungary, 1013, Hungary","{""coordinates"": [19.0478, 47.489066], ""type"": ""Point""}","Rudas Baths, 9, Döbrentei tér, Tabán, 1st district, Budapest, Central Hungary, 1013, Hungary",tourism,attraction
11,Erzsébet Bridge,Erzsébet Bridge,"['*...Work on Erzsébet Bridge, the last to be rebuilt, was finished in 1964....']","Elisabeth Bridge, Március 15. tér, Pest, Belváros, 5th district, Budapest, Central Hungary, 1056, Hungary","{""coordinates"": [19.049154, 47.490854], ""type"": ""Point""}","Elisabeth Bridge, Március 15. tér, Pest, Belváros, 5th district, Budapest, Central Hungary, 1056, Hungary",man_made,bridge
12,M2,M2,"[""*...In the early 1970s, Budapest Metro's east–west M2 line was first opened, followed by the M3 line in 1976...."", '*...Budapest is the media centre of Hungary, and the location of the main headquarters of Hungarian Television and other local and national TV and radio stations, such as M1, M2, Duna TV, Duna World, RTL Klub, TV2 (Hungary), Euronews, Comedy Central, MTV Hungary, VIVA Hungary, Viasat 3, Cool TV, and Pro4, and politics and news channels such as Hír TV, ATV, and Echo TV....']","M2, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary","{""coordinates"": [19.053912, 47.497453], ""type"": ""Point""}","M2, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary",highway,steps
13,M3,M3,"[""*...In the early 1970s, Budapest Metro's east–west M2 line was first opened, followed by the M3 line in 1976....""]","Kacsóh Pongrác út, Herminamező, Budapest, 14th district, Central Hungary, 1142, Hungary","{""coordinates"": [19.092631, 47.521993], ""type"": ""Point""}","Kacsóh Pongrác út, Herminamező, Budapest, 14th district, Central Hungary, 1142, Hungary",highway,primary
16,Memento Park,Memento Park,"['*...The monuments of the dictatorship were removed from public places, into Memento Park....', '...Here are the greatest examples among them: the Hungarian National Museum, the Hungarian National Gallery, the Museum of Fine Arts (where can see the pictures of Hungarian painters, like Victor Vasarely, Mihály Munkácsy and a great collection about Italian art, Dutch art, Spanish art and British art from before the 19th century and French art, British art, German art, Austrian art after the 19th century), the House of Terror, the Budapest Historical Museum, the Aquincum Museum, the Semmelweis Museum of Medical History, the Memento Park, Museum of Applied Arts and the contemporary arts exhibition Palace of Arts Budapest....']","Memento Park, Szabadkai utca, Erdődűlő, Budatétény, Budapest, 22nd district, Central Hungary, 1223, Hungary","{""coordinates"": [19.001446, 47.425951], ""type"": ""Point""}","Memento Park, Szabadkai utca, Erdődűlő, Budatétény, Budapest, 22nd district, Central Hungary, 1223, Hungary",highway,bus_stop
21,Margaret Island,Margaret Island,"['*...The Danube enters the city from the north; later it encircles two islands, Óbuda Island and Margaret Island....', '*...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', ""...The most notable and popular parks in Budapest are the City Park which was established in 1751 (302 acres) along with Andrássy Avenue, the Margaret Island in the Danube (238 acres or 96 hectares), the People's Park, the Római Part, and the Kopaszi Dam...."", '*...Margaret Island (Hungarian: Margit-sziget ) is a 2.5\xa0km (1.6\xa0mi) long island and 0.965 square kilometres (238 acres) in area. The island mostly consists of a park and is a popular recreational area for tourists and locals alike. The island lies between Margaret Bridge (south) and Árpád Bridge (north). Dance clubs, swimming pools, an aqua park, athletic and fitness centres, bicycle and running tracks can be found around the Island. During the day the island is occupied by people doing sports, or just resting. In the summer (generally on the weekends) mostly young people go to the island at night to party on its terraces, or to recreate with a bottle of alcohol on a bench or on the grass (this form of entertainment is sometimes referred to as bench-partying)....', '*...Two routes, marked D11 and D12, connect the two banks with Margaret Island and Óbuda Island, from Rómaifürdő (Buda side, north to Óbuda Island) or Árpád Bridge (Pest side) to Rákóczi Bridge, with a total of 18 stops, while route D2 circulates in the downtown....', ""*...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Margaret Island Water Tower, 23800/3, Zielinski Szilárd sétány, Margaret Island, Budapest, Central Hungary, 1007, Hungary","{""coordinates"": [19.050107, 47.530226], ""type"": ""Point""}","Margaret Island Water Tower, 23800/3, Zielinski Szilárd sétány, Margaret Island, Budapest, Central Hungary, 1007, Hungary",tourism,attraction
23,Gellért Hill,Gellért Hill,"[""*...Pest's terrain rises with a slight eastward gradient, so the easternmost parts of the city lie at the same altitude as Buda's smallest hills, notably Gellért Hill and Castle Hill...."", '...The Ínség Rock (Hungarian: Ínség-szikla) is a reef in the Danube close to the shore under the Gellért Hill....', '*...The Rudas Baths are centrally placed – in the narrow strip of land between Gellért Hill and the River Danube – and also an outstanding example of architecture dating from the Turkish period....']","Gellért Hill Cave, 1, Szent Gellért rakpart, Gellérthegy, 11th district, Budapest, Central Hungary, 1114, Hungary","{""coordinates"": [19.052168, 47.484925], ""type"": ""Point""}","Gellért Hill Cave, 1, Szent Gellért rakpart, Gellérthegy, 11th district, Budapest, Central Hungary, 1114, Hungary",amenity,place_of_worship
25,Palace of Arts,Palace of Arts,"['*...Budapest has architecturally noteworthy buildings in a wide range of styles and from distinct time periods, from the ancient times as Roman City of Aquincum in Óbuda (District III), which dates to around 89 AD, to the most modern Palace of Arts, the contemporary arts museum and concert hall....', '*...Numerous landmarks are created in the last decade in Budapest, like the National Theatre, Palace of Arts, Rákóczi Bridge, Megyeri Bridge, Budapest Airport Sky Court among others, and millions of square meters of new office buildings and apartments....', '...Here are the greatest examples among them: the Hungarian National Museum, the Hungarian National Gallery, the Museum of Fine Arts (where can see the pictures of Hungarian painters, like Victor Vasarely, Mihály Munkácsy and a great collection about Italian art, Dutch art, Spanish art and British art from before the 19th century and French art, British art, German art, Austrian art after the 19th century), the House of Terror, the Budapest Historical Museum, the Aquincum Museum, the Semmelweis Museum of Medical History, the Memento Park, Museum of Applied Arts and the contemporary arts exhibition Palace of Arts Budapest....', '...The largest theatre facilities are the Budapest Operetta and Musical Theatre, the József Attila Theatre, the Katona József Theatre, the Madách Theatre, the Hungarian State Opera House, the National Theatre, the Vigadó Concert Hall, Radnóti Miklós Theatre, the Comedy Theatre and the Palace of Arts, known as MUPA....']","Palace of Arts, 1, Komor Marcell utca, Középső-Ferencváros, 9th district, Budapest, Central Hungary, 1095, Hungary","{""coordinates"": [19.071589, 47.469665], ""type"": ""Point""}","Palace of Arts, 1, Komor Marcell utca, Középső-Ferencváros, 9th district, Budapest, Central Hungary, 1095, Hungary",amenity,arts_centre
28,Mary Magdalene Church,Mary Magdalene Church,"['...Other buildings with Gothic features are the Inner City Parish Church, built in the 12th century, and the Mary Magdalene Church, completed in the 15th century....']","Church of Saint Mary Magdalene, Országház utca, Castle District, 1st district, Budapest, Central Hungary, 1014, Hungary","{""coordinates"": [19.02914, 47.504012], ""type"": ""Point""}","Church of Saint Mary Magdalene, Országház utca, Castle District, 1st district, Budapest, Central Hungary, 1014, Hungary",historic,ruins
30,Matthias Church,Matthias Church,"['...The most characteristic Gothic-style buildings are actually Neo-Gothic, like the most well-known Budapest landmarks, the Hungarian Parliament Building and the Matthias Church, where much of the original material was used (originally built in Romanesque style in 1015)....', '*...The seven-hundred-year-old Matthias Church is one of the jewels of Budapest, it is in neo-Gothic style, decorated with coloured shingles and elegant pinnacles....']","Matthias Church, Schulek Frigyes lépcső, Castle District, 1st district, Budapest, Central Hungary, 1014, Hungary","{""coordinates"": [19.03426, 47.502024], ""type"": ""Point""}","Matthias Church, Schulek Frigyes lépcső, Castle District, 1st district, Budapest, Central Hungary, 1014, Hungary",amenity,place_of_worship
