,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Frankfurt Airport,Frankfurt Airport,"['*...In addition, Frankfurt Airport is the busiest in Germany, one of the busiest in both Europe and the world, the airport with the most direct routes in the world, and the primary hub for Lufthansa, the national airline of Germany....', ""*...Frankfurt Airport is one of the world's busiest international airports by passenger traffic and the main hub for Germany's flag carrier Lufthansa...."", '*...Also in use is ""FRA"", the IATA code for Frankfurt Airport....', ""*...Frankfurt also reemerged as Germany's transportation hub and Frankfurt Airport became Europe's second-busiest airport behind London Heathrow Airport in 1961...."", '*...It covers the area of Frankfurt Airport that had belonged to Sachsenhausen and the neighboring city of Mörfelden-Walldorf....', '*...Frankfurt Airport is one of the busiest airports in the world and is also the single largest place of work in Germany with over 500 companies which employ 71,500 people (2010).\nFraport is the owner and operator of Frankfurt Airport....', ""*...The largest company at Frankfurt Airport is Lufthansa, Germany's flag carrier and Europe's largest airline...."", '*...The Lufthansa Aviation Center (LAC) is the main operation base of Lufthansa at Frankfurt Airport....', '*...Lufthansa Cargo is based in Frankfurt and operates its largest cargo center (LCC) at Frankfurt Airport....', '*...Condor is a German airline based at Frankfurt Airport....', ""*...The Squaire (portmanteau of square and air), also known as Airrail Center Frankfurt, is a 660\xa0m (2,165.35\xa0ft) long and 45\xa0m (147.64\xa0ft) tall office building located at Frankfurt Airport. It was built from 2006 to 2011 on top of an existing railway station (Frankfurt Airport long distance Station) and has a connecting bridge to Terminal 1 for pedestrians. Its total of 140,000\xa0m2 (1,506,947\xa0sq\xa0ft) rentable floor space makes it Germany's largest office building...."", '*...Another popular disco club of the 1980s–1990s and a hotspot for Techno/Trance music was the Dorian Gray, which was located within Terminal 1 at Frankfurt Airport from 1978 to 2000....', '*...The city can be accessed from around the world via Frankfurt Airport (Flughafen Frankfurt am Main) located 12\xa0km (7\xa0mi) southwest of downtown....', '*...Passenger traffic at Frankfurt Airport in 2018 was 69,510,269 passengers....', '*...Frankfurt Egelsbach Airport (Flugplatz Frankfurt-Egelsbach) is a busy general aviation airport located south-east of Frankfurt Airport, near Egelsbach....', '*...Frankfurt Airport can be accessed by two railway stations: Frankfurt Airport long-distance station (Frankfurt Flughafen Fernbahnhof) is only for long-distance traffic and connects the airport to the main rail network, with most of the ICE services using the Cologne-Frankfurt high-speed rail line....', '*...Frankfurt Airport regional station (Frankfurt Flughafen Regionalbahnhof) is for local S-Bahn trains (lines S8, S9) and regional trains....']","Frankfurt am Main Airport Long distance trains, A 3, Flughafen, Süd, Frankfurt, Hesse, 60549, Germany","{""coordinates"": [8.570425, 50.052865], ""type"": ""Point""}","Frankfurt am Main Airport Long distance trains, A 3, Flughafen, Süd, Frankfurt, Hesse, 60549, Germany",railway,stop
6,Mainhattan,Mainhattan,"[""*...Frankfurt's skyline, especially that of its central business district, is shaped by some of Europe's tallest skyscrapers, which has led to the term Mainhattan...."", '*...In fact, it is one of the few cities in the European Union (EU) to have such a skyline, which is why Germans sometimes refer to Frankfurt as Mainhattan, combining the local river Main and ""Manhattan""....', '*...Frankfurt is therefore known as Bankenstadt (""City of the banks"") and nicknamed ""Mainhattan"" (a portmanteau of the local Main river and Manhattan in New York City) or ""Bankfurt""....']","Mainhattan Drive, Friedberger Landstraße, Nordend Ost, Innenstadt 3, Frankfurt, Hesse, 60316, Germany","{""coordinates"": [8.69192, 50.124673], ""type"": ""Point""}","Mainhattan Drive, Friedberger Landstraße, Nordend Ost, Innenstadt 3, Frankfurt, Hesse, 60316, Germany",amenity,driving_school
7,Wallanlagen,Wallanlagen,"['*...The city has many notable various green areas and parks, including the central Wallanlagen, the City Forest, two major botanical gardens (the Palmengarten and the Botanical Garden Frankfurt) and the Frankfurt Zoo....', '*...Wallanlagen  – The Wallanlagen (former ramparts) relate to the former ring-shaped city wall fortifications around the Altstadt and the Innenstadt district (abolished 1804–1812), now a series of parks. Building is not allowed, with a few exceptions, the most famous being the Alte Oper (built 1880) at the Opernplatz. The part between the northern Main riverbank and the Opernplatz, referred to officially as Taunusanlage and Gallusanlage, is locally known as ""Central Park"" (a reference to the famous park in Manhattan), because of the skyscrapers which stand on both sides....', '*...Nizza Park  – At the juncture of the northern Main riverbank and the Wallanlagen is a famous small park called Nizza. The name of the park recalls Nice in southern France, because it is one of the warmest areas with a nearly mediterranean climate. Numerous Mediterranean flora grow there and can survive outside during the winter....']","Jakob Guiollett - Initiator der Wallanlagen, Obermainanlage, Ostend, Bornheim/Ostend, Frankfurt, Hesse, 60314, Germany","{""coordinates"": [8.693631, 50.111051], ""type"": ""Point""}","Jakob Guiollett - Initiator der Wallanlagen, Obermainanlage, Ostend, Bornheim/Ostend, Frankfurt, Hesse, 60314, Germany",historic,tomb
8,Palmengarten,Palmengarten,"['*...The city has many notable various green areas and parks, including the central Wallanlagen, the City Forest, two major botanical gardens (the Palmengarten and the Botanical Garden Frankfurt) and the Frankfurt Zoo....', '*...Palmengarten – Located in the Westend district, it is Hesse\'s largest botanical garden, covering 22\xa0ha (54 acres). It opened to the public in 1871. The botanical exhibits are organized according to their origin in free-air or in greenhouses that host tropical and subtropical plants, hence the name ""Palm Garden""....', ""*...Botanischer Garten der Goethe-Universität – The university's botanical garden is also an arboretum. It contains about 5,000 species, with special collections of Rubus (45 species) and indigenous plants of central Europe. It is organized into two major areas: The geobotanical area contains an alpine garden, arboretum, meadows, steppes, marsh, and a pond, as well as collections of plants from the Canary Islands, Caucasus, East Asia, Mediterranean, and North America and the systematic and ecological collection includes crop plants, endangered species, ornamental plants, roses, and the Neuer Senckenbergischer Arzneipflanzengarten (New Senckenberg Medicinal Plant Garden), which measures 1,200\xa0m2 (13,000\xa0sq\xa0ft). The Botanical Garden, Palmengarten, Grüneburgpark collectively form the largest inner-city green area....""]","Bockenheimer Landstraße;Palmengarten, Bockenheimer Landstraße, KfW Bankengruppe, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60325, Germany","{""coordinates"": [8.654622, 50.120061], ""type"": ""Point""}","Bockenheimer Landstraße;Palmengarten, Bockenheimer Landstraße, KfW Bankengruppe, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60325, Germany",railway,subway_entrance
11,Frankfurter Kreuz,Frankfurter Kreuz,"['*...Frankfurter Kreuz, also known as the Autobahn interchange and located close to the airport, is the most-heavily used interchange in the EU, used by 320,000 cars daily....', '...The Frankfurter Kreuz is an Autobahn interchange close to the airport, where the Bundesautobahn 3 (A3), Cologne to Würzburg, and the Bundesautobahn 5 (A5), Basel to Hanover, meet....']","Frankfurter Kreuz, A 5, Sachsenhausen Süd, Süd, Frankfurt, Hesse, 60549, Germany","{""coordinates"": [8.608388, 50.0617], ""type"": ""Point""}","Frankfurter Kreuz, A 5, Sachsenhausen Süd, Süd, Frankfurt, Hesse, 60549, Germany",highway,motorway_junction
14,St. Bartholomäus Cathedral,St. Bartholomäus Cathedral,"[""*...The elections and coronations took place in St. Bartholomäus Cathedral, known as the Kaiserdom (Emperor's Cathedral), or its predecessors.\nThe Frankfurter Messe ('Frankfurt Trade Fair') was first mentioned in 1150....""]","Imperial Cathedral of Saint Bartholomew, 1, Domplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.685344, 50.110667], ""type"": ""Point""}","Imperial Cathedral of Saint Bartholomew, 1, Domplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",amenity,place_of_worship
15,Kaiserdom,Kaiserdom,"[""*...The elections and coronations took place in St. Bartholomäus Cathedral, known as the Kaiserdom (Emperor's Cathedral), or its predecessors.\nThe Frankfurter Messe ('Frankfurt Trade Fair') was first mentioned in 1150....""]","Imperial Cathedral of Saint Bartholomew, 1, Domplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.685344, 50.110667], ""type"": ""Point""}","Imperial Cathedral of Saint Bartholomew, 1, Domplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",amenity,place_of_worship
18,Frankfurter Paulskirche,Frankfurter Paulskirche,"[""...After the ill-fated revolution of 1848, Frankfurt was the seat of the first democratically elected German parliament, the Frankfurt Parliament, which met in the Frankfurter Paulskirche (St. Paul's Church) and was opened on 18 May 1848....""]","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.680755, 50.111173], ""type"": ""Point""}","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",tourism,attraction
19,St. Paul's Church,St. Paul's Church,"[""*...After the ill-fated revolution of 1848, Frankfurt was the seat of the first democratically elected German parliament, the Frankfurt Parliament, which met in the Frankfurter Paulskirche (St. Paul's Church) and was opened on 18 May 1848...."", ""*...A few landmark buildings were reconstructed historically, albeit in a simplified manner (e.g., Römer, St. Paul's Church, and Goethe House)...."", ""*...St. Paul's Church\nSt. Paul's Church (Paulskirche)..."", ""*...St. Paul's was partially destroyed in World War II, particularly its interior, which now has a modern appearance....""]","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.680755, 50.111173], ""type"": ""Point""}","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",tourism,attraction
21,IG Farben Building,IG Farben Building,"[""...The Military Governor for the United States Zone (1945–1949) and the United States High Commissioner for Germany (HICOG) (1949–1952) had their headquarters in the IG Farben Building, intentionally left undamaged by the Allies' wartime bombardment...."", ""*...IG Farben Building – Also known as Poelzig Building (Poelzig-Bau) after its architect Hans Poelzig, it was built from 1928 to 1930 as the corporate headquarters of I.G. Farbenindustrie AG. It is located in the Westend district and borders Grüneburgpark in the west. Upon its completion, the complex was the largest office building in Europe and remained so until the 1950s. The building served as headquarters for research projects relating to the development of synthetic oil and rubber and the manufacturing of magnesium, lubricating oil, explosives, methanol, and Zyklon B, the lethal gas used in concentration camps. After World War II, it served as the headquarters for the Supreme Allied Command and from 1949 to 1952 the High Commissioner for Germany (HICOG). It became the principal location for implementing the Marshall Plan, which largely financed the post-war reconstruction of Europe. The state apparatus of the Federal German Government was devised there. It served as the headquarters for the US Army's V Corps and the Northern Area Command (NACOM) until 1995 when the US Army returned control of the IG Farben Building to the German government. It was purchased on behalf of the Goethe University Frankfurt by the state of Hesse. In October 2001 it became part of the Westend Campus of Goethe University....""]","IG Farben Building, 1, Norbert-Wollheim-Platz, Westend Nord, Innenstadt 2, Frankfurt, Hesse, 60323, Germany","{""coordinates"": [8.668312, 50.125588], ""type"": ""Point""}","IG Farben Building, 1, Norbert-Wollheim-Platz, Westend Nord, Innenstadt 2, Frankfurt, Hesse, 60323, Germany",historic,building
