,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Reeperbahn,Reeperbahn,"[""*...St. Pauli's Reeperbahn is among the best-known European entertainment districts...."", '*...For example, the Reeperbahn alone has between 25 - 30 million visitors every year....', '...This is followed at the end of September by the Reeperbahn Festival\xa0[de], which has been running since 2006....', ""*...As Europe's largest club festival, it offers several hundred program points around the Reeperbahn in Hamburg over four days and is one of the most important meeting places for the music industry worldwide...."", ""*...The area of Reeperbahn in the quarter St. Pauli is Europe's largest red light district and home of strip clubs, brothels, bars and nightclubs...."", '...The singer and actor Hans Albers is strongly associated with St. Pauli, and wrote the neighbourhood\'s unofficial anthem, ""Auf der Reeperbahn Nachts um Halb Eins"" (""On the Reeperbahn at Half Past Midnight"") in the 1940s....', '*...The Beatles had stints on the Reeperbahn early in their careers....', '*...The Reeperbahn has been the location for many scenes, including the 1994 Beatles film Backbeat....']","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany","{""coordinates"": [9.967849, 53.549973], ""type"": ""Point""}","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany",highway,secondary
8,Northern Europe,Northern Europe,"[""*...This charter, along with Hamburg's proximity to the main trade routes of the North Sea and Baltic Sea, quickly made it a major port in Northern Europe...."", '*...Hamburg has for centuries been a commercial centre of Northern Europe, and is the most important banking city of Northern Germany....']","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany","{""coordinates"": [9.995533, 53.460102], ""type"": ""Point""}","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany",building,office
12,Hauptbahnhof,Hauptbahnhof,"['*...On 23 July 1943, the Royal Air Force and United States Army Air Force firebombing created a firestorm which spread from the Hauptbahnhof (main railway station) and quickly moved south-east, completely destroying entire boroughs such as Hammerbrook, Billbrook and Hamm South....', '*...Except at the four bigger stations of the city, Hauptbahnhof, Dammtor, Altona and Harburg regional trains do not stop inside the city....']","Hauptbahnhof, Hachmannplatz, St. Georg, Hamburg-Mitte, Hamburg, 20099, Germany","{""coordinates"": [10.008388, 53.552415], ""type"": ""Point""}","Hauptbahnhof, Hachmannplatz, St. Georg, Hamburg-Mitte, Hamburg, 20099, Germany",railway,subway_entrance
15,Neuengamme,Neuengamme,"['*...At least 42,900 people are thought to have perished in the Neuengamme concentration camp (about 25\xa0km (16\xa0mi) outside the city in the marshlands), mostly from epidemics and in the bombing of Kriegsmarine evacuation vessels by the RAF at the end of the war[citation needed].\nSystematic deportations of Jewish Germans and Gentile Germans of Jewish descent started on 18 October 1941....', '*...Bergedorf consists of the quarters Allermöhe, Altengamme, Bergedorf—the centre of the former independent town, Billwerder, Curslack, Kirchwerder, Lohbrügge, Moorfleet, Neuengamme, Neuallermöhe, Ochsenwerder, Reitbrook, Spadenland and Tatenberg....']","Schule Curslack-Neuengamme, Neuengammer Hausdeich, Neuengamme, Bergedorf, Hamburg, 21039, Germany","{""coordinates"": [10.218807, 53.448242], ""type"": ""Point""}","Schule Curslack-Neuengamme, Neuengammer Hausdeich, Neuengamme, Bergedorf, Hamburg, 21039, Germany",amenity,school
22,Außenalster,Außenalster,"['*...The city centre is around the Binnenalster (""Inner Alster"") and Außenalster (""Outer Alster""), both formed by damming the River Alster to create lakes....', '...The city lies on the River Elbe and two of its tributaries, the River Alster and the River Bille....', '...It rose on rocky terrain in a marsh between the River Alster and the River Elbe as a defence against Slavic incursion, and acquired the name Hammaburg, burg meaning castle or fort....', '*...It is on the River Elbe at its confluence with the Alster and Bille....', '...Hamburg is the birthplace of Johannes Brahms, who spent his formative early years in the city, and the birthplace and home of the famous waltz composer Oscar Fetrás, who wrote the well-known ""Mondnacht auf der Alster"" waltz....', '*...Some of them are street festivals, such as the gay pride Hamburg Pride festival or the Alster fair (German: Alstervergnügen), held at the Binnenalster....', ""*...Alsterwasser (in reference to the city's river, the Alster) is the local name for a type of shandy, a concoction of equal parts of beer and carbonated lemonade (Zitronenlimonade), the lemonade being added to the beer...."", '...Hamburg hosts many top teams such as Uhlenhorster Hockey Club, Harvesterhuder Hockey Club and Club An Der Alster....']","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany","{""coordinates"": [10.001415, 53.567641], ""type"": ""Point""}","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany",emergency,lifeguard
25,Altes Land,Altes Land,"['*...The neighborhoods of Neuenfelde, Cranz, Francop and Finkenwerder are part of the Altes Land (old land) region, the largest contiguous fruit-producing region in Central Europe....']","Obststand Altes Land, Paul-Nevermann-Platz, Altona-Nord, Altona, Hamburg, 22765, Germany","{""coordinates"": [9.933891, 53.551653], ""type"": ""Point""}","Obststand Altes Land, Paul-Nevermann-Platz, Altona-Nord, Altona, Hamburg, 22765, Germany",shop,greengrocer
32,Hamburg Rathaus,Hamburg Rathaus,"['...Since 1897, the seat of the government has been the Hamburg Rathaus (Hamburg City Hall), with the office of the mayor, the meeting room for the Senate and the floor for the Hamburg Parliament....', '...Christmas markets in December are held at the Hamburg Rathaus square, among other places....', '*...Christmas markets in December are held at the Hamburg Rathaus square, among other places....']","U Rathaus / Mönckebergstraße, Mönckebergstraße, Altstadt, Hamburg-Mitte, Hamburg, 20095, Germany","{""coordinates"": [9.997167, 53.550727], ""type"": ""Point""}","U Rathaus / Mönckebergstraße, Mönckebergstraße, Altstadt, Hamburg-Mitte, Hamburg, 20095, Germany",amenity,bicycle_rental
35,St Michael's,St Michael's,"['*...The skyline features the tall spires of the most important churches (Hauptkirchen) St Michael\'s (nicknamed ""Michel""), St Peter\'s, St James\'s (St. Jacobi) and St. Catherine\'s covered with copper plates, and the Heinrich-Hertz-Turm, the radio and television tower (no longer publicly accessible)....']","Church of St. Michael, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Hamburg, 20459, Germany","{""coordinates"": [9.978889, 53.548428], ""type"": ""Point""}","Church of St. Michael, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Hamburg, 20459, Germany",amenity,place_of_worship
39,Heinrich-Hertz-Turm,Heinrich-Hertz-Turm,"['...The skyline features the tall spires of the most important churches (Hauptkirchen) St Michael\'s (nicknamed ""Michel""), St Peter\'s, St James\'s (St. Jacobi) and St. Catherine\'s covered with copper plates, and the Heinrich-Hertz-Turm, the radio and television tower (no longer publicly accessible)....']","Heinrich-Hertz-Turm, Messeplatz, Karolinenviertel, St. Pauli, Hamburg-Mitte, Hamburg, 20357, Germany","{""coordinates"": [9.975812, 53.563131], ""type"": ""Point""}","Heinrich-Hertz-Turm, Messeplatz, Karolinenviertel, St. Pauli, Hamburg-Mitte, Hamburg, 20357, Germany",man_made,communications_tower
40,Köhlbrandbrücke,Köhlbrandbrücke,"['*...The Köhlbrandbrücke, Freihafen Elbbrücken, and Lombardsbrücke and Kennedybrücke dividing Binnenalster from Aussenalster are important roadways....']","Köhlbrandbrücke, Steinwerder, Hamburg-Mitte, Hamburg, 21107, Germany","{""coordinates"": [9.969598, 53.516818], ""type"": ""Point""}","Köhlbrandbrücke, Steinwerder, Hamburg-Mitte, Hamburg, 21107, Germany",highway,secondary
