,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Humberto Delgado Airport,Humberto Delgado Airport,"['*...Additionally, Humberto Delgado Airport served 31 million passengers in 2019, being the busiest airport in Portugal, the third busiest in the Iberian Peninsula and the 20th busiest in Europe....', '*...Humberto Delgado Airport is located within the city limits....']","Lisbon Airport, Alameda das Comunidades Portuguesas, Olivais, Lisbon, 1700-111, Portugal","{""coordinates"": [-9.131901, 38.780954], ""type"": ""Point""}","Lisbon Airport, Alameda das Comunidades Portuguesas, Olivais, Lisbon, 1700-111, Portugal",aeroway,aerodrome
9,Castle of São Jorge,Castle of São Jorge,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', '...The oldest district of Lisbon, it spreads down the southern slope from the Castle of São Jorge to the River Tagus....']","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal","{""coordinates"": [-9.133565, 38.713987], ""type"": ""Point""}","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal",historic,castle
10,Castelo de São Jorge,Castelo de São Jorge,"['*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","Núcleo Museológico do Castelo de São Jorge, Rua das Cozinhas, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-245, Portugal","{""coordinates"": [-9.133983, 38.713047], ""type"": ""Point""}","Núcleo Museológico do Castelo de São Jorge, Rua das Cozinhas, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-245, Portugal",tourism,museum
11,Lisbon Cathedral,Lisbon Cathedral,"['*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","Lisbon Cathedral, Largo da Sé, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-501, Portugal","{""coordinates"": [-9.132801, 38.709839], ""type"": ""Point""}","Lisbon Cathedral, Largo da Sé, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-501, Portugal",amenity,place_of_worship
13,Rua da Prata,Rua da Prata,"[""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core....""]","Rua da Prata, Baixa, Santa Maria Maior, Lisbon, 1149-027, Portugal","{""coordinates"": [-9.13614, 38.70894], ""type"": ""Point""}","Rua da Prata, Baixa, Santa Maria Maior, Lisbon, 1149-027, Portugal",highway,secondary
15,Castle Hill,Castle Hill,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', ""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core...."", '*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal","{""coordinates"": [-9.134598, 38.713997], ""type"": ""Point""}","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal",tourism,hotel
21,Alfama,Alfama,"['*...The Muslim influence is still visible in the Alfama district, an old quarter of Lisbon that survived the 1755 Lisbon earthquake: many place-names are derived from Arabic and the Alfama (the oldest existing district of Lisbon) was derived from the Arabic ""al-hamma"".\nFor a brief time, Lisbon was an independent Muslim kingdom known as the Taifa of Lisbon (1022–1094), before being conquered by the larger Taifa of Badajoz.\nIn 1108 Lisbon was raided and occupied by Norwegian crusaders led by Sigurd I on their way to the Holy Land as part of the Norwegian Crusade and occupied by crusader forces for three years....', '*...These communities have no clearly defined boundaries and represent distinctive quarters of the city that have in common a historical culture, similar living standards, and identifiable architectural landmarks, as exemplified by the Bairro Alto, Alfama, Chiado, and so forth....', '*...During the Islamic invasion of Iberia, the Alfama constituted the largest part of the city, extending west to the Baixa neighbourhood....', '*...Increasingly, the Alfama became inhabited by fishermen and the poor: its fame as a poor neighbourhood continues to this day....', '*...While the 1755 Lisbon earthquake caused considerable damage throughout the capital, the Alfama survived with little damage, thanks to its compact labyrinth of narrow streets and small squares....']","Memmo Alfama, Travessa das Merceeiras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-072, Portugal","{""coordinates"": [-9.130463, 38.710276], ""type"": ""Point""}","Memmo Alfama, Travessa das Merceeiras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-072, Portugal",tourism,hotel
25,Belém Tower,Belém Tower,"[""*...This period saw the rise of the exuberant Manueline style in architecture, which left its mark in many 16th-century monuments (including Lisbon's Belém Tower and Jerónimos Monastery, which were declared UNESCO World Heritage Sites)...."", '*...Lisbon has two sites listed by UNESCO as a World Heritage Site: Belém Tower and Jerónimos Monastery....']","Tower of Belém, Avenida de Brasília, Pedrouços, Belém, Lisbon, 1400-038, Portugal","{""coordinates"": [-9.215917, 38.691613], ""type"": ""Point""}","Tower of Belém, Avenida de Brasília, Pedrouços, Belém, Lisbon, 1400-038, Portugal",tourism,attraction
26,Jerónimos Monastery,Jerónimos Monastery,"[""*...This period saw the rise of the exuberant Manueline style in architecture, which left its mark in many 16th-century monuments (including Lisbon's Belém Tower and Jerónimos Monastery, which were declared UNESCO World Heritage Sites)...."", ""...Belém's other major historical building is the Mosteiro dos Jerónimos (Jerónimos Monastery), which the Torre de Belém was built partly to defend...."", '*...Lisbon has two sites listed by UNESCO as a World Heritage Site: Belém Tower and Jerónimos Monastery....']","Jerónimos Monastery, Praça do Império, Belém, Lisbon, 1400-209, Portugal","{""coordinates"": [-9.205591, 38.697753], ""type"": ""Point""}","Jerónimos Monastery, Praça do Império, Belém, Lisbon, 1400-209, Portugal",historic,building
28,Hospital Real de Todos os Santos,Hospital Real de Todos os Santos,"['...Among several important buildings of the city, the Ribeira Palace and the Hospital Real de Todos os Santos were lost....', '*...Several expansion projects have been proposed, being the most recent the transformation of the Green Line into a circular line and the creation of two more stations (Santos and Estrela)....']","Hospital de São José, Rua José António Serrano, Pena, Arroios, Lisbon, 1150-199, Portugal","{""coordinates"": [-9.137947, 38.718199], ""type"": ""Point""}","Hospital de São José, Rua José António Serrano, Pena, Arroios, Lisbon, 1150-199, Portugal",amenity,hospital
