,entity,to_search,snippet,address,coordinates,name_location,class,type
0,River Thames,River Thames,"['...It stands on the River Thames in south-east England at the head of a 50-mile (80\xa0km) estuary down to the North Sea, and has been a major settlement for two millennia....', '...Coates suggested this was a name given to the part of the River Thames that flows through London, from which the settlement gained the Celtic form of its name, *Lowonidonjon....', ""...Her Majesty's Coastguard and the Royal National Lifeboat Institution operate on the River Thames, which is under the jurisdiction of the Port of London Authority from Teddington Lock to the sea...."", '...Greater London is split for some purposes into Inner London and Outer London, and by the River Thames into North and South, with an informal central London area....', '...It is widely spoken by people of all classes in London and south-eastern England, associated with the River Thames and its estuary....', '...Access to canals and rivers has improved recently, including the creation of the Thames Path, some 28 miles (45\xa0km) of which is within Greater London, and The Wandle Trail; this runs 12 miles (19\xa0km) through South London along the River Wandle, a tributary of the River Thames....', '*...This either crossed the Thames or reached a now-lost island in it....', ""*...In 2010, foundations of a large timber structure, dated to 4800–4500 BCE, were found on the Thames's south foreshore downstream from Vauxhall Bridge...."", '*...Both structures are on the south bank of the Thames, where the now-underground River Effra flows into the Thames....', '*...During the Georgian era, new districts such as Mayfair were formed in the west; new bridges over the Thames encouraged development in South London....', '...The Thames Barrier was completed in the 1980s to protect London against tidal surges from the North Sea....', '*...Modern London stands on the Thames, its primary geographical feature, a navigable river which crosses the city from the south-west to the east....', '...The Thames Valley is a flood plain surrounded by gently rolling hills including Parliament Hill, Addington Hills, and Primrose Hill....', '*...Historically London grew up at the lowest bridging point on the Thames....', '*...The Thames was once a much broader, shallower river with extensive marshlands; at high tide, its shores reached five times their present width....', '*...Since the Victorian era the Thames has been extensively embanked, and many of its London tributaries now flow underground....', '*...The Thames is a tidal river, and London is vulnerable to flooding....', '*...In 1974 a decade of work began on the construction of the Thames Barrier across the Thames at Woolwich to deal with this threat....', ""...The surrounding East London area saw much of London's early industrial development; now, brownfield sites throughout the area are being redeveloped as part of the Thames Gateway including the London Riverside and Lower Lea Valley, which was developed into the Olympic Park for the 2012 Olympics and Paralympics...."", '*...What was formerly the Millennium Dome, by the Thames to the east of Canary Wharf, is now an entertainment venue called the O2 Arena....', '*...They indicate that 2000 species of flowering plant have been found growing there and that the tidal Thames supports 120 species of fish....', '*...Among the strange sights in London have been a whale in the Thames, while the BBC Two programme Natural World: Unnatural History of London shows feral pigeons using the London Underground to get around the city, a seal that takes fish from fishmongers outside Billingsgate Fish Market, and foxes that will ""sit"" if given sausages....', '*...The cable car crosses the Thames and links Greenwich Peninsula with the Royal Docks in the east of the city....', '*...London has river boat services on the Thames known as Thames Clippers, which offer both commuter and tourist boat services....', '*...Formerly a franchise of ITV, Thames Television featured comedians such as Benny Hill and Rowan Atkinson (Mr. Bean was first screened by Thames), while Talkback produced Da Ali G Show which featured Sacha Baron Cohen as Ali G, a faux-streetwise gangster from Staines, west of London....', '*...In 2000, this collection moved to Tate Modern, a new gallery housed in the former Bankside Power Station which is accessed by pedestrians north of the Thames via the Millennium Bridge....', '...Other key events are the annual mass-participation London Marathon, in which some 35,000 runners attempt a 26.2-mile (42.2\xa0km) course around the city, and the University Boat Race on the Thames from Putney to Mortlake...']","George III and the River Thames, The Edmond J. Safra Fountain Court, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2R 0RN, United Kingdom","{""coordinates"": [-0.117381, 51.511379], ""type"": ""Point""}","George III and the River Thames, The Edmond J. Safra Fountain Court, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2R 0RN, United Kingdom",tourism,artwork
1,North Sea,North Sea,"['...It stands on the River Thames in south-east England at the head of a 50-mile (80\xa0km) estuary down to the North Sea, and has been a major settlement for two millennia....', '*...London became the main North Sea port, with migrants arriving from England and abroad....', '...The Thames Barrier was completed in the 1980s to protect London against tidal surges from the North Sea....']","North Sea Fish, 7-8, Leigh Street, King's Cross, London Borough of Camden, London, Greater London, England, WC1H 9EW, United Kingdom","{""coordinates"": [-0.125298, 51.526395], ""type"": ""Point""}","North Sea Fish, 7-8, Leigh Street, King's Cross, London Borough of Camden, London, Greater London, England, WC1H 9EW, United Kingdom",amenity,restaurant
2,London Underground,London Underground,"['...The London Underground is the oldest rapid transit system in the world....', '*...On 7 July 2005, three London Underground trains and a double-decker bus were bombed in a series of terrorist attacks....', '*...The British Transport Police are responsible for police services on National Rail, London Underground, Docklands Light Railway and Tramlink services....', '...Among the strange sights in London have been a whale in the Thames, while the BBC Two programme Natural World: Unnatural History of London shows feral pigeons using the London Underground to get around the city, a seal that takes fish from fishmongers outside Billingsgate Fish Market, and foxes that will ""sit"" if given sausages....', '...In 2007 the Mayor of London assumed responsibility for some local lines, which now form the London Overground network, adding to the existing responsibility for the London Underground, trams and buses....', '...The lines that formed the London Underground, as well as trams and buses, became part of an integrated transport system in 1933 when the London Passenger Transport Board or London Transport was created....', '...Opened in 1863, the London Underground, commonly referred to as the Tube or just the Underground, is the oldest and third longest metro system in the world....', '...Both structures are on the south bank of the Thames, where the now-underground River Effra flows into the Thames....', '...Since the Victorian era the Thames has been extensively embanked, and many of its London tributaries now flow underground....', '*...Opened in 1863, the London Underground, commonly referred to as the Tube or just the Underground, is the oldest and third longest metro system in the world....', ""...And was formed from several private companies, including the world's first underground electric line, the City and South London Railway, which opened in 1890...."", '*...Over four million journeys are made every day on the Underground network, over 1\xa0billion each year....', '*...South London, particularly, has a high concentration of railways as it has fewer Underground lines....', '*...The London government initially expected the Congestion Charge Zone to increase daily peak period Underground and bus users, reduce road traffic, increase traffic speeds, and reduce queues; however, the increase in private for hire vehicles has affected these expectations....', '...The first gay bar in London in the modern sense was The Cave of the Golden Calf, established as a night club in an underground location at 9 Heddon Street, just off Regent Street, in 1912 and became a haunt for the wealthy, aristocratic and bohemian....']","London Underground Ltd, 280, Old Marylebone Road, Marylebone, London, Greater London, England, W1H 4AD, United Kingdom","{""coordinates"": [-0.165866, 51.52029], ""type"": ""Point""}","London Underground Ltd, 280, Old Marylebone Road, Marylebone, London, Greater London, England, W1H 4AD, United Kingdom",office,yes
4,Tower of London,Tower of London,"[""...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", '...William built the Tower of London, the first of many such in England rebuilt in stone in the south-eastern corner of the city, to intimidate the inhabitants....', '...Few structures in central London pre-date the Great Fire of 1666, these being a few trace Roman remains, the Tower of London and a few scattered Tudor survivors in the city....', '*...Tower of London: 2,785,249 ;...']","Chapel of Saint Peter ad Vincula, Tower Hill, Tower Liberty, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, EC3N 4AB, United Kingdom","{""coordinates"": [-0.076902, 51.508543], ""type"": ""Point""}","Chapel of Saint Peter ad Vincula, Tower Hill, Tower Liberty, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, EC3N 4AB, United Kingdom",amenity,place_of_worship
5,Kew Gardens,Kew Gardens,"[""*...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", ""*...Close to Richmond Park is Kew Gardens, which has the world's largest collection of living plants...."", '*...Rainfall records have been kept in the city since at least 1697, when records began at Kew....', '*...At Kew, the most rainfall in one month is 7.4 inches (189\xa0mm) in November 1755 and the least is 0 inches (0\xa0mm) in both December 1788 and July 1800....']","Kew Gardens, Layton Place, Kew, London Borough of Richmond upon Thames, London, Greater London, England, TW9 3PP, United Kingdom","{""coordinates"": [-0.284819, 51.477523], ""type"": ""Point""}","Kew Gardens, Layton Place, Kew, London Borough of Richmond upon Thames, London, Greater London, England, TW9 3PP, United Kingdom",railway,stop
6,Palace of Westminster,Palace of Westminster,"[""*...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", '*...It became the basis of a new Palace of Westminster....', ""...Many government departments, as well as the prime minister's residence at 10 Downing Street, are based close to the Palace of Westminster, particularly along Whitehall...."", '...The capital of England was moved to London from Winchester as the Palace of Westminster developed in the 12th and 13th centuries to become the permanent location of the royal court, and thus the political capital of the nation....', '...The City of Westminster, to the west of the City of London, has for centuries hosted the national government and parliament....', '...Westminster Abbey, rebuilt in Romanesque style by King Edward the Confessor, was one of the grandest churches in Europe....', '...After winning the Battle of Hastings, William, Duke of Normandy was crowned King of England in newly completed Westminster Abbey on Christmas Day 1066....', '...In 1097, William II began building Westminster Hall, close by the abbey of the same name....', '*...In the 12th century, the institutions of central government, which had hitherto followed the royal English court around the country, grew in size and sophistication and became increasingly fixed, for most purposes at Westminster, although the royal treasury, having been moved from Winchester, came to rest in the Tower....', ""...While the City of Westminster developed into a true governmental capital, its distinct neighbour, the City of London, remained England's largest city and principal commercial centre and flourished under its own unique administration, the Corporation of London...."", '*...There was an assassination attempt on James I in Westminster, in the Gunpowder Plot of 5 November 1605....', ""...The city was the target of many attacks during the suffragette bombing and arson campaign, between 1912 and 1914, which saw historic landmarks such as Westminster Abbey and St Paul's Cathedral bombed...."", '...Within London, both the City of London and the City of Westminster have city status and both the City of London and the remainder of Greater London are counties for the purposes of lieutenancies....', ""...Important national and royal ceremonies are shared between St Paul's and Westminster Abbey...."", '...The Abbey is not to be confused with nearby Westminster Cathedral, the largest Roman Catholic cathedral in England and Wales....', '*...London has five major business districts: the city, Westminster, Canary Wharf, Camden & Islington and Lambeth & Southwark....', '...A number of universities in London are outside the University of London system, including Brunel University, Imperial College London, Kingston University, London Metropolitan University, University of East London, University of West London, University of Westminster, London South Bank University, Middlesex University, and University of the Arts London (the largest university of art, design, fashion, communication and the performing arts in Europe)....', '...The majority of primary and secondary schools and further-education colleges in London are controlled by the London boroughs or otherwise state-funded; leading examples include Ashbourne College, Bethnal Green Academy, Brampton Manor Academy, City and Islington College, City of Westminster College, David Game College, Ealing, Hammersmith and West London College, Leyton Sixth Form College, London Academy of Excellence, Tower Hamlets College, and Newham Collegiate Sixth Form Centre....', ""...There are also a number of private schools and colleges in London, some old and famous, such as City of London School, Harrow, St Paul's School, Haberdashers' Aske's Boys' School, University College School, The John Lyon School, Highgate School and Westminster School...."", '...Within the City of Westminster in London, the entertainment district of the West End has its focus around Leicester Square, where London and world film premieres are held, and Piccadilly Circus, with its giant electronic advertisements....']","Palace of Westminster, The Landing Place, Westminster, Millbank, London, Greater London, England, SW1A 0AA, United Kingdom","{""coordinates"": [-0.124481, 51.499389], ""type"": ""Point""}","Palace of Westminster, The Landing Place, Westminster, Millbank, London, Greater London, England, SW1A 0AA, United Kingdom",tourism,attraction
7,Westminster Abbey,Westminster Abbey,"[""*...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", '*...Westminster Abbey, rebuilt in Romanesque style by King Edward the Confessor, was one of the grandest churches in Europe....', '*...After winning the Battle of Hastings, William, Duke of Normandy was crowned King of England in newly completed Westminster Abbey on Christmas Day 1066....', ""*...The city was the target of many attacks during the suffragette bombing and arson campaign, between 1912 and 1914, which saw historic landmarks such as Westminster Abbey and St Paul's Cathedral bombed...."", ""*...Important national and royal ceremonies are shared between St Paul's and Westminster Abbey...."", '...In 1097, William II began building Westminster Hall, close by the abbey of the same name....', '*...The Abbey is not to be confused with nearby Westminster Cathedral, the largest Roman Catholic cathedral in England and Wales....', '...The city is home to the original Hard Rock Cafe and the Abbey Road Studios, where The Beatles recorded many of their hits....']","Westminster Abbey, 20, Dean's Yard, Westminster, Millbank, London, Greater London, England, SW1P 3PA, United Kingdom","{""coordinates"": [-0.127313, 51.499662], ""type"": ""Point""}","Westminster Abbey, 20, Dean's Yard, Westminster, Millbank, London, Greater London, England, SW1P 3PA, United Kingdom",shop,ticket
8,St Margaret's Church,St Margaret's Church,"[""*...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time....""]","St Margaret's Church, St. Margaret Street, Westminster, Millbank, City of Westminster, Greater London, England, SW1P 3JX, United Kingdom","{""coordinates"": [-0.126723, 51.499884], ""type"": ""Point""}","St Margaret's Church, St. Margaret Street, Westminster, Millbank, City of Westminster, Greater London, England, SW1P 3JX, United Kingdom",amenity,place_of_worship
9,Royal Observatory,Royal Observatory,"[""...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time....""]","Royal Observatory Greenwich, Blackheath Avenue, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 8XJ, United Kingdom","{""coordinates"": [-0.000846, 51.477362], ""type"": ""Point""}","Royal Observatory Greenwich, Blackheath Avenue, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 8XJ, United Kingdom",tourism,museum
11,Buckingham Palace,Buckingham Palace,"[""*...Other landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge, and Trafalgar Square...."", ""*...Another broke into the grounds of Buckingham Palace, reportedly killing some of Queen Elizabeth II's prized pink flamingos....""]","Buckingham Palace, Ambassador's Court, Victoria, London, Greater London, England, SW1A 1AA, United Kingdom","{""coordinates"": [-0.142986, 51.500841], ""type"": ""Point""}","Buckingham Palace, Ambassador's Court, Victoria, London, Greater London, England, SW1A 1AA, United Kingdom",tourism,attraction
