,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Cortina d'Ampezzo,Cortina d'Ampezzo,"[""*...Milan will host the Winter Olympic and Paralympic games for the first time in 2026, together with Cortina d'Ampezzo...."", ""*...Milan will host the 2026 Winter Olympics as well as the 2026 Winter Paralympics jointly with Cortina d'Ampezzo....""]","Via Cortina d'Ampezzo, Scalo Romana, Municipio 5, Vaiano Valle, Milan, Lombardy, 20139, Italy","{""coordinates"": [9.208324, 45.435144], ""type"": ""Point""}","Via Cortina d'Ampezzo, Scalo Romana, Municipio 5, Vaiano Valle, Milan, Lombardy, 20139, Italy",highway,residential
4,Piazza San Sepolcro,Piazza San Sepolcro,"[""*...It was in Milan that Benito Mussolini built his political and journalistic careers, and his fascist Blackshirts rallied for the first time in the city's Piazza San Sepolcro; here the future Fascist dictator launched his March on Rome on 28 October 1922....""]","Piazza San Sepolcro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.185311, 45.46299], ""type"": ""Point""}","Piazza San Sepolcro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy",tourism,information
5,Piazzale Loreto,Piazzale Loreto,"['*...On 29 April 1945, the American 1st Armored Division was advancing on Milan but, before it arrived, the Italian resistance seized control of the city and executed Mussolini along with his mistress and several regime officers, that were later hanged and exposed in Piazzale Loreto, where one year before some resistance members had been executed....']","Piazzale Loreto, Loreto, Municipio 2, Milan, Lombardy, 20131, Italy","{""coordinates"": [9.216756, 45.486357], ""type"": ""Point""}","Piazzale Loreto, Loreto, Municipio 2, Milan, Lombardy, 20131, Italy",highway,primary
6,Torre Velasca,Torre Velasca,"['...During this period, Milan was rapidly rebuilt, with the construction of several innovative and modernist skyscrapers, such as the Torre Velasca and the Pirelli Tower, that soon became the symbols of this new era of prosperity....', '...Modern skyscrapers, such as the Pirelli Tower and the Torre Velasca were built, and artists such as Bruno Munari, Lucio Fontana, Enrico Castellani and Piero Manzoni gathered in the city....']","Torre Velasca, Piazza Velasca, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy","{""coordinates"": [9.190681, 45.45992], ""type"": ""Point""}","Torre Velasca, Piazza Velasca, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy",tourism,attraction
7,Pirelli Tower,Pirelli Tower,"['...During this period, Milan was rapidly rebuilt, with the construction of several innovative and modernist skyscrapers, such as the Torre Velasca and the Pirelli Tower, that soon became the symbols of this new era of prosperity....', ""*...In the 1950s and 1960s, a strong demand for new residential and commercial areas drove to extreme urban expansion, that has produced some of the major milestones in the city's architectural history, including Gio Ponti's Pirelli Tower (1956–60), Velasca Tower (1956–58), and the creation of brand new residential satellite towns, as well as huge amounts of low quality public housings...."", '...Modern skyscrapers, such as the Pirelli Tower and the Torre Velasca were built, and artists such as Bruno Munari, Lucio Fontana, Enrico Castellani and Piero Manzoni gathered in the city....']","Pirelli Tower, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Lombardy, 20124, Italy","{""coordinates"": [9.201177, 45.484782], ""type"": ""Point""}","Pirelli Tower, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Lombardy, 20124, Italy",building,office
8,Piazza Fontana,Piazza Fontana,"['*...The apex of this period of turmoil occurred on 12 December 1969, when a bomb exploded at the National Agrarian Bank in Piazza Fontana, killing 17 people and injuring 88....']","Piazza Fontana, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy","{""coordinates"": [9.193887, 45.463353], ""type"": ""Point""}","Piazza Fontana, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy",railway,platform
11,Porta Nuova,Porta Nuova,"['*...Two new business districts, Porta Nuova and CityLife, were built in the space of a decade, radically changing the skyline of the city....', ""*...Two business districts dominate Milan's skyline: Porta Nuova in the north-east (boroughs n° 9 and 2) and CityLife (borough n° 8) in the north-west part of the commune...."", '*...In recent years, de-industrialization, urban decay and gentrification led to a vast urban renewal of former industrial areas, that have been transformed into modern residential and financial districts, notably Porta Nuova in downtown Milan and FieraMilano in the suburb of Rho....', '*...Porta Nuova, the main business district of Milan and one of the most important in Europe, hosts the Italian headquarters of numerous global companies, such as Accenture, AXA, Bank of America, BNP Paribas, Celgene, China Construction Bank, Finanza & Futuro Banca, FM Global, Herbalife, HSBC, KPMG, Maire Tecnimont, Mitsubishi UFJ Financial Group, Panasonic, Pirelli, Samsung, Ubisoft, Shire, Tata Consultancy Services, Telecom Italia, UniCredit, UnipolSai....']","Porta Nuova, Piazzale Principessa Clotilde, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.192694, 45.479858], ""type"": ""Point""}","Porta Nuova, Piazzale Principessa Clotilde, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20121, Italy",historic,city_gate
12,CityLife,CityLife,"['*...Two new business districts, Porta Nuova and CityLife, were built in the space of a decade, radically changing the skyline of the city....', ""*...Two business districts dominate Milan's skyline: Porta Nuova in the north-east (boroughs n° 9 and 2) and CityLife (borough n° 8) in the north-west part of the commune...."", '...In addition, the old exhibition area is being completely reshaped according to the Citylife regeneration project, featuring residencial areas, museums, an urban park and three skyscrapers designed by international architects, and after whom they are named: the 202-metre (663-foot) Isozaki Arata—when completed, the tallest building in Italy, the twisted Hadid Tower, and the curved Libeskind Tower....', '*...Other large multinational service companies, such as Allianz, Generali, Alleanza Assicurazioni and PricewaterhouseCoopers, have their headquarters in the CityLife business district, a new 900-acre-wide (3.6\xa0km2) development project designed by prominent modernist architects Zaha Hadid, Daniel Liebskind and Arata Isozaki....']","CityLife Tennis Garden, Via Anna Maria Ortese, Tre Torri, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy","{""coordinates"": [9.158723, 45.47894], ""type"": ""Point""}","CityLife Tennis Garden, Via Anna Maria Ortese, Tre Torri, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy",leisure,sports_centre
19,Adda,Adda,"['*...Milan is located in the north-western section of the Po Valley, approximately halfway between the river Po to the south and the foothills of the Alps with the great lakes (Lake Como, Lake Maggiore, Lake Lugano) to the north, the Ticino river to the west and the Adda to the east....']","Palazzo Borromeo d'Adda, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.193481, 45.471482], ""type"": ""Point""}","Palazzo Borromeo d'Adda, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy",historic,castle
20,Navigli,Navigli,"['*...A larger urban area, comprising parts of the provinces of Milan, Monza e Brianza, Como, Lecco and Varese is 1,891 square kilometres (730\xa0sq\xa0mi) wide and has a population of 5,270,000 with a density of 2,783 inhabitants per square kilometre (7,210/sq\xa0mi).\nThe concentric layout of the city centre reflects the Navigli, an ancient system of navigable and interconnected canals, now mostly covered....', '*...Many historical restaurants and bars are found in the historic centre, the Brera and Navigli districts....']","Il Forno dei Navigli, 2, Alzaia Naviglio Pavese, Navigli, Municipio 6, Milan, Lombardy, 20136, Italy","{""coordinates"": [9.177682, 45.452142], ""type"": ""Point""}","Il Forno dei Navigli, 2, Alzaia Naviglio Pavese, Navigli, Municipio 6, Milan, Lombardy, 20136, Italy",shop,bakery
27,Palazzo Lombardia,Palazzo Lombardia,"['*...The seat of the regional government is Palazzo Lombardia that, standing at 161.3 metres (529 feet), is the fifth-tallest building in Milan....']","Palazzo Lombardia, Via Luigi Galvani, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20124, Italy","{""coordinates"": [9.196541, 45.486764], ""type"": ""Point""}","Palazzo Lombardia, Via Luigi Galvani, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20124, Italy",tourism,attraction
28,Unicredit Tower,Unicredit Tower,"['...The tallest buildings include the Unicredit Tower at 231 m (though only 162 m without the spire), and the 209 m Allianz Tower, a 50-story tower....']","Unicredit Tower, Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20159, Italy","{""coordinates"": [9.189907, 45.483859], ""type"": ""Point""}","Unicredit Tower, Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20159, Italy",building,office
29,Allianz Tower,Allianz Tower,"['*...The tallest buildings include the Unicredit Tower at 231 m (though only 162 m without the spire), and the 209 m Allianz Tower, a 50-story tower....']","Allianz Tower, Piazza Tre Torri, Tre Torri, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy","{""coordinates"": [9.157284, 45.477591], ""type"": ""Point""}","Allianz Tower, Piazza Tre Torri, Tre Torri, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy",building,office
30,Colonne di San Lorenzo,Colonne di San Lorenzo,"['*...There are only few remains of the ancient Roman colony, notably the well-preserved Colonne di San Lorenzo....']","Colonne di San Lorenzo, Corso di Porta Ticinese, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.181045, 45.45823], ""type"": ""Point""}","Colonne di San Lorenzo, Corso di Porta Ticinese, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy",tourism,attraction
