,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Central Russia,Central Russia,"['*...The city stands on the Moskva River in Central Russia, with a population estimated at 13.0 million residents within the city limits, over 17 million residents in the urban area, and over 21.5 million residents in the metropolitan area....', '...Moscow is situated on the banks of the Moskva River, which flows for just over 500\xa0km (311\xa0mi) through the East European Plain in central Russia, not far from the natural border of the forest and forest-steppe zone....', '*...Along with a southern part of Central Russia, after recent years of hot summer seasons, the climate of the city gets hot-summer classification trends....']","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia","{""coordinates"": [37.601556, 55.766158], ""type"": ""Point""}","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia",tourism,museum
4,Red Square,Red Square,"[""*...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '...In the time of Ivan III, the Red Square, originally named the Hollow Field (Полое поле) appeared....', ""...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", '*...He designed spacious elongated shop galleries, most notably the GUM department store on Red Square, bridged with innovative metal-and-glass vaults....', ""*...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", '*...The State Historical Museum of Russia (Государственный Исторический музей) is a museum of Russian history located between Red Square and Manege Square in Moscow....', ""*...14 hotspots were positioned across the city's main tourist attractions, including Lubyanka Square near Red Square, the Moscow City financial district and the VDNKh exhibition center....""]","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623978, 55.751238], ""type"": ""Point""}","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",highway,bus_stop
5,Saint Basil's Cathedral,Saint Basil's Cathedral,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", ""*...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", ""*...Moscow is the site of Saint Basil's Cathedral, with its elegant onion domes, as well as the Cathedral of Christ the Savior and the Seven Sisters....""]","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623063, 55.752488], ""type"": ""Point""}","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",place,house
6,Moscow Kremlin,Moscow Kremlin,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '...The original Moscow Kremlin was built in the 14th century....', ""*...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", '...In addition, the Moscow Kremlin is the official residence of the President of the Russian Federation....']","Moscow Kremlin, Kremlin Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 119019, Russia","{""coordinates"": [37.618153, 55.751495], ""type"": ""Point""}","Moscow Kremlin, Kremlin Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 119019, Russia",tourism,attraction
9,Moscow River,Moscow River,"['...The timber fort na Moskvě ""on the Moscow River"" was inherited by Daniel, the youngest son of Alexander Nevsky, in the 1260s, at the time considered the least valuable of his father\'s possessions....', '...In 1592, an outer earth rampart with 50 towers was erected around the city, including an area on the right bank of the Moscow River....']","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia","{""coordinates"": [37.44853, 55.805799], ""type"": ""Point""}","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia",man_made,pier
11,Great Bell Tower,Great Bell Tower,"[""*...The Kremlin's Great Bell Tower was built in 1505–08 and augmented to its present height in 1600....""]","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia","{""coordinates"": [37.61823, 55.750741], ""type"": ""Point""}","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia",amenity,place_of_worship
14,White City,White City,"['...In the 16th and 17th centuries, the three circular defenses were built: Kitay-gorod (Китай-город), the White City (Белый город) and the Earthen City (Земляной город)....']","Fragment of White City’s wall, Покровский бульвар, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia","{""coordinates"": [37.646275, 55.758275], ""type"": ""Point""}","Fragment of White City’s wall, Покровский бульвар, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia",tourism,attraction
15,Novodevichy Convent,Novodevichy Convent,"['*...As an outermost line of defense, a chain of strongly fortified monasteries was established beyond the ramparts to the south and east, principally the Novodevichy Convent and Donskoy, Danilov, Simonov, Novospasskiy, and Andronikov monasteries, most of which now house museums....']","Novodevichy Convent, 1, Novodevichy Passage, 531, Khamovniki District, Moscow, Central Federal District, 119435, Russia","{""coordinates"": [37.555771, 55.726028], ""type"": ""Point""}","Novodevichy Convent, 1, Novodevichy Passage, 531, Khamovniki District, Moscow, Central Federal District, 119435, Russia",tourism,attraction
16,Donskoy,Donskoy,"['...In 1380, prince Dmitry Donskoy of Moscow led a united Russian army to an important victory over the Mongols in the Battle of Kulikovo....', '*...As an outermost line of defense, a chain of strongly fortified monasteries was established beyond the ramparts to the south and east, principally the Novodevichy Convent and Donskoy, Danilov, Simonov, Novospasskiy, and Andronikov monasteries, most of which now house museums....']","1st Donskoy Pass, Donskoy District, Moscow, Central Federal District, 115419, Russia","{""coordinates"": [37.606039, 55.715961], ""type"": ""Point""}","1st Donskoy Pass, Donskoy District, Moscow, Central Federal District, 115419, Russia",highway,unclassified
17,Simonov,Simonov,"['*...As an outermost line of defense, a chain of strongly fortified monasteries was established beyond the ramparts to the south and east, principally the Novodevichy Convent and Donskoy, Danilov, Simonov, Novospasskiy, and Andronikov monasteries, most of which now house museums....']","Помнит мир спасённый. Симонов Константин, Марксистский переулок, Tagansky District, Moscow, Central Federal District, 109147, Russia","{""coordinates"": [37.662515, 55.737913], ""type"": ""Point""}","Помнит мир спасённый. Симонов Константин, Марксистский переулок, Tagansky District, Moscow, Central Federal District, 109147, Russia",tourism,artwork
