,entity,to_search,snippet,address,coordinates,name_location,class,type
8,Old Town Hall,Old Town Hall,"[""...In the 15th century, Munich underwent a revival of Gothic arts: the Old Town Hall was enlarged, and Munich's largest Gothic church – the Frauenkirche – now a cathedral, was constructed in only 20 years, starting in 1468.\nWhen Bavaria was reunited in 1506 after a brief war against the Duchy of Landshut, Munich became its capital...."", '...The city was heavily bombed during World War II, but has restored most of its old town....', '...Henry built a new toll bridge, customs house and a coin market closer to his home somewhat upstream at a settlement around the area of modern old town Munich....', ""*...The large Residenz palace complex (begun in 1385) on the edge of Munich's Old Town, Germany's largest urban palace, ranks among Europe's most significant museums of interior decoration...."", '...The neoclassical Brienner Straße, starting at Odeonsplatz on the northern fringe of the Old Town close to the Residenz, runs from east to west and opens into the Königsplatz, designed with the ""Doric"" Propyläen, the ""Ionic"" Glyptothek and the ""Corinthian"" State Museum of Classical Art, behind it St. Boniface\'s Abbey was erected....', ""...Another area for the arts next to the Kunstareal is the Lehel quarter between the old town and the river Isar: the Museum Five Continents in Maximilianstraße is the second largest collection in Germany of artefacts and objects from outside Europe, while the Bavarian National Museum and the adjoining Bavarian State Archaeological Collection in Prinzregentenstraße rank among Europe's major art and cultural history museums....""]","Old Town Hall, 15, Marienplatz, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.577059, 48.136817], ""type"": ""Point""}","Old Town Hall, 15, Marienplatz, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",tourism,attraction
9,Antiquarium,Antiquarium,['*...In 1568 Albrecht V built the Antiquarium to house the Wittelsbach collection of Greek and Roman antiquities in the Munich Residenz....'],"antiquarium, 6, Rindermarkt, Angerviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.574428, 48.135982], ""type"": ""Point""}","antiquarium, 6, Rindermarkt, Angerviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",shop,porcelaneous
11,Hofbräuhaus,Hofbräuhaus,"['*...William V had the Hofbräuhaus built in 1589....', '*...After World War II the Residenze, the Hofbräuhaus, the Frauenkirche, and the Peterskirche were reconstructed to look exactly as they did before the Nazi Party seized power in 1933....', '...There are 14 beer tents which together can seat 119,000 attendees at a time, and serve beer from the six major breweries of Munich: Augustiner, Hacker-Pschorr, Löwenbräu, Paulaner, Spaten and Staatliches Hofbräuhaus....', '*...Nockherberg, Hofbräukeller (not to be confused with the Hofbräuhaus) and Löwenbräukeller are other beer gardens....']","Hofbräuhaus am Platzl, 9, Platzl, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.579981, 48.137571], ""type"": ""Point""}","Hofbräuhaus am Platzl, 9, Platzl, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",tourism,attraction
13,Frauenkirche,Frauenkirche,"[""...In the 15th century, Munich underwent a revival of Gothic arts: the Old Town Hall was enlarged, and Munich's largest Gothic church – the Frauenkirche – now a cathedral, was constructed in only 20 years, starting in 1468.\nWhen Bavaria was reunited in 1506 after a brief war against the Duchy of Landshut, Munich became its capital...."", '*...After World War II the Residenze, the Hofbräuhaus, the Frauenkirche, and the Peterskirche were reconstructed to look exactly as they did before the Nazi Party seized power in 1933....', '*...The Frauenkirche serves as the cathedral for the Catholic Archdiocese of Munich and Freising....']","Frauenkirche, 1, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.573592, 48.138582], ""type"": ""Point""}","Frauenkirche, 1, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",amenity,place_of_worship
14,Peterskirche,Peterskirche,"['*...After World War II the Residenze, the Hofbräuhaus, the Frauenkirche, and the Peterskirche were reconstructed to look exactly as they did before the Nazi Party seized power in 1933....', '*...The Peterskirche close to Marienplatz is the oldest church of the inner city....']","St. Peter, 1, Petersplatz, Angerviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.57603, 48.136445], ""type"": ""Point""}","St. Peter, 1, Petersplatz, Angerviertel, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",amenity,place_of_worship
16,München Hauptbahnhof,München Hauptbahnhof,"['*...By 1849 a newer Munich Central Train Station (München Hauptbahnhof) was completed, with a line going to Landshut and Regensburg in the north....', '*...München Hauptbahnhof is the main railway station located in the city centre and is one of three long-distance stations in Munich, the others being München Ost (to the east) and München-Pasing (to the west)....', '*...München Hauptbahnhof serves about 450,000 passengers a day, which puts it on par with other large stations in Germany, such as Hamburg Hauptbahnhof and Frankfurt Hauptbahnhof....']","München Hauptbahnhof, Arnulfstraße, Augustenstraße, Maxvorstadt, Munich, Bavaria, 80335, Germany","{""coordinates"": [11.558019, 48.140597], ""type"": ""Point""}","München Hauptbahnhof, Arnulfstraße, Augustenstraße, Maxvorstadt, Munich, Bavaria, 80335, Germany",building,train_station
19,Valley,Valley,"['*...After the murder of the first republican premier of Bavaria Kurt Eisner in February 1919 by Anton Graf von Arco auf Valley, the Bavarian Soviet Republic was proclaimed.[citation needed]...']","Spiel- und Bildungszentrum Sendling, 34, Danklstraße, Sendlinger Feld, Sendling, Munich, Bavaria, 81371, Germany","{""coordinates"": [11.546472, 48.116811], ""type"": ""Point""}","Spiel- und Bildungszentrum Sendling, 34, Danklstraße, Sendlinger Feld, Sendling, Munich, Bavaria, 81371, Germany",amenity,community_centre
20,Brienner Straße,Brienner Straße,"[""*...Nazi organizations, such as the National Socialist Women's League and the Gestapo, had their offices along Brienner Straße and around the Königsplatz...."", '*...The neoclassical Brienner Straße, starting at Odeonsplatz on the northern fringe of the Old Town close to the Residenz, runs from east to west and opens into the Königsplatz, designed with the ""Doric"" Propyläen, the ""Ionic"" Glyptothek and the ""Corinthian"" State Museum of Classical Art, behind it St. Boniface\'s Abbey was erected....']","Brienner Straße, Universität, Maxvorstadt, Munich, Bavaria, 80539, Germany","{""coordinates"": [11.577414, 48.142651], ""type"": ""Point""}","Brienner Straße, Universität, Maxvorstadt, Munich, Bavaria, 80539, Germany",highway,tertiary
21,Königsplatz,Königsplatz,"[""*...Nazi organizations, such as the National Socialist Women's League and the Gestapo, had their offices along Brienner Straße and around the Königsplatz...."", '*...The neoclassical Brienner Straße, starting at Odeonsplatz on the northern fringe of the Old Town close to the Residenz, runs from east to west and opens into the Königsplatz, designed with the ""Doric"" Propyläen, the ""Ionic"" Glyptothek and the ""Corinthian"" State Museum of Classical Art, behind it St. Boniface\'s Abbey was erected....', ""*...The area around Königsplatz is home to the Kunstareal, Munich's gallery and museum quarter (as described below)....""]","Königsplatz, Maxvorstadt, Munich, Bavaria, 80333, Germany","{""coordinates"": [11.565813, 48.145718], ""type"": ""Point""}","Königsplatz, Maxvorstadt, Munich, Bavaria, 80333, Germany",highway,path
23,Haus der Kunst,Haus der Kunst,"['...The Haus der Kunst (House of German Art) was the first building to be commissioned by Hitler....', '...Many museums are on the avenue, such as the Haus der Kunst, the Bavarian National Museum and the Schackgalerie....']","Haus der Kunst, Prinzregentenstraße, Englischer Garten Süd, Altstadt-Lehel, Munich, Bavaria, 80538, Germany","{""coordinates"": [11.585963, 48.144117], ""type"": ""Point""}","Haus der Kunst, Prinzregentenstraße, Englischer Garten Süd, Altstadt-Lehel, Munich, Bavaria, 80538, Germany",tourism,museum
