,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Europe,Europe,"['*...The Port of Naples is one of the most important in Europe....', ""*...Naples' historic city centre is the largest in Europe and has been designated as a UNESCO World Heritage Site...."", '*...The University of Naples, the first university in Europe dedicated to training secular administrators, was founded by Frederick II, making Naples the intellectual centre of the kingdom....', ""*...By the 17th century, Naples had become Europe's second-largest city – second only to Paris – and the largest European Mediterranean city, with around 250,000 inhabitants...."", '*...Naples is one of the most ancient cities in Europe, whose contemporary urban fabric preserves the elements of its long and eventful history....', '*...The Centro Direzionale di Napoli is the only adjacent cluster of skyscrapers in southern Europe....', ""*...Naples is a major national, and international tourist destination, one of Italy's and Europe's top tourist cities...."", '*...Naples is also known for its theatres, which are among the oldest in Europe: the Teatro di San Carlo opera house dates back to the 18th century....', '*...The Teatro di San Carlo, built in 1737, is the oldest working theatre in Europe, and remains the operatic centre of Naples....']","Made In Europe Project, Via Domenico Cimarosa, Rione Antignano, Municipalità 5, Naples, Napoli, Campania, 80129, Italy","{""coordinates"": [14.232311, 40.842774], ""type"": ""Point""}","Made In Europe Project, Via Domenico Cimarosa, Rione Antignano, Municipalità 5, Naples, Napoli, Campania, 80129, Italy",shop,clothes
7,Posillipo,Posillipo,"['*...Naples is also known for its natural beauties, such as Posillipo, Phlegraean Fields, Nisida and Vesuvius....', '...The Neapolitan Academy of Fine Arts, founded by Charles III of Bourbon in 1752 as the Real Accademia di Disegno (en: Royal Academy of Design), was the centre of the artistic School of Posillipo in the 19th century....']","Posillipo, Via Mergellina, Mergellina, Municipalità 1, Naples, Napoli, Campania, 80122, Italy","{""coordinates"": [14.218431, 40.823471], ""type"": ""Point""}","Posillipo, Via Mergellina, Mergellina, Municipalità 1, Naples, Napoli, Campania, 80122, Italy",highway,bus_stop
9,Nisida,Nisida,"['*...Naples is also known for its natural beauties, such as Posillipo, Phlegraean Fields, Nisida and Vesuvius....', '*...Another important park is the Parco Virgiliano, which looks towards the tiny volcanic islet of Nisida; beyond Nisida lie Procida and Ischia....']","Discesa Coroglio - Nisida, Discesa Coroglio, Municipalità 1, Coroglio, Naples, Napoli, Campania, 80124, Italy","{""coordinates"": [14.176556, 40.800608], ""type"": ""Point""}","Discesa Coroglio - Nisida, Discesa Coroglio, Municipalità 1, Coroglio, Naples, Napoli, Campania, 80124, Italy",highway,bus_stop
10,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,"['...The most widely-known sports team in Naples is the Serie A football club S.S.C. Napoli, two-time Italian champions who play at the Stadio Diego Armando Maradona in the west of the city, in the Fuorigrotta quarter....', ""*...The club's stadium was renamed Stadio Diego Armando Maradona in honour of the Argentinian attacking midfielder who played for them for seven years....""]","Stadio Diego Armando Maradona, Via Claudio, Fuorigrotta, Municipalità 10, Naples, Napoli, Campania, 80125, Italy","{""coordinates"": [14.192889, 40.827977], ""type"": ""Point""}","Stadio Diego Armando Maradona, Via Claudio, Fuorigrotta, Municipalità 10, Naples, Napoli, Campania, 80125, Italy",leisure,stadium
11,Fuorigrotta,Fuorigrotta,"['*...The most widely-known sports team in Naples is the Serie A football club S.S.C. Napoli, two-time Italian champions who play at the Stadio Diego Armando Maradona in the west of the city, in the Fuorigrotta quarter....', ""*...The city's best known football club is SSC Napoli, which plays its home games at the Stadio Maradona in Fuorigrotta....""]","Fuorigrotta, Via Giacomo Leopardi, Fuorigrotta, Municipalità 10, Naples, Napoli, Campania, 80125, Italy","{""coordinates"": [14.20179, 40.827921], ""type"": ""Point""}","Fuorigrotta, Via Giacomo Leopardi, Fuorigrotta, Municipalità 10, Naples, Napoli, Campania, 80125, Italy",railway,station
14,Castel dell'Ovo,Castel dell'Ovo,"[""...He had the empress imprisoned at Castel dell'Ovo at Naples before her release on May 1192 under the pressure of Pope Celestine III...."", '...Naples is well known for its castles: The most ancient is Castel dell\'Ovo (""Egg Castle""), which was built on the tiny islet of Megarides, where the original Cumaean colonists had founded the city....']","Castle dell'Ovo, Piazzetta del Borgo Marinari, Pizzofalcone, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.248028, 40.827742], ""type"": ""Point""}","Castle dell'Ovo, Piazzetta del Borgo Marinari, Pizzofalcone, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",historic,castle
15,Castel Nuovo,Castel Nuovo,"['...Conflict between the Hohenstaufens and the Papacy led in 1266 to Pope Innocent IV crowning the Angevin duke Charles I King of Sicily: Charles officially moved the capital from Palermo to Naples, where he resided at the Castel Nuovo....', ""*...Castel Nuovo, also known as Maschio Angioino, is one of the city's top landmarks; it was built during the time of Charles I, the first king of Naples...."", '*...Castel Nuovo has seen many notable historical events: for example, in 1294, Pope Celestine V resigned as pope in a hall of the castle, and following this Pope Boniface VIII was elected pope by the cardinal collegium, before moving to Rome....']","Castel Nuovo (Museo Civico), Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy","{""coordinates"": [14.253731, 40.838317], ""type"": ""Point""}","Castel Nuovo (Museo Civico), Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy",tourism,museum
21,Via Caracciolo,Via Caracciolo,"['*...The most notable transformations made were the construction of Via Caracciolo in place of the beach along the promenade, the creation of Galleria Umberto I and Galleria Principe and the construction of Corso Umberto....']","Via Francesco Caracciolo, Pizzofalcone, Municipalità 1, Naples, Napoli, Campania, 80121, Italy","{""coordinates"": [14.238201, 40.83187], ""type"": ""Point""}","Via Francesco Caracciolo, Pizzofalcone, Municipalità 1, Naples, Napoli, Campania, 80121, Italy",highway,primary
22,Galleria Umberto I,Galleria Umberto I,"['*...The most notable transformations made were the construction of Via Caracciolo in place of the beach along the promenade, the creation of Galleria Umberto I and Galleria Principe and the construction of Corso Umberto....', '...In front of the Royal Palace of Naples stands the Galleria Umberto I, which contains the Coral Jewellery Museum....', '*...Directly across San Carlo is Galleria Umberto....']","Galleria Umberto I, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.249496, 40.838454], ""type"": ""Point""}","Galleria Umberto I, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",highway,pedestrian
23,Galleria Principe,Galleria Principe,"['*...The most notable transformations made were the construction of Via Caracciolo in place of the beach along the promenade, the creation of Galleria Umberto I and Galleria Principe and the construction of Corso Umberto....']","Galleria Principe di Napoli, San Lorenzo, Municipalità 4, Naples, Napoli, Campania, Italy","{""coordinates"": [14.250308, 40.85245], ""type"": ""Point""}","Galleria Principe di Napoli, San Lorenzo, Municipalità 4, Naples, Napoli, Campania, Italy",highway,pedestrian
