,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Akershus Fortress,Akershus Fortress,"['*...After being destroyed by a fire in 1624, during the reign of King Christian IV, a new city was built closer to Akershus Fortress and named Christiania in honour of the king....', ""*...After being destroyed by a fire in 1624, during the reign of King Christian IV, a new city was built closer to Akershus Fortress and named Christiania in the king's honour...."", '...He also started the construction of the Akershus Fortress and the Oslo Kongsgård....', '*...He started building Akershus Fortress and was also the first king to reside permanently in the city, which helped to make Oslo the capital of Norway....']","Akershus fortress, Operatunnelen / Festningstunnelen, Akershus festning, Sentrum, Oslo, 0037, Norway","{""coordinates"": [10.737602, 59.908428], ""type"": ""Point""}","Akershus fortress, Operatunnelen / Festningstunnelen, Akershus festning, Sentrum, Oslo, 0037, Norway",tourism,information
1,Oslofjord,Oslofjord,"['*...The city centre is situated at the end of the Oslofjord, from which point the city sprawls out in three distinct ""corridors""—inland north-eastwards, and southwards along both sides of the fjord—which gives the urbanized area a shape reminiscent of an upside-down reclining ""Y"" (on maps, satellite pictures, or from high above the city)....', '*...Oslo occupies an arc of land at the northernmost end of the Oslofjord....', '*...There are 40 islands within the city limits, the largest being Malmøya (0.56\xa0km2 or 0.22\xa0sq\xa0mi), and scores more around the Oslofjord....', '*...Oslo (with neighbouring Sandvika-Asker) is built in a horseshoe shape on the shores of the Oslofjord and limited in most directions by hills and forests....']","Indre Oslofjord, Sars' gate, Tøyen, Grünerløkka, Oslo, 0562, Norway","{""coordinates"": [10.771616, 59.919103], ""type"": ""Point""}","Indre Oslofjord, Sars' gate, Tøyen, Grünerløkka, Oslo, 0562, Norway",leisure,garden
5,Akershus Castle,Akershus Castle,"['*...Oslo was destroyed several times by fire, and after the fourteenth calamity, in 1624, Christian IV of Denmark and Norway ordered it rebuilt at a new site across the bay, near Akershus Castle and given the name Christiania....', '...His men built a network of roads in Akershagen near Akershus Castle....']","Akershus castle, Akershusstranda, Akershus festning, Sentrum, Oslo, 0015, Norway","{""coordinates"": [10.73635, 59.906655], ""type"": ""Point""}","Akershus castle, Akershusstranda, Akershus festning, Sentrum, Oslo, 0015, Norway",tourism,attraction
6,Christiania,Christiania,"['*...After being destroyed by a fire in 1624, during the reign of King Christian IV, a new city was built closer to Akershus Fortress and named Christiania in honour of the king....', ""*...After being destroyed by a fire in 1624, during the reign of King Christian IV, a new city was built closer to Akershus Fortress and named Christiania in the king's honour...."", '...The city is sometimes known as ""The Tiger City"" (Norwegian: Tigerstaden), probably inspired by an 1870 poem by Bjørnstjerne Bjørnson which referenced then-Christiania in central Oslo....', '*...Oslo was destroyed several times by fire, and after the fourteenth calamity, in 1624, Christian IV of Denmark and Norway ordered it rebuilt at a new site across the bay, near Akershus Castle and given the name Christiania....', '*...Long before this, Christiania had started to establish its stature as a centre of commerce and culture in Norway....', '...Anatomigården is a historic timber framing house located on the north side of Christiania Torv....', '*...In 1814 Christiania once more became a real capital when the union with Denmark was dissolved....', '*...In 1850, Christiania also overtook Bergen and became the most populous city in the country....', '*...He demanded that all citizens move their shops and workplaces to the newly built city of Christiania, named as an honor to the king.[citation needed]...', '*...The strong economy transformed Christiania into a trading port.[citation needed]...', '*...In 1814 the former provincial town of Christiania became the capital of the independent Kingdom of Norway, in a personal union with Sweden....', '*...Christiania expanded its industry from 1840, most importantly around Akerselva....', '*...When Christiania was made capital of Norway in 1814, there were practically no buildings suitable for the many new government institutions....', '...Christian Heinrich Grosch, one of the first architects educated completely within Norway, designed the original building for the Oslo Stock Exchange (1826–1828), the local branch of the Bank of Norway (1828), Christiania Theatre (1836–1837), and the first campus for the University of Oslo (1841–1856)....', '...Although it was founded in 1919, the Oslo Philharmonic can trace its roots to the founding of the Christiania Musikerforening (Christiania Musicians Society) by Edvard Grieg and Johan Svendsen in 1879....']","Hotel Christiania Teater, Stortingsgata, Vika, Sentrum, Oslo, 0162, Norway","{""coordinates"": [10.735917, 59.913542], ""type"": ""Point""}","Hotel Christiania Teater, Stortingsgata, Vika, Sentrum, Oslo, 0162, Norway",tourism,hotel
7,Kvadraturen,Kvadraturen,"['*...The part of the city built starting in 1624 is now often called Kvadraturen\xa0 because of its orthogonal layout in regular, square blocks....']","Kvadraturen, Tollbugata, Kvadraturen, Sentrum, Oslo, 0153, Norway","{""coordinates"": [10.743312, 59.910564], ""type"": ""Point""}","Kvadraturen, Tollbugata, Kvadraturen, Sentrum, Oslo, 0153, Norway",highway,bus_stop
9,Royal Palace,Royal Palace,"['...Many landmarks were built in the 19th century, including the Royal Palace (1825–1848), Storting building (the Parliament) (1861–1866), the University, National Theatre and the Stock Exchange....', '...Several important buildings were erected – The Bank of Norway (1828), the Royal Palace (1848), and the Storting (1866)....', '...The first major undertaking was the Royal Palace, designed by Hans Linstow and built between 1824 and 1848....', '...The National Theatre is the largest theatre in Norway and is situated between the royal palace and the parliament building, Stortinget....', '*...Linstow also planned Karl Johans gate, the avenue connecting the Palace and the city, with a monumental square halfway to be surrounded by buildings for University, the Parliament (Storting) and other institutions....']","Royal Palace, Slottsplassen, Vika, Sentrum, Oslo, 0010, Norway","{""coordinates"": [10.727633, 59.917199], ""type"": ""Point""}","Royal Palace, Slottsplassen, Vika, Sentrum, Oslo, 0010, Norway",tourism,attraction
12,Hovedøya Abbey,Hovedøya Abbey,"['*...In 1174, Hovedøya Abbey was built....']","Hovedøya Abbey, German Bunker, Gamle Oslo, Oslo, 0252, Norway","{""coordinates"": [10.728252, 59.896354], ""type"": ""Point""}","Hovedøya Abbey, German Bunker, Gamle Oslo, Oslo, 0252, Norway",tourism,attraction
15,Aker Brygge,Aker Brygge,"['*...Aker Brygge was constructed on the site of the former shipyard Akers Mekaniske Verksted, from 1982 to 1998....', '*...Grønland, the central areas around Youngstorget and Torggata, Karl Johans gate (the main pedestrian thoroughfare), Aker Brygge and Tjuvholmen, Sørenga, and the boroughs of Frogner, Majorstuen, St. Hanshaugen / Bislett, and Grünerløkka all have a high concentration of cafes and restaurants....']","Aker brygge, Brynjulf Bulls plass, Aker brygge, Frogner, Oslo, 0037, Norway","{""coordinates"": [10.730016, 59.911036], ""type"": ""Point""}","Aker brygge, Brynjulf Bulls plass, Aker brygge, Frogner, Oslo, 0037, Norway",railway,tram_stop
16,Blücher,Blücher,"['*...Efforts to stop the invasion, most notably the sinking of Blücher, delayed the occupation of Oslo for a few hours which allowed King Haakon to escape the city....']","German cruiser "" Blücher"" anchor, Stranden, Aker brygge, Frogner, Oslo, 0250, Norway","{""coordinates"": [10.724295, 59.908431], ""type"": ""Point""}","German cruiser "" Blücher"" anchor, Stranden, Aker brygge, Frogner, Oslo, 0250, Norway",historic,memorial
19,Malmøya,Malmøya,"['*...There are 40 islands within the city limits, the largest being Malmøya (0.56\xa0km2 or 0.22\xa0sq\xa0mi), and scores more around the Oslofjord....']","Malmøya, Sundveien, Godheim, Nordstrand, Oslo, 0198, Norway","{""coordinates"": [10.758115, 59.87333], ""type"": ""Point""}","Malmøya, Sundveien, Godheim, Nordstrand, Oslo, 0198, Norway",highway,bus_stop
21,Akerselva,Akerselva,"['*...Christiania expanded its industry from 1840, most importantly around Akerselva....', '*...Instead Oslo has two smaller rivers: Akerselva (draining Maridalsvannet, which flows into the fjord in Bjørvika), and Alna....', '*...The waterfalls in Akerselva gave power to some of the first modern industry of Norway in the 1840s....']","Akerselva Trebåtforening, Brugata, Vaterland, Sentrum, Oslo, 0185, Norway","{""coordinates"": [10.75823, 59.91334], ""type"": ""Point""}","Akerselva Trebåtforening, Brugata, Vaterland, Sentrum, Oslo, 0185, Norway",tourism,information
23,West End,West End,"[""...Later in the century, the river became the symbol of the stable and consistent economic and social divide of the city into an East End and a West End; the labourers' neighbourhoods lie on both sides of the river, and the divide in reality follows Uelands street a bit further west....""]","West End, Hoffsveien, Hoff, Ullern, Oslo, 0275, Norway","{""coordinates"": [10.674629, 59.925635], ""type"": ""Point""}","West End, Hoffsveien, Hoff, Ullern, Oslo, 0275, Norway",shop,laundry
26,Blindern,Blindern,"['*...On 27 July 2018, the temperature in Oslo rose to 34.6\xa0°C (94.3\xa0°F), the hottest recorded since 1937, when weather recordings started at Blindern....', '*...The coldest temperature recorded is −29.6\xa0°C (−21.3\xa0°F), on 21 January 1841, while the coldest recorded at Blindern is −26\xa0°C (−14.8\xa0°F) in January 1941....', '*...The average date for the last overnight freeze (low below 0\xa0°C, 32.0\xa0°F) in spring is 23 April and average date for first freeze in autumn is 17 October giving a frost-free season of 176 days (1981–2010 average for Blindern)....']","Blindern, Rasmus Winderens vei, Vinderen, Vestre Aker, Oslo, 0373, Norway","{""coordinates"": [10.716072, 59.940134], ""type"": ""Point""}","Blindern, Rasmus Winderens vei, Vinderen, Vestre Aker, Oslo, 0373, Norway",railway,station
30,St. Hanshaugen Park,St. Hanshaugen Park,"['*...St. Hanshaugen Park is an old public park on a high hill in central Oslo. ""St. Hanshaugen"" is also the name of the surrounding neighbourhood as well as the larger administrative district (borough) that includes major parts of central Oslo....']","St. Hanshaugen park nord, Colletts gate, Valle, St. Hanshaugen, Oslo, 0454, Norway","{""coordinates"": [10.743538, 59.929778], ""type"": ""Point""}","St. Hanshaugen park nord, Colletts gate, Valle, St. Hanshaugen, Oslo, 0454, Norway",amenity,bicycle_rental
32,Ola Narr,Ola Narr,"['*...Tøyen Park stretches out behind the old Munch Museum, and is a vast, grassy expanse. In the north, there is a lookout point known as Ola Narr. The Tøyen area also includes the Botanical Garden and Museum belonging to the University of Oslo....']","Ola Narr, Carl Berner, Grünerløkka, Oslo, 0564, Norway","{""coordinates"": [10.777041, 59.923798], ""type"": ""Point""}","Ola Narr, Carl Berner, Grünerløkka, Oslo, 0564, Norway",highway,residential
33,Østmarka,Østmarka,"['*...There are two major forests bordering the city: Østmarka (literally ""Eastern Forest"", on the eastern perimeter of the city), and the very large Nordmarka (literally ""Northern Forest"", stretching from the northern perimeter of the city deep into the hinterland)....']","Nesevise troll i bronse og stein fra Østmarka, Vetlandsveien, Tørtberg, Østensjø, Oslo, 0671, Norway","{""coordinates"": [10.848553, 59.904825], ""type"": ""Point""}","Nesevise troll i bronse og stein fra Østmarka, Vetlandsveien, Tørtberg, Østensjø, Oslo, 0671, Norway",tourism,artwork
35,Nordmarka,Nordmarka,"['*...There are two major forests bordering the city: Østmarka (literally ""Eastern Forest"", on the eastern perimeter of the city), and the very large Nordmarka (literally ""Northern Forest"", stretching from the northern perimeter of the city deep into the hinterland)....', '*...To the north and east, wide forested hills (Marka) rise above the city giving the location the shape of a giant amphitheatre....', '*...As defined in January 2004 by the city council\nIn addition is Marka (1,610 residents, 301.1\xa0km2), that is administered by several boroughs; and Sentrum (1,471 residents, 1.8\xa0km2) that is partially administered by St. Hanshaugen, and in part directly by the city council....']","Nordmarka skole, Nordmarksveien, Marka, Oslo, Norway","{""coordinates"": [10.689248, 60.051665], ""type"": ""Point""}","Nordmarka skole, Nordmarksveien, Marka, Oslo, Norway",amenity,school
37,Sognsvann,Sognsvann,"['*...Sognsvann is a lake in Oslomarka, located at the land border, just north of Oslo....', '*...Sognsvann was drinking water for Oslo from 1876 to 1967....']","Sognsvann, Sognsveien, Kringsjå, Nordre Aker, Oslo, 0863, Norway","{""coordinates"": [10.733938, 59.967126], ""type"": ""Point""}","Sognsvann, Sognsveien, Kringsjå, Nordre Aker, Oslo, 0863, Norway",railway,stop
39,Frognerbadet,Frognerbadet,['*...Another in that size is the outdoor pool Frognerbadet....'],"Frognerbadet, Middelthuns gate, Majorstuen, Frogner, Oslo, 0369, Norway","{""coordinates"": [10.706274, 59.928211], ""type"": ""Point""}","Frognerbadet, Middelthuns gate, Majorstuen, Frogner, Oslo, 0369, Norway",leisure,water_park
41,Plaza,Plaza,"['*...Most of the buildings in the city and in neighbouring communities are low in height with only the Plaza, Posthuset and the highrises at Bjørvika considerably taller....']","Plaza hotell, Sonja Henies plass, Vaterland, Sentrum, Oslo, 0185, Norway","{""coordinates"": [10.755434, 59.912512], ""type"": ""Point""}","Plaza hotell, Sonja Henies plass, Vaterland, Sentrum, Oslo, 0185, Norway",amenity,taxi
42,Posthuset,Posthuset,"['*...Most of the buildings in the city and in neighbouring communities are low in height with only the Plaza, Posthuset and the highrises at Bjørvika considerably taller....']","Posthuset, Corridor to Oslo Bussterminal, Vaterland, Sentrum, Oslo, 0050, Norway","{""coordinates"": [10.754267, 59.911568], ""type"": ""Point""}","Posthuset, Corridor to Oslo Bussterminal, Vaterland, Sentrum, Oslo, 0050, Norway",building,commercial
