,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Riga International Airport,Riga International Airport,"['*...The city is served by Riga International Airport, the largest and busiest airport in the Baltic states....', '...Riga has one active airport that serves commercial airlines—the Riga International Airport (RIX), built in 1973. Renovation and modernisation of the airport was completed in 2001, coinciding with the 800th anniversary of the city....', '*...The annual number of passengers has grown from 310,000 in 1993 to 4.7\xa0million in 2014, making Riga International Airport the largest in the Baltic States....']","Riga International Airport, Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Latvia","{""coordinates"": [23.979113, 56.92316], ""type"": ""Point""}","Riga International Airport, Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Latvia",aeroway,terminal
6,Dom Cathedral,Dom Cathedral,"[""...In 1226, Albert consecrated the Dom Cathedral, built St. James's Church, (now a cathedral) and founded a parochial school at the Church of St. George....""]","Riga Cathedral, 6, Herdera laukums, Old Riga, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.104774, 56.949098], ""type"": ""Point""}","Riga Cathedral, 6, Herdera laukums, Old Riga, Riga, Vidzeme, LV-1050, Latvia",amenity,place_of_worship
9,Baltics,Baltics,"['*...Riga employed German as its official language of administration until the installation of Russian in 1891 as the official language in the Baltic provinces, as part of the policy of Russification of the non-Russian-speaking territories of the Russian Empire, including Congress Poland, Finland and the Baltics, undertaken by Tsar Alexander III....', '*...(The mass deportation totalled 131,500 across the Baltics.)...', '*...Riga Port is one of the largest in the Baltics....']","KPMG Latvia, 1, Roberta Hirša iela, Skanste, Riga, Vidzeme, LV-1045, Latvia","{""coordinates"": [24.113354, 56.963355], ""type"": ""Point""}","KPMG Latvia, 1, Roberta Hirša iela, Skanste, Riga, Vidzeme, LV-1045, Latvia",office,accountant
12,St. Peter's Church,St. Peter's Church,"[""*...Such buildings were, amongst others, St. Peter's Church which lost its wooden tower after a fire caused by the Wehrmacht (renovated in 1954)....""]","St. Peter's Church, 1, Reformācijas laukums, Old Riga, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.109313, 56.947522], ""type"": ""Point""}","St. Peter's Church, 1, Reformācijas laukums, Old Riga, Riga, Vidzeme, LV-1050, Latvia",amenity,place_of_worship
13,House of the Blackheads,House of the Blackheads,"['...Another example is the House of the Blackheads, completely destroyed, its ruins subsequently demolished; a facsimile was constructed in 1995....']","House of the Blackheads, 7, Svaru iela, Old Riga, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.106789, 56.947155], ""type"": ""Point""}","House of the Blackheads, 7, Svaru iela, Old Riga, Riga, Vidzeme, LV-1050, Latvia",tourism,attraction
21,Riga Port,Riga Port,['*...Riga Port is one of the largest in the Baltics....'],"Idea Port Riga, 91, Dārzciema iela, Dārzciems, Riga, Vidzeme, LV-1073, Latvia","{""coordinates"": [24.182765, 56.937948], ""type"": ""Point""}","Idea Port Riga, 91, Dārzciema iela, Dārzciems, Riga, Vidzeme, LV-1073, Latvia",office,company
25,Daugava Stadium,Daugava Stadium,"['*...FS Metta-LU – founded in 2006. Metta play their home games at Daugava Stadium....', '*...Daugava Stadium – a stadium built in 1958, used for both football and athletics ;...']","Daugava Stadium, Kroņu iela, Purvciems, Riga, Vidzeme, LV-1012, Latvia","{""coordinates"": [24.157913, 56.955636], ""type"": ""Point""}","Daugava Stadium, Kroņu iela, Purvciems, Riga, Vidzeme, LV-1012, Latvia",leisure,stadium
26,Arena Riga,Arena Riga,"[""*...Arena Riga – a multi-purpose arena built in 2006 as the main venue for the 2006 Men's World Ice Hockey Championships. It can hold up to 14,500 people and has hosted ice hockey, basketball and volleyball events, as well as Red Bull X-Fighters ;...""]","Arēna Rīga, 21, Skanstes iela, Skanste, Riga, Vidzeme, LV-1013, Latvia","{""coordinates"": [24.121265, 56.967857], ""type"": ""Point""}","Arēna Rīga, 21, Skanstes iela, Skanste, Riga, Vidzeme, LV-1013, Latvia",leisure,stadium
27,Skonto Stadium,Skonto Stadium,"[""*...Skonto Stadium – a football stadium, built in 2000. It is the main stadium used for games of the Latvian national football team and the home stadium of Riga FC. The stadium was previously the home stadium of Skonto FC prior to the team's dissolution....""]","Skonto Stadium, Antonijas iela, Centre, Riga, Vidzeme, LV-1010, Latvia","{""coordinates"": [24.116215, 56.961263], ""type"": ""Point""}","Skonto Stadium, Antonijas iela, Centre, Riga, Vidzeme, LV-1010, Latvia",leisure,stadium
30,E22,E22,"['*...Several national roads begin in Riga, and European route E22 crosses Riga from the east and west, while the Via Baltica crosses Riga from the south and north....']","Krusteja, Old Riga, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.104897, 56.948499], ""type"": ""Point""}","Krusteja, Old Riga, Riga, Vidzeme, LV-1050, Latvia",highway,footway
