,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Palazzo della Civiltà Italiana,Palazzo della Civiltà Italiana,"[""...Numerous companies are based within Rome's EUR business district, such as the luxury fashion house Fendi located in the Palazzo della Civiltà Italiana...."", '...The most representative buildings of EUR are the Palazzo della Civiltà Italiana (1938–1943), and the Palazzo dei Congressi, examples of the Rationalist style....']","Palazzo della Civiltà del Lavoro, Quadrato della Concordia, Europa, Municipio Roma IX, Rome, Roma Capitale, Lazio, 00144, Italy","{""coordinates"": [12.465124, 41.836705], ""type"": ""Point""}","Palazzo della Civiltà del Lavoro, Quadrato della Concordia, Europa, Municipio Roma IX, Rome, Roma Capitale, Lazio, 00144, Italy",amenity,arts_centre
3,Palatine Hill,Palatine Hill,"['...Several excavations support the view that Rome grew from pastoral settlements on the Palatine Hill built above the area of the future Roman Forum....', '...Despite recent excavations at the Palatine hill, the view that Rome was founded deliberately in the middle of the eighth century BC, as the legend of Romulus suggests, remains a fringe hypothesis....', '...The Rome of the Kings was built on seven hills: the Aventine Hill, the Caelian Hill, the Capitoline Hill, the Esquiline Hill, the Palatine Hill, the Quirinal Hill, and the Viminal Hill....', '...From the Etruscan word 𐌓𐌖𐌌𐌀 (ruma), whose root is *rum- ""teat"", with possible reference either to the totem wolf that adopted and suckled the cognately named twins Romulus and Remus, or to the shape of the Palatine and Aventine Hills;...', '*...Nowadays, there is a wide consensus that the city developed gradually through the aggregation (""synoecism"") of several villages around the largest one, placed above the Palatine....', '*...Despite recent excavations at the Palatine hill, the view that Rome was founded deliberately in the middle of the eighth century BC, as the legend of Romulus suggests, remains a fringe hypothesis....', '...Even so, strenuous efforts were made to maintain the monumental centre, the palatine, and the largest baths, which continued to function until the Gothic siege of 537....', ""*...The old Roman hippodrome (Circus Maximus) is another large green space: it has few trees but is overlooked by the Palatine and the Rose Garden ('roseto comunale')....""]","Palatine Hill, Via di San Bonaventura, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.487109, 41.889306], ""type"": ""Point""}","Palatine Hill, Via di San Bonaventura, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
4,Roman Forum,Roman Forum,"['*...Several excavations support the view that Rome grew from pastoral settlements on the Palatine Hill built above the area of the future Roman Forum....', ""...Important monuments and sites of ancient Rome include the Roman Forum, the Domus Aurea, the Pantheon, Trajan's Column, Trajan's Market, the Catacombs, the Circus Maximus, the Baths of Caracalla, Castel Sant'Angelo, the Mausoleum of Augustus, the Ara Pacis, the Arch of Constantine, the Pyramid of Cestius, and the Bocca della Verità...."", '...Secular buildings include a number of towers, the largest being the Torre delle Milizie and the Torre dei Conti, both next to the Roman Forum, and the huge outdoor stairway leading up to the basilica of Santa Maria in Aracoeli....', '...Among the most significant resources are the many museums – Musei Capitolini, the Vatican Museums and the Galleria Borghese and others dedicated to modern and contemporary art – aqueducts, fountains, churches, palaces, historical buildings, the monuments and ruins of the Roman Forum, and the Catacombs....']","Roman Forum, Piazza del Colosseo, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.486712, 41.891625], ""type"": ""Point""}","Roman Forum, Piazza del Colosseo, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
6,Latium,Latium,"['*...Rome is located in the central-western portion of the Italian Peninsula, within Lazio (Latium), along the shores of the Tiber....', '*...After becoming master of Latium, Rome led several wars (against the Gauls, Osci-Samnites and the Greek colony of Taranto, allied with Pyrrhus, king of Epirus) whose result was the conquest of the Italian peninsula, from the central area up to Magna Graecia....', '*...In 729, the Lombard king Liutprand donated the north Latium town of Sutri to the Church, starting its temporal power....']","Neurological Center of Latium, 15, Via Patrica, Quadraro, Municipio Roma VII, Rome, Roma Capitale, Lazio, 00179, Italy","{""coordinates"": [12.540776, 41.866219], ""type"": ""Point""}","Neurological Center of Latium, 15, Via Patrica, Quadraro, Municipio Roma VII, Rome, Roma Capitale, Lazio, 00179, Italy",amenity,hospital
12,St. Paul's,St. Paul's,"[""*...In 846, Muslim Arabs unsuccessfully stormed the city's walls, but managed to loot St. Peter's and St. Paul's basilica, both outside the city wall....""]","St. Paul's Within the Walls, 58, Via Napoli, Castro Pretorio, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.494261, 41.901064], ""type"": ""Point""}","St. Paul's Within the Walls, 58, Via Napoli, Castro Pretorio, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",amenity,place_of_worship
14,Saint Peter's Basilica,Saint Peter's Basilica,"[""*...Majestic works, as the new Saint Peter's Basilica, the Sistine Chapel and Ponte Sisto (the first bridge to be built across the Tiber since antiquity, although on Roman foundations) were created....""]","Saint Peter in Chains, 4/a, Piazza di San Pietro in Vincoli, Monti, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.493158, 41.893851], ""type"": ""Point""}","Saint Peter in Chains, 4/a, Piazza di San Pietro in Vincoli, Monti, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",amenity,place_of_worship
16,Ponte Sisto,Ponte Sisto,"[""*...Majestic works, as the new Saint Peter's Basilica, the Sistine Chapel and Ponte Sisto (the first bridge to be built across the Tiber since antiquity, although on Roman foundations) were created...."", '*...Other noteworthy bridges are Ponte Sisto, the first bridge built in the Renaissance above Roman foundations; Ponte Rotto, actually the only remaining arch of the ancient Pons Aemilius, collapsed during the flood of 1598 and demolished at the end of the 19th century; and Ponte Vittorio Emanuele II, a modern bridge connecting Corso Vittorio Emanuele and Borgo....']","Ponte Sisto, Regola, Municipio Roma I, Rome, Roma Capitale, Lazio, 00186, Italy","{""coordinates"": [12.471211, 41.89266], ""type"": ""Point""}","Ponte Sisto, Regola, Municipio Roma I, Rome, Roma Capitale, Lazio, 00186, Italy",highway,pedestrian
18,Villa Farnesina,Villa Farnesina,"[""...Raphael, who in Rome became one of the most famous painters of Italy, created frescoes in the Villa Farnesina, the Raphael's Rooms, plus many other famous paintings...."", ""...During this period, the great aristocratic families of Rome used to build opulent dwellings as the Palazzo del Quirinale (now seat of the President of the Italian Republic), the Palazzo Venezia, the Palazzo Farnese, the Palazzo Barberini, the Palazzo Chigi (now seat of the Italian Prime Minister), the Palazzo Spada, the Palazzo della Cancelleria, and the Villa Farnesina.\nMany of the famous city's squares – some huge, majestic and often adorned with obelisks, some small and picturesque – took their present shape during the Renaissance and Baroque periods....""]","Villa Farnesina, 230, Via della Lungara, Trastevere, Municipio Roma I, Rome, Roma Capitale, Lazio, 00165, Italy","{""coordinates"": [12.467321, 41.893611], ""type"": ""Point""}","Villa Farnesina, 230, Via della Lungara, Trastevere, Municipio Roma I, Rome, Roma Capitale, Lazio, 00165, Italy",tourism,attraction
20,Eternal City,Eternal City,"['...Rome is often referred to as the City of Seven Hills due to its geographic location, and also as the ""Eternal City""....', '...It was first called The Eternal City (Latin: Urbs Aeterna; Italian: La Città Eterna) by the Roman poet Tibullus in the 1st century BC, and the expression was also taken up by Ovid, Virgil, and Livy....', '...The ruling popes until the first half of the 16th century, from Nicholas V, founder of the Vatican Library, to Pius II, humanist and literate, from Sixtus IV, a warrior pope, to Alexander VI, immoral and nepotist, from Julius II, soldier and patron, to Leo X, who gave his name to this period (""the century of Leo X""), all devoted their energy to the greatness and the beauty of the Eternal City and to the patronage of the arts....', ""...During the Age of Enlightenment, new ideas reached the Eternal City, where the papacy supported archaeological studies and improved the people's welfare....""]","Eternal City Brewing, Via del Ponte Pisano, Gianicolense, Rome, Roma Capitale, Lazio, 00163, Italy","{""coordinates"": [12.402146, 41.851076], ""type"": ""Point""}","Eternal City Brewing, Via del Ponte Pisano, Gianicolense, Rome, Roma Capitale, Lazio, 00163, Italy",amenity,pub
22,Palazzo Senatorio,Palazzo Senatorio,"['...The seat of the comune is the Palazzo Senatorio on the Capitoline Hill, the historic seat of the city government....']","Palazzo Senatorio, Clivus Capitolinus, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.483352, 41.892915], ""type"": ""Point""}","Palazzo Senatorio, Clivus Capitolinus, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
