,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Cuesta del Rosario,Cuesta del Rosario,"['*...The original core of the city, in the neighbourhood of the present-day street, Cuesta del Rosario, dates to the 8th century BC, when Seville was on an island in the Guadalquivir....']","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991189, 37.389812], ""type"": ""Point""}","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",highway,living_street
6,Real Alcázar,Real Alcázar,['...Archaeological excavations in 1999 found anthropic remains under the north wall of the Real Alcázar dating to the 8th–7th century BC....'],"real alcazar, Patio de la Montería, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991132, 37.384015], ""type"": ""Point""}","real alcazar, Patio de la Montería, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",historic,monument
9,Metropol Parasol,Metropol Parasol,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '*...In 2004 the Metropol Parasol project, commonly known as Las Setas (The Mushrooms), due to the appearance of the structure, was launched to revitalise the Plaza de la Encarnación, for years used as a car park and seen as a dead spot between more popular tourist destinations in the city....', '...The Metropol Parasol was completed in March 2011, costing just over €102\xa0million in total, more than twice as much as originally planned....', ""...The Metropol Parasol, in La Encarnación square, is the world's largest wooden structure...."", '...The Antiquarium in Metropol Parasol, an underground museum which is composed of the most important archaeological site of the ancient Roman stage of Seville and remains preserved....']","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain","{""coordinates"": [-5.991853, 37.393119], ""type"": ""Point""}","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain",tourism,attraction
11,La Alameda de Hércules,La Alameda de Hércules,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain","{""coordinates"": [-5.992168, 37.400255], ""type"": ""Point""}","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain",office,association
12,Patio de Banderas,Patio de Banderas,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain","{""coordinates"": [-5.991303, 37.384831], ""type"": ""Point""}","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain",highway,pedestrian
13,Seville Cathedral,Seville Cathedral,"['...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '...Public buildings were constructed including churches—many of which were built in the Mudéjar and Gothic styles—such as the Seville Cathedral, built during the 15th century with Gothic architecture....', '...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', ""*...In the 2016 film Assassin's Creed, Master Assassins Aguilar de Nerha and Maria escape execution and are pursued by Templars through the city, eventually performing Leaps of Faith off of an unfinished Seville Cathedral to escape...."", '*...Its old town, with an area of 4 square kilometres (2\xa0sq\xa0mi), contains a UNESCO World Heritage Site comprising three buildings: the Alcázar palace complex, the Cathedral and the General Archive of the Indies....', ""...The emblem is present on Seville's municipal flag, and features on city property such as manhole covers, and Christopher Columbus's tomb in the cathedral...."", '*...The Alcázar, the Cathedral, and the Archivo General de Indias (General Archive of the Indies) are UNESCO World Heritage Sites....', ""...The St. Mary of the See Cathedral was built from 1401 to 1519 after the Reconquista on the former site of the city's mosque...."", '*...La Giralda is a tower attached to the Cathedral that dates back to the twelfth century....', '...The Alcázar facing the cathedral was developed from a previous Moorish Palace which was developed from a Visigoth establishment which was itself developed from an existing Roman construction....', ""...Kansas City, Missouri (United States), 1969. The relationship between Seville and Kansas City is due to a small replica of the Giralda tower, Sevilla's cathedral belltower, that exists in Kansas City....""]","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.993141, 37.385915], ""type"": ""Point""}","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",amenity,place_of_worship
15,Santa María la Blanca,Santa María la Blanca,"['*...After the 1391 pogrom, believed to having been instigated by the Archdeacon Ferrant Martínez, all the synagogues in Seville were converted to churches (renamed Santa María la Blanca, San Bartolomé, Santa Cruz, and Convento Madre de Dios)....']","Iglesia Santa María la Blanca, Calle Archeros, San Bartolomé, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.987296, 37.386541], ""type"": ""Point""}","Iglesia Santa María la Blanca, Calle Archeros, San Bartolomé, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",amenity,place_of_worship
16,San Bartolomé,San Bartolomé,"['*...After the 1391 pogrom, believed to having been instigated by the Archdeacon Ferrant Martínez, all the synagogues in Seville were converted to churches (renamed Santa María la Blanca, San Bartolomé, Santa Cruz, and Convento Madre de Dios)....']","San Bartolomé, El Real de la Jara, Sevilla, Andalusia, Spain","{""coordinates"": [-6.155539, 37.951307], ""type"": ""Point""}","San Bartolomé, El Real de la Jara, Sevilla, Andalusia, Spain",highway,residential
17,Convento Madre de Dios,Convento Madre de Dios,"['*...After the 1391 pogrom, believed to having been instigated by the Archdeacon Ferrant Martínez, all the synagogues in Seville were converted to churches (renamed Santa María la Blanca, San Bartolomé, Santa Cruz, and Convento Madre de Dios)....']","Convento Madre de Dios, Calle de Andalucía, Cazalla de la Sierra, Sevilla, Andalusia, 41370, Spain","{""coordinates"": [-5.75985, 37.93289], ""type"": ""Point""}","Convento Madre de Dios, Calle de Andalucía, Cazalla de la Sierra, Sevilla, Andalusia, 41370, Spain",amenity,place_of_worship
18,Barrio Santa Cruz,Barrio Santa Cruz,"[""*...The Jewish quarter's land and shops (which were located in modern-day Barrio Santa Cruz) were appropriated by the church...."", '*...After the 1391 pogrom, believed to having been instigated by the Archdeacon Ferrant Martínez, all the synagogues in Seville were converted to churches (renamed Santa María la Blanca, San Bartolomé, Santa Cruz, and Convento Madre de Dios)....', '*...The Centro Velázquez (Velázquez Centre) located at the Old Priests Hospital in the touristic Santa Cruz neighbourhood....', '*...The Gardens of Murillo and the Gardens of Catalina de Ribera, both along and outside the South wall of the Alcázar, lie next to the Santa Cruz quarter....', '*...Aside from traditional neighbourhoods such as Santa Cruz, Triana and others, those further away from the centre, such as Nervión, Sevilla Este, and El Porvenir have seen recent economic growth....']","Barrio Santa cruz, 4, Calle Mateos Gago, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991611, 37.386036], ""type"": ""Point""}","Barrio Santa cruz, 4, Calle Mateos Gago, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",tourism,attraction
19,Plaza de San Francisco,Plaza de San Francisco,"[""...The Plaza de San Francisco was the site of the 'autos de fé'....""]","Plaza de San Francisco, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41001, Spain","{""coordinates"": [-5.993981, 37.388734], ""type"": ""Point""}","Plaza de San Francisco, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41001, Spain",highway,living_street
20,Indies,Indies,"['...Its old town, with an area of 4 square kilometres (2\xa0sq\xa0mi), contains a UNESCO World Heritage Site comprising three buildings: the Alcázar palace complex, the Cathedral and the General Archive of the Indies....', '*...Following the Columbian exploration of the New World, Seville was chosen as headquarters of the Casa de Contratación in 1503, which was the decisive development for Seville becoming the port and gateway to the Indies....', '...The Alcázar, the Cathedral, and the Archivo General de Indias (General Archive of the Indies) are UNESCO World Heritage Sites....', '...The General Archive of the Indies, is the repository of extremely valuable archival documents illustrating the history of the Spanish Empire in the Americas and the Philippines....']","General Archive of the Indies, 3, Avenida de la Constitución, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.993033, 37.384711], ""type"": ""Point""}","General Archive of the Indies, 3, Avenida de la Constitución, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",tourism,museum
25,Triana,Triana,"['*...The Isabel II bridge, better known as the Triana bridge, dates from this period; street lighting was expanded in the municipality and most of the streets were paved during this time as well....', '*...Most of the city is on the east side of the river, while Triana, La Cartuja and Los Remedios are on the west side....', '...The administrative headquarters are in Torre Triana, in La Cartuja....', '*...Triana ;...', '*...The neighbourhood of Triana, situated on the west bank of the River Guadalquivir, had an important role in the history of the city and constitutes by itself a folk, monumental and cultural centre....', '*...The Castillo de San Jorge (Castle of St. George) is situated near the Triana market, next to the Isabel II bridge. It was the last seat for the Spanish Inquisition....', '*...Museum of Pottery in Triana....', '*...In the district of Triana, the Velá de Santiago y Santa Ana is held every July and includes sporting events, performances, and cultural activities as the city honors St. James and St. Ana....', ""*...Seville had a vibrant rock music scene in the 1970s and 1980s with bands like Triana, Alameda and Smash, who fused Andalusia's traditional flamenco music with British-style progressive rock...."", '*...The Triana district in Seville is considered a birthplace of flamenco, where it found its beginning as an expression of the poor and marginalized....', '*...Aside from traditional neighbourhoods such as Santa Cruz, Triana and others, those further away from the centre, such as Nervión, Sevilla Este, and El Porvenir have seen recent economic growth....']","Triana, Calle Maestra María Lina Blanco Castro, La Puebla de los Infantes, Sevilla, Andalusia, 41479, Spain","{""coordinates"": [-5.389587, 37.78318], ""type"": ""Point""}","Triana, Calle Maestra María Lina Blanco Castro, La Puebla de los Infantes, Sevilla, Andalusia, 41479, Spain",amenity,pub
26,Plaza de España,Plaza de España,"['...In 1929 the city hosted the Ibero-American Exposition, which accelerated the southern expansion of the city and created new public spaces such as the Plaza de España and the Maria Luisa Park....', '...The Plaza de España in the Parque de María Luisa (María Luisa Park) was built by the architect Aníbal González for the 1929 Exposición Ibero-Americana....', ""...The Plaza de España in the Parque de María Luisa appears in George Lucas' Star Wars: Episode II – Attack of the Clones, in The Dictator, starring Sacha Baron Cohen, as the palace of the dictator Aladeen, and in Lawrence of Arabia as the British Army headquarters in Cairo, while the courtyard was the King Alfonso XIII Hotel....""]","Plaza de España, El Prado-Parque de María Luisa, Distrito Sur, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.986516, 37.377777], ""type"": ""Point""}","Plaza de España, El Prado-Parque de María Luisa, Distrito Sur, Seville, Sevilla, Andalusia, 41004, Spain",tourism,attraction
29,SE-30,SE-30,"['*...In 1992, coinciding with the fifth centenary of the Discovery of the Americas, the Universal Exposition was held for six months in Seville, on the occasion of which the local communications network and urban infrastructure was greatly improved under a 1987 PGOU plan launched by Mayor Manuel del Valle: the SE-30 ring road around the city was completed and new highways were constructed; the new Seville-Santa Justa railway station had opened in 1991, while the Spanish High-Speed Rail system, the Alta Velocidad Española (AVE), began to operate between Madrid-Seville....', '...Seville has one ring road, the SE-30, which connects with the dual carriageway of the south, the A-4, that directly communicates the city with Cádiz, Cordoba and Madrid....']","Acceso a Sevilla desde la SE-30 por el Puente del Alamillo, Triana, Seville, Sevilla, Andalusia, 41092, Spain","{""coordinates"": [-6.002887, 37.413462], ""type"": ""Point""}","Acceso a Sevilla desde la SE-30 por el Puente del Alamillo, Triana, Seville, Sevilla, Andalusia, 41092, Spain",highway,secondary
34,Las Setas,Las Setas,"['*...In 2004 the Metropol Parasol project, commonly known as Las Setas (The Mushrooms), due to the appearance of the structure, was launched to revitalise the Plaza de la Encarnación, for years used as a car park and seen as a dead spot between more popular tourist destinations in the city....', '*...Constructed from crossed wooden beams, Las Setas is said to be the largest timber-framed structure in the world....']","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain","{""coordinates"": [-5.991853, 37.393119], ""type"": ""Point""}","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain",tourism,attraction
